"","ESR1","LAMA2"
"Extracellular matrix organization",0.853572239843911,0.868055895190937
"Glucuronidation",0.73667677180794,0
"Biological oxidations",0.835703639003087,0.77613441282085
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.675533403365347,0.677074448269301
"Integrin cell surface interactions",0.833248180513872,0.887680012762797
"ECM proteoglycans",0.810059516652522,0.875640241072889
"Class B/2 (Secretin family receptors)",0.745669028123707,0.74693396744038
"GPCR ligand binding",0.847073957179648,0.844506780016104
"Phase II - Conjugation of compounds",0.812468486604629,0
"Collagen biosynthesis and modifying enzymes",0.870643723956469,0.870801269042583
"Collagen formation",0.85427281744998,0.85403595597545
"Amino acid transport across the plasma membrane",0,0
