"","TP53","TNRC6A","F8","COL5A3","TNXB","EXT1","APC","NEDD4L","SP100","ITPR1","RXFP3","DGKB"
"Blood group systems biosynthesis",0,0.773756942644578,0,0.773721711970789,0.775628725070806,0,0.77233680042177,0,0,0,0,0
"Lewis blood group biosynthesis",0,0.750279687951537,0,0.750240115360302,0.752382153583519,0,0.748684523805244,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0.851820268240797
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0,0.849686782263915,0.846833550011564,0
"Glucuronidation",0.886146713298043,0.88972646882509,0,0,0,0.821684153356721,0,0,0.888951254215835,0,0,0
"Phase II - Conjugation of compounds",0.841497790711218,0.841649086696861,0,0,0,0.809519368682724,0.807493100882169,0.805672941393179,0.841279744695394,0.823493388014034,0,0.842221449151666
"Classical antibody-mediated complement activation",0,0,0.681294545692504,0,0,0,0,0,0,0,0,0
"Defective B3GALTL causes PpS",0.818465451803362,0,0.858848864575128,0.862679271756076,0.825831767216592,0.826152351991941,0,0.819233815647888,0,0,0.865850791401954,0
"Sialic acid metabolism",0,0.660526656795429,0,0.660612975584818,0.662613677042659,0,0.659611818487077,0,0.660656107811225,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.818437739207927,0,0.858821151979694,0.862679271756076,0.825831767216592,0.826183239821173,0,0.819206103052453,0,0,0.865850791401954,0
"TNFs bind their physiological receptors",0.418045998272801,0.337212371385575,0,0.337180713467201,0.425646191697081,0.426936311088736,0.420806887580788,0.377707195386604,0.380070292303599,0.336730212174806,0,0
"Ethanol oxidation",0.764564291102589,0,0,0,0,0,0,0,0,0,0,0.83764047281575
"The canonical retinoid cycle in rods (twilight vision)",0.750350629557626,0,0.75397032090995,0,0.759437137426428,0.760402863737327,0,0,0,0.755998704392091,0.752974588107846,0.754411632001325
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0.799459247054685,0.804427727107815,0.725415664350227,0,0,0,0.798122002691665,0.798807975299833,0.804949576828188,0.803590737263764,0,0
"O-linked glycosylation",-0.0145360977585974,-0.0145360977585974,0.882918974523728,0.903065506732039,-0.0145360977585974,-0.0145360977585974,-0.0145360977585974,-0.0145360977585974,0,-0.0145360977585974,-0.0145360977585974,0
"Heme degradation",0.734776610225128,0.742251015728019,0.596370604759624,0,0,0,0,0,0,0,0,0
