"","EPHB1","TMPRSS2","LYPD6","FASN","PLCB1","KCNN2","ZNF423","CBX2","ABTB1","APC","GNA12","MYF6","LRRC41","TFAP2B","REV3L","AURKC","IL13RA2","NGFR","COL11A1","PAPPA","COL22A1","BCAS3","PADI4","WDR24","KIF1A","NEFH","NRG3","SLIT1","ZNF680","TP53","OR5AS1","POU2F2","NRXN1","GPR27","GRIA4","CACNA1B","TF","RUNX1T1","RALYL","HLCS","IL12RB1","IRF5","OR5B21","DEPDC7","A2M","KCNQ2","MYH6","OR2B11"
"Neuronal System",0.915163126169109,0.910006762647301,0.910141504700972,0.909579379252207,0.915304399754783,0.915995222694159,0,0.909490024377611,0,0.90976678264446,0.91518193427248,0.909736910152136,0.909162651542354,0.909656628740035,0.909379882609543,0.903564424355842,0.909410833149811,0.909230880402156,0.909378973657738,0.903840734399585,0.903337077929085,0,0,0.909783500298528,0.909391507716983,0.909696679784108,0.915446325424381,0.909731297054914,0,0.920251086266832,0.915744180403796,0.909470378239918,0.891002049701313,0.91511805341253,0.899114784175637,0.897734905709494,0.915132940350508,0,0.90294817920254,0.909868335791882,0.909322800603117,0.909266922590371,0.915744180403796,0.90999307098917,0.909104859144618,0.915807065518772,0.909460855731524,0.915744180403796
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.627780197121663,0,0.631288026730167,0.605029637051116,0.626973278985487,0,0,0.603759574319107,0,0.648372535363652,0.648667017572989,0.590994280240497,0.626765171045852,0.605766139041331,0.629062201376258,0.604152045006162,0.628619517149824,0.627710971772457,0.62790544461777,0.606668407558413,0.628092036869604,0,0,0.629003843890135,0.603129478128029,0.587408187688022,0.628998722340601,0.650430532996281,0,0.626594009385868,0.62987537782923,0.603818917237932,0.628503229581524,0.627617672585425,0.632234278128739,0.627618618063894,0.647812854519273,0,0,0,0.648412853173732,0.627937704942793,0.62987537782923,0.628914202685372,0.627733235471398,0.604724564389026,0.628486370034525,0.62987537782923
"GPCR downstream signalling",0.942749491875507,0.938522879354548,0.938637781878907,0.938472041911866,0.942851579372926,0.937553241666723,0,0.938066578178184,0,0.936864426876817,0.941966184345265,0.938212962843463,0.937856434024609,0.938199226963001,0.937946256554688,0.933009762202779,0.938275787964063,0.940821222724153,0.93803283284151,0.938515019430111,0.938075030032051,0,0.933421978300764,0.932810421759879,0.932839897936217,0.9382662064349,0.94298042533087,0.938190815331197,0,0.936501359763119,0.943223309725207,0.938107368263501,0.938111209404844,0.943042704140461,0.942913003158404,0.942814393561132,0.942660926432746,0,0,0.933473453173526,0.938167163952097,0.937904623043676,0.943223309725207,0.936411081195258,0.942322645098632,0.938310792247451,0.937979626264089,0.943223309725207
"Potassium Channels",0.845952462884472,0.846899566985413,0,0,0.882921263751597,0.867498160334643,0,0.864416338817056,0,0.864088470205258,0.882892490959908,0.865788215673843,0.847947190143033,0,0,0,0,0.864010056237234,0,0,0,0,0,0,0.844103750823516,0.866628130179295,0.865131923726879,0,0,0.862911003317272,0.884587799292979,0,0.864882619170293,0.882699874687132,0.846557072709223,0.884347319559221,0.845624977613251,0,0,0,0.864287217917834,0.86411873216868,0.884587799292979,0.865601379913894,0.864073705961162,0.882335969338721,0,0.884587799292979
"Signaling by GPCR",0.943147632542449,0.9391075663116,0.939188435916825,0.939058972636541,0.943245214293524,0.938180724672032,0,0.938671404500082,0,0.937522311496421,0.942398897169711,0.938811328313769,0.938470535294718,0.938798198681817,0.938483332065956,0.93383777677657,0.938871380577119,0.941304469715542,0.938639148551739,0.939100053293755,0.938679483321887,0,0.934231045025983,0.933647234447977,0.933621106619668,0.938862221939505,0.943368373490421,0.938763607231009,0,0.937175268757511,0.943600537909254,0.938710394269177,0.938714065877433,0.94342790355481,0.943303927071252,0.943209669719295,0.943062976034964,0.934383937054001,0,0.934281002225595,0.938767550807906,0.938516597437312,0.943600537909254,0.937088974735626,0.942739625127422,0.938869627506972,0.938588290306363,0.943600537909254
"G alpha (s) signalling events",0.93480444491977,0.936127990433655,0.936754568875415,0.919795131771668,0.950992700352959,0,0,0.934906935346176,0,0.934664012464592,0.951690296657321,0.935767738893265,0.933796730476075,0.935730107304078,0.935219887160918,0.921656447379353,0.93532445716906,0.937656472660646,0.934572792694697,0.922171744126105,0.919977876274063,0,0,0.920351233113834,0.920189630956025,0.935507033639335,0.935281482127045,0.935838148884663,0,0.933791609193561,0.952946376594912,0.93486304510304,0.935252409609217,0.948384168320167,0.952096243305217,0.947758675840664,0.947338228680749,0,0,0.920507313528974,0.935026864728192,0.934530792966635,0.948878965518565,0.935406109364953,0.934497432359113,0.935319432594436,0.934964047220011,0.952946376594912
"Neurotransmitter receptors and postsynaptic signal transmission",0.922406700798247,0.911712467846517,0.899992864715387,0.910826080071968,0.922699700434275,0.911997955768726,0,0.910640759188319,0,0.910270749322158,0.922445708567574,0.911152797172853,0.909961792054312,0.910986294536052,0.910664185618775,0.898351139431385,0.910476517580013,0.909159294826303,0.910410441395021,0.898962395156924,0.89787962580784,0,0,0.91124942454923,0.910436436875909,0.911069359896642,0.922994052484144,0.911187557404536,0,0.921515054607909,0.923611799957188,0.91060001334637,0.910816992298809,0.922313220469213,0.889130306051637,0.922571770490767,0.910062349580016,0,0,0.911425372293157,0.910407454835732,0.910178048893628,0.923611799957188,0.910740068496872,0.909841931349841,0.910659601455918,0.910580263783983,0.923611799957188
"Transmission across Chemical Synapses",0.908656485190968,0.900581813073538,0.890654997315622,0.899847749292389,0.908117355453746,0.900036462495721,0,0.899694275437621,0,0.898606073075428,0.908688789551958,0.900118320702926,0.899131987468431,0.899980431216346,0.899564856189781,0.889516602632663,0.899558258426246,0.900030953734284,0.899503537303514,0.889209408375715,0.889126117696722,0,0,0.900198342854971,0.899525065512208,0.90004922195831,0.909142901646378,0.900147107457249,0,0.917395447140654,0.909654490432774,0.899660531688368,0.898907837666822,0.908579069272378,0.881098573346822,0.878722179001039,0.89843348641855,0,0.878515709620075,0.900344054325615,0.899501063978558,0.89931108099581,0.909654490432774,0.898994740674247,0.898250946627136,0.899709879698643,0.898862398086548,0.909654490432774
"G alpha (i) signalling events",0.929653998133709,0.930509309659613,0.921199963926009,0.929953358147418,0.937480097004503,0.930723569839475,0,0.929619650737982,0,0.929383649318552,0.946438920521426,0.929985075160647,0.920940488719326,0.929922017630639,0.919745786864866,0.920716510148508,0.92975014009083,0.937967659760372,0.929625126647442,0.930534418148358,0.919532225513714,0,0.921396659890702,0.920259709142074,0.920505445584711,0.930069835814444,0.929883254732029,0.930038717475376,0,0.928999475821188,0.938749340578266,0.929691867184409,0.929763887742035,0.937845402517034,0.938199961056667,0.93802537856577,0.929252380685753,0,0,0.920410263234798,0.929802645209586,0.92939813874279,0.938749340578266,0.929731789695988,0.937812653514988,0.929839605308685,0.929465707489345,0.938749340578266
"Biological oxidations",0.909738519947963,0.911132559919024,0,0.911214606793949,0.909434827206279,0,0.91110876394394,0.911526276014345,0,0.911499307105649,0.9226824841897,0.911295919322082,0.908991547592075,0.910597696802169,0,0,0.909912645306177,0.923019683447659,0,0,0,0,0.912089989463035,0,0,0,0.909749553036012,0.911053868230562,0,0.923035052390501,0.896897624361791,0.910249434833935,0,0.909218357747361,0,0.908903147030775,0.921687801177443,0.911286167948252,0,0.911804375364292,0.923343032989615,0.923099151344039,0.896897624361791,0.911264856708348,0.923066226500923,0,0.895075835447827,0.896897624361791
