"","TP53","NCOA2","RB1"
"Glucuronidation",0.89701915785136,0.927709141135418,0.898629833650677
"Phase II - Conjugation of compounds",0.845398132496583,0.861455307671277,0.84622740765968
"Phase I - Functionalization of compounds",0.933832280058274,0.953892040090649,0.934793496694489
"TNFs bind their physiological receptors",0.360456083718269,0.329795030946951,0.3620218182258
"Aspirin ADME",0.846494852567292,0.876151230665105,0.848051282561255
"Ethanol oxidation",0.817291208995469,0.8721766895377,0.820019423416585
"O-linked glycosylation",0.551028510811763,-0.0172930105075726,0.552215857562911
"Signaling by Retinoic Acid",0.217290209276057,0.793047668365324,0.218615411347887
"Cytosolic sulfonation of small molecules",0.737595495003484,0.818413839595972,0.741728136828495
"Phase 4 - resting membrane potential",0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.827809693394075,0.831411446136057,0.831197369436529
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.784328467847748,0.733177250126639,0.732983749482682
"Defensins",0.399688414381742,0.404117040766187,0
"Heme degradation",0.711319374719592,0.714678423139481,0.7157720284419
"Scavenging of heme from plasma",0.433941352877454,0.528026593102018,0.441814432707286
"TP53 Regulates Transcription of Caspase Activators and Caspases",0.723045477678847,0.485206204603513,0.484817422217508
"Collagen chain trimerization",0.864430553965542,0.820370547340654,0.819189494777046
"Defective GALNT3 causes HFTC",0.697782438344283,0,0.702091030075741
"Defective GALNT12 causes CRCS1",0.697782438344283,0,0.702091030075741
"RA biosynthesis pathway",0,0.825461858959054,0
"Binding and entry of HIV virion",0.454109655483858,0.463893869164627,0.467079315345728
