"","PIK3CA","APC","LRP2","ADCY7","KRAS","DSCAM","FGFR2","GRM5","CENPI","HTR2C","BRPF3","TRPV6","CACNA1E","NRCAM","SEMA3A","CATSPER1","DEPDC1B"
"Regulation of Complement cascade",0.897865880151856,0.880593268336641,0.88082172805858,0.898064714264417,0.880574599601895,0.882804289104051,0.881017735838458,0.880245860176291,0.860685955193191,0.880356941049817,0.882402566583702,0.883064261686434,0.881131644873497,0.861838542179894,0,0,0
"Potassium Channels",0.920602731985578,0.911333778797724,0.912294514122633,0.910300027570003,0.911765873891823,0.912336681924585,0.911356191969497,0.921107137197632,0.911312257731571,0.921146142327392,0.911169415014364,0.912479359173864,0.911517806639502,0.910897828644019,0.911888451266054,0.910242036291051,0.912226442967444
"Interaction between L1 and Ankyrins",0.920830928749812,0.922791503639003,0,0.920588031260317,0.942215847972972,0.899003855333902,0.922840026396095,0.921443785246265,0.922744912220533,0.899159845503153,0.924485405686847,0.924098401172793,0.922094521764436,0.945177436449654,0.923190830994873,0.921500402424609,0.898765196647227
"Initial triggering of complement",0.905132723988488,0,0.907035319475646,0.934787844976771,0.906637567095965,0.910226244488006,0.907350793306255,0.906611976841162,0,0.906790761115441,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.94172479859902,0.924878216926069,0.924723437812897,0.941923133515637,0.92447692980067,0.926701021410492,0.924918953492666,0.942641569180218,0.924839101786389,0.942752371172416,0.924579481152533,0.926960341301761,0.923849079063685,0.924302573630697,0.925886349651529,0.922933853461865,0.926500659022487
"Nitric oxide stimulates guanylate cyclase",0.875567464197051,0.877800119138246,0.844390057374652,0.906329186418223,0.877128461559933,0.880328749228142,0.877868302296731,0.876579612698599,0.877212346167627,0.87676506843102,0.846331470068451,0.881285091686351,0.878058479803011,0.84656587951853,0.846160908518887,0.875595539249209,0
"GABA receptor activation",0.930302238285832,0.915086884251127,0.914947092152658,0.90084574348608,0.914442614390023,0.916088044627009,0.915123676360942,0.931130239433622,0.915051556568044,0.931230312645611,0.914518873097777,0.916482099711213,0.915429758879703,0.914481567068711,0.915502161938502,0.913810160556913,0.915907083009518
"TNFs bind their physiological receptors",0.51489962406918,0.467259090693245,0.467051726647713,0.46573770348283,0.51614910772491,0,0.467313667173736,0,0.467206686506145,0,0,0.470048599723218,0,0,0,0,0
"Classical antibody-mediated complement activation",0.693995484695898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0.814685396571384,0.814825020336586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.939060409315458,0.915054327656953,0.915274366411266,0.9393378931531,0.914929485185062,0.917604553266412,0.915547905947654,0.940343032786133,0.914999602955656,0.940498052197429,0.914940652294643,0.917967359169847,0.941894367519868,0.91461764800334,0.916586184067197,0.940613905578867,0.91732423286045
"GABA B receptor activation",0.941477190581364,0.921537460295082,0.921354262668969,0.904616457226673,0.920693144268475,0.922849481548276,0.921585676376331,0.944304306728737,0.921491163345915,0.94269343256807,0.920793081349212,0.923365890964649,0.921986797694674,0.920744191776486,0.922254580250912,0.91986431315341,0.922821807847726
"Activation of GABAB receptors",0.941477190581364,0.921537460295082,0.921354262668969,0.904616457226673,0.920693144268475,0.922849481548276,0.921585676376331,0.944304306728737,0.921491163345915,0.94269343256807,0.920793081349212,0.923365890964649,0.921986797694674,0.920744191776486,0.922254580250912,0.91986431315341,0.922821807847726
"Lewis blood group biosynthesis",0,0.801540649202486,0.801692797959435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of kainate receptors upon glutamate binding",0.923753505316708,0.898525946393646,0.898294166482836,0.924050509533505,0.897925023619068,0.901255574779316,0.925812033440798,0.925126358534359,0.898467371929684,0.925292283221113,0.898078593068465,0.90164390328203,0.89825516248269,0.898601351775824,0.899698267632621,0.895614284858191,0.900955534447842
"Voltage gated Potassium channels",0,0.899973510998006,0.920862453169417,0.918843558250451,0.919718110223691,0,0,0,0,0,0,0,0.919443542883079,0.920053626201919,0,0.91975583243718,0
"Phase II - Conjugation of compounds",0.83207892570616,0.822381191429823,0,0.847434697280773,0,0,0,0,0.821577650016589,0,0,0,0,0,0,0,0.823279411198774
"Presynaptic function of Kainate receptors",0.910889010674317,0.87521841289898,0.874890686859527,0.91130896085607,0.874368735978141,0.879077980783384,0.91379967392745,0.912830161424603,0.875135591324753,0.913064771232879,0.874585876054069,0.879627059268039,0.875545250712162,0.877643199328971,0.876876020735966,0.871101458586995,0.87865373767635
"Creation of C4 and C2 activators",0.744983639292343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
