"","ZNF417","HAND1","OR51S1","CHIT1","PABPN1L","TEX15","COL1A2","LRRK2","HOXD4","APC","GULP1","FLNC","SCN3B","PMS1","BOD1L1","TP53","PLXNA3","ETV3","NRXN2","LIMD1","GLRA1","FBXW7","FABP2","TCF7L2","SCN2A","CTR9","TBP","TMPRSS11B","AHNAK","MBD4","RHOBTB3","RAB11FIP1","ARID2","TFEC","OPN4","MAN1C1","OR5M3","TTN","COL3A1","CCNL2","KCNQ5","CADM1","GK2","SELP"
"Extracellular matrix organization",0,0,0.617754433300929,0,0,0.602011804183048,0.636878597125208,0.636315091158499,0.636247419289021,0.746390137995872,0.619344767729905,0.635002472956562,0.600876964206885,0,0.620172356233619,0.599535693083968,0.635486829573051,0,0.652481363132069,0.638116032650012,0,0.615960345950808,0,0.63572500505044,0.600774496948614,0.600324822513262,0.635321182487428,0,0.61965743066563,0,0,0,0.602054503072788,0.638926564009246,0.637571174397667,0.636971045304083,0.617754433300929,0.617069967627283,0.636852552015435,0,0.601174477054041,0.63660685060811,0,0.634145470207795
"Activation of Matrix Metalloproteinases",0,0,0,0,0,0.739916982952187,0.831076228209826,0.833191869512126,0.832982844622215,0.829538112938263,0,0.783688716822525,0.833137142899681,0,0,0.827813610629383,0.833298971408303,0,0,0,0,0.780955560487139,0,0.831571176064981,0,0,0.829738099764807,0,0.79094582847737,0,0,0,0.740032363957572,0.840222433596833,0.830275586650606,0,0,0.784691240716693,0.831972419340419,0,0,0,0,0.790340226118596
"Neuronal System",0,0.804218351767142,0.820393558611743,0,0.769849744130461,0.785124475771952,0.802663295986848,0.80211904284771,0.803162943141598,0.802770305520786,0.786881603927307,0.819509574588691,0.802939242920616,0,0,0.834803943121107,0.802506447127424,0.804786050884211,0.821349286727224,0.804927874071494,0.789736840242312,0.800124459839398,0.804417869812406,0.803130994239706,0.802906681284445,0.802624793070295,0.802377660560216,0,0,0,0.804417869812406,0,0.785166523446946,0.787926151027863,0.818392898921425,0.803800349302423,0.820393558611743,0.801534230631333,0.802989890067616,0.804590395849676,0.820538110679663,0.801410767257938,0,0.787228341008633
"Degradation of the extracellular matrix",0,0,0.71950132091636,0,0,0.716710803226544,0.747234145371283,0.786818525561312,0.786263183250469,0.745457505192761,0,0.712389101614382,0.71595395273719,0,0.755473363854871,0.746294951221525,0.749747222816294,0,0.714550530497614,0.789475903961709,0,0.747568690839393,0,0.785210300352537,0.715203469591109,0,0.783843113503211,0,0.752274110990205,0,0,0,0.716796859324269,0.791662778913608,0.784243994253172,0,0.71950132091636,0.74995595716307,0.747221941955727,0,0,0.787785291759117,0,0.751848804975373
"GPCR ligand binding",0,0.867280449716855,0.906704220973169,0,0,0.866411915303584,0.886251730045379,0.886282951215343,0.86619759109627,0.885520296631885,0.868317346309599,0.86496739106755,0.886420732625672,0,0,0.884763466363873,0.886231903368752,0.866466463121212,0.884499526372004,0.889138698162931,0,0.885789297210885,0,0.882990813722369,0.886306579455781,0,0.866495887518747,0,0.868080890330912,0,0.865911482279913,0,0.866459483802019,0,0.904440876392019,0.846147605564672,0.906704220973169,0.865253330926676,0.883579619589428,0,0.886655258473831,0.888271701230396,0,0.868409557436196
"IL-6-type cytokine receptor ligand interactions",0,0,0.672377736546187,0,0,0,0.77145260074104,0.775775555592651,0,0.770919924310539,0,0.668303012823051,0.777179609324176,0,0,0.853102064043427,0.668175905123053,0,0,0,0,0.659388117945264,0,0.772463942895028,0,0,0.768718361790806,0,0,0,0,0,0.670604115068615,0,0.765637087875572,0,0.672377736546187,0,0.66462721667193,0,0,0,0,0.671691542348234
"G alpha (i) signalling events",0,0.799045538448999,0.82221648466767,0,0,0.771696123986623,0.796817398582849,0.798352196613327,0.797801906971617,0.797521726394869,0.774947214886154,0.821228069394423,0.7975817764512,0,0,0.796414181574184,0.797568561270379,0.800101737187188,0.797535023783385,0.80002614743411,0,0.795969690419279,0.800220145922923,0.797935960041333,0.797438801832815,0.796762842641461,0.796786053501287,0,0.775611142174482,0,0.771814510861292,0,0.771755702602944,0.775960223254851,0.819381689733197,0,0.82221648466767,0.797051815622788,0.796186714060022,0.799547964383624,0.79752072436671,0.799268217650197,0,0.772106990291979
"Signaling by GPCR",0,0.841139392039055,0.854177872578248,0.813213663564578,0,0.82610150266474,0.840430114535336,0.839680479206069,0.84048992583413,0.83992103309749,0.827574012669767,0.852388028076716,0.840488330578659,0,0,0.838646042458448,0.839771151369991,0.841888676303458,0.84036270032862,0.84195217787556,0,0.839438816605173,0.841954476204425,0.839766103975483,0.840408879382158,0.840033247908921,0.840046146216369,0,0.828271132986547,0,0.82551217361778,0.828558994399572,0.826134610585615,0.827659649098613,0.852503315747415,0.825307119519374,0.854177872578248,0.839880248962782,0.840687271464604,0.841580943977748,0.840186534661531,0.840322583011249,0.828666721315335,0.827524588744741
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0.411152106796596,0,0,0,0,0,0,0.39521012454934,0,0,0,0,0,0,0,0.406798503320794,0,0,0.401145273098334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPCR downstream signalling",0,0.847827287715303,0.861860144259177,0.817771811512573,0,0.831644835209617,0.84706391736478,0.847174348427624,0.847128290155242,0.846983408906523,0.833227348552133,0.860063736920704,0.847126573238065,0,0,0.845143783539093,0.846354698561317,0.848633715930718,0.846991361832792,0.848702060432131,0,0.845997018380317,0.84870453404239,0.846349266228706,0.847041062718692,0.846636783818141,0.84665066581133,0,0.833977634551318,0,0.832018677274497,0.834287449633018,0.831680468096648,0.833319516018833,0.860057877828593,0.831016680554841,0.861860144259177,0.846472116450949,0.847340686294015,0.848302514486839,0.846801760941278,0.847020905661853,0.834403392311325,0.831890566875563
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0,0,0,0,0,0,0.696145281885982,0.700566030179875,0.701582455969416,0.70024461220312,0,0.561592584306029,0,0,0,0.552533590036533,0.564420877489276,0,0,0,0,0.549943125147157,0,0.70239949558231,0,0.698438308197185,0.692329287617659,0,0,0,0,0,0.564225804114003,0,0.551470134650019,0,0,0.560596313484446,0,0,0,0.578530387094366,0,0.564573768109696
"Glucagon-type ligand receptors",0,0,0.873244767770455,0,0,0,0.784309664279661,0,0.705935031231567,0.784248592228548,0,0.7019378700509,0.789465270393788,0,0,0.779136715180786,0.702305146295325,0.707045587893338,0.787215452208939,0.800691632580485,0,0.781154003611645,0,0.785535341964178,0.78899376889298,0,0,0,0,0,0,0,0,0,0.863896184915753,0,0.873244767770455,0,0.785658482224646,0,0.790920353237424,0.709336755432939,0,0
"Regulation of FZD by ubiquitination",0,0,0.621822050905784,0,0,0.595824099248498,0.586806415804839,0.722397472046186,0.591445862602067,0.718340251942835,0,0.591690280520247,0.59362653622197,0,0,0.688172515429223,0.618928555090887,0.599175288157379,0.599784424013653,0,0,0.691055156979543,0,0.608382081209304,0.586141415655934,0.598273694812831,0.605638868535043,0,0,0,0.605289273960213,0,0.596104860513541,0,0.608927753692968,0,0.621822050905784,0,0,0,0.614353877264785,0.63096795610018,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.765483931327059,0.79631202814854,0,0,0.729093184455493,0.762520172617928,0.761642157638977,0.763472443028509,0.762854374253951,0.732442070032132,0.794627255563368,0.763176349643121,0,0,0.791648624869222,0.762340692130282,0.766565901005382,0.762937519748334,0.766836199802245,0.735743370341442,0.757681440889834,0.76586418993371,0.763411552070497,0.762984037197298,0.762446790456526,0.762106037804395,0,0,0,0.76586418993371,0,0.729173322521626,0.734948121992642,0.792498999280811,0.764687266370761,0.79631202814854,0.758036404559207,0.763142623634471,0.766193004855975,0.763394749587401,0.760132995916107,0,0.731021784639377
"Molecules associated with elastic fibres",0,0,0.506151859859473,0,0,0,0.612072337853729,0.502981323532863,0,0.732518787255476,0,0.615103029136181,0.501537478613598,0,0,0.601489064651922,0.50254192258655,0,0,0,0,0.375546396437477,0,0.495892490651631,0.500860209206843,0,0.491408763788931,0,0,0,0,0,0,0,0.493332072708635,0,0.506151859859473,0.50055122626473,0.602594550940921,0,0,0.512220795603233,0,0.619839056048877
