"","PRKACG","TYK2","COL1A2","AKAP9","NMUR1","TFRC","NUF2","APC","EXOC4","DOCK4","GLI2","OGT","MYO5A","ARHGAP35","TAS2R16","TAS2R4","OAS1","ROBO1","RGMB","HAUS5","MAMLD1","TNS1","NUMB","HSP90B1","OR4D5","OR6C74","OR10A2","OR2A5","OR10P1","OR51E1","MTMR6","GP6","PPP1R3A","PDE6A","PDS5B","GMIP","TTN","IQGAP2","POLR3E","RFC1","RNF6","ASB18","CBX2","COL4A4","NCAPD2","CD82","IFT122","PKD1L1","TNFRSF10A","MCM8","ZNF217","PFKM","EPN3","TP53BP1","MUC16","NEFH","FTSJ3","PYGL","B3GAT2","UIMC1","NAALADL2","GMPR","UTP20","KIF21A","ZNF429","CCDC129","PLB1","FBN3","PLEC","SLX4","KIF1B","KIF20B","NID1","WWC2","CEACAM8","LILRB3","ADAMTS9","MMP19","BDP1","COL23A1","PIWIL4","GSTM4"
"Interaction between L1 and Ankyrins",0.932424677969895,0,0.902518226998158,0.902639905386671,0.866408186152275,0.899937351221543,0.903155528282945,0.902878799827118,0.901836375172074,0.868058441171405,0.903074149992232,0,0.901618103163165,0.903117627203746,0.86719367363442,0.86719367363442,0.903330717879402,0.9029851186755,0,0.903122518449217,0,0.903862108884756,0.864944605634553,0,0.905055315453519,0.905055315453519,0.905055315453519,0.905055315453519,0.905055315453519,0.905055315453519,0,0.903117627203746,0.903014327566369,0.868878306928847,0.903172271502331,0.866944415172755,0.865640624505869,0.868423870773798,0,0.863917340443593,0,0,0,0.902831009980024,0.903944804510168,0.908447362697659,0.904231760975077,0.900947794463633,0.905769169846527,0,0,0,0,0.903998384968912,0.901751188883075,0,0,0.903074783414942,0,0,0.905456083269012,0,0,0.903654291138586,0.908447362697659,0.907730746381859,0,0.867634454632644,0,0,0.903676693056583,0.903676693056583,0.866792014455146,0,0.869221283216834,0,0,0,0,0.865229017978193,0,0
"Classical antibody-mediated complement activation",0,0.589283300946579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705814977725024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molecules associated with elastic fibres",0.713057986235509,0.716588625079815,0.717864937332899,0.716521639698135,0.716653927524337,0.715532985628893,0.718507076165087,0.770440715129172,0.666947938703762,0.721747047759761,0.718372738879319,0.719871463675712,0.666657571947159,0.668948207653122,0.717698859733842,0.717698859733842,0.66590988024453,0.667784350938966,0.720660017587775,0.666620493937133,0.719485423938619,0.722217218632586,0.718558032486747,0.71925934693034,0.670243156067024,0.670243156067024,0.670243156067024,0.670243156067024,0.670243156067024,0.670243156067024,0.669753426807579,0.668948207653122,0.721319136403609,0,0.717229845129982,0.669153747345789,0.717738817882295,0.671121863764196,0,0.717931007035135,0.716437410212955,0.716437410212955,0,0.717861600245298,0.720296591627122,0,0.667108535823676,0.664778930244061,0.670141328266446,0.719791191609528,0,0.668362572312279,0.670250430493208,0.719602246564976,0.718365361317613,0,0,0,0.721346338400772,0.719602246564976,0,0,0.717187143046855,0,0,0,0,0.816011722100343,0.719954724109484,0.719791191609528,0,0,0.712037277649563,0.727315900735883,0.72196085087186,0.67075370400481,0.717375593024162,0.722947782437782,0,0.709958026994096,0.671059286189212,0
"Phase 0 - rapid depolarisation",0.916084188258606,0.881594127341529,0,0.91898033380711,0.87994377366324,0.839428730781473,0.880441775472578,0.883219334831656,0.884589994255182,0.887673556417525,0.880236256564876,0.882522687216878,0.884347203110328,0.885436756772853,0.880528028112385,0.880528028112385,0.84053761959983,0.885289363172379,0.885967516533854,0.882074943693814,0.884985376084467,0.88626486826804,0.884209934587781,0,0.884144928700167,0.884144928700167,0.884144928700167,0.884144928700167,0.884144928700167,0.884144928700167,0.884694556101467,0,0.883948503118433,0.882401901213464,0.880460399506982,0.886434388605942,0.883731800234881,0.888080035800621,0.882211125238867,0.881651786291585,0,0,0.883916081776838,0.840600149501247,0.882909670800371,0.889413430727358,0.88152390538996,0.882279725284086,0.886434388605942,0.838264565863376,0.885386298224136,0,0,0.884464686261262,0,0,0,0.884015750150068,0,0,0,0.883569888695771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potassium Channels",0.94148790079356,0.922938720278921,0.923178202414328,0.92256050756032,0.942217989084869,0.922640377545587,0.923228968518389,0.923056337396966,0.923478242316684,0.925554394104412,0.923178202414328,0.923881013036726,0.923688878653466,0.924299931961507,0.942707998630513,0.942707998630513,0.923338256796704,0.924217269353641,0.900019141480705,0.920690392636852,0.92404678457436,0.924764360916193,0.923611894483087,0.924191126117895,0.945575134195225,0.945575134195225,0.945575134195225,0.945575134195225,0.945575134195225,0.945575134195225,0.922765096289502,0.924299931961507,0.903385383059953,0.943758921037225,0,0.92485943284043,0,0.925782359536712,0.921534658901466,0.902607028349717,0.901906622434812,0.901906622434812,0.921534658901466,0,0.922159547284795,0.926530166100934,0.921382369833766,0.922204010275617,0,0,0.924271633343299,0.922575985551711,0,0,0,0.924170685958719,0.921732351099181,0.90342309714651,0,0,0.924065586441575,0.922134350175443,0,0.898961655090481,0.926530166100934,0.926083120357637,0.900443767126732,0,0,0,0.898975630047319,0.898975630047319,0,0,0,0,0,0,0,0,0,0
"Heme degradation",0.675948466422479,0.681586981663119,0.682402564656982,0,0,0.234197170039418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685360617612745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685955490402689,0,0,0,0,0,0.61514741032234,0,0,0,0,0,0,0,0,0,0,0,0,0.624124693056186,0,0,0,0,0,0,0,0,0,0,0.683829321347601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684424472212905
"Activation of Matrix Metalloproteinases",0.741440505810189,0.702156726948898,0.745909844323886,0.696646256458222,0.738052671892979,0.702517595289654,0.657697427489482,0.700696608337707,0.701148500708268,0.707136289448109,0.657596224434899,0,0,0.748146030430553,0.739029513896347,0.739029513896347,0.69898763927311,0.701930410382452,0.700015875524933,0,0.705321290588555,0.704605725996147,0.745583971248051,0.74792912421067,0,0,0,0,0,0,0,0.748146030430553,0,0,0.657718249565378,0,0.699422474557876,0,0,0.745496896751116,0.696068423039562,0.696068423039562,0.658040107561379,0.74560747238032,0.748050989553485,0.708495645961717,0,0,0.705165012018371,0,0,0.705246078463349,0,0.702962841918016,0.698369836901089,0,0,0,0.746741517717264,0.699027031315121,0,0,0,0,0.664278418592033,0.66338722562781,0,0.74807812723063,0.700236330331046,0.699203664262376,0,0,0.743904967492176,0,0.703369390086267,0,0.70370183931418,0.748954341199389,0,0.745086696286254,0,0
"Regulation of Complement cascade",0.750479654048052,0.753588706698659,0.758932092948411,0.753899068031039,0.791282785549923,0.754519182813033,0.712087684902351,0.715751797130298,0.755622426160456,0.758869869184247,0.752420678348004,0.717429966144362,0.755366731490434,0.674558797478753,0.792202944591651,0.792202944591651,0.75470832008887,0.718061401374755,0.757073159072093,0.713427963847172,0.757160188800328,0.75738631404156,0.716795043900765,0.758883882666922,0.757849966934482,0.757849966934482,0.757849966934482,0.757849966934482,0.757849966934482,0.757849966934482,0.718925698065543,0.718216628444751,0.757002338089004,0.754744264461739,0.71348624704419,0,0.756514191231515,0,0.754543349391702,0,0.717159421016501,0.717159421016501,0,0.754774173242283,0.712895700560866,0.761823579515988,0.714655167688609,0,0,0.756778209592859,0,0.757989508939566,0,0,0.794585429806803,0,0.757480331770047,0,0.715709284386438,0,0.759188530388159,0,0.711599563816527,0.713978690846583,0,0,0,0.721917919959243,0,0,0.714004933565742,0.714004933565742,0.796449109136957,0,0.760232080099795,0.719806534256537,0.75635896416152,0.761839472523989,0,0.719100072014862,0,0
"Neurexins and neuroligins",0.918850243141865,0.892296405896343,0.861541222057564,0.921102886309028,0.891012748747716,0.920732683235036,0.892426163714905,0.892459527723473,0.893872855109001,0.895924053815963,0.892628540913267,0.893330476751718,0.893684010382677,0.894531473181779,0.891692337346082,0.891692337346082,0.891444055102283,0.862368402104208,0.894324299406224,0.892397604244328,0,0.894555581757557,0.893230023451211,0.894033353138005,0.895668734657257,0.895668734657257,0.895668734657257,0.895668734657257,0.895668734657257,0.895668734657257,0.894707942037875,0.894531473181779,0.894271994173705,0.893149849534811,0.892440649624934,0.864232858661972,0.893911470586332,0.864539007663396,0,0.892341253448959,0.891369868547932,0.891369868547932,0,0.861811835852272,0.894435157914158,0,0.893357299453395,0.892462205302666,0.866173583107067,0.893551054636169,0,0,0.895031176440094,0.893428171164086,0.893451935105346,0,0.859572794422635,0.894324299406224,0.864419997298048,0.893428171164086,0,0,0.892447276676582,0.862529039423551,0.868490703834293,0.867870701238846,0,0,0.893657410647996,0.893551054636169,0.862548421130324,0.862548421130324,0,0.898444871174481,0,0,0,0,0,0,0,0
"Chemokine receptors bind chemokines",0.905711714932604,0.908379690060609,0.876206876041279,0.875211502618189,0.906888202767923,0.874781361921225,0.87572983641085,0.875451653050331,0.876690370023357,0.879477102250422,0.875648030272352,0.876377127212395,0.876470950445547,0.877455621467119,0.907677819964229,0.907677819964229,0.875905947069672,0.877322416272971,0.837759857456055,0.875696653027344,0,0.878204017273575,0.876346895668829,0.877280288219148,0.87918044571624,0.87918044571624,0.87918044571624,0.87918044571624,0.87918044571624,0.87918044571624,0.877660661462963,0.877455621467119,0,0.875271753015745,0.838443774793836,0.878357219240619,0.837280189703974,0.879844453105334,0.872312125205952,0.835557183544859,0.874185572917161,0.874185572917161,0.836324283655944,0.87596245771621,0.878064096242201,0.881608338506387,0.876811727415165,0,0.845741990942561,0.836962857247787,0,0,0.838682617749682,0.843961896132512,0.836429304102809,0,0.875996462532696,0,0.878278798206795,0.83682007836225,0.876559904280546,0,0.835680372432872,0,0,0,0,0,0.837086432799335,0.836962857247787,0,0,0,0.842649005755152,0.840470626195078,0,0.837146984509826,0.83989207277267,0,0,0,0
