"","x"
"ENPEP",0.729407730142554
"SDHAF2",0.726698625510727
"TUB",0.725792361857456
"TNKS1BP1",0.723232825010363
"CNOT1",0.7208044598908
"A2M",0.720607934365269
"PLG",0.720427986140304
"GNAS",0.719607222887336
"FYN",0.719385744799766
"GPR65",0.719349872340179
"NTS",0.719304561102716
"GPRC6A",0.719260091615502
"GRM5",0.718893073106474
"TAS2R16",0.718699309154219
"TAS2R1",0.718699309154219
"GPR18",0.718687698427906
"GALR1",0.718687698427906
"GRM7",0.718619176740322
"AGTR1",0.717755405888808
"CHRM2",0.71760935488704
"MMP16",0.686590694932456
"RUNX1T1",0.684456053963184
"PPID",0.683914518257574
"PTPRM",0.683914518257574
"SLC25A3",0.683137918539451
"SOX9",0.682622836671195
"TES",0.682569186558035
"TFAP2B",0.681192895572098
"PAPPA",0.681069637234949
"CDH12",0.680952846956361
"CDKN2C",0.680736914972415
"HTT",0.680713189990852
"HS3ST2",0.680481617584008
"HIST1H1A",0.680202701075592
"UST",0.679746209342236
"EPHA8",0.679694900249448
"FCER1A",0.679570742999728
"RELN",0.6792350627213
"NRG1",0.679183705112335
"ITK",0.679183705112335
"VLDLR",0.679090418516009
"GRIA2",0.678897993776974
"EXOC4",0.678604747342357
"MEIS1",0.678527474807978
"MYSM1",0.678452736323097
"CDK13",0.6783342388174
"PRKCI",0.678310217614111
"MED7",0.678208863102603
"MED30",0.678143697287898
"ZNF830",0.6781117942438
"PTK2B",0.678018654866702
"TIAM1",0.677988426387784
"FGF10",0.677934590953293
"VAV3",0.677810156573929
"CAMK4",0.677792703111791
"ILK",0.677777328927209
"TRIM5",0.677744640657789
"TOPBP1",0.677492006900383
"EPHB1",0.677430620669903
"COPS2",0.677383853784068
"EZH2",0.677383853784068
"MAPK12",0.677369790438294
"EXO1",0.677238280507014
"LAMA2",0.677088685401737
"MAP3K1",0.676877515386811
"SPTAN1",0.676866482048415
"POLD3",0.676793297968983
"UTRN",0.676765810167148
"TGFBR2",0.676726973280323
"ITGA9",0.676633707903299
"COL6A5",0.676495543110217
"COL6A3",0.676468175926383
"FLT4",0.676468175926383
"COL9A3",0.676414391343889
"COL6A6",0.676361824161265
"COL4A3",0.676335979681202
"OAS2",0.676285136180525
"COL12A1",0.676276704146572
"POLE",0.676163699782573
"ANK2",0.676138939083524
"MET",0.67602839327862
"KRAS",0.675977349831806
"CASP3",0.67593547431172
"COL24A1",0.675908246487353
"COL5A1",0.675874466665737
"IRF6",0.675871394764927
"MAPK14",0.675827871671383
"APC",0.675650319992445
"AQR",0.675523175548746
"SPARC",0.675447232700218
"SCCPDH",0.675447232700218
"DMD",0.675392171397347
"LRP2",0.675278247397853
"AKT1",0.675195627870694
"RPS27L",0.674579125883959
"ACACB",0.674551561966327
"HLA-DRA",0.674442168712611
"ANAPC4",0.674340400989541
"EP300",0.673990984541616
"PIK3CA",0.673735405600375
"SERPINI1",0.638250297157058
"IREB2",0.638250297157058
"LPA",0.636208469689913
"ZNF429",0.635532629201193
"NPAS4",0.635423163119765
"GREB1",0.635358606975634
"EVI5",0.634991093495582
"CCDC129",0.634565648552578
"UNC5D",0.634329701345153
"RGS3",0.634241159481523
"DSPP",0.634110924805948
"AXL",0.633631482255959
"SH2D2A",0.633525714897116
"ACSL1",0.633214479587707
"DGKA",0.633117305549313
"AHNAK",0.633089303959298
"CD109",0.633057346430261
"MGA",0.63293933476388
"KAT8",0.632803782429326
"LIMK2",0.63256976986188
"RBPJ",0.632461350293261
"NSD1",0.632393798276565
"TP53BP2",0.631918755775199
"TGM2",0.631743238690535
"USP2",0.631617173603373
"ITGAX",0.631512100842949
"MSR1",0.631041562353902
"SETD2",0.631041562353902
"NOS3",0.630966120370034
"ADAMTS20",0.630838141988054
"TICAM1",0.630771475487457
"NAE1",0.630622031549146
"CFI",0.629830312164531
"PTPRK",0.629710243853001
"TNRC6B",0.629621663081369
"FLNC",0.629289225974429
"DHX9",0.629112820408583
"MAP2K4",0.629095230104711
"SIRT1",0.628858903648937
"TAF13",0.628732458295416
"KDM4C",0.628517043782951
"ERCC6L",0.628369608896286
"MTOR",0.628303731136107
"KIF15",0.628239651589315
"TAF5",0.628225412776153
"KIF5A",0.628096590112869
"CENPI",0.627924548163931
"NUP205",0.627834111565358
"NUP54",0.627798880990339
"NUP210",0.627662961016232
"TPR",0.627442296822139
"TIMM44",0.627437989377578
"OBSCN",0.627408776664118
"MYH2",0.627080774150241
"NEB",0.626959380827809
"SYNE1",0.626872368042714
"TTN",0.626764912456197
"RANBP2",0.626547211992621
"MUC16",0.62562275774338
"MYH8",0.625549223414653
"CDK1",0.625295014377119
"RPGRIP1L",0.625221107605641
"PIK3C2A",0.624946986116231
"GAPVD1",0.624317200849363
"SNAP91",0.624275057176634
"AAK1",0.624192968927738
"DAB2",0.624133226726425
"M6PR",0.6237193440128
"SGIP1",0.623670310758093
"SYNJ2",0.623544278957847
"LRRC41",0.623125630007985
"WSB1",0.623125630007985
"ASB15",0.623125630007985
"TRIP12",0.62307873198604
"UBA6",0.623023612019041
"UBE3A",0.622960829905962
"CPSF3",0.620932736426853
"ANKRD1",0.585399965297365
"ASXL2",0.584712670362461
"FOXK2",0.584712670362461
"REST",0.584524852558062
"LIG4",0.583708089022472
"HOXC4",0.583646877800579
"MIS18BP1",0.583311197522151
"DMAP1",0.583259839913185
"SYCP2",0.583112457045019
"RING1",0.582886402118926
"FKBP6",0.582720525062837
"IPO8",0.582565934309654
"TTF1",0.581782207731119
"BCR",0.581161784330528
