"","C1orf50","SMARCD3","ADCY8","RUSC2","ALDH5A1","LRRK2","MAPK6","MAMLD1","JAK3","SUPT16H","SYNE1","RPGRIP1L","HDAC7","HDAC9","APC","MFGE8","KRT2","COL11A1","ARFGEF2","ATR","MMP19","OR1L3","MAP3K5","MYO1G","ZNF554","STK4","MYCT1","CYP1A2","MUC5B","TEC","CCNB3","MUC4","GABRA5","ADAMTS6","ZNF433","IRF5","CDK5R1","LAMA5","UGT2B4","DUSP4","DUSP6","MYH6","SATB1","OPRM1","ST6GALNAC2"
"Neuronal System",0,0.888106254468354,0.897528970788091,0.880195598899944,0.879773538488352,0.888357164991514,0.888827800881167,0.88857457617618,0.89654719778851,0.888639213282945,0.888857288156617,0.888305873908149,0.88843727745316,0.888890184226409,0.889273423120148,0.888783509267358,0,0.888718550261596,0.888687843941439,0.88824242084862,0.880708758722712,0.898318679608416,0.888937356104942,0,0,0.887742854512879,0.879952225844119,0.888340981612015,0,0.888647184373258,0.888915889582714,0,0.899540120422533,0.879806083621155,0,0.888142714647166,0.889437758419519,0.889118506642997,0.880109750277327,0.888600289625055,0.888600289625055,0.889079657027714,0,0.896482756228378,0
"Cardiac conduction",0.895907696422751,0.910615543026791,0.928889713472229,0.890455481593298,0,0.912297572560392,0.89174625915588,0.911881431809048,0.910286323899048,0.910960530779016,0.890144971203821,0.909149227995705,0.911034216968067,0.911063552107319,0.91060108986625,0.895843120311169,0,0.888618403098737,0.911756334668523,0.910303670222702,0,0.91195557859433,0.911335609525853,0,0,0.893050348174648,0.874940295752892,0.891369687994704,0,0.912258068525035,0.892125255943874,0,0,0,0,0.910633213381691,0.911817143064269,0.911816294104927,0.891532016291979,0.911967511339587,0.911967511339587,0.911253939782168,0,0.910223138630309,0
"Protein-protein interactions at synapses",0,0.785692927391792,0.813157435456257,0,0,0.816654008387416,0.815133056167939,0,0.84215032897182,0,0,0.815459925756339,0,0.814162384180132,0.813941903548949,0.792476802235744,0,0.815997897554546,0.788631250707382,0.841063932061547,0,0.817433862823106,0.814346566259462,0,0,0.789630312829265,0,0,0,0.844746339642836,0,0,0.816776367823434,0,0,0.814249025559781,0.816981488363386,0.815958565699615,0,0.789597313009454,0.789597313009454,0.81514596917202,0,0.813656471531933,0
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",0,0.773217109128761,0.766760860584694,0.776864708981144,0,0.77891519495247,0.770523259023252,0.775975793712352,0.770471001899671,0.856336606271659,0.774375061526858,0.772668566812536,0.774575621175736,0.774710535684743,0.854683510513489,0.691754015270565,0,0.774380808585803,0.778034821380256,0.853315655231342,0,0.685061154689667,0.775296745317231,0,0.78748571810958,0.775482517463626,0.78512290750706,0,0,0.77518242169205,0.778559513104675,0,0,0,0.78748571810958,0.854831248974044,0.860276230518249,0.680886732008314,0.775067475666929,0.780763719544746,0.780763719544746,0,0.789931853048048,0,0
"G0 and Early G1",0,0.806779494506398,0.801078896821942,0.811786066554071,0,0.805995964838425,0.806430089328645,0.868674253685336,0.864690348430328,0.807036139252054,0.806875324427742,0.804612199019482,0.806734563165865,0.806832202938575,0.805839767599481,0,0,0.806593574200762,0.811008347989941,0.864748084345075,0,0.742992684780906,0.808284560242156,0,0.816041549185538,0.740440209807573,0.877064471902912,0,0,0.810771803539336,0.809617769021992,0,0,0,0.816041549185538,0.805946688269581,0.808859199800356,0.806502976305164,0.806348327453856,0.811212988227103,0.811212988227103,0,0,0,0
"Interaction between L1 and Ankyrins",0,0,0.849431359854783,0,0,0,0.796018419244489,0,0.850924528253917,0.855494501069576,0,0.85495031227331,0,0.854221329433866,0.854498450502314,0,0,0.796203071579435,0.856155236867209,0.853674267739168,0,0.857849657070481,0.854574542146492,0,0,0.798340777050098,0,0,0,0.85590299290396,0,0,0.855446461628129,0,0,0.854587468320378,0.857868268557767,0.855050611200947,0,0,0,0.795902119588643,0,0.799386165606639,0
"Complement cascade",0,0.836759108152619,0.869761629338048,0,0.837968513501808,0,0.80347769338827,0.839717567720835,0.837468941857812,0,0.873452210086089,0.800801307665865,0.83781729545086,0.836430899241789,0.802597115342088,0.84107965252565,0,0.805582865404363,0.839957893511077,0.797810979399639,0.846382457293928,0.840332203912797,0.804315412230618,0,0,0,0.844453237992294,0,0.839377199950587,0.805719280858929,0,0.839377199950587,0.803447693278462,0.839048508328845,0,0.837121417312521,0.802779514546573,0.839014903989831,0,0.767646685854433,0.767646685854433,0.837958434782001,0,0.870829351137559,0.841932170271385
"Defective homologous recombination repair (HRR) due to BRCA1 loss of function",0,0.787847436458904,0.785194344545609,0.719981420124153,0,0.70057151407587,0.785101483905905,0.793335369646162,0.70376176569681,0.880758240709693,0.870527437979289,0.791902614362354,0.792347914228332,0.788812550076326,0.787630698449603,0,0,0,0,0.865726317595696,0,0,0.708179212834989,0,0.720459958449899,0.708689761903656,0.719235830355748,0,0,0,0.797295139738794,0,0,0,0.720459958449899,0.789756716737747,0.789164585512252,0.707226178886865,0,0.711329999183035,0.711329999183035,0.701822015396238,0,0,0
"Defective homologous recombination repair (HRR) due to PALB2 loss of function",0,0.787847436458904,0.785194344545609,0.719981420124153,0,0.70057151407587,0.785101483905905,0.793335369646162,0.70376176569681,0.880758240709693,0.870527437979289,0.791902614362354,0.792347914228332,0.788812550076326,0.787630698449603,0,0,0,0,0.865726317595696,0,0,0.708179212834989,0,0.720459958449899,0.708689761903656,0.719235830355748,0,0,0,0.797295139738794,0,0,0,0.720459958449899,0.789756716737747,0.789164585512252,0.707226178886865,0,0.711329999183035,0.711329999183035,0.701822015396238,0,0,0
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function",0,0.787847436458904,0.785194344545609,0.719981420124153,0,0.70057151407587,0.785101483905905,0.793335369646162,0.70376176569681,0.880758240709693,0.870527437979289,0.791902614362354,0.792347914228332,0.788812550076326,0.787630698449603,0,0,0,0,0.865726317595696,0,0,0.708179212834989,0,0.720459958449899,0.708689761903656,0.719235830355748,0,0,0,0.797295139738794,0,0,0,0.720459958449899,0.789756716737747,0.789164585512252,0.707226178886865,0,0.711329999183035,0.711329999183035,0.701822015396238,0,0,0
