"","TBL1XR1","TP53","CAV1","PDGFRB","IFNG","GPC5","TBP","KRAS","ELANE","PSMA8","HIST1H2AA","APC","GRIN1","PAX3","GABBR1","FNBP1","HSD3B1","ALDH1A3","RBMS1","CHST5","GAD2","SMG8","NEB","REG3A","CEP164","ARHGEF11","LEO1","NOL6","MYO9B","PDLIM5","IFIH1","ARID2"
"Collagen formation",0.925991121734714,0.92540034990918,0.926463326129506,0.926051814610641,0.926148418858075,0.926295106437603,0.925859032258886,0.925888451376678,0.937597034678399,0.925903751571686,0.914296027378752,0.926115828655281,0.92645486459588,0.915498169212991,0.91399792843614,0.925863476794051,0,0,0.924971971893197,0.927100948240167,0,0.926148418858075,0.926491251970262,0.926845975784721,0.926111324908272,0.926524214565201,0.926289696974372,0.926106857275312,0.926231828221742,0.914578902662091,0.914737515241707,0
"Collagen biosynthesis and modifying enzymes",0.919700776948884,0.933866338947351,0.935273644965233,0.934728832554709,0.93485672980788,0.934881940927152,0.93447360223198,0.933344543805165,0.936375519624886,0.934488644066625,0,0.934813582663438,0.935262442487732,0,0,0.919700776948884,0,0,0.933299196476718,0.935326350957865,0,0.93485672980788,0,0.935880385297643,0.93480762001804,0,0,0.934801705185111,0,0.920362126263158,0,0
"Assembly of collagen fibrils and other multimeric structures",0.905272373313981,0.904323381161366,0.906030903504012,0.905369867914239,0.905525049100547,0.905760682141667,0.905060190080817,0.905107447771036,0.923915646116508,0.905132025390294,0.886485843069663,0.905472697506637,0.90601731123596,0.888416915469721,0.886006988891091,0.905067329603746,0,0,0.904663582834406,0.907055154074533,0,0.905525049100547,0.906075762453927,0.906800458702263,0.90546546286818,0.906128712243633,0.905751992597016,0.90545828624188,0.905659034555088,0.886940242572912,0.887195031455619,0
"Collagen chain trimerization",0,0.897919824258853,0.900754631892793,0.899657188720665,0.89991481862137,0.899965602653032,0.899143065382818,0.896868745933578,0.902974193706029,0.866287137564834,0,0.899827905147761,0,0,0,0,0,0,0.898589169341425,0.901011695553619,0,0.89991481862137,0,0.902279569930138,0.866840706372776,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.91365850723108,0.911670663237358,0.914423481959523,0.913357779273183,0.913607957946882,0.913987838801707,0.912858525520307,0.912934713017919,0.945121077253577,0.912974336353292,0.913547172035216,0.913523558203318,0.913943662927246,0,0.91225236535154,0.913200601264908,0,0,0.88624852177394,0.915677633212079,0,0,0.914826367886341,0,0,0,0.913515923799984,0,0,0.915271749459181,0,0.888200197578487
"Glucuronidation",0.760663094319418,0.711117915960739,0,0,0.659935115936244,0.67055141315548,0,0,0,0,0.714361227941498,0,0,0.722248035987142,0,0,0.851158493139031,0.712067358497907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.723593846782872,0.721018790063975,0.667503781191152,0,0,0,0.664116340533074,0,0.669240074116854,0.657573323774084,0.665606956594448,0,0,0.67548412803171,0,0,0.725127401080345,0.725404790840953,0,0,0.780145709514604,0,0.671080528169298,0,0,0,0,0,0,0,0.661288072801199,0
"Phase II - Conjugation of compounds",0.752579128202489,0.748563478205086,0.703498371940119,0,0.699483858392881,0.7046013473738,0.702058249429682,0,0.701951810544842,0.697445783511927,0.727505441968263,0.678341322238184,0,0.731704581779709,0,0,0.773802562160279,0.749860199933963,0,0,0.778599817650985,0.655008715142781,0,0,0,0.679528692313073,0,0,0.678831892005421,0,0.699025056548582,0.679934294939907
"Ethanol oxidation",0.803528890663337,0.71749464623525,0,0.717735239571094,0,0,0.72087384141556,0,0,0,0,0,0,0,0,0,0.80686526542345,0.882512544862972,0,0,0.801267620410015,0,0,0,0,0,0,0,0,0,0,0
"Collagen degradation",0.88558409354241,0.883835779325928,0.887848538028745,0.886295072958636,0.886659756125769,0.887213504977432,0.842486186746504,0.885678373143275,0.92987853363906,0.885736131717268,0.803059912032342,0.886536727390613,0.887816595552471,0,0.802455828192568,0.803222204330245,0,0,0.886195072358141,0.89025557557553,0,0.803148519100465,0,0.892049900051883,0,0.806383989349448,0.887193084134289,0.802991623207832,0,0,0.805394023806955,0
