"","OR52N5","OBSCN","ADCY1","HNRNPAB","USP12","PROS1","HECW1","MUC17","MUC16","DIAPH2","IL1RL1","RBCK1","F2RL3","SYNE1","SYNE2","COL18A1","PDGFA","LEO1","MR1","APC","ZNHIT1","PARP4","SNAI1","COL25A1","TP53","FARS2","ANK3","PLXNA4","MAP2K5","NRXN1","CHD4","CHD8","GNRHR","RPS6KA2","PER1","ADAMTSL1","BRS3","TRAM1","KCNJ5","GABBR2","ZNF287","COL4A4","E2F2","IRF5","UGT3A1","OR6C3","KCNG1","FARP2","RHOBTB1","CCR3","SETX","GIPR","SLC1A7","CMA1"
"Extracellular matrix organization",0.752075734101605,0.765344807943879,0.763608789332959,0.741146903082585,0.752597140485188,0.775741883186448,0.765001199184745,0.752049861838375,0.763914736609838,0.764969775789081,0,0.763596773981772,0.786879526969911,0.751530314699196,0.751525612991606,0.777464235410651,0.764800376064287,0.76378272208305,0.767503552279401,0.771701851182012,0,0.752988827676766,0.776649104508238,0.775793728465926,0.77419024425104,0,0.764660315691202,0.765738547078895,0.765446244092224,0.74517832746276,0.764200826934413,0.765020787612527,0.77553003393751,0.765237316229344,0.765020787612527,0.763559095994044,0.77553003393751,0.751712464968771,0.751673959982882,0.775283435557583,0,0.775454053779813,0.76430341048925,0.77559912936605,0.753364567269105,0.752075734101605,0,0.764667699684799,0.764495775778308,0.763747406633701,0,0.751406205947102,0,0.766069367153379
"Neuronal System",0.771991617177629,0.757481867151476,0.771949925041601,0.746269367030207,0.758462738559168,0.757355991256657,0.744646870226656,0,0.744531520701381,0.758290653346459,0,0.756889405102532,0.770369120294633,0.757266556664001,0.744146071742643,0.757681330654068,0.758128332032202,0.758435579623908,0.744604441179855,0.758227133964576,0,0.747248951228192,0.759428372302184,0.744727495737262,0.782256306530021,0,0.823132597544645,0.758262170093202,0.746004903724454,0.736237628603524,0.758371918632206,0.758091587947713,0.770418641509601,0.758117714080497,0.771151815245538,0.744820144891859,0.770418641509601,0.744897723747895,0.771993618759501,0.771008906480765,0,0.757836426011409,0.758743033724725,0.757763945360323,0,0.771991617177629,0.748589061977276,0.75854443074993,0.824160579368434,0.770127055812452,0,0.770610569135311,0.746950850759002,0.759216392424021
"Transmission across Chemical Synapses",0.706349198446202,0.685129676289392,0.70628822653403,0.668732157770626,0.686564133983769,0.68494559135793,0.666359366591575,0,0.666190675759345,0.686312471069014,0,0.684359064410771,0.703976407150968,0.684814799351381,0.665626982883486,0.685421378090257,0.686075087191403,0.686524415888872,0.666297316997538,0.686219578294929,0,0.670388528676249,0.687976307630344,0.666477275915002,0.721360608205384,0,0.781139402554676,0.686270816249151,0.66806458088476,0.686250154966916,0.686431316020058,0.686093221250988,0.70404882855839,0.686059559159487,0.705121045261398,0.66661276899967,0.70404882855839,0.667010871544127,0.706430017978428,0.70492944303449,0,0.685648194497543,0.686974046591863,0.685542196476975,0,0.706349198446202,0,0.686761969694383,0.78264275602716,0.703622404316063,0,0.704329509652063,0.670052183751189,0.687666301481832
"Neurotransmitter receptors and postsynaptic signal transmission",0.716533809196005,0.690441219382623,0.716458758244492,0.6706483298859,0.692180170598047,0.690187889893584,0.667382729049366,0,0.667175085775284,0.691897133597771,0,0.689465927863781,0.713613116075078,0.690026896672408,0.666481230437839,0.690773540658118,0.691578197889726,0.692131281188018,0.667233537881701,0.691756053469753,0,0.672269452262483,0.693918429611129,0.66745505115737,0.713193409840121,0,0.808593837859728,0.691819122792678,0.66940888111085,0.691793690608645,0.692016683605437,0.691600519289502,0.713702260327626,0.691559084276114,0.715022062855102,0.667694644670279,0.713702260327626,0.666437448626754,0.714833541605854,0.714786217710521,0,0.69105273129819,0.692684736228004,0.690922257248439,0,0.716533809196005,0,0.6924236886016,0.810444331054906,0.713177370357883,0,0.714047753562159,0,0.693536839866081
"Biological oxidations",0.827162329462669,0.854420279541404,0.849970025753648,0,0.852690671532942,0.852320466796104,0,0,0,0,0,0.851291545616848,0.850734151390179,0.852249142667483,0.852274753682551,0.853401515853811,0.852501608629357,0.877615873426149,0,0.852108624152329,0,0,0.853448447000812,0.852039873387954,0.875740334690885,0,0,0.851855384389139,0.824218682761745,0,0.852538685589501,0.852990212197457,0.850829526002223,0.853868835609758,0.854140212855412,0,0.850829526002223,0.822978619900752,0.826298810389868,0.850392484673228,0,0.877997044433936,0.878385926027653,0.852575401920323,0.882206263157509,0.827162329462669,0,0.825766440122751,0.852595484378585,0.850267951073953,0,0.850790906679182,0,0.854537861836381
"Surfactant metabolism",0.882819322284956,0,0.911699028765751,0.881926658353043,0,0.88568677443378,0,0,0,0,0,0.883881633019859,0.912270714177518,0.881631961478899,0.88166549473058,0.916439854679867,0.881078501919831,0.880698738023164,0,0.880173104293626,0,0,0.883202245747007,0,0.914535055442344,0,0,0.883992386585301,0.885597356959239,0.883111339353993,0.911681202474977,0,0.912395590948749,0.918447192351495,0.880701608617751,0,0.912395590948749,0,0.881688691487128,0.911432004219413,0,0.880282458885648,0.91799900561789,0.885271986307506,0,0.882819322284956,0,0,0.879275468061675,0.911660304457473,0,0.913308378095916,0,0.886086476841911
"Collagen biosynthesis and modifying enzymes",0,0,0.843022515423613,0,0,0.885484817676413,0,0,0,0,0,0,0.844108275245549,0,0,0.918942496053752,0.886916272529858,0,0,0.884974349626838,0,0,0.850694626951676,0.919490195727908,0.882626990021034,0,0.88544592398226,0,0,0,0.845578726622356,0.849691121611804,0.844243794742395,0,0.887258146814024,0.88208287692433,0.844243794742395,0,0,0,0,0.918433758690603,0.848819132999278,0.885034678890661,0,0,0,0,0,0.84344584285468,0,0,0,0
"Phase II - Conjugation of compounds",0,0.687342804311092,0,0,0,0,0,0,0,0,0,0.716733568768204,0,0,0,0,0,0,0,0.685016257241314,0,0,0,0,0.762160342272044,0,0,0,0,0,0.720993383784629,0,0,0.722750922995108,0.723229644903547,0,0,0,0,0,0,0.769144858659259,0.728350019149883,0.725951991970539,0.780163503254258,0,0,0,0.684123781947051,0,0,0,0,0
"ECM proteoglycans",0.764475268030422,0.811475421499421,0.808529390187596,0,0.766400359320465,0.812056869935778,0.813344292386076,0.717916248664807,0.764258054744517,0.767602153494589,0,0.809540213886016,0.810669478804214,0.761666913966876,0,0.855742652807548,0.813895820992981,0.812133903086071,0.817582783787407,0.815841156913196,0,0.768612235798564,0.765908403009203,0.856471285459192,0.851803819295913,0,0.812006904266369,0.813283609891926,0.76417256031419,0.760370332294213,0.81191009467473,0.814335017573147,0.810843577010243,0.813094399046493,0.765663906707299,0.810904162223313,0.810843577010243,0.762908108023225,0.764336262077241,0.758266063422754,0,0.85550058611093,0.811351900731922,0.854896911600961,0.769358160262426,0.764475268030422,0,0.814901892630787,0.811301246699944,0.758050417974471,0,0.759987107574406,0,0.816811260316033
"Collagen chain trimerization",0,0,0.747131294614391,0,0,0.81999135047956,0,0,0,0,0,0,0.749168399629143,0,0,0.884880707690975,0.822677049288295,0,0,0.750236875772056,0,0,0.756404520151214,0.885944840331625,0.808687309229254,0,0.821006768634168,0,0,0,0,0.754521741180317,0.74942266161328,0,0,0.820035316016778,0.74942266161328,0,0,0,0,0.884453411921921,0.75288571418844,0.820235189670329,0,0,0,0,0,0.747925542490657,0,0,0,0
