"","FN1","KRAS","ERBB2","A2M","F2RL3","GNAS","CXCR5","ICAM1","GRM4","PCM1","APC","ATM","TRAF2","MAML3","GRIN2C","ATP1B3","OR8J3","PRKCH","ANK3","CACNA2D3","DLC1","CBX6","RYR1","MCF2L","LPXN","KCNB1","ROR1","PLCH2","NEFH","DLGAP2","EVC2","ATR","CPSF2","TAOK2","SALL4","GOLGB1","ENPP6"
"Potassium Channels",0.941900557639771,0.941818335957718,0.942205112265245,0.942115283015842,0.955897419174395,0.956040924819175,0.955658565092387,0.942372344686736,0.955724282905495,0.94157004551358,0.942127480602564,0.940392646887756,0.94188250405866,0.942798653406929,0.942729519372369,0.941704776774491,0.957737454388117,0.943731513126678,0.942322906427441,0.941386855522127,0.943280732985051,0.941360285090375,0.943261831248999,0.943343647117485,0.943624296050942,0.918685871014888,0.943675780061624,0.941897339741401,0.942899944246727,0.942087152688342,0.943792284172799,0.926486649439672,0.927800200852892,0.944225639003028,0,0.927822053682065,0
"Defective B3GALTL causes PpS",0.915851066499157,0.888964930058665,0.889703061823456,0.916260852770186,0.889104515652327,0,0.888648681668579,0.859739857295866,0.888774098878536,0,0,0,0,0,0.891162637823621,0,0,0,0,0,0,0,0,0,0.891952674177972,0,0,0,0,0,0,0,0,0,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.915851066499157,0.888964930058665,0.889703061823456,0.916260852770186,0.889104515652327,0,0.888648681668579,0.859673206854519,0.888774098878536,0,0,0,0,0,0.891162637823621,0,0,0,0,0,0,0,0,0,0.891952674177972,0,0,0,0,0,0,0,0,0,0,0,0
"GABA B receptor activation",0.908359633105641,0.908209424944407,0.908605307507114,0.908312726490768,0.936001429800222,0.934192217651713,0.933493696895927,0.909221525772488,0.933613754666829,0.907058715916703,0.908017961562261,0.906351868508109,0.908326651595719,0.910000335538697,0.908927029240857,0.907807242404821,0.937291553260794,0.911265365588069,0.909131208597775,0.908168156464283,0.910124801455143,0.907239530501098,0.909927850148048,0.910239737271491,0.91106949414155,0.91084650032447,0.909180860820507,0.908220658466339,0.910052284570634,0.908700517631968,0.911059337959002,0.906676434882329,0.906237883920493,0.912607249884667,0.909051132818828,0.877490342639464,0.878801068733955
"Activation of GABAB receptors",0.908359633105641,0.908209424944407,0.908605307507114,0.908312726490768,0.936001429800222,0.934192217651713,0.933493696895927,0.909221525772488,0.933613754666829,0.907058715916703,0.908017961562261,0.906351868508109,0.908326651595719,0.910000335538697,0.908927029240857,0.907807242404821,0.937291553260794,0.911265365588069,0.909131208597775,0.908168156464283,0.910124801455143,0.907239530501098,0.909927850148048,0.910239737271491,0.91106949414155,0.91084650032447,0.909180860820507,0.908220658466339,0.910052284570634,0.908700517631968,0.911059337959002,0.906676434882329,0.906237883920493,0.912607249884667,0.909051132818828,0.877490342639464,0.878801068733955
"Biological oxidations",0.920542686905502,0.92019036211351,0.920516098691502,0.9209821613656,0.920176201368454,0.931235129210936,0.919821821335419,0.920600017630665,0.919870415632413,0.92008997968804,0.920774666853509,0.931481030920043,0.929729590790528,0.921455713063445,0,0.921727946054376,0.909912686345143,0.909452617550087,0,0,0.92184394022367,0.920763686878142,0.921495583503042,0.921890461370555,0,0,0.932713226931708,0,0,0,0,0.920247793155585,0.9207146618861,0,0.921248709420394,0,0.932179018836865
"Erythrocytes take up carbon dioxide and release oxygen",0.699918986116379,0.787105960477479,0,0.788945251058515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79486543997863
"O2/CO2 exchange in erythrocytes",0.699918986116379,0.787105960477479,0,0.788945251058515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79486543997863
"ADP signalling through P2Y purinoceptor 12",0.868801711643849,0.8685462427623,0.869219546227896,0.868721934484339,0.912291001477478,0.912736884189339,0.911548864079413,0.870267589088907,0.911753054212638,0.869834241462062,0.868220608417982,0.863785339361944,0.868745617824563,0.871592161990138,0.870064846699566,0.867967040890118,0.918008127742941,0.873743681649169,0.870113980740204,0.867205600956668,0.871803849345904,0.866896679605288,0.86997206249157,0.871999328234743,0.873410550220365,0.874317459744387,0.870198427535268,0.868565348350576,0.87168051511941,0.869381476338152,0.873393276933913,0,0,0.876025912372227,0,0.819791161374798,0.822013830075209
"GABA receptor activation",0.865185233199507,0.865046945901095,0.86383437768531,0.863565016566815,0.886819336302677,0.888967684822218,0.886417611539935,0.865978724095345,0.888435129981296,0.863987559770593,0.86464136354117,0.863336809387117,0.865154869177558,0.866695725739339,0.865707599481232,0.864676681486627,0.889914061347595,0.867860360114068,0.88922503181668,0.865008952581832,0.865003967173206,0.864154024496505,0.866628992954884,0.865109781420601,0.867680033473008,0.867474736954676,0.865941286406853,0.865057287905066,0.866743551977428,0.865499064351087,0.867670683308311,0.863635617432416,0.863231870876768,0.869095749407393,0.865821853915746,0.864649976789006,0.837972504022038
