"","PNISR","HBS1L","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","MYO6","HTR1B","PHIP","ELOVL4","TTK","BCKDHB","IBTK","TPBG","UBE3D","DOPEY1","PGM3","ME1","SNAP91","CYB5R4","NT5E","SYNCRIP","HTR1E","CGA","RARS2","COL9A1","ORC3","CNR1","RNGTT","SRSF12","GABRR1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"SARS-CoV-2 modulates host translation machinery",-0.0187956330885247,0.686836685248632,0.686647997243472,-0.0187956330885247,0,0.655601195960162,0,0.890275220798672,0,0,0.684147814221659,0.686212610077203,0,0,0.658018109112494,0.656151964094749,0.661796693444715,0,0.688213925253366,0,0.71066435190938,-0.0187956330885247,0.684152835351329,0.661853080343979,0,-0.0187956330885247,0.683276190423015,0,0.657177912779921,0.685396873113835,0.656151964094749,0.656740219795693,0,0,0.685960063301156,0.656158102874475,0.683580490902148,-0.0187956330885247,0,0.686338969902208,0,0.684137829636122,0.686850697033798,0,0.687225963932836,-0.0187956330885247,0.683159738794016,0.658018109112494,0,0.684142812367013,0.65861602360287,0.689446000537461,-0.0187956330885247,0,0.684152835351329,0,0.708894267906837
"Response of EIF2AK4 (GCN2) to amino acid deficiency",0,0.924979324744549,0.925989475200195,0.925637229777023,0,0.910233407879576,0,0.925126307807654,0.9124112279607,0,0.924714512095498,0.927272344673983,0,0,0.911860698412917,0.910520931632599,0.91201019538587,0,0.926987375764499,0.926346622510054,0.938707427313875,0,0.924717133332924,0.912039631680165,0,0.92608913896819,0.924229252539139,0,0.925744001915151,0.926582066403569,0.910520931632599,0.911043401835378,0.927009893612944,0.912151002011513,0.925660581092647,0.910524136329594,0.924198082097795,0,0,0.926008571499215,0,0.924709299728758,0.926275714233442,0,0.925411422716907,0.926405760871951,0.925541379587488,0.925142536763516,0,0.924711900920433,0.910349754135504,0.927630570037087,0.911821700685672,0,0.924717133332924,0,0.937783370231379
"Peptide chain elongation",0,0.932991051577515,0.932811649733368,0.91567980766742,0,0.914650677599207,0,0.931758223740803,0,0,0.931299763218695,0.932622432909706,0,0,0.916055385717899,0.914970783627604,0.918251496109169,0,0.933830188460157,0.931876584413669,0.946878359662081,0,0.931302681495509,0.918284268132901,0,0.915951312321375,0.93085195812807,0,0.915567064237038,0.931937389340045,0.914970783627604,0.915312677401563,0,0,0.932353041029942,0.914974351481794,0.932657961246695,0,0,0.932740465810663,0,0.931293960185039,0.933037881237281,0,0.932075647954548,0.916303813911419,0.930784276528286,0.916055385717899,0,0.931296856144511,0.916402893173062,0.934546269694909,0.916959630628177,0,0.931302681495509,0,0.924401816485771
"Viral mRNA Translation",0,0.931089498318634,0.932335447192141,0.914797707022464,0,0.913744153417452,0,0.931257021066657,0,0,0.930787680260533,0.932141739833999,0,0,0.915182198372264,0.914071856271172,0.917430427329121,0,0.933378158099731,0.931378190700547,0.946735991315591,0,0.930790667794522,0.917463977105591,0,0.91507565508344,0.930329247762888,0,0.91468228794067,0.931443546078512,0.914071856271172,0.914421863941934,0,0,0.931865954688028,0.914075508798448,0.930199083380398,0,0,0.932262573917225,0,0.930781739508031,0.932567047670911,0,0.931581978460324,0.915436522317267,0.930259959928776,0.915182198372264,0,0.930784704195038,0.915537952949323,0.93411123352883,0.916107224549679,0,0.930790667794522,0,0.945682804788388
"Eukaryotic Translation Elongation",0,0.932759436559238,0.932811649733368,0.91567980766742,0,0.914650677599207,0,0.931758223740803,0.918635858126601,0,0.931299763218695,0.932622432909706,0,0,0.916055385717899,0.914970783627604,0.918251496109169,0,0.933830188460157,0.931876584413669,0.946878359662081,0,0.931302681495509,0.918284268132901,0,0.915951312321375,0.93085195812807,0,0.915567064237038,0.931937389340045,0.914970783627604,0.915312677401563,0,0.918346143297116,0.932353041029942,0.914974351481794,0.93252660087963,0,0,0.932740465810663,0,0.931293960185039,0.933037881237281,0,0.932075647954548,0.916303813911419,0.930784276528286,0.916055385717899,0,0.931296856144511,0.916402893173062,0.934546269694909,0.916959630628177,0,0.931302681495509,0,0.924386639769532
"Eukaryotic Translation Termination",0,0.9157265366678,0.91693961200919,0.899863272846186,0,0.898837516552129,0,0.915889639439569,0.91688001887667,0,0.915432681878367,0.916751015490823,0,0,0.900237619647517,0.89915657318407,0.902426530579059,0,0.917954811683181,0.91600761209328,0.930960207356392,0,0.915435590588259,0.902459195166996,0,0.900133887432488,0.914986344817186,0,0.899750899020078,0.916065204358389,0.89915657318407,0.899497346135294,0,0.916591253812852,0.916482506752451,0.899160129341844,0.914836014180482,0,0,0.91686866144715,0,0.915426897868667,0.917165101863407,0,0.91620602304859,0.900485233424429,0.914918885096481,0.900237619647517,0,0.915429784334379,0.900583987876738,0.918668545404787,0.901139560224773,0,0.915435590588259,0,0.929934808455043
"SARS-CoV-1 modulates host translation machinery",0,0.883243465714277,0.883000820772334,0.845352971031367,0,0.843075923116519,0,0.87923197178816,0,0,0.879785689192245,0.882440930950022,0,0,0.846183973101099,0.843784188074471,0.851043075698212,0,0.885014539189278,0,0.913884855921479,0,0.879792146156567,0.851115586909971,0,0.845953700837303,0.878664817169465,0,0.845103515495091,0.881391927077468,0.843784188074471,0.844540660486599,0,0,0.882116166279579,0.843792082290369,0.879538197973863,0,0,0.882603424439611,0,0.879772849429717,0.883261484288352,0,0.883744061942681,0.846733644048937,0.878515065208637,0.846183973101099,0,0.879779257014804,0.846952866315488,0.886598936859521,0,0,0.879792146156567,0,0.911608601372778
"Selenoamino acid metabolism",0,0.921264082262815,0.922372971202845,0.909329697481726,0,0.905826802667379,0,0.921413176761343,0,0,0.920995465537324,0.922200572518106,0,0,0.907106656262952,0.906118456745515,0.909107570006628,0,0.923300979259728,0.921911464562646,0.935189391240994,0,0.920998124429249,0.909137429158041,0.898811701070105,0.909577070016244,0.920587462659198,0,0.910074325915237,0.921579183189924,0.906118456745515,0.90642996201133,0.910105967731717,0,0.921955124968294,0.906121707478499,0.920471616939363,0,0,0.922308114313213,0,0.920990178294095,0.922579094595929,0,0.921702387392275,0.907333003439627,0.921212060473772,0.907106656262952,0,0.920992816852308,0.907423276249738,0.92395341312184,0.907927411647224,0,0.920998124429249,0,0.934252059929382
"Selenocysteine synthesis",0,0.931089498318634,0.932335447192141,0.914797707022464,0,0.913744153417452,0,0.931257021066657,0,0,0.930787680260533,0.932141739833999,0,0,0.915182198372264,0.914071856271172,0.917430427329121,0,0.933378158099731,0.931378190700547,0.946735991315591,0,0.930790667794522,0.917463977105591,0,0.91507565508344,0.930329247762888,0,0.91468228794067,0.931443546078512,0.914071856271172,0.914421863941934,0,0,0.931865954688028,0.914075508798448,0.930199083380398,0,0,0.932262573917225,0,0.930781739508031,0.932567047670911,0,0.931581978460324,0.915436522317267,0.930259959928776,0.915182198372264,0,0.930784704195038,0.915537952949323,0.93411123352883,0.916104400054991,0,0.930790667794522,0,0.945682804788388
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",0.916428415747648,0.931089498318634,0.932158238118939,0.914402554129324,0,0.913741442833972,0,0.930951370545402,0.916858899927646,0,0.930787680260533,0.932141739833999,0,0,0.915179487788784,0.914069145687692,0.917427716745641,0,0.933378158099731,0.931378190700547,0.946735991315591,0.916202487250614,0.930790667794522,0.917461266522111,0,0.916561680999873,0.930152038689687,0,0.91467957735719,0.931431190595389,0.914069145687692,0.914419153358454,0,0.916562309523327,0.931865954688028,0.914072798214968,0.928963897045954,0.917068824212451,0,0.932262573917225,0,0.930781739508031,0.932158763233434,0,0.931581978460324,0.915091900664129,0.930082750855575,0.915179487788784,0,0.930784704195038,0.915535242365843,0.93411123352883,0.916095987607005,0,0.930790667794522,0,0.945682804788388
"Influenza Viral RNA Transcription and Replication",0.875517474035289,0.874466072102812,0.875013281202382,0.920794439707891,0,0.919554695097913,0,0.873752933990472,0.861636626893295,0,0.873617597954079,0.875378366926073,0,0,0.861798499685338,0.919838813917264,0.922659014242551,0,0.875557222032972,0.87471636879011,0.888031602786494,0.875273114218484,0.873620188150105,0.862635858288721,0,0.920709108851133,0.873273903571854,0,0.920368059003972,0.87469897966066,0.919838813917264,0.92014227104329,0,0.86137948260984,0.87407736313203,0.919841980663374,0.933780376589265,0.876072709044251,0,0.875465879987533,0.863080896588986,0.873612447313589,0.875747109398444,0,0.874893053054676,0.874268391054603,0.873670308223341,0.860657553027194,0,0.873615017701251,0.860221003931496,0.876021963858104,0.861411002275191,0,0.873620188150105,0,0.887118488636684
"Nervous system development",0.887905840524002,0.887358399832931,0.886964642730737,0.887513487818652,0.887517602631399,0.891042890192511,0.888192028422423,0.887546395012475,0.891378259540377,0.883656842356601,0.887096118964655,0.887640408988693,0.884382904779753,0.883812300354565,0.887525381944468,0.891130717182578,0.883728378887744,0,0.88782631435061,0.891522558239099,0.891551785302192,0.887930095454458,0.887096919647698,0.883808408178666,0,0.887587980125672,0.891250994449603,0.888162280700567,0.887482554580094,0.887729430402592,0.891130717182578,0.887458634512104,0.883568258864145,0.891292128371243,0.887566496360221,0.891131696089149,0.887468765632111,0.888077475122964,0,0.887633838819583,0.887743762476111,0.887070871657759,0.887451070809669,0.887652609839971,0.887490388456226,0.891496458615447,0.892213502429825,0.89170329045703,0.884359435551304,0.887095321355261,0.887646090797058,0.88802278443837,0.887341392564663,0,0.887096919647698,0,0.891269522875689
"Nonsense-Mediated Decay (NMD)",0.935046947190486,0.933094792245258,0.933955364999916,0.933171353287062,0,0.93265513227217,0,0.933512295714974,0.919820137158868,0,0.932588095899253,0.934068984042616,0,0,0.933986510647525,0.932958527859023,0.920432710249851,0,0.934835691277426,0.933362070951061,0.947580711031444,0.934786008157331,0.932590861833749,0.9204637714811,0,0.933660604619791,0.933146756354087,0,0.917888413326445,0.934437543950423,0.932958527859023,0.917647306204461,0,0.919545546264246,0.933586389624814,0.932961909461117,0.933643472151529,0.935639853537803,0,0.934162434651413,0,0.932582595800393,0.934084744736191,0,0.933550742811158,0.93354834696849,0.93319915214158,0.91892565623079,0,0.932585340582577,0.918680609624104,0.935514391043063,0.93309707939084,0,0.932590861833749,0,0.946605644318235
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",0.935046947190486,0.933094792245258,0.933955364999916,0.933171353287062,0,0.93265513227217,0,0.933512295714974,0.919820137158868,0,0.932588095899253,0.934068984042616,0,0,0.933986510647525,0.932958527859023,0.920432710249851,0,0.934835691277426,0.933362070951061,0.947580711031444,0.934786008157331,0.932590861833749,0.9204637714811,0,0.933660604619791,0.933146756354087,0,0.917888413326445,0.934437543950423,0.932958527859023,0.917647306204461,0,0.919545546264246,0.933586389624814,0.932961909461117,0.933643472151529,0.935639853537803,0,0.934162434651413,0,0.932582595800393,0.934084744736191,0,0.933550742811158,0.93354834696849,0.93319915214158,0.91892565623079,0,0.932585340582577,0.918680609624104,0.935514391043063,0.93309707939084,0,0.932590861833749,0,0.946605644318235
