"","PLA2G4D","AR","TP53","NRAS","CASP9","IRF5","NTSR2","FFAR1","OCRL","SPTBN2","HLA-A","SMPD1","TIAM1","CACNA1B","LAMC3","APC","GNAT1","OPRK1","NPW","CACNA1E","SRGAP1","SPHK1","FLNC","TBP","MOCS1","OBSCN","OR2T33","OR2T12","OR5F1","LHCGR","INSL3","TAAR5","CNGA2","SEC31A","HLA-C","HLA-B","MYH14","OBSL1","VCAN","RGS11","GRIN3B","TRPC6","GRIK4","KCNIP3","KIF26B","KIF19","F13B","EMD","COL6A1","GCFC2","NEFM","NEFH","EPN3","CDC25A","DLAT","SMAD9","TNR","TNXB","LAMA4","KCNN3","KLHL25","TGIF1"
"Adrenaline,noradrenaline inhibits insulin secretion",0.85082266984805,0.901297127108565,0.846801758687448,0.848449733124118,0.848284972658539,0.849501876136229,0.899561385344741,0.899561385344741,0.848916058215961,0.849863503272488,0.849460796240985,0.851312466577839,0.851465364393203,0.901467636195914,0.851913164838511,0.849412744291569,0.902193653553272,0.898822203125985,0.898822203125985,0.902102263863162,0.853221700722885,0.851403856267949,0.849886082596272,0.848168009915977,0.901845904551413,0.853221700722885,0.90592109608334,0.90592109608334,0.90592109608334,0.900202541576892,0.900360511650829,0.900360511650829,0.852419421521347,0.84997100196221,0.849122074017298,0.849006445700066,0.851663069915507,0.851311793649494,0,0.904538310584026,0.852018219746033,0.850266992525103,0.852280442625298,0.855530918408399,0.851499901071233,0.851499901071233,0.850930115941132,0.851098759196919,0.79404470231913,0.84893200353697,0.852890424276534,0.852890424276534,0.8548522777407,0,0,0.850775788273066,0,0,0,0.800150384308568,0,0
"Interaction between L1 and Ankyrins",0.853009469043814,0.850425508864878,0.845402561041356,0.898065565137053,0.796548905847581,0.851735243987699,0.799274119873664,0.799274119873664,0.846960073306961,0.794973540205027,0.850868773126358,0.850872242652531,0.900974871025386,0.849486576354276,0.852407836541251,0.800576120680877,0.852743324579574,0.798560999803706,0.798560999803706,0.850098828265892,0.797578802821146,0.850960410117266,0.852284071830283,0.799375273254521,0,0.797578802821146,0.854886445552892,0.854886445552892,0.854886445552892,0.799892670165492,0.800045070517285,0.800045070517285,0.852232597004295,0.852187829335877,0.8513688329638,0.851257281479495,0.796672027632797,0,0.80254230578166,0.804075568264547,0.853336026778513,0,0.80278820313806,0,0.852835983027112,0.852835983027112,0,0,0.851723887360939,0,0,0,0,0.794255850684889,0,0.796893661280803,0.85262424323443,0.85262424323443,0.853349914735617,0.853437062645912,0,0.798955595290466
"Phase II - Conjugation of compounds",0.760741579463961,0.727563985812428,0.725190736039682,0.696061969876779,0.728420586292595,0.72704099941866,0,0,0.673759245656868,0,0.696482802742497,0.696738873807829,0.675085266399012,0,0,0.675004484200812,0,0,0,0,0.676444622349474,0,0,0.700095789134222,0.701939408695238,0.676444622349474,0,0,0,0,0,0,0,0,0,0,0,0.727860216288041,0,0,0,0,0,0,0,0,0,0,0,-0.0210258521060839,0,0,0,0.70081336799107,0.728130728665874,0,0,0,0,0,0.616998440405168,0
"Activation of Matrix Metalloproteinases",0.814912516649877,0.855109360770446,0.851809595887351,0.853001436933845,0.815875474511269,0.853314898151968,0.853854045011775,0.853854045011775,0.81257865206757,0.854023897753407,0.853732653690892,0.815266745352708,0.855182388924125,0,0.854438942563755,0.853250436599257,0,0.852699619275041,0.852699619275041,0,0,0.816958582276623,0.81399299154313,0.853417527800032,0,0.816312398009488,0,0,0,0,0,0,0,0.853654177331871,0.853040219282676,0.85295659506403,0,0,0.85472438106347,0,0,0,0,0,0,0,0.817549750340626,0,0.853926222216253,0,0,0,0,0.854415248958533,0.815757158664139,0.815632636847316,0.855937727366947,0.855937727366947,0.855145168513127,0,0.812773279705646,0.817178359179311
"The canonical retinoid cycle in rods (twilight vision)",0.748233251981271,0.757931291062657,0.815649471502273,0.817743036440254,0.823537891654031,0,0.755726227672551,0.755726227672551,0.818335449672073,0.819539071346579,0,0,0,0.821662387185265,0.822142934303351,0,0.758651022575812,0.754787180353898,0.754787180353898,0.822468609783905,0.824894075601529,0,0,0.75495944997848,0.757624823007303,0,0,0,0,0,0,0,0.825278388805472,0,0,0,0,0,0.822644330052986,0,0,0,0,0,0,0,0,0,0.821242299654397,0.754926389710665,0,0,0,0,0,0,0.824775670709577,0.824775670709577,0.823383477151113,0.828234525950906,0,0.825080042292729
"Cytosolic sulfonation of small molecules",0.790517359401114,0.70038598253831,0.692422671479988,0,0.791345410512608,0.698631130023136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696303087944469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69871088492883,0.702287657483739,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0.767753669962844,0.66652351339625,0,0.761604170374032,0,0,0.763848670306944,0.763848670306944,0,0.764295809475652,0,0,0,0.675398424321788,0,0,0.668230386070704,0.661811571944714,0.661811571944714,0.676606674931766,0,0,0,0,0,0,0.675326964021895,0.675326964021895,0.675326964021895,0.765069350476699,0.66474031632413,0.66474031632413,0,0,0,0,0,0,0,0,0,0.774315960974191,0,0,0,0,0,0,0,0.67384304033535,0,0,0,0,0,0,0,0,0,0.685247801759041,0,0
"Ethanol oxidation",0.798672116974443,0.712342181612736,0.704938222963373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708546074375293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801291966202714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795138118712692,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.758069573077142,0.76000216602682,0.754646786676297,0.815189580996698,0.69224408907676,0.756519293222493,0.755662118568011,0.755662118568011,0.757128442923152,0.872896756761718,0.692259813498088,0.758644471334354,0.760120687642775,0.818810787367371,0.760646292817187,0.758717397721403,0.759322275455655,0.755365040020939,0.755365040020939,0.819555680743931,0.763188155243833,0.758751739861023,0.820400954299168,0.757256392411036,0.757872659886928,0.763188155243833,0.763126820550768,0.763126820550768,0.763126820550768,0.756414674838904,0.756600092002137,0.756600092002137,0.760368089222706,0.75584719188796,0.69286820892116,0.692732490338291,0.762084931523309,0,0.69486384112579,0.762074313513003,0.818356033405394,0.694385764952443,0.763099353495816,0.763099353495816,0,0,0,0,0.694306154345482,0,0,0,0,0.756572928924016,0,0.762084931523309,0,0,0,0.761962491093843,0,0.764593573730157
"GABA receptor activation",0.781440838974106,0.821650359298944,0.778088874370309,0.780060294992823,0.779930631108912,0.780401395185716,0.820284357948007,0.820284357948007,0.781588695984235,0.823882853740462,0.780855985695384,0.782313221002127,0.783594959677742,0.821784547257384,0.782403423867373,0.820406400597745,0.822355911449699,0.81970263321772,0.81970263321772,0.782313221002127,0.784107711710886,0.781898223506341,0.780982192814924,0.777940809452055,0.822082238478162,0.784107711710886,0.825289349843436,0.825289349843436,0.825289349843436,0.820788937775222,0.820913257728169,0.820913257728169,0.782156060147435,0.780770589800609,0.780102496917343,0.780011499258108,0.783052274163507,0.782218042292106,0.737096263700629,0.82420111949749,0.779891118806285,0.781390944153165,0.783075002861654,0.785250538782058,0.782460728987776,0.782460728987776,0.78201231709052,0.78158637629748,0,0.778542060363991,0.783455543502698,0.783455543502698,0.784424505701931,0,0,0,0,0,0,0,0,0
