"","GRM1","IL22RA2","PCMT1","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","ARID1B","MYCT1","VIP","FBXO5","ADAT2","MTRF1L","PEX3","SNX9","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","PEX7","HECA","SCAF8","KATNA1","IL20RA","CITED2","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","IGF2R","LPA","PLG","MAP3K4","EPM2A","AGPAT4","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","AHI1","THBS2","PHF10","TCTE3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","FIG4","WASF1","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","FYN","TUBE1","LAMA4","KHDRBS2","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","TRAPPC3L","RWDD1","HTR1E","KPNA5","GPRC6A","COL9A1","GOPC","NUS1","PLN","MCM9","ASF1A","MAN1A1","SMAP1","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","EPHA7","HEY2","NCOA7","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Response of EIF2AK4 (GCN2) to amino acid deficiency",0.89405662826464,0.895231437236701,0.873622403959188,0.895684943781582,0,0,0.895898472757142,0,0.894498656322139,0.874826298725175,0,0.897686296920447,0,0.877905722347736,0,0,0,0.896532914146996,0,0,0,0.89658918624859,0.89816411338415,0.871724852972635,0.895306723161562,0,0.895277684521564,0,0.894209936158981,0,0,0.893943511986495,0.894432308694274,0,0.894152113099902,0.895530173602915,0.87671236226584,0.874502620680929,0,0.874653735922073,0,0.875534739837904,0,0.877034474124514,0.895246260857499,0.896502515339903,0.871440566573951,0.875027621995463,0.913321390163294,0.895757271871406,0.875775194341351,0.873579269324839,0.893002138171595,0.874954527173646,0.89169672956488,0.878412840190178,0.875576374837755,0.892435553768818,0.873266638378647,0.887633655391093,0.897007767951211,0.893845591134125,0,0.895686905974383,0.895454890776398,0.913556216728765,0.895214282028416,0.894103453625886,0.874722726750653,0.887244815742598,0.877583610489062,0.896479237531431,0,0.87697623540352,0.894114398673352,0.896388867633096,0,0,0.914091213857627,0.896114009290104,0.895205957512978,0.893883051919249,0.874849663116804,0.874955720827504,0.894231717112652,0,0.896806444680923,0,0.895689673283926,0.893993752431079,0.894423534526359,0.875263410482379,0.876658186314787,0.875491599137127,0,0.894083862261819,0.876627586758496,0,0.896502515339903,0,0.871608215394038,0,0.895389767709572,0.894026424806057,0.89705791546153,0,0.875534739837904,0.913707581543704,0,0,0.876709270734213,0.89478346931827,0.896125157363969,0.896127013103696,0.886450806630387,0,0.896262158340623,0.875534739837904,0,0.89484855878712,0,0.876079337054765,0,0,0.895385617483245,0.893993752431079,0,0.871410253105031,0.875697959912134,0.873449640988065,0,0.875512859122621,0.873346275247989,0.896475390030128,0,0.896007080780127,0,0.895737157026088,0.916147617606652,0.897726773564381,0.894475464169951,0.873703011507591,0.89658918624859,0.894114398673352,0.873631528750546,0.894737853579876,0.896270485024355,0.898384219453874,0,0.895737157026088,0.896331478171699,0.895513478205186,0,0.89665825680394,0.913678167176884,0.877285779690554,0.877832690250454,0.914821313614307,0.913663801918287,0.896305399046678,0.876374847993532,0.896143518175559,0.896719613005711,0.895184060156565,0.871724852972635,0.871724852972635,0.871724852972635,0.871724852972635,0.871724852972635,0,0,0.874117982499952,0.913590164669119,0.896482766636676,0.896831784083689,0.896449058354756
"Cellular response to starvation",0.887417145194963,0.888388884959649,0.873392322562992,0.888764001556206,0,0,0.888797590141964,0,0.887782767394652,0.871510835023787,0,0.889976268024831,0,0.874642229826022,0,0,0,0.8894653977346,0,0,0,0.889511943036911,0.890814639356483,0.868945483347533,0.888451157489607,0,0.888427138264467,0,0.887543953366091,0,0,0.887323581400235,0.887727888150602,0,0.887496125193887,0.888635983860926,0.873564653325495,0.873925306482697,0,0.871368100211856,0,0.87420150681021,0.890687440681525,0.873507562655577,0.888401146273725,0.889440253451271,0.871826790773205,0.871677358971039,0.903351935990153,0.888823827521667,0.872465953109459,0.888599849952912,0.886544926835005,0.871616898805479,0.886718307740342,0.875061690848708,0.872631323709331,0.886076278222913,0.870220766583583,0.882104402189805,0.889858171653545,0.88724258645697,0,0.888765624578175,0.88832152069427,0.903546172088871,0.888374695079883,0.88745587665395,0.871425165771557,0.881530581425745,0.873791537289705,0.889420999280878,0,0.873459390669851,0.887464929817573,0.889346250086898,0,0,0.90592166218979,0.889118901821869,0.888115616282088,0.88727357203453,0.871530160811182,0.871617886132735,0.887474146562508,0,0.889691647706293,0,0.888767913550074,0.887365137635299,0.887577599349086,0.871872390720233,0.904911934733812,0.872061136290742,0,0.887439671715138,0.873171006974857,0,0.889440253451271,0,0.868849006919556,0,0.888258760768288,0.887392162493578,0.889899651018306,0,0.872096819993725,0.903671373047622,0,0,0.873068329748873,0.888018349621568,0.889128122918175,0.889129657887798,0.881126012337735,0,0.889241442870593,0.872096819993725,0,0.888072188183111,0,0.87254728197005,0,0.873493321984368,0.88851641469432,0.887365137635299,0.874408075291821,0.871801717077093,0.872231826995114,0.870372136650414,0,0.872078721424829,0.870286637984395,0.889417816831562,0.872826028415129,0.889009294257231,0,0.888807189586887,0.905689641656408,0.89045289501876,0.887763584074602,0.871997418705782,0.889511943036911,0.887464929817573,0.887484872921202,0.887980618698544,0.889248330262402,0.890996699440706,0,0.888807189586887,0.889298780563733,0.88847914303761,0,0.889569074542371,0.903647043041151,0.873545187426075,0.87399756287725,0.904592593234007,0.903635160860013,0.889277209292647,0.872791712968561,0.889143310009147,0.889619825143097,0.888349697148016,0.868945483347533,0.868945483347533,0.868945483347533,0.868945483347533,0.868945483347533,0,0,0.870924953354179,0.903574252027275,0.889423918369839,0.889712607118305,0.8893960366642
"Selenoamino acid metabolism",0.853669751360045,0.854702576952655,0.856058088657934,0.854457985066438,0,0,0.876538403015709,0,0.875505078942928,0.85726284982503,0,0.856765893176706,0,0.858674074715769,0,0,0,0,0,0,0,0.877597113350913,0.859199453855454,0.854159172070063,0.875119308968665,0,0.876284667781799,0,0.874287418517349,0,0,0.853556553676057,0.874509951086407,0,0.874229553845029,0.875117076633012,0.856276944583177,0.856938938840975,0,0.85709016283449,0,0.85797180077814,0,0.856599288254531,0.854717411241497,0.858985083493144,0.853874681080364,0.85746431798066,0.894341358849686,0.875835867793364,0.855339102211591,0.856014922981092,0.875811790249486,0.854717411241497,0.872701135736622,0.859181557513249,0.855140139624528,0.873440491646593,0.855702067045301,0.877228538914147,0.859362474227808,0.874851543766654,0,0,0.874220333131381,0.8582748759852,0.876221219660086,0.874180859352486,0.857159203313367,0.876314040291623,0.856300720656825,0.876558353026915,0,0.856541007621159,0.873754157718724,0.858828182250407,0,0,0.873002522450887,0.877121594424131,0.874875700309933,0.853496050097808,0.854504781539421,0.857392365067936,0.875237947626593,0,0.858339453113554,0,0.875768220557536,0.853606830276938,0.87423548473338,0.875836478467521,0.857425640874611,0.857928629030504,0,0.875089986369775,0.856192108065854,0,0.895180309882561,0,0.854898728320076,0,0.875585021928005,0.87503250757828,0.859279464124465,0,0.85797180077814,0.858426349732122,0.878361364202484,0.878735519348652,0.855425751670123,0.875790096909045,0.858607453945825,0.877134607596114,0.875519459758723,0,0.877269850092356,0.85797180077814,0,0.8766810748335,0,0,0,0,0,0.853606830276938,0,0.853844345795897,0,0.855885201355322,0,0.855252368928871,0.855781761226524,0.856458756906713,0,0.877014588961433,0,0.87502818165794,0.857159203313367,0,0.875481870100155,0.856138754216781,0.855362878285239,0.873754157718724,0.854641043499298,0.855035615026682,0.859594139845947,0,0,0.855011838953035,0.876410487329921,0.875326212806689,0.860500706943,0.876737501133356,0.894698392623259,0,0,0.860267413834236,0.858382538600033,0.896987725331747,0.856138754216781,0.896825727960607,0.859202337396576,0.876190976038609,0.854159172070063,0.854159172070063,0.854159172070063,0.854159172070063,0.854159172070063,0,0,0.856554023849302,0.894622399580503,0.855781761226524,0.856815407444655,0.876119695768066
"Eukaryotic Translation Elongation",0.857563314057898,0.85875332586397,0.860315133534201,0.858471509423372,0,0,0.882762454099725,0,0.904975716637488,0.861703247870833,0,0.861130659156104,0,0.863330253663161,0,0,0,0,0,0,0,0.8595141187674,0.863935590501598,0.858127219936319,0.88227829586369,0,0.883621011183551,0,0.88131979961272,0,0,0.857432888765061,0.881576199518289,0,0.881253128488663,0.882275723787825,0.860568303166499,0.861330040721533,0,0.861504279565857,0,0.862520094403454,0,0.860939704473039,0.858770417790218,0.859414185505526,0.857799432128886,0.861935377559971,0.904425758570839,0.883103908113465,0.859487730122601,0.860265398452666,0.883903892681238,0.858770417790218,0.879492099708361,0.863914970506644,0.859258487325689,0.882804347175499,0.859904928824635,0.884708530508151,0.859996751700839,0.885078194509481,0,0,0.881852231122001,0.860596104124025,0.883547906862307,0.881197023158361,0.861583827347736,0.883654853909481,0.860594691811298,0.883936348715043,0,0.86087255408262,0.880705381601955,0,0,0,0.879842716706262,0.884585310085822,0.881997612288434,0.857363177118737,0.858526433794318,0.861852474099564,0.882414990194857,0,0,0,0.88302596561295,0.857490816985513,0.881259962001703,0.883932338210804,0.86189182008763,0.86247035232721,0,0.882244510644665,0.860470555339641,0,0.883150801811045,0,0.857992734514823,0,0.882814885897693,0.883006010613211,0,0,0.862520094403454,0.858770417790218,0,0,0.859586560882348,0.8830511713367,0.858979084339515,0.884600303738577,0.882766149435113,0,0.884756128854032,0.862520094403454,0,0.881890404376119,0,0.883696666452263,0,0,0.863489439859924,0.857490816985513,0.863434865003423,0.857764480103186,0.883256931108024,0.860115934431565,0,0.859387796860727,0.859996751700839,0.860777785593198,0,0.884462019411349,0,0.882173299844621,0.861583827347736,0,0.882696035344572,0.860408075622448,0.8595141187674,0.880705381601955,0.858679929852787,0.859137049159364,0.860115934431565,0,0,0.859110660514565,0.88376597926797,0.882516688494288,0,0.884142761456193,0.904837129482597,0,0,0.860054572766257,0.858719939021299,0.884805986238329,0.860408075622448,0.884619334410964,0.859933150134689,0.88351306044983,0.858127219936319,0.858127219936319,0.858127219936319,0.858127219936319,0.858127219936319,0,0,0.860886545335959,0.904753074696135,0.859996751700839,0.861188714944513,0.883430932001336
"Eukaryotic Translation Termination",0.855626429102745,0.856823311384767,0.858394136076495,0.856539867890499,0,0,0.880972066078092,0,0.880932159252857,0.859790264624516,0,0.859214370096371,0,0.861431683043705,0,0,0,0,0,0,0,0.85758849668945,0.862032511983873,0.856193590664644,0.88048511257776,0,0.881835579999966,0,0.879521082494765,0,0,0.85549525080575,0.879778962712862,0,0.879454026448178,0.880482525652135,0.858646865218389,0.859414902781682,0,0.859590147585598,0,0.860611827181322,0,0.859020410792516,0.85684050199043,0.857487986467693,0.855863910390064,0.860023734503254,0.902760442596076,0.881315491460165,0.857560053537972,0.858344113851859,0.881287589376919,0.85684050199043,0.877682830452877,0.862019775721774,0.857329487218793,0.878539627568561,0.857981563069763,0.882929378065102,0.858073916080926,0.880138668120681,0,0,0.879443341092516,0.858673745242249,0.881762053614437,0.879397597196449,0.85967015463277,0.881869618115247,0.858675308369866,0.882152738117536,0,0.858952872712549,0.878903117171153,0,0,0,0.878032090212629,0.882805446235588,0.880202808489374,0.855425136682587,0.856593207211554,0.859940352403703,0.880622596107074,0,0,0,0.881237098962371,0.855553513471998,0.879460899414179,0.881316199135382,0.859984944741081,0.860561797921594,0,0.880451132301396,0.858548553049152,0,0.881362655896252,0,0.856058328798033,0,0.881024800588525,0.880384523429941,0,0,0.860611827181322,0.85684050199043,0,0,0.857661357045465,0.881262450210154,0.857050373266018,0.882820526453479,0.880948824354643,0,0.882977251217745,0.860611827181322,0,0.880094981617332,0,0.882698838848874,0,0,0,0.855553513471998,0,0.855828756570524,0.882256564713766,0.858193786907418,0,0.857459543316215,0.858073916080926,0.858864478422054,0,0.882681443748332,0,0.880379510369221,0.85967015463277,0,0.88090526385745,0.858487614761422,0.85758849668945,0.878903117171153,0.881219329968697,0.857209250088159,0.858193786907418,0,0.906979624880814,0.857180806936682,0.881981385050651,0.88072488155675,0,0.882360342572722,0.903174188538016,0,0,0.858132070973485,0.856789731784766,0.883027396451253,0.858487614761422,0.882839666998536,0.858009947314192,0.881727006017874,0.856193590664644,0.856193590664644,0.856193590664644,0.856193590664644,0.856193590664644,0,0,0.858968846896821,0.903074745631872,0.858073916080926,0.859277780254223,0.881644403404731
"Viral mRNA Translation",0.877626208095417,0.878866856307414,0.88049512073611,0.878573048244876,0,0,0.903896552543708,0,0.90385518646108,0.881942300974997,0,0.881345347935109,0,0.883641643905261,0,0,0,0,0,0,0,0.879660021846214,0.884272738540147,0.878214108834072,0.903391792803683,0,0.904791642244089,0,0.902392511406721,0,0,0.877490233052537,0.902659821430687,0,0.902323003347699,0.903389111282956,0.880761041355118,0.881553213421311,0,0.881734866333968,0,0.882793905291023,0,0.881148246225306,0.878884675515283,0.879555836306179,0.877872373268818,0.882184308056197,0.926481656171168,0.904252535828466,0.879634488653705,0.880443269368197,0.904223613460567,0.878884675515283,0.900487040715724,0.884251241140088,0.879395491305399,0.90137516799907,0.88006746133233,0.90592543679864,0.880163191380218,0.903070148547881,0,0,0.902311927264783,0.880791153078403,0.904715427247751,0.902264510669419,0.881817798967791,0.904826925017924,0.880786574547627,0.905120397759475,0,0.881078238506573,0.901751949184914,0,0,0,0.900856092175195,0.905796973202007,0.903099165811242,0.87741755509344,0.878632288032839,0.882097876955769,0.903534303639866,0,0,0,0.904171276782624,0.877550626187094,0.902330127634779,0.90425326938097,0.882142003284511,0.882742046630766,0,0.903356569983739,0.880659134242938,0,0.904301424908187,0,0.87807390089927,0,0.903951215376521,0.903287525451529,0,0,0.882793905291023,0.878884675515283,0,0,0.879735546458595,0.904197555039648,0.879102221072368,0.905812604852372,0.903872460949175,0,0.905975060510279,0.882793905291023,0,0.90298739607581,0,0,0,0,0,0.877550626187094,0,0.8778359339932,0,0.880287445476708,0,0.879530303113671,0.880163191380218,0.880980565308376,0,0.905668436363919,0,0.903282329080163,0.881817798967791,0,0.903827307592185,0.880592017619834,0.879660021846214,0.901751949184914,0.878792941244278,0.879266907481615,0.880287445476708,0,0,0.879241374289106,0.904942778891485,0.903640329321888,0,0.905335593606217,0.926910531400419,0,0,0.880223472800168,0.878832048815209,0.906027039385083,0.880592017619834,0.905832445302315,0.880096883492415,0.904679098079324,0.878214108834072,0.878214108834072,0.878214108834072,0.878214108834072,0.878214108834072,0,0,0.881090846783993,0.926826563775266,0.880163191380218,0.881408980188265,0.904593474968479
"Peptide chain elongation",0.877625159371608,0.878865807583605,0.880494072012301,0.878571999521067,0,0,0.903896552543708,0,0.90385518646108,0.881941252251189,0,0.8813442992113,0,0.883637489058976,0,0,0,0,0,0,0,0.879658973122405,0.884268583693861,0.878213060110263,0.903391792803683,0,0.904791642244089,0,0.902392511406721,0,0,0.877489184328728,0.902659821430687,0,0.902323003347699,0.903389111282956,0.880758014311058,0.881552164697502,0,0.88173381761016,0,0.882792856567215,0,0.881145219181246,0.878883626791474,0.87955478758237,0.877871324545009,0.882183259332388,0.926481656171168,0.904252535828466,0.879631461609645,0.880442220644388,0.904223613460567,0.878883626791474,0.900487040715724,0.884247086293802,0.87939246426134,0.90137516799907,0.880066412608521,0.90592543679864,0.880162142656409,0.903070148547881,0,0,0.902311927264783,0.880786998232117,0.904715427247751,0.902264510669419,0.881816750243982,0.904826925017924,0.880785525823818,0.905120397759475,0,0.881075211462513,0.901751949184914,0,0,0,0.900852576880426,0.905796973202007,0.903099165811242,0.877416506369631,0.878629260988779,0.882096828231961,0.903534303639866,0,0,0,0.904171276782624,0.877549577463285,0.902330127634779,0.90425326938097,0.882137848438225,0.882740997906957,0,0.903356569983739,0.880656107198878,0,0.904301424908187,0,0.878072852175461,0,0.903951215376521,0.903287525451529,0,0,0.882792856567215,0.878883626791474,0,0,0.879734497734786,0.904197555039648,0.879101172348559,0.905812604852372,0.903872460949175,0,0.905975060510279,0.882792856567215,0,0.90298739607581,0,0,0,0,0,0.877549577463285,0.883000147017717,0.877834885269391,0,0.880286396752899,0,0.87952727606961,0.880162142656409,0.88097641046209,0,0.905668436363919,0,0.903282329080163,0.881816750243982,0,0.903827307592185,0.880590968896025,0.879658973122405,0.901751949184914,0.878789288485578,0.879265858757806,0.880286396752899,0,0,0.879238347245046,0.904942778891485,0.903640329321888,0,0.905335593606217,0.926910531400419,0,0,0.880222424076359,0.8788310000914,0.906027039385083,0.880590968896025,0.905832445302315,0.880095834768606,0.904679098079324,0.878213060110263,0.878213060110263,0.878213060110263,0.878213060110263,0.878213060110263,0,0,0.881089798060184,0.926822899983654,0.880162142656409,0.88140482534198,0.904593474968479
"Selenocysteine synthesis",0.877626208095417,0.878866856307414,0.88049512073611,0.878573048244876,0,0,0.903896552543708,0,0.90385518646108,0.881942300974997,0,0.881345347935109,0,0.883637489058976,0,0,0,0,0,0,0,0.879660021846214,0.884268583693861,0.878214108834072,0.903391792803683,0,0.904791642244089,0,0.902392511406721,0,0,0.877490233052537,0.902659821430687,0,0.902323003347699,0.903389111282956,0.880758014311058,0.881553213421311,0,0.881734866333968,0,0.882793905291023,0,0.881145219181246,0.878884675515283,0.879555836306179,0.877872373268818,0.882184308056197,0.926481656171168,0.904252535828466,0.879631461609645,0.880443269368197,0.904223613460567,0.878884675515283,0.900487040715724,0.884247086293802,0.87939246426134,0.90137516799907,0.88006746133233,0.90592543679864,0.880163191380218,0.903070148547881,0,0,0.902311927264783,0.880786998232117,0.904715427247751,0.902264510669419,0.881817798967791,0.904826925017924,0.880786574547627,0.905120397759475,0,0.881075211462513,0.901751949184914,0,0,0,0.900849071721586,0.905796973202007,0.903099165811242,0.87741755509344,0.878629260988779,0.882097876955769,0.903534303639866,0,0,0,0.904171276782624,0.877550626187094,0.902330127634779,0.90425326938097,0.882137848438225,0.882742046630766,0,0.903356569983739,0.880656107198878,0,0.904301424908187,0,0.879102476769389,0,0.903951215376521,0.903287525451529,0,0,0.882793905291023,0.878884675515283,0,0,0.879735546458595,0.904197555039648,0.879102221072368,0.905812604852372,0.903872460949175,0,0.905975060510279,0.882793905291023,0,0.90298739607581,0,0,0,0,0,0.877550626187094,0,0.8778359339932,0,0.880287445476708,0,0.87952727606961,0.880163191380218,0.88097641046209,0,0.905668436363919,0,0.903282329080163,0.881817798967791,0,0.903827307592185,0.880592017619834,0.879660021846214,0.901751949184914,0.878792941244278,0.879266907481615,0.880287445476708,0,0,0.879238347245046,0.904942778891485,0.903640329321888,0,0.905335593606217,0.926910531400419,0,0,0.880223472800168,0.878832048815209,0.906027039385083,0.880592017619834,0.905832445302315,0.880096883492415,0.904679098079324,0.878214108834072,0.878214108834072,0.878214108834072,0.878214108834072,0.878214108834072,0,0,0.881090846783993,0.926819247224954,0.880163191380218,0.88140482534198,0.904593474968479
"rRNA processing",0.875409344089753,0.859798176116878,0.862152427880107,0.861246854029637,0,0,0.881969756972843,0,0.892474601467296,0.86271727903452,0,0.862310823971199,0,0.862626768780171,0,0,0,0,0,0,0.878055119934126,0.862648225442141,0.864069351323726,0.861207708158515,0.875944911135064,0,0.876866860974178,0.862257580716565,0.875286777984051,0,0,0.875319790052521,0.881155237912603,0,0.875240999529609,0.875943145068278,0.862218691033972,0.861567428178901,0,0.862637221580387,-0.0113848156572155,0.862384555818957,0,0.861267695827621,0.859809911961715,0.864777308267388,0.860982638918702,0.861983071161857,0.897626862390257,0.876511802023692,0.860270725361147,0.861719803761566,0.876492753566293,0.862308512695725,0.876166156662799,0.863028253437271,0.860113320171375,0.875799960987584,0.860588902303289,0.891380843594048,0.862294132519366,0.875716532823969,0,-0.0113848156572155,0.891070418423625,0.861790208784543,0.876816665287712,0.875202475875727,0.861741685920461,0.876890098435809,0.86106251488905,0.877083381469719,0,0.861221588294083,0.880557307416102,0.861546878053963,0,0,0.875342405242018,0.877528978404922,0.875526396618689,0.875271923881515,0.860887750647213,0.861926147083572,0.881505389018118,0.862114290042017,0.862068830878828,0.861218352827265,0.876458284293801,0.875359565359122,0.88093809945948,0.876512285146087,0.861639095828265,0.86331550223041,0,0.875883873943877,0.863571803746946,0,0.876544000685836,0.877784276233227,0.875795968572113,0,0.87608756193901,0.876035627405949,0,0.862292379855206,0.862384555818957,0.876956586210083,0,0,0.862868901768042,0.897660846772494,0.887856080286316,0.877539273510326,0.876261482265225,0,0.877646267850823,0.863611094627226,0,0.876111479603163,0,0.861098829588231,0,0.862289761268027,0,0.875359565359122,0.86325101974696,0.860958639777563,0.861897312733871,0.860733785274745,0,0.861319795805972,0.861439497731712,0.861320104956599,0.861651065142901,0.877005659706159,0,0.881044570044915,0.863383867711686,0,0.876231743974084,0.860934378445873,0.861132460042068,0.874864899587495,0.861257421867525,0.861703834182798,0.862820065436613,0.863625252953082,0.894032434723966,0.877404882609427,0.876966400541598,0.876108598883446,-0.0113848156572155,0.877225110837574,0.891434503543762,0.863325323296296,0.863156403645293,0.860691652458785,0.876131205242449,0.877680501471868,0.862002231479297,0.877552340558185,0.87677977232759,0.881212781921204,0.861207708158515,0.861207708158515,0.861207708158515,0.861207708158515,0.861207708158515,0,0,0.861262910539659,0.892580510114905,0.862734908479194,0.863011225221199,0.876297604193968
"Neuronal System",0.855909740857829,0.84998670988979,0.8506510779651,0.849761988318072,0,0.855966608612942,0.849944043046007,0.843424557662949,0,0.843237628447295,0.843499192917022,0.85057662767087,0.843499192917022,0.857204776624203,0.843424557662949,0.850685486903155,0.850269310270412,0.849986609067279,0.843499192917022,0.843424557662949,0,0.8431658996144,0.843638223340577,0.855623367384331,0.849685537015612,0,0.842675305912021,0.843778839134104,0.85555077943552,0.84417822050589,0,0.855419173868885,0.855626183220119,0,0.855531172349213,0.849353682400992,0.8436570669616,0.850373857643093,0.844666647808139,0.844320118296698,0,0,0.850813284595738,0.843510007838556,0.84999173639681,0.850071835716555,0.855526969372128,0.850384611377995,0.849860783661914,0.849986609067279,0.850258845584074,0.850102364501469,0.856091927560313,0.849426853147628,0.849877454278717,0.857376734031206,0.85013297927682,0.850053005125149,0.856302204919795,0.849597943755468,0.850214414317523,0.850502720521027,0.856173171683831,0.850085666010709,0.855620475185438,0.849711713065524,0.842653806908423,0.855514672521604,0.850655017051542,0.849395103678544,0.843904112731416,0.850335379184171,0.843469025049102,0,0.849281234484445,0.849799754136236,0.856321089647381,0,0.850015212338783,0,0.849772906387508,0.855398672605627,0.850109411891891,0.843329288624925,0.849376542378896,0.843033445173591,0.842745082921148,0.849849674636013,0.850043679304521,0.855436209784119,0.849714827817901,0.849979130136051,0.856781752539038,0.845078511260707,0,0.843629484111523,0.843177237651155,0.843933278359135,0.850288092000696,0,0.85558381701971,0.844078000426563,0.850175632697655,0.849937154590911,0.850551056587267,0,0,0.850098768521698,0,0,0.85051680676652,0,0.850366902365355,0.849963687219836,0.85609603267102,0,0.850099557781241,0.844918122222645,0,0.849594088606775,0.844234925138299,0.850199817805862,0.844271043484254,0.850813284595736,0,0.855436209784119,0.844160305158778,0.855516690448618,0.850070497519631,0.849981732865301,0.84354781426196,0.849555473398839,0,0.856454129886963,0.849948726407614,0.843511921582789,0.844092089131123,0.849611941792683,0.850709898377945,0.850346170438698,0,0.850242556205807,0.856131227951494,0.849281234484445,0.850035137844237,0.850552362770746,0.850199360988526,0.850813284595738,0,0,0.850181315343059,0.849755645101369,0.850461156018844,0.850310167593147,0.849981762347736,0.85657522838466,0.849557284838246,0.850369389208305,0.850083923390574,0.849950114685799,0.856294136550479,0.849895222878587,0.850539728613963,0.850430875331798,0.855623367384331,0.855623367384331,0.855623367384331,0.855623367384331,0.855623367384331,0,0,0.850692342380173,0.849573650660771,0,0.850454106248347,0.849652931348553
