"","AR","TP53","GNAS","LAMA5","RET","SDC4","MEF2A","SPTBN5","TIAM1","TNRC6B","CSF2RB","SYT1","APC","PTGDR2","GRM2","NTSR2","PPP2R3A","GRP","SIN3A","SMPD1","RPS6KA6","PTGER2","INSL3","TAAR1","ADM2","ERCC2","PIP5K1C","CTNNA2","HLA-C","HLA-B","BUB1","CACNA2D3","ARAP1","USP15","PHKA1","SPHK1","SPRED3","NPHP1","OBSCN","MAML3","CSNK1A1L","TUBGCP3","DOCK4","APBA3","KLRC2","MCF2","ARHGAP36","SYDE2","ARAP3","GP1BA","FNTA","NFASC","DLG2","GRIN3B","TLE1","XPO6","GUCY2D","ACTR1B","PLXNB3","PLXNB2","IL18","HOMER3","ROR1","SCRIB","KIF19","DOCK10","DOCK11","CTSA","SYNE1","CST3","XRCC1","NSMAF","MAP3K6","TTC37","PRSS54","ZNF541","MAP3K4","PHLPP1","RAB6A","ERCC6","HOXB1","PPP1R15A","EPN3","NOTCH3","WWTR1","SNRPA1","MYH8","STXBP2","SH3BP5","INTS7","SARS2","KCNN3","MAP1B","EP400","E2F7","ESRRA","GSTP1","TANC2","MYO18B","PRDX5","WDR61","DPP7","PDHX","KDM4B","BHLHE41","MZT1","SRY","KRT1","AP5S1","TGIF1","ADO","L2HGDH","CYP3A7","GDF15","NUAK1","ESRRG","PARP4"
"Phase II - Conjugation of compounds",0.783150948481352,0.780857762492248,0.753345857276607,0.7829984711187,0.754058571763382,0.732755352320633,0.783724003652369,0,0.733226257335896,0.783447379021962,0,0.781280334993675,0.733148200400124,0,0,0,0.783533237336617,0,0.782600807681907,0.753365750238285,0.755142933637287,0,0,0,0,0,0,0,0,0,0.731781279432528,0,0.734321211857908,0,0.757977662506677,0,0,0,0.734539754151783,0.783803436472755,0,0,0,0,0,0.734864978167367,0.734864978167367,0.734864978167367,0.734691799623772,0,0,0,0,0,0.783527660938918,0,0.783366795374692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757870861804295,0.755007247131941,0,0,0,0.753581693061542,0,0,0,0,0.783511239300165,0.782262746594492,0,0.783468321968932,0,-0.0203165254716882,0,0,0,0.733838254163851,0.757225321458856,0,0,0,0.760994569804243,0.78537509992708,0.808953815161092,0,0,0,0,0,0.784667242002955,0,0,0,0,0,0,0,0.786049386810132,0.784907930203326,0.809417151423465,0,0,0.786915627223589,0
"Nitric oxide stimulates guanylate cyclase",0.714851997463542,0.646432681106546,0.655422330102523,0.591635012377876,0.650757700165667,0.590211106423608,0.652739035337048,0.591560628498587,0.592382397724611,0.651446203985113,0.648281812048599,0.590528685218281,0.590075869314515,0.648756004589887,0.648654762225879,0.656767491170795,0.652319307932696,0.656729446585776,0.590075869314515,0.59316108124848,0.653827729212459,0.650416857040342,0.650442448417415,0.650442448417415,0.650442448417415,0.646281054266777,0.651184164248598,0.653589012498407,0,0,0.650520570481276,0.652574350138147,0.593593197025111,0,0.660925837088557,0.593262143039113,0.591504626473933,0.648664502504115,0,0.652229607852991,0.653998098451734,0.649178447065656,0.596620811830689,0.598510184024183,0.595169308620448,0,0,0,0,0.653998991229038,0.599332125947749,0.594704592599695,0.593506253695718,0.654814364951789,0.592329605288431,0.596688843941544,0.822797873357625,0,0,0,0.65008781004486,0,0,0,0,0,0,0,0,0,0.650982546973168,0,0.593733124944973,0,0,0,0,0.595506360580342,0,0.648688937221785,0.651586710492803,0.653100013992369,0.594861389312562,0,0.652521495774712,0.648413726347059,0.652130400958163,0.598510184024183,0.599332125947749,0.652733791299377,0,0.713552658431964,0,0,0,0.596179915924554,0,0.660709064739876,0.593139668577763,0.656616657407687,0.651021767385771,0.714704645965385,0,0,0.594195562074566,0.654322417652326,0,0,0,0.595398136251625,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.712015326399423,0.704537196634458,0,0.795250547763814,0,0,0.713884071870445,0,0,0.712981992888541,0,0,0,0,0,0,0.7959803590895,0,0.790899262393121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714143104038471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713561648632909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712294790095209,0,0,0,0,0,0,0,0,0,0.713190242655239,0.791837260937004,0,0.713050288297567,0,0,0,0,0,0,0,0,0,0,0.722481270338179,0.801986713360876,0.797105087094682,0,0,0,0,0,0.716959992802497,0,0,0,0,0,0,0,0,0,0.880576339401863,0,0,0.724292026279681,0
"Interaction between L1 and Ankyrins",0.863167903167854,0.89543370112997,0.861877186514992,0.864818364453215,0.8631381634036,0.861946797297649,0.864564671073313,0.909468106408523,0.910648853003511,0.865843716603026,0.862493762772221,0,0.864317366089387,0.814463658509178,0.814380694952995,0.81512147031665,0,0.815090294493194,0.864317366089387,0.863587519630948,0.864783262280268,0.815824652268391,0.815845623248972,0.815845623248972,0.815845623248972,0.860854231907205,0.863177648484311,0.812799074915335,0.86405396626154,0.863949186098072,0.864524533052534,0.864429718972133,0.864923603787239,0.813571353808929,0.86580662201806,0.863670335215384,0.863212114313834,0.864948715697264,0.813529061224117,0,0.867178001952177,0.865369870111461,0.815671777199326,0,0.865233171488573,0.814115433358098,0.814115433358098,0.814115433358098,0.813803196046887,0,0.822480858815217,0.914830967313035,0.863148598483391,0.865901748841599,0.864386407202468,0,0,0.911206946435609,0.814478539435746,0.814230009710386,0,0.816142468318753,0,0.818422244135817,0.865432058399207,0.818633636958015,0.818633636958015,0.869911685331575,0,0,0,0,0,0,0,0,0,0,0.86255611680887,0,0,0.812606542865777,0,0.862703670817855,0.812132473249535,0,0.811035339531965,0,0,0,0.859751535463218,0.865996651699848,0.865975225734164,0.865806550099226,0.871095751106962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814822280591798,0,0,0,0.874165308869103,0.872873545090264,0,0.817296319227894
"Phase 0 - rapid depolarisation",0.818378279762514,0.850252934902703,0.817254725337803,0.763524704708868,0.864010862160018,0.763388849265334,0.812496099124483,0.862508289102142,0.81239010413998,0.816764114941295,0.863379238439184,0.817120624210882,0.80921767091846,0.816333372041958,0.816252053453028,0.816546398356313,0.86485717519778,0.816515840674256,0.815268028277539,0.765834242243086,0.817919550963899,0.817235637905678,0.817256193082286,0.817256193082286,0.817256193082286,0.810032618274571,0.764595295641168,0.765977335020011,0.765437824969542,0.765335122344038,0.81615835267478,0.864920456486912,0.765269341576977,0.765770683102769,0.818477212709847,0.762595811962972,0.762146676476897,0.816574124800585,0.765655556176814,0.764655889361942,0.867970600452268,0.816986928738364,0.767755787261405,0.823531420983555,0.765572771297317,0.766230301965417,0.766230301965417,0.766230301965417,0.765924255567125,0.76382423124131,0.823759867928157,0.866136475300195,0.81911771553102,0.863847333741097,0.808691714483055,0.820505187163098,0.764173619280136,0.812804258812057,0.766586208525178,0.766342606544941,0.767997971682999,0.76781288781379,0,0.82217439370833,0,0.77065892048362,0.77065892048362,0,0.76027615708676,0,0.761950953587904,0,0.768560023058538,0,0,0.762259464081568,0.767755787261405,0,0,0.761553820211016,0.762436222036354,0.817335044908354,0,0.762360377221081,0.817765510143004,0,0.765642970038371,0.823531420983555,0.767365031056601,0,0.815289944127822,0.817723695013126,0.820695078882307,0.816727685359638,0.821912014266327,0.765730093320544,0,0.823446688743864,0.823099678312265,0,0,0,0,0,0.819092006446634,0,0,0,0,0.76699680702415,0,0,0,0.824920710100299,0.823654558882099,0,0
"GABA receptor activation",0.608796749951567,0.57148035290447,0.607836511500842,0.574351771136608,0.574534170007649,0.573461344715671,0.574580147678112,0.843682326085791,0.573879560484825,0.572170351445847,0.574054763266789,0.573494273004196,0.573073559930487,0.607137198023258,0.607075476655925,0.607626582110366,0.572285516642564,0.607603388619875,0.573818369239426,0.575099086206049,0.574742770265682,0.608149719660672,0.60816532118085,0.60816532118085,0.60816532118085,0.571209317805493,0.574794159455495,0.575098327524219,0.573205297281165,0.573127345283248,0.573227683365164,0.5735988543172,0.575348266846361,0.572945811999002,0.574893686018212,0.574743583831608,0.573573902810689,0.57235564755841,0.575641406379397,0.536046816819301,0.57712252490207,0.572668968581508,0.577980305501786,0.578360111771366,0.576323381396395,0.576077642379168,0.576077642379168,0.576077642379168,0.575845351061541,0.573394758258702,0.569427100574587,0.575622958390479,0.573431617311257,0.573024222886382,0.573566632197411,0.575115667677307,0.573220115185464,0.574622453981556,0.576077303672697,0.57589240809712,0.573876733882691,0.574055600511959,0.574931183822848,0.575751657035073,0.53155089259418,0.579438994241502,0.579438994241502,0.577563191844715,0.571777915603441,0.575988668025965,0.573045541524526,0.537916205152187,0.535493965543815,0.536333755246255,0.577575348814148,0.534423871878767,0.538665542577881,0.574081097900491,-0.0272513694447788,0.5716472658978,0.573413863608766,0,0.576907691635052,0,0,0.571479486414778,0,0.578360111771366,0.537160204710962,0.573118261964693,0,0,0,0,0,0,0,0,0,0.575485411405795,0.573069451846227,0.577235496192848,0,0,0,0.575081659379479,0.541356016938267,0.539532325159192,0,0,0,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.89935964396377,0.838837307381999,0.897777769044117,0.843302915114878,0.843868096016922,0.84183604694061,0.844218975761633,0.842239536157461,0.843064844400559,0.839162572897183,0.842126487601359,0.842154993414604,0.841737057473083,0.896625735973238,0.896524057600623,0.897431936154962,0.900204384976328,0.897393727727795,0.842688902159538,0.843846881389366,0.844085376321532,0.898293741022006,0.89831944261046,0.89831944261046,0.89831944261046,0.840117113390828,0.843344552016211,0.84507261341987,0.841414240237721,0.841285823894523,0.841990956903648,0.842381026391634,0.845484357757781,0.840299626579178,0.844959675674415,0.843948378410951,0.842159810739301,0.841823682621095,0.845967269137678,0.779524997100816,0.847867391664224,0.842339840527357,0.848593336333452,0.846835089989602,0.845863757358451,0.846685914372687,0.846685914372687,0.846685914372687,0.846303242954844,0.841039210406461,0.839021422545314,0.840951892648436,0.841099931168845,0.844630688014163,0.84161656881863,0.845753555998623,0.843429655126141,0.843748831859078,0.846443785946561,0.846139193193021,0.84196677536611,0.842127866859954,0.843570282833314,0.844921911687257,0.776625021515443,0.852223328754645,0.852223328754645,0.848593336333452,0.839249960050986,0.846186657540058,0.843142066459324,0.782604584797653,0.783120749946936,0.779997692920005,0.847926219923734,0.776851394626901,0.77932544333951,0.842888515911205,0,0.840838579088027,0.843748831859078,0.842908954060679,0.847778181403324,0,0.842327944406515,0.840562182994928,0,0.846835089989602,0.786729442722522,0.843261864453623,0,0.787026478976504,0.845990991021001,0,0,0,0,0.850550773813964,0,0.84716145244567,0.843181455777874,0.850044502202545,0,0,0.843986556382041,0.846496320567535,0,0,0,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.891944716410984,0.822859546378606,0.890166992892921,0.828175504844557,0.828513186346972,0.826527026814533,0.829204981028467,0.827752688495254,0.827907959097072,0.824136965162981,0.827625643635784,0.826587988123548,0.826415781669751,0.888872329036606,0.888758062079067,0.889778343162951,0.824674349174336,0.889735404230979,0.827187998984442,0.829559035751224,0.82932631970011,0.890746846273463,0.890775729921391,0.890775729921391,0.890775729921391,0.820214193630221,0.828994514037542,0.830164305765272,0.826052997113142,0.825908681813258,0.826701115853466,0.824962201963495,0.830627027301493,0.825572602802393,0.8270351952429,0.828900881590354,0.827162353903209,0.822904266913267,0.831169726921114,0.757314127492623,0.833305099611252,0.823484329241581,0.834893139274009,0.835596288098376,0.831825616881447,0.831977346107402,0.831977346107402,0.831977346107402,0.83154729694818,0.826403752943916,0.819095114184695,0.826147816819844,0.82647199141586,0.827166214852068,0,0.829589733617361,0.828317936269382,0.828676629600638,0.831870782997415,0.831528479257295,0.827296051519598,0.827627193657477,0.829248192111156,0.830767163283589,0.748973546306488,0.83820033608832,0.83820033608832,0.834120921959319,0.824523998883743,0.832319514262871,0,0.760774992448877,0.756273497178803,0.757845346784503,0.834143428588224,0.754309511933717,0.762129192885682,0.828806191659947,0,0,0,0,0.832907371160627,0,0,0,0,0.835596288098376,0.764311274955379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0.758196863858749,0,0.755369540832557,0,0,0,0,0.755957343408662,0,0,0,0,0,0.753310484463583,0.753128752266816,0.754751425406,0.662738925970588,0.754683134566703,0,0,0,0.756291749937608,0.756337687003771,0.756337687003771,0.756337687003771,0,0,0,0,0,0,0.663196732153986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770872212655894,0.761600825840616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658800289349541,0,0,0,0,0,0.671836606748305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.673004898069145,0.664588446095706,0,0,0.667411404754171,0,0,0,0,0,0,0.661631540545573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675635025309577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863755159296103,0,0,0.67786732154509,0,0,0.676989028002781,0,0,0,0,0,0,0,0.677213276600972,0.674945541680313,0.865591593686242,0,0,0,0
