"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","SF3B5","STX11","COL12A1","UTRN","GRIK2","MYB","HACE1","SYNE1","LIN28B","PREP","COX7A2","PRDM1","EPM2A","ATG5","PACRG","FBXO30","QRSL1","BEND3","PDSS2","SEC63","MYO6","AHI1","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Biological oxidations",0.906696536190309,0.907765268068655,0,0,0.907614277116391,0,0.895512546330503,0.907839540520167,0,0.897140686316865,0,0,0,0.908714664176932,0,0.885767186561664,0,0,0,0.884430591376708,0,0,0,0,0.908172883907962,0,0.89469886430279,0,0,0.918638988273915,0,0,0.894713561584032,0.907078625009972,0,0,0.906869454624458,0.894892347043272,0,0.894719252803955,0.907132306759034,0,0,0.908283853603829,0,0.908283853603829,0,0.897060623158555,0,0.909239167597729,0.906397378935053,0.908214376488898,0,0.907774425540855,0.919092897346357,0.89616789193522,0.906823042977172,0,0,0.908022483951643,0,0.895881250651095,0.918368653380737,0.907356898016136,0.894761055615754,0.886080464782108,0.906967757346204,0,0,0.896045185078589,0,0.907356592130793,0.894506366857001,0.895358924070719,0,0,0.897318023141727,0.885578833812614,0.908511106950996,0.896325428590571,0,0.894508740042749,0,0,0.908378900893869,0,0.895537065871121,0.894651209466519,0,0.909012737920491,0,0.907447516217741,0.906657693878723,0.884996505990731,0,0.908636029894243,0,0.883477206367871,0,0.907930989150003,0,0.895446746308178,0.884429383719576,0,0.896023221658848,0,0.894508740042749,0.906756696654861,0.907943126137787,0,0,0.918747980988159,0,0.908551316367405,0.908023344025531,0,0.918859779863048,0,0.894902742562392,0.906890311132505,0.89764239403611,0,0,0.907249422253095,0,0.895799401243578,0,0.906909237355482,0.883728249249421,0,0,0,0,0,0.906657693878723,0.895466705851463,0,0.906804316462733,0.896593441801,0,0.895362907908344,0,0.908444492179418,0.906660595310374,0,0.907882160444367,0,0.894939401769028,0,0,0,0,0,0.894501647744441,0.895595504112918,0.883468025447938,0.907739885763571,0.909093434772879,0.908551316367405,0,0,0.90740220333703,0.894508740042749,0.895269486298375,0.907159327663762,0.895609833360974,0.908170997341459,0.909281787521928,0,0.894504002781397,0,0.909769476856367,0.896995941838365,0.907601705449059,0,0.895428260986992,0,0.907601705449059,0.894508740042749,0.907867512838688,0,0.896073101486017,0,0.883724398749173,0,0,0.908274094336167,0.918720935591616,0.91897112635667,0.883771915709832,0.918871122477918,0.919227012072195,0,0.89469886430279,0.89469886430279,0.89469886430279,0.89469886430279,0.89469886430279,0,0,0,0.896020880602824,0.895881250651095,0.908134398924751,0.908086318195733
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718313460601133,0,0,0,0,0.715873338071903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777680417068966,0,0,0,0,0.718055999208299,0,0,0,0,0,0,0,0.714573409295469,0.7686293605614,0,0,0,0,0,0,0,0.715947800274037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726057855806177,0,0,0,0,0,0.725475354716775,0,0,0,0,0,0,0,0,0.716310061760675,0,0,0,0,0,0,0.716397438989847,0,0,0,0,0.716935033574597,0,0,0,0,0,0,0.768766392977363,0,0,0,0.713142817101257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77047099035643,0,0,0,0,0,0,0,0,0,0.719863938352174,0,0,0,0,0,0,0.769806538331538,0,0,0,0.769806538331538,0,0,0,0,0,0,0,0,0,0.716267388855281,0.824477384686062,0,0.823996507363067,0.718700901497501,0,0,0,0,0,0,0,0,0,0,0,0,0.717897201867174
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.83339665013724,0,0.812785937838413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832650009694056,0,0,0,0,0.811035933172867,0,0,0,0.831221714337177,0,0,0,0,0,0,0.831321298844422,0,0,0,0,0,0,0,0,0.835229716549104,0,0,0,0,0.811877975619365,0,0,0,0,0.789797669225302,0,0,0.810534437457875,0.831737935970828,0.78949782113767,0,-0.0164798165929491,0,0,0.810559121862201,0,0.832339022547578,0.786339940134053,0,0,0,0,0,0.833879098098414,0.792399874713876,0,0.786344342608589,0,0,0,0,0,0,0,0.81496498843773,0,0.790603554065885,0,0,0,0.834258176564222,0,0,0,0.8328029270279,0,0.831390124021377,0,0,0.811553826936859,0,0.786344342608589,-0.0164798165929491,0.810797514082583,0,0,0.811238124530837,0,0.833953690208203,0,0,0.811445521571,0,0,0.829553989708724,0,0,0,0.83153855869475,0,0,0,0.830655242283759,0,0,0,0,0,0,0,0.809485990494641,0,0,0.811770749689619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786331185752775,0,0,0.832448412935069,0.813038322826598,0.81024444002637,0,0,0.832027138389032,0.786344342608589,0,0.832134793671876,0,0.81257545516598,0,0,0.786335554559659,0,0.83621348826167,0.79364373752663,0.832192075934657,0,0,0,0.832192075934657,0.786344342608589,0.831452273140939,0,0.810805471270569,0,0,0,0,0.812400151995263,0.811187952870358,0.853283381611403,0,0.85309786535752,0.812126770584509,0,0,0,0,0,0,0,0,0,0.810708596801844,0,0,0.811816713658271
"Glucagon signaling in metabolic regulation",0.896241014344954,0.859646645035555,0,0,0.859112063696189,0,0.899524664377354,0.859579089631878,0,0,0.814275171130207,0,0,0,0,0,0,0,0,0.862114997521999,0,0,0,0,0.859941531704551,0,0.897310694875739,0.858766238987371,0,0.859293179767555,0,0,0.857990770692444,0,0,0,0.895993608879239,0.858477139069823,0,0.857864301354033,0.859921825192003,0,0,0,0,0,0,0,0,0.863139556493445,0.895181852297177,0,0.863177212297198,0.85967906693687,0.859751966976296,0,0.896688909841646,0.861803220941677,0.857307916540659,0,0.860422942917685,0.861338455722517,0.897187781354985,0.898530785405182,0.857103277608896,0,0.854946765255805,0,0,0.859617384650361,0.860250600323433,0.858199733634886,0.80584965076047,0.855926747751027,0,0,0,0,0.861805865878149,0,0,0.805858052991176,0,0,0,0,0.859226263370061,0.89770788348511,0,0,0.859668279335854,0.898065314510057,0.896103493687985,0.860849325727074,0,0,0.860619988126216,0.862287277091283,0,0,0,0.897055587698188,0,0,0.859614732472889,0,0.805858052991176,0.854199507851479,0,0,0,0.85967906693687,0,0,0.858684055023106,0,0.858926617810745,0,0.858513944258816,0.895400590797615,0,0,0.859226263370061,0.856425407103757,0,0.862355411942183,0,0.857282740609668,0.812481496743042,0,0,0,0,0,0.896103493687985,0.897087865819055,0,0.896622608881089,0,0.857867031056215,0.858701170855835,0.85989435863657,0,0.896113766165873,0.899751956912282,0.859579089631878,0,0,0,0,0,0.863189556301988,0.864534449582369,0.805832942808931,0.858568134290293,0.811560178039866,0.859707674583194,0.864349000540961,0.861240872790088,0,0,0,0.805858052991176,0.816380210873539,0.857652216809585,0.860374534837735,0.861083123810101,0.865015860795501,0,0.805841280784098,0.859536421243122,0,0.862911049176752,0,0,0,0,0,0.805858052991176,0,0,0.857560106920951,0.863345684408839,0.859614732472889,0,0.904825841148699,0.861448137267459,0.859583313091421,0.85932083850279,0.90163728024104,0.858966776178903,0.860226798273752,0,0.897310694875739,0.897310694875739,0.897310694875739,0.897310694875739,0.897310694875739,0,0,0,0.856982336499215,0,0,0.860116458233055
"Adrenaline,noradrenaline inhibits insulin secretion",0.91979549808116,0,0,0,0.880327936690612,0,0.923285972683171,0.881336112271719,0,0,0,0,0,0,0,0,0,0,0,0.882299417144529,0,0,0,0,0,0,0.920932553701622,0,0,0,0,0,0.879136017724715,0,0,0,0.919532509490429,0.879653020587905,0,0.879001582565882,0.880479838735086,0,0.886091857946306,0,0,0,0,0,0,0.886603591412413,0.918669623462763,0,0,0,0,0,0.920271604803901,0.88329317578235,0,0,0.881721383185757,0,0.91745857990472,0.880221790064975,0.87748376160862,0,0.877894767557133,0.881803897158816,0,0.880865085880994,0.881166038217622,0.879869875910618,0,0.877140371329045,0,0,0,0,0,0,0,0,0,0,0.831268024462612,0,0.880961062831723,0.878835323230934,0,0,0.829843231344494,0.876416585306541,0.919649315523437,0,0,0,0.881930839519118,0,0,0,0,0.920661378297652,0.836055449587191,0,0.880153403418913,0,0,0.877100443263975,0,0,0,0,0,0,0.881867454927711,0,0.880642543743489,0,0.87969214399513,0.87760329969278,0,0,0,0.8794665434056,0,0.882554974350482,0,0.878383391532214,0,0,0,0,0,0,0.919649315523437,0.920695689494026,0,0.920201127799157,0,0.878602452695499,0,0.830083550516576,0.831514876451961,0.919660235025459,0.880274283791389,0.881336112271719,0,0,0,0,0,0,0.885382994712223,0,0.877763805409255,0,0.877546071068125,0.885894728178329,0,0,0,0.879946008769788,0,0.878743995839519,0.920783842633204,0.880961062831723,0,0.886603591412413,0,0,0.879337693246669,0,0,0,0,0,0,0,0,0,0,0,0.884828216996442,0.880153403418913,0,0.882963161953373,0.882299417144529,0,0,0.925531654148382,0,0,0.879502895260295,0.920932553701622,0.920932553701622,0.920932553701622,0.920932553701622,0.920932553701622,0,0,0,0.87502164634959,0,0,0.880481829229653
"Interaction between L1 and Ankyrins",0.88030792636663,0,0.884735904789111,0,0.882137819963705,0,0,0,0,0,0,0,0,0,0,0.84698571457784,0,0,0.83649377334637,0.837511020282553,0,0,0,0,0,0,0.838727289910237,0,0,0.83474008473476,0,0,0.879669950015915,0,0,0,0.837328304391442,0.880186561929306,0,0,0.88299793434449,0,0,0,0,0,0,0,0,0,0.836466070865227,0,0.885887224028431,0,0,0,0.838066840812143,0.841300593297571,0,0,0.882961687664792,0,0.880699273004452,0.882408501995599,0.881625524005732,0.848163841717295,0.878269360198873,0,0,0.882768597588208,0.844841777633492,0.881774140180661,0,0,0,0.847837320792093,0,0.846277387375485,0,0,0,0,0,0,0,0,0.883478794546695,0.883487410098401,0,0,0,0.881914087019332,0.837445022097484,0.844087461085535,0,0,0,0,0,0,0,0,0,0,0.882057453289713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922304254705281,0,0,0.884391868543535,0,0,0.837766384239986,0,0.880194745241142,0,0,0,0,0,0,0.837445022097484,0.838490604815797,0,0.837996417101051,0,0.882948115949701,0,0,0,0.837455933342343,0.883705608835196,0,0,0.841842828855753,0,0,0.883264692783948,0,0.889518783827938,0,0,0,0.882201942253586,0,0,0,0,0,0,0.881760583678643,0.881295523547372,0.884391868543535,0,0,0,0,0.884928225277197,0,0,0,0,0,0,0,0,0,0,0,0,0.883584819870639,0.837907373547492,0.889094999193648,0,0,0,0.885708166027503,0,0.836951431551072,0.882518909231078,0.838727289910237,0.838727289910237,0.838727289910237,0.838727289910237,0.838727289910237,0,0,0,0,0,0.842670797173371,0.882833093986363
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721350773946851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730109613986555,0,0,0,0,0,0,0.723517242492596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798397426904613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720753412270364,0,0,0,0,0,0,0,0.724443786801396,0,0,0,0,0,0,0,0.71565501665253,0.726781763316294,0,0,0.722093468655272,0,0,0,0,0.72285528501487,0,0,0.712860656715795,0,0,0,0,0,0,0,0.718764865367324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722432876649448,0,0,0.719218049177143,0,0,0.716267667349781,0.720223688003569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801647625825536,0,0,0,0,0,0,0.721191181427257,0.721909176768987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA receptor activation",0.894048803788033,0,0,0,0.865076598666075,0,0.896410977763028,0.865758880129617,0,0,0,0,0,0,0,0,0,0,0,0.865914155797002,0,0,0,0,0,0,0.894818304644229,0,0,0,0,0,0.864269969114918,0,0,0,0.893870826614273,0.864619850104661,0,0.864178990302656,0.864561008958213,0,0.868497602358198,0,0,0,0,0,0,0.867973874129747,0.893286869659891,0,0,0,0,0,0.894371008369935,0.866945230578926,0,0,0.8654012224892,0,0.894729883796381,0.865004764080466,0.862533417807388,0,0.862080189342036,0.867276935159847,0,0.865093798723169,0.865643782743096,0.864420291719187,0,0.862344523723734,0,0,0,0,0,0.864585017679132,0,0,0,0,0.831860696841532,0,0.865158750995012,0.862808369295256,0,0,0.830896470022224,0.862358825139778,0.893949874939431,0,0,0,0.866161360991451,0,0,0,0,0.894634787055662,0.832397669884263,0,0.864612168577681,0,0,0.861542631448928,0,0,0,0,0,0,0.864768700157204,0,0.863939743166832,0,0.864646326817686,0.863232704255876,0,0,0,0.86314388652569,0,0.866087103791146,0,0.86376063035514,0,0,0,0,0,0,0.893949874939431,0.89465800711149,0,0.894323313152114,0,0,0,0.835806872680744,0.832027753592089,0.893957264697684,0.862922570061873,0.864409114732039,0,0,0,0,0.86474167398819,0,0.868151287425818,0,0.862943986816897,0,0.86488667671599,0.868225528079176,0,0,0,0.866019611700602,0,0.865206151072682,0.892455078399862,0.865158750995012,0,0.868705250315923,0,0,0.865363229355522,0,0,0,0,0,0,0,0,0,0,0,0.868122157287957,0.864612168577681,0,0.866572592803988,0.866138721122871,0,0,0.897930739663085,0,0,0.865719735231227,0.894818304644229,0.894818304644229,0.894818304644229,0.894818304644229,0.894818304644229,0,0,0,0.861485573840939,0,0,0.865799134445528
"Drug ADME",0.84404840391435,0.824628157769057,0.889689690045778,0,0.844898791390435,0,0.888496260388244,0.887847902313366,0.84700856691074,0,0,0.847246199667661,0,0.890782479891135,0.847246199667661,0.891535976857138,0.84700856691074,0,0,0.865558959129194,0.847246199667661,0.84700856691074,0,0.848689678344727,0.869187993324774,0.891206803301466,0.887216716759965,0.845057259992159,0,0.907559859246878,0,0,0.867002682882193,0.888867299737627,0,0,0.88656658072675,0.866719021548859,0,0.866416514436486,0.888363127193103,0,0.869379839412908,0.889625918357598,0,0.889625918357598,0,0,0,0.891132318845773,0.886165883881138,0.891754302110264,0.847234591387289,0.824644161770592,0.889175262159168,0.868337182289779,0.844269492743999,0.847388682569924,0,0,0.866362994293216,0.846326949890312,0.88790954152307,0.887842781666012,0.865133272032802,0.892083475665937,0.887088217845272,0,0.868612805207847,0.888871197278788,0,0.888409053399915,0.843765845166521,0,0.890877629745792,0,0,0.891206803301464,0,0,0,0.843769992650403,0,0,0,0,0.867655608348252,0.866502457186886,0,0.891516669353343,0.868519972363787,0.888013533247393,0.886620821735962,0.89018910156542,0,0.890217050308634,0.88818303389204,0,0,0.889175262159168,0,0.907022157051435,0.845811786741838,0,0.868222240600194,0,0.843769992650403,0.886921187895709,0.908952756450404,0,0,0.907750339712234,0,0,0.888583168639172,0,0.888767855783325,0.889336665605174,0.866737189215691,0.886698180332988,0.872012088021328,0,0.868871999797401,0.907399627168088,0,0.865677631773108,0,0.887389603744756,0.869985810242151,0.868612805207847,0,0,0,0,0.886620821735962,0.887293415203765,0,0.84423676546301,0,0.868201059625621,0.888656571334659,0.845600179836625,0,0.88662589240564,0.867889471381999,0.888336429997719,0,0.889145976905235,0,0,0,0,0.82704086116704,0.843757597837671,0.868507019438578,0.869531031671427,0.888512107912848,0.870181771613903,0.890497006068508,0,0,0.88836124638226,0.843769992650403,0.867974241385215,0.886659132382013,0.866902111382248,0.889503170241153,0,0,0.843761713603927,0,0,0,0.888270617912402,0,0.867655608348252,0,0.888270617912402,0.843769992650403,0.889488651573568,0,0,0.846988578529292,0.868496948436426,0.846565283707842,0,0.869506802829975,0.907703073986677,0.887532362757411,0.8467120924762,0.887357591576657,0.888842840645285,0,0.887216716759965,0.887216716759965,0.887216716759965,0.887216716759965,0.887216716759965,0,0,0,0,0.868460589635561,0.889530750035773,0.888788374925845
"Signal amplification",0.87688700985498,0.793291878172411,0,0,0.838726833638385,0,0.836343818068979,0.839206830829046,0,0,0,0,0,0.797926723418479,0,0.799495601152588,0,0,0,0.839411225560663,0,0,0,0,0.794775118819978,0.799495601152588,0.877986399868352,0,0,0.792928595702058,0,0,0.83757439765876,0.753290871735056,0,0,0.876632732909264,0.838074274511261,0,0.839846361620552,0.837669370159457,0,0.843614440019254,0.798498241581647,0,0.798498241581647,0,0,0,0,0.87579843046669,0,0.843590270084366,0.793325200564934,0.794580289089854,0,0.877347345274692,0.841396558106022,0,0,0.840759503175156,0.795872956397424,0.880262018407666,0.838129421172275,0.83717448565364,0.800635564190703,0.790234794015681,0.841870466225448,0,0.838751407452494,0.839537172580828,0.838283946379415,0.790383509320821,0.835536996265138,0.798810219411912,0,0,0.798810219411912,0,0,0,0.790392144916462,0,0,0.794524627721616,0,0.796179144776181,0.838463827587081,0,0,0.793147031677068,0.834945047969281,0.876745669676719,0.796691233316833,0,0,0.840276639408967,0,0,0.837687686928667,0,0.8366132510821,0.842196685288501,0,0.83928508200486,0,0.790392144916462,0.789466782161589,0,0,0,0.793325200564934,0,0,0,0,0.793732016541147,0,0.838112101933613,0.83849439765424,0,0,0.796179144776181,0.837399192483363,0,0.839658317290403,0,0.836846702632283,0,0,0,0.79520086638414,0,0,0.876745669676719,0.877757381920883,0,0.877279202860378,0,0.794782160921013,0.793500307985518,0.79337939014138,0.794763302599948,0.876756227464093,0.836577423464068,0,0,0.794519313419207,0,0,0,0,0.843119658012092,0.790366337319895,0.8362476406482,0,0.835761573923379,0.841990235931334,0,0,0,0.840074121434481,0.790392144916462,0.838911925858732,0.879559179077421,0.83928855927272,0.795948417691991,0.84267561767201,0,0.790374906875352,0.837632970447859,0,0,0,0,0.794039984505397,0,0,0.790392144916462,0,0,0.752440343280878,0.843078039627405,0.838063299872334,0,0.841792230593846,0.840244293706918,0.793226787236469,0,0.88243315252554,0,0.795068308429681,0.839645686309268,0.877986399868352,0.877986399868352,0.877986399868352,0.877986399868352,0.877986399868352,0,0,0,0.83359631715002,0.795716059227679,0.795320460636011,0.839759124393929
