"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","GABRR2","UBE2J1","RRAGD","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Biological oxidations",0.908090685027059,0.908772762827953,0,0,0.908629831630075,0,0.90896863567363,0.92063762655909,0,0.910509867085667,0,0,0,0.909695948476733,0,0.899743474002551,0,0,0,0.89809070202301,0,0,0,0,0.920646162651705,0,0.908198387223849,0,0,0.919591092498299,0,0,0.908212299978104,0.919917327999971,0,0,0.907910115330514,0.908381542038433,0,0.908217687406084,0.908529783665353,0,0,0.909288134165023,0,0.909288134165023,0,0.9211117218505,0,0.921962542865516,0.907807496503467,0.920992454137927,0,0.908781431482938,0.920159349157477,0.909588999549089,0.908210439001154,0,0,0.909775313260339,0,0.909317658905914,0.919536941109347,0.920180747055958,0.908257258823281,0.90004002972755,0.909910826527561,0.910112298128515,0,0,0.909472842668541,0.920006688396066,0.909263624686301,0,0.930859463057954,0.92007121201534,0.920079335484734,0,0.90801616510986,0.908150030418332,0.908823213624943,0,0,0.910129802331144,0.910677737838353,0.908688749914334,0.898364638710098,0.899565175345304,0.921273345408287,0,0.909738127046608,0,0.908018411617194,0.920081262272886,0.909515201559932,0,0.909535379066742,0,0.921206379708968,0,0.909289490483665,0.907941591119024,0.907810881246856,0,0.908991846384335,0,0,0.908153276157718,0,0.908481684022805,0.921748199790534,0,0.919845241132462,0,0.920451534241395,0.897634692956908,0.907875617424123,0.909492981906519,0.91954982283303,0.899013931632413,0,0.921391600082842,0,0.897188207805256,0,0.920707026810256,0,0.908906347994334,0.898089558829473,0,0.920150650474129,0,0.908018411617194,0.909471182968334,0.920647351811389,0,0,0.919694267284425,0,0.921311408484035,0.909109619002632,0,0.920168512361756,0,0.908391382654563,0.907610361903669,0.910984794120836,0,0,0.920079008247613,0,0.919628267015644,0.909349121210684,0,0,0,0,0,0.907875617424123,0.908925242116055,0,0.908192712090364,0.909991833965063,0.908826984809079,0,0.909351580568357,0.907878363980094,0,0.90897597166765,0,0.908426085027382,0,0,0,0,0.90801169789907,0.909047165247992,0.920543291279254,0.910737936448173,0.909212984291921,0,0,0.920223634021624,0.908018411617194,0.908738549956392,0.919659574459555,0.919738373841713,0.920528861898315,0.910232799313349,0,0.908013927226378,0,0.922464544716925,0.910372848930686,0.920412486899388,0,0.908888849402129,0,0.920412486899388,0.908018411617194,0.930738926217395,0,0.909499268924515,0,0.897422205290774,0,0,0.910726518868431,0.919668665545599,0.931175018859944,0.909390456796692,0.931080353093764,0.920404593916907,0,0.908198387223849,0.908198387223849,0.908198387223849,0.908198387223849,0.908198387223849,0,0,0,0.909449835542732,0.909317658905914,0.909221958910563,0.920141689105333
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.812064805547327,0,0.795922369519708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812283567488192,0,0,0,0,0.811517925068715,0,0,0,0.810916735883757,0,0,0,0,0,0,0.792766353618493,0,0,0,0,0,0,0,0,0.814176563510632,0,0,0,0,0.8122027832811,0,0,0,0,0.777225325666779,0,0,0.81111004366046,0.811336594320451,0.792981554760111,0,0.795617143702929,-0.0134035258901956,0,0,0.794111233733001,0.811122172937127,0,0,-0.0134035258901956,0.811162008580083,0.81323444173295,0,0.77441305156564,0,0,0,0,0,0,0,0,0,0.813078065279814,0,0.795341881407195,0,0.774416632229362,0.812056643966542,0.81202414818503,0,0.794210909264396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814713542791132,0,0.811601436985263,0,0.793880880298559,0,0,0.790837037619855,0.793962609685591,0,0,0.813386381091596,0,0,0,0.8122027832811,0,0.811053708498084,0,0,0.794920257009812,0,0.774416632229362,-0.0134035258901956,0.794305125229299,0,0,0.811682373324922,0,0.813138733265353,0,0,0.811851055517572,0,0,0.790431108417021,0,0,0,0.811174434840901,0,0.81066116371458,0,0,0,0,0,0,0,0.793238424015275,0,0,0.795096686748358,0,0,0,0,0,0,0,0,0,0,0,0,0.774405931366489,0,0.811914446405812,0.796127641751007,0.793855293619228,0,0,0.811571811264648,0.774416632229362,0,0.811038500084047,0,0.812770064179416,0,0,0.774409484647307,0,0.814976694358271,0.796353552096647,0.811705959885209,0,0,0,0.811705959885209,0.774416632229362,0.811104256228902,0,0.794311597047391,0,0,0,0,0.79560859839807,0.811641567218471,0.828860147257491,0,0.828709261360312,0.812405135639687,0,0,0,0,0,0,0,0,0,0.794232806155373,0,0,0.812152957102697
"Activation of Matrix Metalloproteinases",0.880114515268406,0,0,0,0,0,0,0.850756746857057,0,0,0,0,0,0,0,0.855079829898169,0,0.851482384162049,0,0.881456033623957,0,0,0,0,0.820473256979222,0.855658606761128,0,0,0,0.881506514828384,0,0,0.848492306312968,0,0.882629359014981,0,0.879446061962836,0.848847908128042,0,0.84839983992662,0.850167789917925,0,0.853276630703174,0.883946889698663,0,0.883946889698663,0,0,0,0,0.879340122926788,0.886501523058485,0,0,0.882681494553307,0,0.880441988144922,0,0,0,0.882332526233473,0,0.88080673146271,0.881788651135357,0.848107046080451,0.855890775480952,0,0,0,0.881073675331947,0.881115052592042,0.852969920613885,0,0,0,0.849907896702354,0.881546599647929,0,0.848121590977314,0.848322027272023,0.850562970255846,0.855171040694038,0,0.854331497177039,0,0.911403916220533,0,0.854592263831079,0,0,0,0,0.848127734157317,0,0,0,0.85396011790852,0,0,0,0,0.847259840826616,0.879349378666836,0,0.882297133305202,0,0,0,0,0.880902070324759,0,0,0,0,0.881448328238415,0.853074961857987,0.879526402789371,0.848398134039622,0.880098622388585,0.853084861962484,0,0,0.88163704971808,0,0,0,0,0,0,0,0,0,0.848127734157317,0,0,0,0,0.881788651135357,0,0,0,0,0.882078051412284,0,0.848874817755844,0.907905971489425,0,0,0.881457589788201,0.851423581264409,0,0.88003660879236,0.883107346181663,0.881073675331947,0.883067109185772,0,0,0,0.879526402789371,0,0,0.880393513073327,0,0,0.882892243693148,0,0.879533913375898,0,0,0,0.851539804106879,0,0,0,0.853540249316516,0.848109375179229,0,0.882297133305202,0.884574511054367,0,0,0,0,0.848127734157317,0,0.848995961793631,0.882297133305202,0.883654752290169,0.852968173407838,0,0.848115471379642,0,0,0,0,0,0.819950297983861,0,0,0.848127734157317,0,0,0,0.852407480747986,0.880902070324759,0,0,0.882453583187103,0.881718641975992,0.880827375450035,0,0.880568507458447,0.851669580886116,0.8504533432959,0,0,0,0,0,0,0,0,0.815377518019699,0.851915054140022,0.88320803692862,0.882596010071505
"Extracellular matrix organization",0.844726026012408,0.816894156439826,0.827351011483344,0,0.826869274790737,0,0.81615858456543,0.816721654480219,0,0.816778401031965,0.808783029803565,0,0.816760791629525,0,0,0.827691220324261,0,0.826557164075338,0.826983708169843,0.826318957488228,0,0,0.817399432047539,0.827945390509503,0.815818046242326,0.818144393077917,0.816621994860446,0.816654171095388,0,0.826556533004347,0.816647174160159,0,0.836223880625413,0,0.826855955880831,0,0.825953233457546,0.835913997308841,0,0.835773561772629,0.825942950712101,0.817538107171312,0.826889411792584,0.827321406191904,0,0.827321406191904,0,0,0,0,0.835580201985042,0.828006383427493,0,0.816901586118154,0.826924800395747,0.826411138715742,0.835925553501285,0.827284539528961,0.826451400232109,0.816320456715052,0.82685792197665,0.826748069032695,0.826464884709719,0.836998519991146,0.825400373861586,0.827945390509503,0.826431967331052,0.815939141893133,0.827074712915856,0.844853875138751,0.835373142958098,0.826376161904837,0.817197299077261,0.827691220324261,0.82651601260291,0.826070209930534,0.826569096567458,0.816615396490198,0.815517666077415,0.836170511008143,0.816494005216081,0.817991577944299,0,0.826427215207968,0,0.84377208796059,0.826724301997381,0.827538405190643,0.816485322392804,0.816079739572751,0.816920823332346,0.808505648338818,0.815519591500319,0.8158509962968,0.815961797834688,0,0.826464301354724,0.807719930127021,0.80898529451008,0,0,0.826346493756321,0.825922930547245,0,0.836354186246599,0.826550375043391,0,0.826527923487607,0,0.835686144442573,0,0.817139513848956,0.816034746182136,0.816948519194512,0.826513161702125,0.836456424202838,0.825978414238102,0.826767675397257,0.826268080203565,0.827065948566785,0,0,0.826531063900245,0,0,0,0,0.815592780440697,0.82690594831715,0.8174695121509,0.826222353382018,0.817512398864038,0.815519591500319,0.815767903257584,0.817534586684448,0.818171651810541,0,0.826644961425352,0,0,0.827152545270051,0.806801013726085,0.826735666552253,0.816089588552948,0.835922431444532,0.834973896425015,0,0,0.84556870111106,0.826213624566243,0,0.826095828491743,0.825767793108955,0.777177797278798,0.826993157493815,0,0.827437953915714,0,0.825978414238102,0.816570932210004,0.808163344022986,0.835910360227916,0.807648395022642,0.816094453217202,0.82714366946572,0,0.825980768239664,0.817281626448882,0.807055476233174,0,0.826581689635352,0,0,0.827186426045019,0.817377073250022,0.815513837347438,0.826442748227345,0.826779197975877,0.827321406191903,0,0,0.817609802234904,0.8269682403205,0.815519591500319,0.82686192822376,0.835501429403733,0.82609822564546,0.827229843181007,0.818015940791208,0.816939535516018,0.81551574804579,0.816319480565051,0,0.817307581537417,0.816776362750192,0,0.807416123820167,0.816411264608417,0.815737382352769,0.815519591500319,0,0,0.816510462052125,0.826616998933074,0.844718460316118,0.845736255097951,0.827704781008348,0.827092851574685,0.826623018842049,0.826115571351324,0.827088311354171,0.825815767427348,0.825592905519221,0.827025530045398,0.816621994860446,0.816621994860446,0.816621994860446,0.816621994860446,0.816621994860446,0,0,0.816773897536704,0.826185193187717,0.816706630238814,0.827089831657909,0.826898007467792
"Class B/2 (Secretin family receptors)",0.915599753281837,0.897298101402387,0.856579920523313,0,0.897030745474167,0,0.895920355282659,0.89750507982819,0,0,0,0,0.898104516107453,0,0,0,0,0,0,0.897006326544069,0,0,0,0,0,0.900316876258186,0.866128333203551,0.89574236913038,0,0.897121325619432,0.854309947026768,0,0.915900564114236,0,0,0,0.91547602034718,0.916143807675908,0,0.9158373140064,0.897435725072981,0,0.899742600350142,0,0.85711452441135,0,0,0,0,0,0.915070042961693,0.877801446645067,0.857122012149803,0.897314316310919,0.874854907562358,0,0.915823755706623,0.898477724805774,0.895442945193944,0.896713591444441,0.874590081411378,0.896586702964545,0.896642650339808,0.916744918333696,0.895617129635124,0,0.897104759884686,0.8958859689781,0.898057101994148,0.855124209394792,0.897616979171491,0.896586702964545,0,0.897425062053412,0,0.916209702606174,0.897148744979688,0.854240593820753,0.894433935534678,0.91578408754229,0.89566183226444,0.899983364724549,0,0.899649853190911,0,0.896283857095321,0.899044983525359,0,0.897503318009899,0,0,0,0.894438137675726,0,0.895490877895078,0,0.897400443336908,0,0,0,0.899148072645936,0.896506803406351,0.915409885731786,0,0.897328623626333,0.896774374638052,0,0.89649378732123,0,0.874934187747054,0,0.897903448897729,0,0.855509576359832,0.895248855596011,0.89775507008804,0.915530976165642,0.895816243556782,0.893627994726331,0,0,0,0.873166009709448,0,0,0,0,0.89624302584035,0,0,0.897282141225356,0,0.894438137675726,0.895512249055161,0,0,0,0.897314316310919,0,0,0,0,0,0.896639648314904,0.916162214763365,0.895748836891441,0,0,0.874249700896447,0.896625470405951,0,0.896115860617935,0.896716318097203,0.855124209394792,0,0,0,0,0.915530976165642,0.91602328239752,0.876301063859731,0.915790597132715,0,0.895950591495887,0.898016516146514,0.899264213505824,0.91553611365859,0.896034029296655,0,0,0,0,0,0.855887209343347,0.875123718291889,0.8944255795193,0.895920355282659,0.897328623626333,0.876322820382587,0,0,0.898104516107454,0.897686345109317,0.894438137675726,0.897120812639089,0.916064757377782,0.897328623626333,0.875520648479035,0.876656331916223,0,0.894429749524734,0.897399097907256,0,0,0.854733169727263,0,0,0.897341690527961,0.895968529402999,0.894438137675726,0,0,0.89537992023409,0.898814561112299,0.897282141225356,0,0.898522389005279,0.873913696909268,0.89726642769913,0,0.91829854497419,0,0,0.89747786559025,0.916134724127519,0.916134724127519,0.916134724127519,0.916134724127519,0.916134724127519,0,0,0.876335492197794,0.895556644316506,0,0,0.897103150042838
"Glucagon-type ligand receptors",0.91440041709585,0.878817560075753,0,0,0.878297755206227,0,0.876138886942248,0.879868403850635,0,0,0,0,0,0,0,0,0,0,0,0.880569256900166,0,0,0,0,0,0,0.818215959057754,0,0,0.878473865012,0,0,0.877207456086913,0,0,0,0.91415985021415,0.877680380658589,0,0.877084482512808,0.879085133922398,0,0.883570259838413,0,0,0,0,0,0,0,0.91337053155831,0,0,0.878849085796802,0,0,0.914835932223436,0.881111034521489,0,0,0.834667653068899,0.83541113568535,0.877543203990464,0.916626896135725,0.828479407332593,0,0.880266098198726,0,0,0,0.879437535919446,0.877535277338447,0,0.879064402422135,0,0.915586306748889,0.873819197868059,0,0,0.876980997337013,0.87573710403143,0,0,0,0,0.873918293020195,0.882213923268657,0,0,0,0,0,0,0,0.875303878573807,0,0.879016537656971,0,0,0,0.882414353561069,0.877279084552412,0.91403126845666,0,0,0.87844773546093,0,0.87740050243675,0,0,0,0.88111103452149,0,0,0.874820723892846,0,0.914266697674896,0.876731620209077,0,0,0,0,0.831898911750359,0,0,0,0,0.876766236888283,0,0,0.878786529614622,0,0,0,0,0,0,0.878849085796802,0,0,0,0,0,0,0.877716168507983,0.875805413525136,0,0,0,0.877509802025765,0,0.876518996805422,0,0,0,0,0,0,0.914266697674896,0.915223860578791,0,0.914771463901005,0,0,0.881330864718987,0.882640159605178,0.914276686209166,0.876460745474718,0,0,0,0,0,0,0.835705172793617,0,0.876239735578259,0.875949572947124,0.841094794509758,0,0,0,0,0,0.878472867653604,0.915304498015362,0.878876902693446,0.836328188130792,0.841743221946479,0,0,0.877391937289298,0,0,0,0,0,0,0,0,0,0,0,0.834549266516273,0.878786529614622,0,0.881293532825011,0.833352597292091,0.878755978702568,0,0.919647523725818,0,0,0,0.915440530372904,0.915440530372904,0.915440530372904,0.915440530372904,0.915440530372904,0,0,0,0.875578468788416,0,0,0.878806282643192
"G alpha (s) signalling events",0.940799672653199,0.927833129922215,0,0,0.927604391638456,0,0.905607712364777,0.928010211800327,0,0,0.908419446150432,0,0.909937094965535,0,0,0,0,0,0,0.927801119106888,0,0,0,0.91150908722086,0.927959306923921,0.910042411747421,0.898340022926247,0.927088601983735,0,0.927681888132019,0,0,0.9257009102836,0,0.908618712641553,0,0.943385378976276,0.923217452135444,0,0.926579169429726,0.927665536654693,0,0.929271383229179,0.909433300873662,0,0.909433300873662,0,0,0,0.92932768746354,0.940346475185964,0.912099830569371,0.909171192788559,0.927847002703618,0.927878195393441,0,0.940991319535857,0.928479514547219,0.926584969827443,0.908747079384527,0.909560591961575,0.909973971359459,0.924580787136475,0.944470993758168,0.926091710841905,0,0.927667715198731,0.92582213111711,0.909659355977542,0.907546450765729,0.927614622210919,0.928351039317697,0.927667715198731,0.927941752018661,0.907055161631511,0.944013086100126,0.927214021086628,0,0.906796703405083,0.925601257916276,0.925954714208298,0.90975707356051,0,0.91030491209568,0,0.926083209445399,0.92904234927663,0,0.928757023880762,0,0,0,0.906800298577024,0,0.945675121478888,0,0.927714701610024,0,0,0,0.929415886100737,0.926502973923854,0.94332879703129,0,0.927653255741041,0.92767038991602,0.908672421348244,0.923962100436324,0,0.926918861903237,0,0.927418666087733,0,0.927249628592568,0.944271826660758,0.90856894626604,0.943432396821294,0.926423893628188,0.926366621659643,0.928347736581726,0,0,0.909359566075718,0.928285999669131,0,0,0,0.943839781692097,0.910158919746144,0,0.927819475078177,0,0.906800298577024,0.925502392354072,0,0,0,0.927847002703618,0,0,0.927421253990157,0.908869194888259,0.92752504249092,0.908683816809208,0.925924767374875,0.943131636602122,0,0,0.927243968442005,0.941475417962187,0,0.926536317144757,0.910120132733292,0.907546450765729,0.908874897081949,0.910135995782626,0,0,0.943432396821294,0.94227581691817,0.911200152029865,0.943654517403514,0,0.927428577564542,0.927515401584151,0.929515251247198,0.943436792240268,0.944993512323895,0.927804224111334,0,0,0,0,0.907386993552023,0.910381342390929,0.906789554356139,0.927371653475655,0.927303352040972,0.910107906340268,0.928515272925797,0.908467755263258,0.909350604989965,0.908911501555252,0.906800298577024,0.923405078517412,0.943889077169402,0.927144603295544,0.928447774814115,0.911525823583887,0,0.906793122034224,0.92778596703183,0,0.929229913060287,0.907211893970867,0,0,0.90928445406461,0.908109636206107,0.906800298577024,0,0,0.926940335669614,0.909590271961189,0.927328149202273,0.908390169722766,0.947164541289493,0.928397970189582,0.927806031258005,0.927693722835482,0.945800210184062,0.927542225575204,0.92808136764817,0.908446652511048,0.94507598511753,0.94507598511753,0.94507598511753,0.942384418193917,0.94507598511753,0,0,0,0.926407779323477,0,0.908304216878203,0.927828167328133
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817754216381794,0,0,0,0,0.815433740783445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874210223070665,0,0,0,0,0.817509379135947,0,0,0,0,0,0,0,0.814197551629346,0.865602968511314,0,0,0,0,0,0,0,0,0,0,0,0.86507384167607,0.815504551868127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817066466485389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82511887937802,0,0.815686845051957,0,0,0,0,0,0.812946654851443,0,0,0.824564940160716,0,0,0,0,0,0,0,0,0.815849050527475,0,0,0,0,0,0,0.815932143374541,0,0,0,0,0.816443377995252,0,0,0,0,0,0,0.865733281794201,0,0.812837105898408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867354297368522,0,0,0,0,0,0,0,0,0,0.819228669301259,0,0,0,0,0,0,0.866722425529479,0,0,0,0.866722425529479,0,0,0,0,0,0,0,0,0,0.815808470009698,0.918712587247634,0,0.918255288861818,0.818122659824718,0,0,0,0,0,0,0,0,0,0,0,0,0.817358368131069
"Platelet homeostasis",0.782128418605895,0.703008448711729,0.760109072146719,0,0.755158404277307,0,0.730971638205741,0.758333592186135,0,0.673013499705081,0.676153035443824,0,0.675806177304706,0.704851386890332,0,0.704471036382628,0,0,0,0.7321072251057,0,0,0,0,0.702834684357152,0.70597427258224,0.782831915048937,0.67269991084229,0,0.758019462067695,0,0,0.756533819672702,0.672085481527082,0,0.675250002301837,0.781965707534589,0.756853689403567,0,0.756450644624484,0.757742272001332,0.673546990886485,0.761275972581497,0.703409683542034,0.674681740096332,0.703409683542034,0,0,0,0.706902965593526,0.781431839850116,0.707269078078034,0.758916558757193,0.703029771612909,0.703832899076543,0,0.782422985889966,0.759544427605054,0.672306162891454,0.705808944829441,0.757105159319789,0.676398629618511,0.733084595032752,0.783634331586351,0.754933797749604,0.705200495385128,0.758724543020549,0.702497759519821,0.704628796472902,0.674980776901489,0.758480741868452,0.729788284258157,0.704351536032579,0.75822836734932,0.700969436725806,0.782930513119212,0.758751595464437,0,0.7006691426832,0.756380650851031,0.75597789844902,0.705535698817855,0,0.703930170552778,0.706001806087468,0.754747717943495,0.759920019937868,0.704032462618243,0.705032623755331,0.75851009652605,0,0.673926556777663,0.700674668575507,0,0.730524420262064,0,0.758401039288102,0,0,0,0.760494157780609,0.78243687327458,0.781878739306195,0,0.703592612585938,0.757811275265873,0,0.755868974839986,0,0.70085863047234,0,0.759174064350318,0.700572756815046,0.672966859909389,0.755228336638173,0.75834572439417,0.782037975440634,0.756211980835611,0.72980170551705,0.702676529634851,0,0,0.699572051799616,0.674649024777488,0,0.757044886908416,0,0.7571477884959,0.758393183606206,0,0.757285240528711,0,0.700674668575507,0.702006310988367,0.673412269259188,0,0,0.757644160908774,0,0,0.703972717406201,0.671949055284146,0.703290091962155,0.673879849375058,0.756877895060113,0.757666904689131,0,0,0.70104171988957,0.811172350625262,0,0.75575156020663,0.70252570312925,0.674980776901489,0,0.703107118973966,0,0,0.782037975440634,0.784232876439746,0,0.782379381759032,0,0.700809713292069,0.7593227498497,0.760646885134785,0.78204473133779,0.811373326728558,0.703643975643881,0,0.701461771878487,0,0,0,0.701391291060002,0.700658154370205,0.72891202487352,0.728715768962351,0.705784435756863,0.7602083113704,0,0.676911773614456,0.703479320713115,0.700674668575507,0.756882576805843,0.784287416797085,0.757784939500227,0.759006140295415,0.705843807846914,0,0.700663638003591,0.757097170105694,0,0.674780979320014,0,0,0.70236427406674,0.674803047720794,0.672997315735714,0.700674668575507,0,0,0.67222328391695,0.704318309028452,0.758040423847382,0,0.732202991698308,0.75868085208263,0.757581186508715,0.759560945572349,0.78567737902384,0.75932808952019,0.704145181219848,0.702956429394864,0.782831915048937,0.782831915048937,0.782831915048937,0.782831915048937,0.782831915048937,0,0,0,0.700421876815943,0.703436789362546,0.70318364698475,0.757816349027319
"ADP signalling through P2Y purinoceptor 1",0.853119826833316,0.7473945785053,0,0,0.799466233977238,0,0.802106341383323,0.80609034969924,0,0,0,0,0,0.753256405082273,0,0.755240611395444,0,0,0,0.807268312465297,0,0,0,0,0.749270477049125,0.755240611395444,0.854510258068169,0,0,0.74693512436463,0,0,0.803399997422066,0,0,0,0.852798235220397,0.804032206538798,0,0.805625584702627,0.804417503066342,0,0.811039018566262,0.751273761502662,0,0.751273761502662,0,0,0,0,0.851743068117405,0,0.811008450131035,0.7474367223258,0.749024070097136,0,0.85370202672443,0.808618330369905,0,0,0.807428295062061,0.750669783043669,0.806238807016678,0.856096200723627,0.802246383732215,0.756682356540929,0.806863047637995,0.743528193284958,0,0,0.805514362215146,0.803703416117934,0,0.805882377219442,0,0.854705133021643,0.804297384784012,0,0.743716277952685,0.803097265665619,0.801434419759255,0.754373788731564,0,0.754373788731564,0,0.799003019549194,0.808600092146097,0.754373788731564,0,0.806439203129461,0,0,0.743727199647229,0,0.800990095929623,0,0.804701007592851,0,0,0,0.810360617043469,0.805885730169665,0.852626346161974,0,0.74834073082588,0.805058012197593,0,0.806914865172573,0,0.747353096751974,0,0.808618330369904,0.747189851341008,0,0.80020939591253,0,0.852941069707816,0.802763896449409,0.744432093170506,0.751693844019514,0,0,0.746919521580664,0,0,0.803543277729816,0,0.802810172285971,0.809245942008332,0,0.806167248714496,0,0.743727199647229,0.742556865860043,0,0,0,0.7474367223258,0,0,0,0,0.747951234585585,0,0.804080048004458,0.803915715680449,0,0,0.74834073082588,0.80380417574224,0,0.744321841874722,0,0,0,0.749808932651025,0,0,0.852941069707816,0.854220612261285,0,0.853615844987168,0,0.747658185886569,0.808912201027753,0.810662476257917,0.852954422455392,0.802401789071597,0,0,0.748946952353657,0,0,0,0.752007759909417,0.74369456001259,0.801971526169829,0.801455755246671,0.754373788731564,0,0,0,0,0.743727199647229,0.805958431765256,0.855851565605144,0.806529117274042,0.750754383014817,0.753511805028339,0,0.743705398184149,0.803474076169812,0,0,0,0,0.74834073082588,0,0,0.743727199647229,0,0,0,0.752202799030533,0.804644092101031,0,0.808997110685203,0.750603082630601,0.747312256063455,0,0.86013419835598,0,0.749641282665064,0,0.854510258068169,0.854510258068169,0.854510258068169,0.854510258068169,0.854510258068169,0,0,0,0.74393135962677,0.750460512356968,0.749960187056912,0.805537320761751
