"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Interaction between L1 and Ankyrins",0.860803140433518,0,0.865952693548668,0,0.862931229907796,0,0,0,0,0,0,0,0,0,0,0.82205080626462,0,0,0.809849118835841,0.811032134340727,0,0,0,0,0,0,0.812446604885188,0,0,0.807809652562232,0,0,0.860061200706003,0,0,0,0.810819643425804,0.860661998685149,0,0,0.863931506843761,0,0,0,0,0,0,0,0,0,0.809816902012619,0,0.867291629516664,0,0,0,0.811678530295388,0.815439248753368,0,0,0.863889353476119,0,0.812294773067345,0.863246021753546,0.808570264094592,0.823420918695661,0.810647004985869,0.858432373515072,0,0,0.808770654105116,0,0,0.819557497554171,0,0.813312698413073,0.861737756437728,0,0,0.859773510094331,0,0,0.823041188559895,0,0,0,0.821227051448445,0,0,0,0,0,0,0,0,0.864282505502026,0,0,0,0,0.861251510088514,0.81065629462838,0,0.864490727082875,0.861636837469486,0,0.862229512799409,0,0.807943623124332,0,0,0,0.863309003388936,0.862671037880931,0,0.81095538122066,0.81194464717608,0.811779306320613,0.818680259058694,0,0,0,0,0,0,0,0,0,0,0.807943623124332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860826854224478,0,0,0.86555259383022,0,0,0.8113291119086,0,0.860671515533457,0,0,0,0,0,0,0.81095538122066,0.812171350051244,0,0.811596630474243,0,0.863873570140913,0,0,0,0.810968070540614,0.864754502583673,0,0,0.816069845956281,0,0,0.864241735716134,0,0.817749794080503,0,0,0,0.863005801440469,0,0,0,0,0,0,0.86249251993644,0.861951674516878,0.86555259383022,0,0,0,0,0.866176354206883,0,0,0,0,0,0,0,0,0,0,0,0,0.864614030085986,0.811493076557565,0.871022137441201,0,0,0,0.867083392574545,0,0.810381356125375,0.863374420735914,0.812446604885188,0.812446604885188,0.812446604885188,0.812446604885188,0.812446604885188,0,0,0,0,0,0.817032738369576,0.86373980442367
"TNFs bind their physiological receptors",0,0.268596294853765,0,0,0.268094653013861,0,0,0.304287661133945,0,0,0,0,0.229348006413441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303229551904379,0,0.224784595145847,0,0,0.226633509004165,0,0,0,0,0.227089908638296,0,0.226514832374548,0.342893910878542,0,0,0,0.308326720867081,0,0,0,0,0,0,0,0,0.268626719002591,0,0,0,0,0.224354081876293,0.226738204522128,0,0,0.302200112050874,0.305185719517566,0.302768643569456,0,0,0.30063874792872,0,0,0.22878566535342,0.230400688541969,0,0,0,0.262000134458608,0.30268202226938,0,0.222460869837473,0.226414963179333,0,0,0,0,0,0.230839270058424,0,0.228219974124004,0,0.226533855374176,0,0.22246875434477,0.304858800209937,0,0,0.229005147694015,0,0,0,0,0.261489221318197,0.225712845646474,0,0.2288703918575,0,0,0,0,0.305125349174451,0,0,0,0,0.304748929717665,0.264316165028214,0,0.339282036421433,0.226048697660676,0,0,0,0.30409354496253,0,0,0,0,0,0.230853769199261,0,0.228157406520757,0,0.22246875434477,0.302430257914932,0,0,0,0.225146704960305,0,0,0,0,0.22858920967132,0.226599464499431,0.227124445988115,0.300148723952029,0,0,0,0,0,0.230729212512329,0,0.225969105877314,0.307955725881154,0,0,0,0,0,0,0,0,0,0,0.304562854526084,0.225306582262661,0,0,0,0,0,0,0,0,0,0,0,0,0.222445191386069,0,0.30709117641905,0.263031208473552,0.233225731487966,0,0,0.23113285763897,0,0.22246875434477,0,0.302027769241768,0.2288703918575,0,0,0,0.222453015597083,0.229809276425695,0,0.31019367414166,0,0,0,0.227916711323892,0.303653898041102,0.22246875434477,0,0,0.224235827693446,0.231658466987931,0.228157406520757,0,0,0.230503611797901,0.225056851215567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22261613997636,0,0,0.22925398733145
"ROS and RNS production in phagocytes",0.890833692267828,0.893050583630043,0.853826645476368,0,0.892525583432815,0,0,0.893457022025079,0,0,0,0,0,0,0,0,0,0,0,0.893407608863035,0,0,0,0,0,0.898978476851767,0.891884201233029,0,0,0.892703453414773,0.850688199074296,0,0.891424387029636,0,0,0,0.890590720976594,0.891902038371437,0,0.891300184363513,0.8933208318145,0,0,0,0,0,0,0,0,0.897520469427427,0.889793513265997,0.899412846568214,0,0.893082424443276,0.894281709257139,0,0.891273560266923,0.857329127345647,0.849964997899182,0,0,0.85174711472069,0.929918881343601,0.893082424443276,0.846932934126292,0,0.889704032463339,0,0,0,0.893676755986819,0.895366980814713,0,0.895783697804679,0,0.892031434609687,0.930912686820526,0.850552011905832,0.889468427485832,0.891195664877668,0,0.898323568534966,0,0,0.896865561110626,0.854831543170001,0,0,0,0,0,0.88947667912586,0,0.850552269641747,0,0.893906458262296,0,0,0,0,0.891496731404841,0.890460854074609,0,0.893765427680076,0.851682621515652,0,0.892274271149243,0,0,0,0,0,0,0.892625296044379,0,0.890698636352638,0.890943795283853,0.890812344639528,0,0,0,0,0,0,0,0,0.848970799569723,0.895841158635454,0,0.893019243026733,0,0.88947667912586,0,0,0,0,0.893082424443276,0,0,0,0,0.89347115257888,0,0.891938183911988,0.890008331381436,0,0,0.850674432666306,0.891729754845203,0,0.895055893797319,0,0.89072904675917,0,0,0,0,0,0,0.890698636352638,0.891665365875165,0,0.891208447598737,0,0,0,0.85196914206943,0,0.890708724719965,0.894281709257139,0,0,0,0,0,0,0,0,0.889452018985934,0.894058490418624,0,0.893765427680076,0.898323568534966,0,0,0.855138801308038,0,0.88947667912586,0.893357354404814,0.891746809263994,0.893110519363275,0.895589008163453,0.898978476851767,0,0.889460207522054,0.893620338954531,0,0,0.851062142582839,0,0,0,0.892481871357822,0.88947667912586,0,0,0.849841237350561,0,0.892364334709933,0,0.856601789081752,0.933630087258889,0.892988386765482,0,0.896133242497357,0,0.894748030294664,0,0.891884201233029,0.891884201233029,0.891884201233029,0.891884201233029,0.891884201233029,0,0,0,0.848146130795892,0,0.894988971316615,0.894166884822323
"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",0.587058809410939,0.592176169380435,0.496319402712191,0,0.590964285460879,0,0.489436234829813,0.593114371228425,0,0,0,0,0.600887562987681,0.504684165700497,0,0.603256712781451,0,0.492179981028916,0,0.597771869166116,0,0,0,0,0.595447776543681,0.602399320244355,0.587971993952379,0.591692065850535,0,0.591374871536932,0,0,0.676498314674772,0,0.596805126013741,0,0.586497946763048,0.677600900889671,0,0.67621161151802,0.592799996629953,0.501935073285462,0.691332688113333,0,0,0,0,0,0,0,0.584657712778147,0.502860798366256,0,0.592249669104334,0.595018037551744,0,0.588074178467266,0.603256712781451,0.588823065251197,0.596094469464932,0.593936019287005,0.597523223561043,0.507835421356249,0.592249669104334,0.586410412405926,0.605771147136694,0.595553321386905,0.5872869442887,0.597128361334834,0.592635906288746,0.593621593999425,0.597523223561043,0.597065078643581,0,0.590974014570322,0.589823617293936,0.679575134674958,0,0.585761134582248,0.675970344019752,0.593330924790671,0.600887562987681,0,0.604348061216062,0,0,0.601744955524776,0.598162423089918,0,0.595600795638952,0,0.585780182251015,0.594240636077107,0.48748947889555,0,0.594151827122016,0,0,0,0,0.588589335442024,0.586198168570526,0,0.593826279254298,0.591313952556324,0,0.590384168887865,0,0.592103824315842,0.60837425282798,0.597523223561043,0.49410396628541,0,0.591194457013517,0.595759296460749,0.58674705316261,0.58731296564806,0.58700953162477,0.597071074655308,0.510445194431681,0,0.592870959103462,0,0,0,0,0.483838893315456,0.59710603441882,0,0.592103824315842,0,0.585780182251015,0.585592928494685,0,0,0,0.592249669104334,0,0,0.595759296460749,0.589529769959464,0.593146989484603,0.595759296460749,0.677684337428533,0.761305538721773,0,0,0.593826279254298,0.589127234973767,0.606862495571304,0.59571377757913,0,0.586817251007978,0.598941547456712,0.592635906288746,0.598162423089918,0.600094521400114,0.4971794998108,0,0.58674705316261,0.684003831270457,0,0.587923875675094,0,0.590744930051115,0.592635906288746,0.598035740270676,0,0.586770340639837,0.589313934819969,0.594626128485101,0.499808069017184,0.592280436867213,0,0,0.493179447875618,0,0,0.585723258030436,0.594502770467336,0.59685293859788,0.593826279254298,0.692424036547943,0,0,0.599292023299163,0.595447776543681,0.585780182251015,0.592884303531429,0.589166602532103,0.593826279254298,0.596523983014,0.693935793804618,0,0.585742160033334,0.596094469464932,0,0,0.592717216104186,0,0.496111124710439,0.597429790200036,0.592717216104186,0.585780182251015,0,0,0.58853738265614,0.688637784098093,0.592103824315842,0.500902637131637,0,0.597771869166116,0.592032597281975,0,0.599292023299163,0,0.596094469464932,0.594502770467336,0.587971993952379,0.587971993952379,0.587971993952379,0.587971993952379,0.587971993952379,0,0,0,0.586136241619851,0.499808069017184,0.59665064554183,0.593241225373448
"WNT ligand biogenesis and trafficking",0.848521523241576,0,0,0,0.793987107373843,0,0,0.852585988638504,0,0,0,0,0.856761029841281,0,0,0,0,0.754712334818232,0,0.852848807785126,0,0,0.753244630780186,0,0,0.801987612956093,0.849823978170648,0.851010080984321,0,0.796960183625421,0,0,0.849253885676909,0,0,0,0.848220279590761,0.84984609323069,0,0.849099895201763,0.850178376727161,0,0.80058946482687,0,0,0,0,0,0,0,0.847231875734576,0,0,0,0,0,0.849066885787295,0,0.850281095124547,0.853374645895444,0,0.851857431714371,0.849674317298688,0.851309573989449,0.848985240686759,0,0.852469185148156,0.792011979088576,0.797297880032985,0,0.795414368270078,0,0,0,0,0.850006522864225,0.794274392258306,0,0.847824532089757,0.848970308568967,0,0.801175636482247,0,0.801175636482247,0,0,0,0.855297336199227,0,0,0,0.847834762739455,0,0.849789069833589,0,0.795699160566789,0,0,0.756266717501478,0,0.849159848842351,0.848059266413132,0,0.85215638345211,0,0,0.850123867719099,0,0.79731022387142,0,0.852722607784071,0,0,0.850742811442831,0.85319462189168,0.848354076557857,0.849470008989191,0.847068273345099,0,0,0,0,0,0,0,0,0,0.753447176064077,0,0.849804457211772,0,0.847834762739455,0.791102110149636,0,0,0,0.797430044141038,0,0,0,0,0,0.85319462189168,0.849890907638767,0.848310190643005,0,0,0,0.850444467026811,0,0.853141539061032,0,0.848391780361627,0.85087814530359,0,0,0,0,0,0.848354076557857,0.849552659029216,0,0.848986156999218,0,0.796580351288681,0.851517024957971,0.796973263778852,0,0.848366584441355,0,0,0.751434254252388,0,0,0,0,0,0,0.84780418830186,0,0.849756337388364,0.85215638345211,0,0.753778374199965,0,0.798459999549616,0.796395224989196,0.847834762739455,0.795018363877335,0.849653635171956,0.850729601034374,0,0,0,0.847814340713296,0.796742568741337,0,0,0,0,0,0.855715809901431,0.851560697086508,0.847834762739455,0,0,0.850127652800954,0.855774088264458,0.849804457211772,0,0,0,0.797313453192251,0,0.855092076703723,0,0,0.798773030436083,0.849823978170648,0.849823978170648,0.849823978170648,0.849823978170648,0.849823978170648,0,0,0,0.847842273244186,0,0,0.852654122977475
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613710112706235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621609917973448,0,0,0,0,0,0,0.682451565546979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691004761141859,0,0,0.682248606494545,0,0.756187645059772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622224476456842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686158669419765,0,0,0,0.607957036747387,0,0,0,0,0,0,0.682451565546979,0,0,0,0,0,0,0,0.608572974310001,0.61860845064053,0,0,0.614379966652982,0,0,0,0,0.681018858165261,0,0,0.606052674904299,0,0,0,0,0,0,0,0.607809802764532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687673418117979,0,0,0.684773889084022,0,0,0.609125538483244,0.612693567201239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759119076440937,0,0,0,0,0,0,0.686553503790044,0.614213749436161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806256186546832,0,0,0,0,0.803774735856645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805994364550891,0,0,0,0,0,0,0,0.802822058843709,0,0,0,0,0,0,0,0.805512838447925,0,0,0,0,0,0.804219727772831,0,0,0,0,0,0,0,0,0,0,0.866267836810782,0,0,0,0,0.805520726343617,0,0,0.80583588731497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814131747956735,0,0.804045398371791,0,0,0,0,0,0,0,0,0.867410338967458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804307713430099,0,0,0,0,0.805223681765184,0,0,0,0,0,0,0.861684125020822,0,0,0,0.800997968269765,0,0,0,0,0,0,0,0.802684058039006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805637544613704,0.812048026338112,0,0,0,0,0,0,0,0,0.807832924616069,0,0,0,0,0,0,0,0,0,0,0,0,0.860149840912147,0,0,0,0,0,0,0.808041427540915,0.804175460646761,0.91741763888529,0,0.91692861698137,0.806650189498808,0,0,0,0,0,0,0,0,0,0,0,0,0.805832877671845
"Binding and entry of HIV virion",0.403144045342336,0,0,0,0.414678937537576,0,0,0.425494255306826,0,0,0,0,0.44845251386722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410306153588122,0.416828449717177,0,0,0,0,0.667305197023164,0,0,0,0.401487527648452,0.670561704798961,0,0.666458414207731,0,0,0.450984837803646,0,0,0,0,0,0,0,0.396052364211671,0,0,0,0,0.422826196918567,0.406142955706488,0,0.412819807636129,0.429831026213018,0.411073839566643,0.434050876561967,0.409483178956745,0.418475340733291,0.401228993385311,0,0,0.403817845715784,0.432884644032803,0,0.422527345037628,0.414044864881747,0,0,0,0,0.416258696954946,0,0.399311339914871,0.665745826408664,0,0,0,0.454208154597733,0,0,0,0.44040376525484,0,0,0,0.399367597539549,0,0,0,0.424093397889885,0,0,0,0,0.407664480890991,0.39291380904748,0,0.423131886537492,0,0,0.412965553037242,0,0.418044585585651,0,0.434050876561967,0,0,0.415358753266092,0.428841086850806,0.394534949342892,0.403894700258266,0,0,0,0,0,0,0,0,0,0,0.437283702737089,0,0.418044585585651,0,0.399367597539549,0.39881454027718,0,0,0,0,0,0,0,0,0,0.428841086850806,0.670808136083804,0.397516940571221,0,0,0.423131886537492,0,0,0,0,0,0,0,0,0,0,0,0.394534949342892,0.408814188671167,0,0.405699033766581,0,0.414031067477252,0.419616099049823,0.435564603676991,0,0.394603729316416,0,0,0,0,0,0,0,0,0.450984837803646,0.399199470852999,0,0,0.423131886537492,0,0,0,0.439275057694634,0.427921007297354,0.399367597539549,0.420349744674404,0.409369449393363,0.418666884894123,0,0,0,0.399255298250968,0.429831026213018,0,0,0,0,0,0.438239921130483,0.419856249019641,0.399367597539549,0,0,0.411976039067612,0.443025391402026,0.418044585585651,0,0,0,0,0,0.43158673925718,0,0,0.425129915231981,0.410306153588122,0.410306153588122,0.410306153588122,0.410306153588122,0.410306153588122,0,0,0,0.400419225147068,0,0,0.425868921255008
"Recycling of bile acids and salts",0.559813292257302,0.570815090285646,0,0,0.569088134593779,0,0,0,0,0,0,0,0,0.581673787369433,0,0,0,0,0,0,0,0,0,0,0.575477187472472,0,0,0,0,0.69518302570612,0,0,0,0,0,0,0.560569243742462,0,0,0,0,0,0,0.576746400925527,0,0.576746400925527,0,0,0,0,0.55639168773742,0.593897641308628,0,0.570919828672293,0.700374600727598,0,0.561260210846511,0,0,0,0,0.436016999654089,0.69209107631787,0.567210357725815,0,0,0,0.561693578957911,0,0,0,0.578434735618764,0.575627590712266,0,0.574487094044933,0.565227340012026,0.566140868244941,0,0,0,0.430042900892093,0,0,0,0,0,0,0,0,0,0,0,0.570352337052374,0,0,0.569920966029513,0,0,0,0.579055301510478,0.565703789454134,0.558586864070557,0,0.573166525594663,0,0,0,0,0.56700252636214,0.588966371064206,0,0.576504229756229,0,0.569416133065018,0,0.559369034173801,0,0.563452541500253,0,0,0,0,0,0,0.432447065959836,0,0.423736492247742,0,0,0,0,0,0.559279576947999,0.575079588989993,0,0,0.696429627475381,0,0,0.573766828359872,0,0.697708324645239,0,0,0.560807789594005,0,0,0,0.568624586075011,0,0,0,0.563178538272514,0,0,0,0,0,0,0.559369034173801,0,0,0.561046026749952,0,0,0,0,0.579805500394702,0.559402219234431,0,0.572152044259012,0,0.425244623803912,0,0,0,0,0,0,0,0,0.573166525594663,0.586005967720458,0.579805500394702,0,0,0.448602477216756,0,0,0.558093142659214,0,0.579165080856121,0.588160248140395,0,0,0,0,0,0,0,0.430748789629989,0,0,0,0.576915782836014,0,0,0,0,0,0,0.576634779516534,0.696120296347937,0,0,0,0.701908534951323,0.56933451207074,0,0,0,0,0,0,0,0,0,0.436016999654089,0.575037016324391,0.574487094044933
"Peptide hormone biosynthesis",0.604625089311372,0,0,0,0,0,0.607612560773577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69366324782907,0,0,0.702868323737427,0,0,0.602067291978251,0,0,0,0.604113590360695,0.603072835303469,0,0.601805822678439,0,0,0,0,0,0,0,0,0,0,0.598634004800371,0,0,0,0.701066964060625,0,0.601749774091797,0,0,0,0,0,0.700889530428104,0.605557763601263,0,0,0,0,0,0,0,0,0,0,0,0.603345238021298,0.604873309115305,0,0,0.601585790068565,0.510986458406914,0,0,0,0,0,0,0,0,0,0,0,0,0.609638464087171,0,0.700276992170828,0,0,0,0,0,0.600038879103069,0,0,0,0,0,0,0,0,0,0,0,0.702703788196042,0,0.600539454233093,0,0,0,0,0,0,0,0,0,0,0.606309180704521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603148928268897,0.503528840799801,0,0,0,0,0,0,0,0.698711837070134,0.516103268408637,0,0,0,0,0,0.600539454233093,0.877915179453106,0,0.601612700031386,0,0,0,0,0,0.600560692089118,0,0,0,0,0,0,0,0,0,0,0,0.514198486117138,0,0,0,0,0,0,0,0,0.699077188333874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611980292886272,0,0.703349170656745,0,0.69366324782907,0.69366324782907,0.69366324782907,0.69366324782907,0.69366324782907,0,0,0,0,0,0,0.444036690240848
