"","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Class B/2 (Secretin family receptors)",0,0,0.822442712824377,0,0.825383620113884,0,0.824007332017962,0.853119826089777,0.824419416447507,0,0.790783509855916,0,0.760867812821844,0.789575431108233,0.823413395856556,0.789516378337925
"Interaction between L1 and Ankyrins",0,0,0,0,0.767972041990427,0,0.767142214237544,0.665350213180184,0.770000824145415,0,0.765823321319786,0,0.773220505387398,0,0.660350100827632,0.660031744350749
"Regulation of FZD by ubiquitination",0.63185442761119,0,0.640424654008151,0,0.635500762346827,0,0.620329395423447,0.636878618831264,0,0.637273675399491,0,0,0,0.726426932236661,0.717127086184017,0.63637369441924
"Activation of Matrix Metalloproteinases",0,0,0,0,0.753757026180735,0,0.73696046181945,0.750737166806543,0,0,0.821296358098836,0,0,0.751538076070042,0.739813987872262,0.819282237666811
"Glucagon-type ligand receptors",0,0,0.795242283200713,0,0.802190753497259,0,0.798939002927589,0.867722980252575,0.801126205130369,0,0,0,0,0,0.797914389667155,0
"Interleukin-6 family signaling",0,0,0,0,0.734778701593079,0,0.730191649269897,0.722891291214094,0.624134128658626,0,0.623226587341981,0,0,0.626017969786691,0.63117494827909,0.630823942472328
"Basigin interactions",0,0,0,0,0.59606981580869,0,0.594273464023668,0.34164180050188,0,0,0.594343022245549,0,0,0.349052563725046,0.461435030928146,0.592238142097796
"IL-6-type cytokine receptor ligand interactions",0,0,0,0,0.556713901416887,0,0.687145205681197,0.681447198242327,0,0,0.555309575606281,0,0,0,0.564854114817173,0.564420603272363
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0.868352031124574,0,0.773156175086593,0,0.768032476080076,0.861534434107465,0.772575192818583,0,0,0,0,0,0.76828488497345,0.766338432868652
"G beta:gamma signalling through BTK",0,0,0.686630564847891,0,0.698290416495541,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0,0,0,0,0.690914116199776,0
"Activation of G protein gated Potassium channels",0,0,0.754412519639056,0,0.763550339944149,0,0.759154612513185,0.852137025973339,0.762111279857077,0,0,0,0,0,0.757769536838245,0
"G protein gated Potassium channels",0,0,0.754412519639056,0,0.763550339944149,0,0.759154612513185,0.852137025973339,0.762111279857077,0,0,0,0,0,0.757769536838245,0
"Phase 0 - rapid depolarisation",0,0,0.617978057301433,0,0.620789268855478,0,0.614000723846172,0.61108250933624,0,0,0,0,0,0,0.49517025525577,0.612072708500481
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0,0,0.754412519639056,0,0.763550339944149,0,0.759154612513185,0.852137025973339,0.762111279857077,0,0,0,0,0,0.757769536838245,0
"Prostacyclin signalling through prostacyclin receptor",0,0,0.686304999552595,0,0.698290416495541,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0,0,0,0,0.690914116199776,0
"Regulation of signaling by NODAL",0,0,0,0,0,0,0,0.67439056416652,0,0,0.683865787890442,0,0,0,0.525659939805212,0
"GABA B receptor activation",0,0,0.872637141905947,0,0.792018135293649,0,0.789019574307114,0.867020116759605,0.793726506992808,0,0,0,0,0,0.790191717976797,0.784830119823437
"Activation of GABAB receptors",0,0,0.872637141905947,0,0.792018135293649,0,0.789019574307114,0.867020116759605,0.793726506992808,0,0,0,0,0,0.790191717976797,0.784830119823437
"G beta:gamma signalling through PLC beta",0,0,0.686630564847891,0,0.698290416495541,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0,0,0,0,0.690914116199776,0
"G beta:gamma signalling through CDC42",0.566716679948048,0,0.686630564847891,0,0.695592046420608,0,0.692681471690622,0.811326959409553,0.696454176936534,0.577341678866938,0.561005289194653,0,0,0.558902159946374,0.690914116199776,0.546786592028979
"GABA receptor activation",0,0,0.74246656561716,0,0.673873430981421,0,0.671322162910705,0.737687427566398,0.675326966256693,0,0,0,0,0.603443055954084,0.672319458857722,0.667757645962101
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of kainate receptors upon glutamate binding",0,0,0.637194796191876,0,0.644988701198385,0,0.641841720234366,0.732958074153509,0.644739050364893,0,0,0,0,0,0.640484441575894,0
"Ras activation upon Ca2+ influx through NMDA receptor",0,0,0.711265446129888,0,0.714358714407236,0,0.706889055677201,0.702727736353318,0.577902626222319,0,0.581828491610819,0,0,0.57382326261821,0.582846384011597,0.704767597155701
"Presynaptic function of Kainate receptors",0,0,0.686630564847891,0,0.698290416495541,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0,0,0,0,0.690914116199776,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0,0,0.710455182223205,0,0.713408402222636,0,0.706889055677201,0.703678048537918,0,0,0.581921864080017,0,0,0,0.583152317361374,0.703817284971101
"Binding and entry of HIV virion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0,0,0.685996183699645,0,0.694612145180385,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0,0,0,0,0.690914116199776,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0,0.711265446129888,0,0.714358714407236,0,0.706889055677201,0.703678048537918,0.575776618148282,0,0.581828491610819,0,0,0,0.582946686212998,0.704767597155701
"Heme degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G alpha (z) signalling events",0,0.720001418128627,0.874337983772693,0,0.803675654975291,0,0.799263394144127,0.869294834708394,0.803489432403014,0,0.802051145118261,0,0,0.721432319487736,0.800315783103937,0.798010267505059
"Inwardly rectifying K+ channels",0,0,0.754412519639056,0,0.763550339944149,0,0.759154612513185,0.852137025973339,0.762111279857077,0,0,0,0,0,0.757769536838245,0
"Recycling of bile acids and salts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0,0,0,0,0,0,0.489658522477798,0,0,0,0,0,0,0,0,0.5096385033367
"G-protein activation",0,0,0.686630564847891,0,0.695592046420608,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0,0,0,0,0.690914116199776,0
"G beta:gamma signalling through PI3Kgamma",0,0,0.686630564847891,0,0.695592046420608,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0.557689691657577,0.547236709859352,0,0,0.690914116199776,0.546121995609447
