"","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A","EPHA7","FUT9","KCNQ5"
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0
"Signaling by Retinoic Acid",0,0,0,0,0,0.607205387926608,0.537066776478898,0,0
"Transcriptional regulation of pluripotent stem cells",0.596944022281693,0,0,0,0.605420630321138,0.59212000523305,0.69545011745856,0,0
"Regulation of signaling by NODAL",0,0,0,0,0,0.760933240671693,0.767705887772031,0,0
"DNA methylation",0,0,0,0,0,0,0,0,0
"Digestion",0,0,0,0,0,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0,0,0,0,0,0.347064650716763,0.234766843225046,0,0.234344336991422
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0,0,0,0.862707939775853,0.781604427219284,0,0.778249158168772
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0.79906164180983,0
"Glucuronidation",0,0,0,0,0,0,0,0,0
"GRB2 events in EGFR signaling",0.455942614503771,0.457102635671291,0.465752632131515,0,0,0.585397009794773,0.591171850992243,0,0.594155110701608
"Signal amplification",0,0,0,0,0,0.844044469435318,0.758392432918303,0,0.756577805515263
"Thrombin signalling through proteinase activated receptors (PARs)",0,0,0,0,0,0.845009928655303,0.765462790895334,0,0.765766443553658
"GABA B receptor activation",0,0,0,0,0,0.869681823064851,0.801925046143039,0,0.876212075457708
"Activation of GABAB receptors",0,0,0,0,0,0.869681823064851,0.801925046143039,0,0.876212075457708
"Adenylate cyclase inhibitory pathway",0,0,0,0,0,0.612627711616135,0.620520918874238,0,0.624598517960613
"SHC1 events in EGFR signaling",0.455839257677287,0.457070147243725,0.465649275305031,0,0,0.585364521367208,0.591139362564677,0,0.594122622274042
"G alpha (s) signalling events",0.828693632333763,0.831001737158746,0,0,0.86442080425388,0.920808538102111,0.89249395408198,0,0.893237775752764
"Signaling by Nuclear Receptors",0.772346927430434,0.774044389919915,0.751593185633407,0,0.749539488286609,0.793080113180542,0.772897223775302,0,0.773181049718203
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0,0,0,0,0.524807950986748,0.540086552395187,0,0.536590901770766
"ADP signalling through P2Y purinoceptor 1",0,0,0,0,0,0.823538486671741,0.722997116422526,0,0.719828670994224
"GAB1 signalosome",0.471753762471797,0.47309340676261,0.481563780099541,0,0,0.599498512148779,0.607261707097637,0,0.610244966807001
"Digestion and absorption",0,0,0,0,0,0,0,0,0
"Extra-nuclear estrogen signaling",0.770899109326476,0.773916661634218,0.723201632888296,0,0.675956442171354,0.813966214347085,0.771503121032161,0,0.772100266825141
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0,0,0.751962276511145,0.753985235452474,0,0.754404706897267
"Aspirin ADME",0.230720073113215,0,0,0,0,0,0,0,0
"Interaction between L1 and Ankyrins",0,0,0,0,0,0.661017325209637,0.766230837685705,0,0.770734812901419
"Phase 0 - rapid depolarisation",0,0,0,0,0,0.520683262753662,0,0,0
"Complement cascade",0.561530210322078,0,0.566659624963277,0,0,0.686163561211394,0.629651418437687,0,0.631211290867318
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components",0,0,0,0,0,0,0,0,0
"Inactivation of APC/C via direct inhibition of the APC/C complex",0,0,0,0,0,0,0,0,0
"Receptor-type tyrosine-protein phosphatases",0,0,0,0,0,0.242271146078467,0.118141580470917,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0
"Binding and entry of HIV virion",0,0,0,0,0,0,0,0,0
"GPER1 signaling",0.580677299797312,0.587433716436871,0,0,0,0.850321327810322,0.767437255759039,0,0.769614613155875
"ADORA2B mediated anti-inflammatory cytokines production",0,0,0,0,0,0.850321327810322,0.768939649657246,0,0.769614613155875
"Regulation of Complement cascade",0.498527938905287,0,0.504540562121844,0,0,0.644621290980122,0.578378601428473,0,0.580207060588303
"GABA receptor activation",0,0,0,0,0,0.869681823064851,0.801925046143039,0,0.876212075457708
"Signaling by NODAL",0.651212894817343,0,0,0,0.661603799417375,0.760933240671693,0.767705887772031,0,0.543307322256066
"The canonical retinoid cycle in rods (twilight vision)",0,0,0,0,0,0,0,0,0
"Aquaporin-mediated transport",0,0,0,0,0,0.641167351301099,0.568298035313118,0,0.567959984765582
"Presynaptic depolarization and calcium channel opening",0,0,0,0,0,0.4321634948501,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0,0,0,0,0,0,0,0
"Physiological factors",0,0,0,0,0,0,0,0,0
"Triglyceride biosynthesis",0,0,0,0,0,0,0,0,0
"Ribavirin ADME",0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0,0,0,0,0,0.848797719159601,0.763757165509872,0,0.760239020256911
"ADP signalling through P2Y purinoceptor 12",0,0,0,0,0,0.801569189158805,0.669528367288523,0,0.665835921850822
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0
"Recycling of bile acids and salts",0,0,0,0,0,0,0,0,0
"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",0,0,0,0,0,0,0,0,0
"alpha-linolenic acid (ALA) metabolism",0,0,0,0,0,0,0,0,0
"p75NTR recruits signalling complexes",0,0,0,0,0,0.446622649399069,0.462855074429308,0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0,0,0,0,0,0,0.395498200816303,0,0
