"","KHDRBS2","PTP4A1"
"SLC-mediated transmembrane transport",0,0.90365756357109
"Drug ADME",0,0.888818448062049
"Biological oxidations",0,0.896046322258686
"Defective GALNT12 causes CRCS1",0,0
"Activation of Matrix Metalloproteinases",0,0.867701535660816
"APAP ADME",0,0
"Phase II - Conjugation of compounds",0,0
"O-linked glycosylation of mucins",0,0
"Degradation of the extracellular matrix",0,0.866921888902823
"Metabolism of Angiotensinogen to Angiotensins",0,0.906094065588192
"Transport of small molecules",0.915796035553946,0.919262707422764
"O-linked glycosylation",0,-0.0108963761898337
"Transport of bile salts and organic acids, metal ions and amine compounds",0,0
"Cytosolic sulfonation of small molecules",0,0
"Defective GALNT3 causes HFTC",0,0
"Signaling by GPCR",0.931627711511197,0.930795122594352
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.793058421837107
"Defective C1GALT1C1 causes TNPS",0,0
"Digestion",0,0
"Diseases associated with O-glycosylation of proteins",0,0.534523495157506
"Peptide hormone metabolism",0,0.864898752980358
"Signaling by activated point mutants of FGFR3",0,0.795344793746537
"FGFR3 mutant receptor activation",0,0.795344793746537
"Termination of O-glycan biosynthesis",0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0
"GPCR downstream signalling",0.938056090999553,0.937118213146444
"G alpha (i) signalling events",0,0.933895493979021
"O2/CO2 exchange in erythrocytes",0,0
"FGFR3 ligand binding and activation",0,0.795344793746537
"FGFR3c ligand binding and activation",0,0.795344793746537
"Phospholipase C-mediated cascade; FGFR3",0,0.793978691101555
"FGFRL1 modulation of FGFR1 signaling",0,0
"Interleukin-4 and Interleukin-13 signaling",0.781262435620952,0.797598712990734
"Dectin-2 family",0,0.779227477093389
"Aspirin ADME",0,0
"FGFR4 ligand binding and activation",0,0
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",0,0.820693965777795
"Synthesis, secretion, and deacylation of Ghrelin",0,0.661333434316106
"Extracellular matrix organization",0,0.852155673458575
"Phospholipase C-mediated cascade; FGFR4",0,0.668485867648349
"FRS-mediated FGFR3 signaling",0,0.816371884299772
"Blood group systems biosynthesis",0,0
