"","PDE7B","BCLAF1","MAP7","MAP3K5","PTPRK","LAMA2"
"Interaction between L1 and Ankyrins",0,0,0,0.90770753331036,0,0.908133948214435
"Neuronal System",0.937683374829862,0,0,0.937575734531815,0.932454832839373,0.932151270827582
"Ethanol oxidation",0,0,0,0,0,0
"Signaling by GPCR",0.929853150142772,0,0.929366005292617,0.937705853590376,0.933677682841051,0.937723265748482
"Phase 0 - rapid depolarisation",0.890879144370274,0,0,0.925622586595186,0,0.891558050534968
"G alpha (i) signalling events",0.959293444260076,0,0.943006801528444,0.959148232178478,0.951771553061165,0.951355775862597
"Transmission across Chemical Synapses",0.925756931017096,0,0,0.925586253893634,0.916095393685275,0.91555571645669
"Peptide hormone metabolism",0.765792432577351,0.747705226559868,0,0.765473609149793,0.766562035124301,0.765626317384523
"GPCR downstream signalling",0.944652426759836,0,0.944108985884756,0.953412613862191,0.948984873774672,0.953432038225262
"Glucagon signaling in metabolic regulation",0.920208820456493,0,0,0.882922867295471,0.886146420379415,0.882633740430415
"Neurotransmitter receptors and postsynaptic signal transmission",0.923955314432948,0,0,0.923733192088566,0.912504354119519,0.911609372770959
"Activation of Matrix Metalloproteinases",0,0,0,0.83329686964123,0.835788746869781,0.867491791750014
"Anti-inflammatory response favouring Leishmania parasite infection",0.881163605444414,0,0,0.881114386121568,0.858247632908571,0.857180150958659
"Leishmania parasite growth and survival",0.881163605444414,0,0,0.881114386121568,0.858247632908571,0.857180150958659
"Signal amplification",0.894844711583055,0,0,0.896025063689217,0.900841271549986,0.896375842636053
"Transport of small molecules",0.918357644872544,0,0,0.918282574866181,0.914327245418018,0.914417000936023
"Regulation of insulin secretion",0.905521964225778,0,0,0.878742619319212,0.880813532310496,0.879480163380768
"Glucagon-type ligand receptors",0.87867650619769,0,0,0.881635451416653,0.884979019895159,0.881335560132993
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,-0.0327971733648752
"Potassium Channels",0.91624451281862,0,0,0.917534766366006,0.919044409983275,0.917399363437918
"Class B/2 (Secretin family receptors)",0.855837472870428,0,0,0.857307559341681,0.858976928333309,0.857158564991893
"ADP signalling through P2Y purinoceptor 1",0.878642544565958,0,0,0.881171880109432,0.885751278085626,0.881574625576375
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0.914940800992208,0,0,0.875504231617365,0.878149537675132,0.875207045034526
"Nitric oxide stimulates guanylate cyclase",0.611387258143682,0,0,0.611568402763771,0.547733070619281,0.540347689143373
"Classical antibody-mediated complement activation",0,0,0,0,0,0
"Platelet homeostasis",0.831222625311163,0,0.780064131958611,0.830940953350741,0.832008824830353,0.830812030829727
"L1CAM interactions",0,0.866387579721076,0,0.865074381514792,0.866228962542252,0.865038861588442
"Integration of energy metabolism",0.917025165263007,0,0.876611548321485,0.896015647040865,0.89753466482991,0.897032534739757
"Stimuli-sensing channels",0.795478521396264,0,0,0.882933959530707,-0.0140424005730826,0.901970590167702
"GABA receptor activation",0.66258446176688,0,0,0.631601535892173,0.635330652330529,0.631655108549157
"Blood group systems biosynthesis",0,0,0,0,0,0
"GPCR ligand binding",0.902316258994055,0,0,0.902621096610628,0.90310915015909,0.902635515505673
