"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Activation of Matrix Metalloproteinases",0.904830426960312,0,0,0,0,0,0,0.906689841666582,0,0,0,0,0,0,0,0.885757166376643,0,0.881664888246478,0,0.930856506786053,0,0,0,0,0.884304957286707,0.909450143982894,0,0,0,0.905890954382454,0,0,0.879386827502452,0,0.906746419488132,0,0.904321150175062,0.879657751062411,0,0.879316379823324,0.882014813830364,0,0.883031876939331,0.907750211055118,0,0.907750211055118,0,0,0,0,0.904240438042647,0.885533992514473,0,0,0.906786140167397,0,0.905079919830524,0,0,0,0.90652027049094,0,0.901853828510822,0.906105906526786,0.880444787939204,0.886375004236031,0,0,0,0.905829347741032,0.905803385164058,0.907401705556141,0,0,0,0.88010260814445,0.927563209083022,0,0.880455869309069,0.879257096432465,0.883784812009104,0.909078680371036,0,0.908439054506591,0,0.928668988901113,0,0.885385702764785,0,0,0,0,0.880460549634437,0,0,0,0.906573298023968,0,0,0,0,0.879799324801349,0.904247489744686,0,0.906493305560732,0,0,0,0,0.90569860645265,0,0,0,0,0.905846623567964,0.906968279667932,0.904382359712843,0.904892877326202,0.904818318598103,0.884237253394688,0,0,0.90599040544124,0,0,0,0,0,0,0,0,0,0.880460549634437,0,0,0,0,0.906105906526786,0,0,0,0,0.906326392896523,0,0.879678252791739,0.926003997894555,0,0,0.905853679696287,0.905710136738699,0,0.904771072089388,0.907378747443261,0.907581337514689,0.907079929694254,0,0,0,0.904382359712843,0,0,0.90504298796345,0,0.927377882546156,0,0.906946704328783,0,0.904388081828853,0,0,0,0.883060114930154,0,0,0,0,0.884584200901378,0.880446562417583,0,0.906865541909082,0.906493305560732,0.909078680371036,0,0,0,0,0.880460549634437,0,0.905348346383143,0.906493305560732,0.907527639337677,0.885900341263766,0,0.880451206950452,0,0,0,0,0,0.883906528744643,0,0,0.880460549634437,0,0,0,0.882369694717488,0.905430444200061,0,0,0.90746280186914,0.906052568411285,0.90537353616272,0,0.905176311528686,0.906411011320993,0.880880889394445,0,0,0,0,0,0,0,0,0.880422649376542,0.884814928740051,0.907187298791289,0.906721011815546
"Extracellular matrix organization",0.884676447906787,0.876009403108738,0.885867734082985,0,0.885027134006969,0,0.875925487333405,0.885215410520387,0,0.876476071071404,0.869373772866533,0,0.877677962974532,0,0,0.886169942019441,0,0.875877881842381,0.87741214202265,0.892500318849241,0,0,0.877027733694824,0.886395721711066,0.877409460921914,0.886224122104339,0.87574152656233,0.876716521849554,0,0.892786672721777,0.876149952732129,0,0.885557626204256,0,0.893829734945898,0,0.884626086124456,0.884224670194095,0,0.884099921132638,0.88461695194889,0.885944965153778,0.885457694503659,0.885841435665784,0,0.885841435665784,0,0,0,0,0.884460845198296,0.877543936732771,0,0.876016002901237,0.885489130243857,0.885032843934742,0.884767621379638,0.877124755254922,0.885068608289798,0.877111828781467,0.885429722061005,0.88584982536798,0.884462674605661,0.885953298725795,0.884716222036094,0.886395721711066,0.884999928302909,0.875730556134714,0.868313132556356,0.902055788338583,0.884878269355496,0.88542137054672,0.885642224900016,0.886169942019441,0.88512600353913,0.884729996470877,0.89321754811243,0.876121724588386,0.876183963172883,0.885510217906868,0.885162654457018,0.886088376231112,0,0.885687363407504,0,0.894145520720744,0.885311027267257,0.886034196146214,0.877433263308992,0.87585544922836,0.876602584977943,0.869127374566459,0.876185673528444,0.875652256291878,0.875750681435772,0,0.885411350236079,0.877025140148475,0.869553444856857,0,0,0.884911875014721,0.884599168011552,0,0.885284122253556,0.88515652773774,0,0.88507303927064,0,0.893271843055864,0,0.876796848035801,0.875815481543525,0.876627187246745,0.88514579782278,0.902266386628542,0.884648454243137,0.885209022971197,0.884905764880474,0.885614512339715,0,0,0.88513937362527,0,0,0,0,0.875422882825796,0.885472383918995,0.877089985937789,0.884887472430393,0.877128082258401,0.876185673528444,0.875578444641812,0.877147791726863,0.877713697470597,0,0.88524054893846,0,0,0.885691436298914,0.876208865566801,0.885321122415482,0.87708173244693,0.884232162247317,0.893008645499008,0,0,0.892660817393785,0.884676236926758,0,0.89237742833032,0.885355966237318,0.854666118624311,0.893951611309329,0,0.885944965153778,0,0.884648454243137,0.875696167546443,0.868823305217031,0.88475412517601,0.876961595426297,0.893634780804293,0.87680127252226,0.885683551910889,0,0.884650545305652,0.87692308683504,0.867735655393653,0,0.885184344528721,0,0,0.885721532633451,0,0.877007872347186,0.876180562107284,0.877441190171915,0.893058043623991,0.885382118175585,0.886326905094249,0,0,0.886008651967921,0.875865994842144,0.876185673528444,0.885433280815295,0.884701601430546,0.885120009797906,0.893384774989002,0.877575379178488,0.876619207033968,0.876182259383006,0.876068411449951,0,0.877586381477188,0.87647426046317,0,0.877263861114464,0.877367477687025,0.876808573609687,0.876185673528444,0,0,0.876568997890216,0.885215709821796,0.89317972638604,0.885071246188864,0.877432216249456,0.885872152110342,0.885221057314425,0.884981686054712,0.876219959390276,0.893373687062428,0.884946245073481,0.885578608516904,0.87574152656233,0.87574152656233,0.87574152656233,0.87574152656233,0.87574152656233,0,0,0.876472070610962,0.884051364595385,0.877595822433634,0.885771473592486,0.885465330052636
"Collagen formation",0.92460273617048,0,0.927208059957198,0,0.905495959080648,0,0,0.926330893575108,0,0.907011757798097,0,0,0.908528548280008,0,0,0.910078820498653,0,0,0,0.945051682123725,0,0,0.908181178064107,0,0,0.927810482291717,0,0.906490475210717,0,0.905720020874014,0.906320448691995,0,0.925150032906887,0,0.926745655008602,0,0.92449597873144,0.905462499910109,0,0.905198055529723,0.906806861416361,0,0.907835761999006,0.925362590188733,0,0.925362590188733,0,0,0,0,0.924145699267828,0,0,0,0.906508086687979,0,0.924796006662893,0,0.925514064645618,0.907328451027546,0.926487290230967,0.90674442060154,0.925299029252906,0.925590790713545,0.924767072536582,0.91055743067783,0.906743340606492,0.906353336243433,0,0.942367210247075,0.925644197059089,0.926882341335316,0,0,0,0.907026408689413,0.925735690420082,0.906260610374219,0.905361551693155,0.925049536296478,0,0.927522726753387,0,0.927893659986817,0,0.942042043600685,0.907319980095006,0.909791064960323,0.908009831339941,0,0,0,0.905365177322968,0,0,0,0.90695867863803,0.908175680237116,0,0,0,0.925181819790789,0.905516760537023,0,0.926178646218611,0.925700437221601,0,0.92552345748569,0,0.925057393869475,0,0.907691744201215,0,0.907332095465473,0.925389936296009,0.92654658651087,0.905621238012212,0.924938869095134,0.924881111925235,0.908901414786826,0,0,0.926284561277547,0,0,0,0,0,0.907455884923259,0,0.92402581796056,0,0.905365177322968,0.906030888691357,0.908435678350699,0,0,0,0,0,0.92654658651087,0.906445332742261,0.926049346760978,0.90726465249916,0.9054783816438,0.924527842220191,0,0,0.925519957446851,0.92456351183261,0,0.924844512258092,0.925974906582334,0.860778789839771,0.92700400981332,0,0.927371775198208,0,0.905621238012212,0,0,0.924767397267646,0.908040977462707,0.94344339273172,0.906670130583428,0.925172688321364,0,0.905625670668656,0,0,0,0.907989540509675,0,0,0.926610385039255,0,0.908662542992386,0.905354342078312,0.906457247789341,0.926467000359867,0.926178646218611,0.927685927194451,0,0,0,0,0.905365177322968,0.92599934578527,0.925291699734498,0.926178646218611,0.907082491518235,0.909791064960322,0,0.905357939981345,0,0,0,0,0,0,0.907870378282451,0.906685607505804,0.905365177322968,0,0,0.90617775236083,0.908178787032131,0.925192096643883,0.906952766244084,0,0.926641914261674,0,0.925211006125861,0,0.942831502961693,0.926322629500925,0.926307412984786,0,0,0,0,0,0,0,0,0.924714885479571,0,0.908325899847795,0.92544679657262
"TNFs bind their physiological receptors",0,0.343401618551824,0,0,0.342927989189953,0,0,0.344307275029192,0,0,0,0,0.271215867641855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301785366696358,0,0.266907284516019,0,0,0.341934543944626,0,0,0,0,0.342365457497436,0,0.341822494406722,0.412921362622793,0,0,0,0.306597901638844,0,0,0,0,0,0,0,0,0.3434303437678,0,0,0,0,0.266500811792025,0.268751801238168,0,0,0.342240466560266,0.414571108099177,0.341148241184182,0,0,0.341490808017191,0,0,0.343966520461055,0.345491358186603,0,0,0,0.305442912464853,0.343137028992709,0,0.264713319723971,0.341728202066177,0,0,0,0,0,0.342195679221321,0.345905448613763,0,0.270150826469218,0,0.268558863271587,0,0.264720763947842,0.343121680154165,0,0,0.344173746558739,0,0,0,0,0.341999809482513,0.341065291892835,0,0.344046515702419,0,0,0,0,0.343373344600643,0,0,0,0,0.41415870933627,0.268620808678958,0,0.404868715372283,0.341382389396503,0,0,0,0.343673156780726,0,0,0,0,0,0.345919138099519,0,0.343373344600643,0,0.264720763947842,0.340828751522694,0,0,0,0.267249173542624,0,0,0,0,0.34378103517664,0.268620808678958,0.342398066226721,0.338674622044296,0,0,0,0,0,0.341307242144888,0.346045668571278,0,0,0,0,0,0,0,0,0,0,0.3428422605479,0.267400123042185,0,0,0,0,0,0,0,0,0,0,0,0,0.264698516782225,0,0.345229396925915,0.344046515702419,0.348158646242212,0,0,0.346182641796958,0,0.264720763947842,0,0.341838492313973,0.344046515702419,0,0,0,0.264705904076854,0.344932971463344,0,0.348158646242212,0,0,0,0.269864498346102,0.302186016670025,0.264720763947842,0,0,0.266389161110791,0.346678900284068,0.343373344600643,0,0,0.345588534044259,0.267164337373874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264859919331397,0,0,0.344408690595123
"Transport of small molecules",0.930879610316913,0.926370262710825,0.92183431952547,0,0.926306392959444,0,0.926144722595299,0.926310572854516,0,0.92110531570781,0.921454932141964,0,0.926011572504407,0.931660353782436,0,0.921665014583143,0,0.921272583033464,0,0.926582688476492,0,0,0,0,0.926679876893672,0.921900047205373,0.931007411690676,0.926178092532076,0,0.926300286655764,0.921216812756521,0.926829973703693,0.93095147224721,0.926802363227213,0,0,0.93085005124999,0.93100958169671,0,0.930936362170208,0.926442628987541,0.921065868843255,0.926595890802087,0.926681630459391,0.926490968251883,0.926681630459391,0,0.92185140823704,0.921658530054402,0.921616408488287,0.930753065651615,0.922144043629319,0.926871755434496,0.926374136356656,0.93127133905681,0.921159982946257,0.93093312317251,0.926679876893672,0.926158934669877,0.926634285527089,0.926542685772774,0.926709584957532,0.930992726449285,0.931153183480749,0.926026205675199,0.921797532470825,0.926627922222704,0.925744479537045,0.926224057976519,0.925729502172597,0.926192822543093,0.926569584141396,0.9210052180883,0.926537783981013,0.926460881103942,0.931025323606161,0.926471773464924,0.921200244685429,0.925454751604559,0.93092364668246,0.926035986326005,0.921820373270786,0,0.926533858555423,0.921195651964423,0.926344830794764,0.921656580321296,0.921585340648556,0.926623400195254,0.921799224770186,0.926190077473153,0.921134823054476,0.925455755471224,0.926270115530942,0.92604212298529,0,0.926285575815071,0,0,0.921529483393403,0.921480930591878,0.930960273419633,0.930834252081178,0.921476250568705,0.926594419345248,0.921416887993431,0.921156940768387,0.931054866279649,0.931417905468958,0.926366449918845,0.927014997588901,0.931431114895313,0.926237161439977,0.926486554052539,0.93109757078319,0.926221606534838,0.930863179870274,0.931208937778718,0.926235157233337,0.926902620471482,0.922094335410311,0.921876873988242,0.926544071238851,0.926223300458197,0.917179541527689,0.926657228418739,0,0.925970463764258,0.926445395780982,0,0.926503641039744,0.92164105231156,0.925455755471224,0.925867391216076,0.922190143795414,0.931581050979069,0.921658530054402,0.926346390991532,0,0.926977146395011,0.920582239823311,0.920948151826732,0.9311727294681,0.925661624245019,0.931013979041131,0.931476794104335,0.926910668516522,0,0.92645722822435,0.926061827511024,0,0.926256823654844,0.92664433387042,0.925729502172597,0,0.921398089679378,0.921879649104454,0,0.930863179870274,0.930980788919915,0,0.930925201785145,0,0.92629483230148,0.92622783562476,0.931458125992906,0.920957766576159,0.93086440718698,0.931354631476002,0.926357353412923,0.920930354087212,0.921779186188043,0,0,0.92166883491797,0.926861650686338,0.926787582527262,0.925477616990364,0.926630072368522,0.926534258205256,0.92645722822435,0.926929272620807,0.926651145560377,0.921902956004202,0.926407791351081,0.926477173911474,0.925455755471224,0.926070086178262,0.926348841044419,0.926514745410662,0.926310971851982,0.927008946555394,0,0.92545375159152,0.926387958627041,0,0.926869727095301,0.926438266216887,0,0.921306754391562,0.925829337981184,0.925934274487796,0.925455755471224,0.926550703761235,0,0.926116133014276,0.926453861646758,0.926366449918845,0.922002386779379,0.931905292871157,0.926722689292627,0.926334950685161,0.926326498547266,0.931524335704414,0.926284196523355,0.92646248455057,0.926554916733264,0.931007411690676,0.931007411690676,0.931007411690676,0.931007411690676,0.931007411690676,0,0,0.921179519162619,0.925767500275413,0.920930354087212,0.926663597598306,0.931215166873171
"Collagen biosynthesis and modifying enzymes",0.910566562931714,0,0.914176786591486,0,0,0,0,0,0,0.886190565352326,0,0,0,0,0,0.89046599225986,0,0,0,0.888332689706843,0,0,0.887811042904518,0,0,0.888221186819092,0,0,0,0.88440059236344,0.885848150570012,0,0.911324957583761,0,0.913248169910498,0,0.910418628063025,0.884043742945522,0,0.883677299678995,0,0,0,0.911838634259004,0,0.911838634259004,0,0,0,0,0.909933242248982,0,0,0,0.885492623174175,0,0.910834379818047,0,0.911829400065258,0,0.886426411252151,0,0.911531423335295,0.911935720157664,0.910794285505042,0.89112920725121,0,0.88527818390981,0,0.935182975272369,0.91200972587367,0.886153398793162,0,0,0,0.8862362341817,0.907664566876127,0.885765232004688,0,0.911185698408959,0,0.887822441043996,0,0.887953539105795,0,0.911501196568388,0,0.890067246484764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911369004991962,0,0,0.912750317507804,0.912087658438661,0,0.911842415819243,0,0.91119658672775,0,0.887132829424598,0,0.886634460514908,0.8843530056701,0.913260176111662,0,0.885574016929485,0.910952311045345,0.888834449194211,0,0,0,0,0,0,0,0,0,0,0.910035095230724,0,0,0.884831365058551,0.888163706539175,0,0,0,0,0,0.913260176111662,0,0.886943833953686,0,0.884065750425369,0.908473233678087,0,0,0.912063714290292,0.910651067166014,0,0.885443265701063,0.911838634259004,0.822125071598477,0.913606174790109,0,0.914403648465461,0,0,0,0,0.910794735488179,0,0.936674252282968,0,0.888122125598277,0,0,0,0,0,0.887570855737269,0,0,0.913348582381091,0,0.889611806875063,0.882552030512179,0,0.912862035330644,0.912750317507804,0.889818142129004,0,0,0,0,0,0.912501859074363,0.886212579353043,0.912750317507804,0.886288581787476,0.890067246484765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885491422972475,0,0.911609394242235,0,0,0.913392272745156,0,0.912120265020895,0,0.935826350407514,0,0.912928750924874,0,0,0,0,0,0,0,0,0.910721969369552,0,0.888036952291892,0
"Degradation of the extracellular matrix",0.887340142771993,0.871149961705221,0,0,0.887761024228768,0,0,0.888670685141789,0,0,0.856969517254125,0,0.873521126282075,0,0,0.890037425579569,0,0.870571676914521,0.88884205837608,0.904709966294228,0,0,0,0.891087982703074,0.872652721526684,0.8906458761376,0.870676560700305,0.87163849711109,0,0.888099024943212,0,0,0.87106358945708,0,0.88848064978582,0,0.886783830306413,0.871257454372898,0,0.871013179173878,0.870405230763633,0.88963217869014,0.872004991736294,0.889429454228817,0,0.889429454228817,0,0,0,0,0.886917964088552,0.873383114123723,0,0.8711628849738,0.888739593511209,0,0.887518672517757,0.872725380477401,0.871399856483433,0.872412560485515,0.888357455999858,0.889180073963655,0.886463848890847,0.888252838363396,0.869281766502098,0.890479532145043,0.871911903401213,0.853572957447448,0,0.921082867277398,0.887761180863369,0.889180073963655,0.888773564727942,0.889806904801759,0.855908477325141,0.887217821316835,0.903607051759873,0,0.870595676626388,0.870970757726367,0.87228052089389,0.890380067723399,0,0.889922370303563,0,0.904367218332445,0.871921290635687,0.889771617165368,0.873041971899649,0,0.871681202027246,0.85662718757805,0.8705990257293,0,0,0,0.888587289945492,0,0.857269600680734,0,0,0.870519297862226,0.886731121073092,0,0.888072352276216,0.854420265297105,0,0.854256783811323,0,0.88729565934271,0,0,0.854369838463765,0,0.888067303118722,0.888105609896538,0.886827630047901,0.887384830413511,0.887331478384811,0.888949820639113,0,0,0.887895007062529,0,0,0,0,0,0.889372529077366,0,0.888227194847033,0,0.8705990257293,0.853275102980502,0,0.87324845701849,0,0.888252838363396,0,0,0,0,0.888410611912196,0.872353627872934,0.871272124806252,0.902491326180894,0,0,0.887375251058787,0.887969637165752,0,0.887297670175454,0.888497918724494,0.903806923069663,0.888719299861303,0,0,0,0.886827630047901,0.870587741734424,0.85610569889312,0.887492245162002,0,0.904691268052267,0.871804450162766,0.888854488493523,0,0.886831724625496,0.871728205385367,0,0,0.888107495042302,0,0,0,0,0.872151244267393,0.870589016889101,0.854841697719883,0.888223248136074,0.888264241281851,0.890380067723399,0,0,0.889491077500336,0,0.8705990257293,0.871656236209379,0.887710750648704,0.888264241281851,0.889270188466653,0.873471327395808,0,0.870592340379954,0,0,0,0.870821475058641,0,0.872367617803042,0.872913154931323,0.871818746659777,0.8705990257293,0,0,0.871349625642985,0.873198041335782,0.887072396209768,0.889372529077366,0.857093979499658,0.889223792684826,0.888214671179734,0.88714518033032,0.855823029082872,0.887210197003507,0.888471162363174,0.870010670439211,0.870676560700305,0.870676560700305,0.870676560700305,0.870676560700305,0.870676560700305,0,0,0,0.886569479477454,0.873017642070645,0.889026650800956,0.888692989581854
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.880499900166189,0,0,0,0.88087292711853,0,0.881684403420905,0,0,0,0,0,0,0,0,0,0,0,0,0.882135068060105,0,0,0,0,0.900721763898753,0,0.880695556089364,0,0,0,0.882448815056626,0,0.898655824571913,0.901179656700053,0,0,0.880107292803849,0.898873056142523,0,0.898599338306985,0.881234598990584,0,0.883215692121071,0,0,0,0,0,0,0,0.880026836032356,0,0,0,0,0,0.880699948209483,0,0,0.900849175358363,0,0,0.880526334119302,0.898399815450707,0.897845495196658,0,0,0.880837355939132,0.883019036054445,0,0.898901000108016,0,0,0.88297277441832,0,0,0.881667246681139,0.88238687834691,0,0.898551803776916,0,0,0,0,0,0.88031397455332,0,0,0.882310073170872,0,0,0,0,0,0.881300853505734,0,0.881879080360706,0,0,0,0,0.880783158075609,0.880048230494964,0,0.88154201919949,0,0,0.881136776217351,0,0,0,0,0,0,0.881296419209258,0,0.880156371754497,0,0,0,0,0,0,0,0,0.900637096709096,0,0.88058161502035,0.88210194344179,0,0.881097439099443,0,0,0.897684434490848,0,0,0,0,0,0.901833051670819,0,0,0,0,0.898889494812024,0.880106247018349,0,0,0.881357707812041,0.880529960125103,0,0.899021377487265,0,0,0,0,0,0,0.880156371754497,0.880596031720157,0,0.88067033554866,0,0.880750620295473,0,0,0,0.88016095985399,0.897821416990007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90003997642936,0,0.881940147832532,0.880518747571571,0.881535380824708,0,0,0,0,0.881714752627242,0,0,0.89981854648324,0,0,0,0,0,0,0,0.880723812863212,0.883085424418416,0.881018349686092,0,0.884315940806805,0.882214157473457,0,0.881200160551417,0.882891801972599,0.881042022156141,0,0.882052213059872,0.880695556089364,0.880695556089364,0.880695556089364,0.880695556089364,0.880695556089364,0,0,0,0.879952893518918,0,0,0
"SLC-mediated transmembrane transport",0.911970298827733,0,0.89055325639996,0,0.912472970085448,0,0.889658916652446,0.889404294960995,0,0,0,0,0.89040477736778,0.902936270982942,0,0.891362803223589,0,0,0,0.889963276013041,0,0,0,0,0.902236119641969,0.892186913683992,0.889012921979634,0.889026653686059,0,0.901046935070408,0.890298758603461,0,0.90058983263314,0.902535252077203,0,0,0.901084192928135,0.900731745780806,0,0.911701892918706,0.901449927173522,0,0.890334182608847,0,0,0,0,0,0,0,0.911996299280995,0.891669136815053,0,0,0.901239495518634,0.889605250483481,0.901092491391939,0,0.889508192942045,0.902319355063189,0,0.877832635135729,0.900767666360582,0.901629916049848,0.900357109404633,0.891686434418257,0.87777366760426,0.888767438314102,0.890579815043818,0.889723351590787,0.901046650174086,0,0,0.890641051033877,0.890156040192031,0.88929879430062,0.88951445221746,0.890258296559168,0.88826328741728,0.900521877876843,0,0.891992336400236,0,0.890655598538536,0,0.901417880148755,0,0.891168225939833,0.890208121235858,0,0.890124694907304,0,0.888265739030219,0.87743766688068,0.889408350974555,0,0.901773793003123,0,0,0,0.890724103182738,0.900359579049386,0.901045608673836,0,0.902027417790668,0,0,0.889441629222961,0,0.889654867669466,0.879229263986953,0.889777178165737,0,0,0.889874752374976,0.889550144267005,0.901116255249238,0.88897564997599,0.900085556842712,0.890566653802397,0,0,0.890446525749014,0,0.879229263986953,0.902180808218521,0,0.888938486501831,0.890072154143717,0,0.889654867669466,0.890780103600557,0.888265739030219,0.900251891587247,0.890544599095617,0.914726901937449,0,0.900964952407084,0,0.902962102266199,0,0.889009958074426,0.901745409566734,0.889550144267005,0.900742484842931,0.912060123062632,0,0,0.889876563713482,0.889386443070048,0,0.912468829312172,0.890534946524687,0.889723351590787,0,0.890186747576787,0,0,0.901116255249238,0.888947904650596,0,0.90107314601826,0,0.88947996528102,0.889148134769055,0.877898600824863,0,0.901119252565139,0.90021086178423,0.890299129794292,0,0.889950053958638,0,0,0,0,0,0.888258412351169,0.877443874601528,0.890266123050028,0.889876563713482,0,0,0,0.877725252164374,0.901494072041744,0.888265739030219,0.889516386018466,0.900982275405188,0.889497159433978,0.890338473652963,0,0,0.88826084521555,0.889819209937285,0,0,0.901646065322963,0,0,0.889959729702955,0.889158600102005,0.888265739030219,0,0,0.889104479628476,0.890714643081541,0.889654867669466,0.890812894142257,0.89151851543509,0.902340674793446,0.900937013235376,0.889483036972004,0.890588153314573,0.889379728243087,0.890735444742213,0.889669108009821,0.889012921979634,0.889012921979634,0.889012921979634,0.889012921979634,0.889012921979634,0,0,0,0.888600853058735,0,0.901326458283789,0.890562782852641
"Collagen degradation",0.799389042323451,0,0,0,0,0,0,0.844243836029256,0,0,0,0,0.805637650322344,0,0,0.848599919397814,0,0,0,0.88192255448052,0,0,0,0,0,0.849277288890623,0,0.800840076210429,0,0.800208953797921,0,0,0.800052387092586,0,0.845220174290106,0,0.799137737925433,0.799869050793179,0,0.799246555195499,0.802013873623004,0,0.806021820165371,0.845011068184488,0,0.845011068184488,0,0,0,0,0.798313188643133,0.766387212690541,0,0,0.760402724951143,0,0.79984399633122,0,0.800231939401045,0.802812650769115,0.84393462043566,0,0.838620072927138,0.84317902150409,0.795991640321192,0.849726556042946,0,0,0,0.925821984724954,0.843793736641892,0.845541930557029,0,0,0.800896043399522,0.84141461672365,0.84284274237324,0,0.79818261788678,0.799815820531896,0,0.848599919397813,0,0.848599919397813,0,0.881227498571522,0,0.847922549905005,0.804416603343915,0,0,0,0.798191152530603,0,0,0,0.802268159336931,0,0.804364644797271,0,0,0,0.799003417020852,0,0.843208079986357,0,0,0,0,0.843113673175201,0,0,0,0,0.841539847721623,0.842803833712452,0.799249354439779,0.840967044480952,0.84015371602413,0.845828335175739,0,0,0.843457401442231,0,0,0,0,0,0,0,0.841947305774583,0,0.798191152530603,0,0,0,0,0.759162308658877,0,0,0,0,0.843581081721222,0.80266247059512,0.799906436005495,0.839999497279511,0,0,0.842719082078548,0.758440616487511,0,0.840744930796465,0.845011068184488,0.88281607550888,0.845828335175739,0,0,0,0.799249354439779,0,0,0.799776650515183,0,0.885069684801637,0.801262980559723,0.844477414114468,0,0.799259788804535,0,0,0,0.843681805450529,0,0,0,0,0.803155752380368,0.798165646629936,0,0.844564228068608,0.843885449479166,0.848599919397813,0,0,0,0,0.798191152530603,0.802051648816634,0.841797599168521,0.843885449479166,0.803193473472574,0.848599919397814,0,0.798174116005597,0,0,0,0,0,0,0.804088334260473,0.801299412856113,0.798191152530603,0,0,0.800103934277429,0.804814320907198,0.843113673175201,0,0,0.84565334060428,0.759065045801652,0.842113890771002,0,0.841754248679393,0.844901752093748,0,0,0,0,0,0,0,0,0,0.840439792533164,0,0.844473587098194,0.844300675265512
