"","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP","BCKDHB"
"Peptide hormone metabolism",0,0.767942298825285,0.781630739147264,0,0.782253149426583,0.756353064628095,0.781177730389956,0.79375695101521,0.794502297224333,0,0.782823940126347,0.781743633204815,0.781896881205994,0.767629741936809,0.767632365809737,0.768210633453137,0.782209700665643
"Extracellular matrix organization",0.871702870678738,0.876405218302488,0.876476151272768,0,0.883438395936908,0.872009930745405,0.88307843445115,0.882853072966427,0.883254750620415,0,0.889103290917091,0.876522851373326,0.877107830924734,0.889596408904288,0.883093666909136,0.883074031003478,0
"Neuronal System",0,0.93195741641997,0.936736817139483,0,0.936795296242946,0,0.931950128330117,0.936418157186636,0.932260130896247,0.927215297651885,0.932090807835808,0.927144508324509,0.932124978649817,0.93240716443376,0.931929128879404,0.931913920541215,0.932315312795148
"Cytosolic sulfonation of small molecules",0,0.871230102094237,0,0,0,0,0,0,0,0,0,0.870300260787828,0,0,0,0.868453419347041,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0.934793677257734,0,0.935213112435211,0,0.934418150467949,0.933885047452117,0,0,0,0,0,0,0,0,0.948819834171812
"Muscle contraction",0,0,0.931371645816866,0,0.932029092966895,0,0.932000077046872,0.932143769590224,0,0.925053834521753,0.931932050517303,0.924377436208725,0.924129770668314,0.932536401208753,0.931891634982127,0.931793009623227,0.924715386242104
"Activation of Matrix Metalloproteinases",0,0,0,0,0.868091490714922,0,0.86656805699968,0.865913173461802,0,0,0.867116557391889,0,0,0.843187274776772,0.839215778506848,0.866135386438153,0
"Transport of small molecules",0.932250245068304,0.928903663467536,0.935052312948529,0,0.932004531719463,0,0.931933302354277,0.934836867305004,0.931974402024523,0.928769879815338,0.932052396355852,0.929042970544825,0.931950088789508,0.935160861211629,0.935077780522534,0.931879768208899,0.932151149070163
"Cardiac conduction",0,0,0.924262346334821,0,0.925474566602294,0,0.925218595554745,0.937151831567802,0,0.9138190622186,0.912236115421338,0.913675838851889,0.913242783444052,0.926034690517781,0.914141451237831,0.925155447570115,0.914191398724817
"Potassium Channels",0,0,0.93945043057463,0,0.940832500022157,0,0.940167658694669,0.954230985452024,0.940614846258668,0,0,0,0,0,0.939958169920658,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0,0,0,0,0.843311232024856,0,0.827388525758972,0.842074877401583,0.841715181335493,0,0.842992880699928,0,0,0,0,0,0
"Degradation of the extracellular matrix",0.810061119110863,0,0,0,0.837428085100564,0.810895660380874,0.836374294717967,0.836243296586185,0.808967281374804,0,0.836333812421496,0.80843897457381,0,0.837020004557655,0.835893877540383,0.836364158403604,0
"Phase II - Conjugation of compounds",0,0.925185410779431,0.911829248744655,0,0.925171937500765,0,0,0,0,0,0,0.924818040735568,0,0,0.908060348917639,0.910582809235928,0.910384868595187
"Glucuronidation",0,0.899189181457998,0,0,0.899152610956588,0,0,0,0,0,0,0.898192029462484,0,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0,0,0,0,0.698719897803319,0,0,0.694856296027702,0,0,0.697725051566562,0,0,0,0,0.69525042707026,0
"Inwardly rectifying K+ channels",0,0,0.890401563615131,0,0.893742659591606,0,0.892135433060232,0.926132946375453,0.893216490581241,0,0,0,0,0,0.891629002575703,0,0
"Ion transport by P-type ATPases",0,0,0.801968419032678,0,0.865053318262007,0,0.862585354174251,0.799911134164917,0,0,0,0,0,0.866319684995131,0,0.801343827831305,0
"Glycogen synthesis",0.754219246892204,0,0,0,0.814272093953368,0,0.745089675212166,0.74338598344393,0,0.676071929290467,0,0,0,0.815417406023694,0.809399446989174,0.743964074656653,0
"Digestion",0,0,0.459099255830223,0,0,0,0,0,0,0,0,0,0,0,0,0.412915427957538,0
"Ion channel transport",0.929827909203021,0,0.919317067925246,0,0.929314504673018,0,0.928587217901048,0.928355689453474,0,0.919204044251017,0.920168500073599,0.920663533313174,0,0.938144621792854,0.937326792688551,0.929262912781043,0
"Synthesis, secretion, and deacylation of Ghrelin",0,0.698304278374851,0.747022942707934,0,0.748521299944452,0,0.745110354217156,0.744686334862581,0.695361025113187,0,0.747533827424931,0,0.696840671486733,0.697045429922246,0.693431894639848,0.744348630233639,0
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0.872208979906729,0,0,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0,0,0,0,0,0,0.929865145954208,0,0.93044615416989,0,0.935807579364065,0,0.90986806165952,0.931394097026317,0.929152035238281,0.928973165654607,0
"Biological oxidations",0,0.954445081572606,0.946517636544045,0,0.954678366175081,0.947278065114986,0.945336996889821,0.945238928616842,0,0,0.945742214777674,0.954268000949361,0,0.937603994892682,0.946500965706563,0.954046356157343,0.946760547295686
