"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.673646307556323,0.67439076678861,0,0,0.674450863607449,0,0.67472923421504,0.659341157332363,0.688500319337081,0,0,0.688974546447423,0.661150793799116,0,0.688974546447423,0.676381425831332,0.652450391091838,0,0.646620071345016,0.688017860399528,0.688974546447423,0.66477321727112,0,0.662084427192177,0.659934229031979,0.661718634306607,0.673999081314692,0.659896973780471,0,0.646005295712376,0,0,0.673969004663153,0,0.675064174467972,0,0.68637776166364,0.674129405825465,0,0.673802564817806,0.6741028268903,0.647273806014886,0.660992027477687,0.661340666373682,0.648036361328666,0.661340666373682,0,0,0,0,0.686007098731646,0.662712909999487,0,0.674401459323111,0.660769885113592,0,0.673794020610059,0.675687272498599,0.659395684372307,0.660233581721225,0,0.660441432875699,0.686930358386096,0.686783609446548,0.672596516077644,0.676747218716902,0.674407838317614,0.658952287563665,0.660383989422133,0.674078955485871,0.674222350580361,0.674789948749227,0.646563400643532,0.647418371994098,0,0.675225136353544,0.675667441380786,0,0.673078832903665,0.673892196967222,0.6873718042182,0.661498708084216,0,0.675709062240527,0,0.686754920643735,0.660879914994662,0.676161499608941,0.660754348059856,0,0.673933507355738,0,0.673081603905305,0,0.674446025600264,0,0.674458253735181,0,0,0,0,0.67364903798519,0.686837574384536,0,0.661379026802716,0.67343551696357,0,0.673910145340768,0,0.687193289069202,0,0.660441432875699,0,0,0.674028023793632,0.660249238581552,0.686414000966734,0.673683281495677,0.674209376584246,0.675481556477203,0,0,0.646636395078561,0,0,0,0,0.673914948608503,0.675327876004505,0,0.674301055414111,0,0.673081603905305,0.659988743377894,0,0,0,0,0,0,0,0.674005775993943,0.673632129631111,0.66018482168893,0.674141543940046,0.71411941686145,0,0,0.687443867001724,0.674167142551153,0,0.674589947357631,0,0.673832314091197,0.660712183566373,0.674078955485871,0.675261630254811,0,0,0,0.686414000966734,0.673925593725137,0,0.673772154979746,0,0.686995600927834,0.659730439612343,0.660515992374828,0,0.686417388763864,0.674584267608616,0,0,0.674784627875122,0,0,0,0,0.674864508248355,0.673073322728721,0.674350541671221,0.67485120388675,0.674024445715548,0.676161499608941,0,0,0.660698752920206,0.660139502641671,0.673081603905305,0.659766575749276,0.673952943411169,0.674136990191155,0.66120889207476,0.676381425831332,0,0.673076072539297,0.660233581721225,0,0,0.659536994727451,0,0,0.660647766673751,0.660046109775469,0.673081603905305,0,0,0.659354124066474,0.674710816825844,0.687193289069202,0.67472150155681,0.676098835670769,0.674304944206917,0,0.674283317889845,0.675425961337553,0.674166550412921,0.674005325644794,0.660002025797693,0.673999081314692,0.673999081314692,0.673999081314692,0.673999081314692,0.673999081314692,0,0,0,0.658784886554053,0,0.675041701080482,0.673926915069534
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.90389478554001,0.905016073439019,0,0,0.905109329510452,0,0,0.906248107295518,0.908122561959467,0,0,0.907975241948731,0.908665452341697,0,0.907975241948731,0,0.908122561959467,0,0,0.907226385059315,0.907975241948731,0.908122561959467,0,0.90971403949704,0.844126693439434,0,0.903572743155843,0.905335658201951,0,0.905237015568859,0,0,0.904318822721699,0.844849451086704,0,0.875177697138487,0.903720365741109,0.904661710354877,0,0.931619958313472,0.905680207913844,0,0.907448205229678,0.907590137313083,0,0.907590137313083,0,0,0,0,0.903148080810416,0,0,0.905038930741266,0,0,0.904210549956272,0.90825773172052,0.904913576054429,0.906704739127541,0.906033493774714,0,0.904562252247015,0.905509064378597,0.903223010242912,0,0.906536450261631,0.84156073715917,0.87492127839056,0,0.905935712266825,0.905665176816957,0,0,0.90381611576122,0.90367843636683,0.904805533559044,0,0.903491228299195,0.904154631834999,0.905845318540075,0,0,0.90927148130382,0,0.904526613951242,0.907948694767573,0,0.907817975058745,0.905967179292603,0.906081080398507,0,0.903497151836033,0,0,0,0.906100606746713,0,0,0,0,0.903900622344922,0.903627139258206,0,0.905999366284662,0,0,0.904119395541265,0,0.90546370885568,0,0,0,0,0.905180909381344,0.906600505393655,0.903797834062952,0.903973824284941,0.903409327256643,0,0,0,0.905362883316091,0,0,0.843993051113928,0,0,0.934879750099171,0.909741614941151,0.932854004792027,0,0.903497151836033,0.84103392387389,0,0,0,0.905509064378597,0,0.845880797747908,0,0,0.874871932915326,0.906600505393655,0.904687657856256,0.88198964758816,0,0,0.905999366284662,0,0,0.906925742563582,0,0.903819664530926,0.907590137313083,0,0,0,0,0,0.903797834062952,0.903415649620565,0,0.904163808061651,0,0.905041113296371,0.905629178300047,0.906838311343726,0,0.903805076116083,0.90507374573145,0,0,0,0,0,0,0,0.908122561959467,0.903479449264569,0.90540021832728,0.906940611553952,0.905999366284662,0.877885163139399,0,0,0,0.873689086080266,0.903497151836033,0.905706426084829,0.904550277314512,0.933389662221009,0,0.878077298241566,0,0.903485327501525,0,0,0,0,0,0,0.907590137313083,0.905654464422614,0.903497151836033,0,0,0.904824733089103,0.90809401406942,0.90546370885568,0.874493989112011,0.908650812493518,0.907226385059315,0.905441558325653,0,0.907228996360842,0,0.906704739127541,0.873395203486344,0.903572743155843,0.903572743155843,0.903572743155843,0.903572743155843,0.903572743155843,0,0,0,0.903607880913362,0,0,0.906287557015601
"Complement cascade",0.926717685877867,0,0.929193031273491,0,0.927819028491203,0,0.927834883477892,0.910573412971866,0,0,0,0,0,0,0,0,0,0.928483556916188,0,0,0,0,0,0,0,0.930847342821744,0.926814499183285,0.909221957994167,0,0.88811095516472,0.92740849623875,0,0.92730224189146,0,0,0,0.944817162132254,0.927526401552787,0,0.927243954129786,0.928192235038133,0,0.929614590785947,0.910752742589165,0,0.910752742589165,0,0,0,0,0.944443036080934,0,0.929692592596169,0,0.906739731856725,0,0.926924113983636,0,0.907795003285956,0,0.92842319244593,0,0.945367537753243,0.927773005938238,0.92542620030482,0,0,0.926387175644279,0,0.928158874893761,0.910625272178536,0.929152483710701,0,0,0,0.926739721984724,0.927927770235537,0.927344584203153,0.926761209589578,0.927194903597528,0.946206330634304,0.930539997246326,0,0.930539997246326,0,0.945344239542583,0,0,0,0,0.927294637589043,0,0.926765082047733,0,0.927439101139046,0,0.906563628225151,0,0,0,0,0.927336192786654,0.944756216169751,0,0.908504828741094,0.927582771467984,0,0.927393743173041,0,0.927521480197992,0,0.907249044996885,0,0.928206661958961,0.927865823178629,0.906890432403996,0.944867806340757,0.909086621206619,0.887223466183751,0,0,0,0,0,0,0,0,0.926696924231495,0.929375013263964,0,0.928050700754421,0.911170603176229,0.926765082047733,0.925260002946093,0,0,0,0.88828880459163,0,0,0,0.927527386436713,0.910272698802826,0,0.927543364495042,0.92663769324113,0,0,0.910974230987269,0,0,0.907410398811452,0,0.926975921779079,0.910752742589165,0.928158874893761,0,0.907771798904916,0.909779184449101,0,0.944867806340757,0.926711800718081,0,0.926893556896549,0,0.927774432763723,0,0.907353241449284,0,0.944872540766907,0.906739731856725,0,0,0,0,0,0.928554667394784,0,0,0.926753509153175,0.928538414957262,0.91032812105108,0.928093536335305,0.930539997246326,0,0,0,0,0.926765082047733,0.927902029352754,0.92675002174011,0.928400881910724,0,0.930847342821744,0,0.926757351996946,0.906958574256387,0,0,0.927798514607815,0,0,0,0.909430374651807,0.926765082047733,0,0,0,0.92977023878627,0.910624049830966,0,0.909078206611558,0.889411487316035,0.888244673125513,0,0.928664682277866,0,0.928862012970202,0.928231069381843,0.926814499183285,0.926814499183285,0.926814499183285,0.926814499183285,0.926814499183285,0,0,0,0.92683747017163,0,0.889183538603729,0.928060063414895
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667727977566482,0,0,0,0,0,0,0,0,0,0.754894644508039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666424154936861,0,0,0,0,0,0,0,0,0,0,0,0,0.669176051882089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662794833820295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulation of Complement cascade",0.89716869180813,0,0.900131271792049,0,0.898486817184683,0,0.898505792987533,0.877846661092408,0,0,0,0,0,0,0,0,0,0.899490769467981,0,0,0,0,0,0,0,0.902111209738765,0.897284561359633,0.876377076483083,0,0.85275320586564,0.897995477820075,0,0.897868308899309,0,0,0,0.918830778305422,0.898136591025523,0,0.897798548066599,0.898933483838864,0,0.900844430379145,0.878061289053288,0,0.878061289053288,0,0,0,0,0.918383011156214,0,0.900729164263106,0,0.87325837739005,0,0.897415752188209,0,0.874521363161397,0,0.89920990174591,0,0.920122876786542,0.898431735782927,0.895622996684128,0,0,0.896773125595738,0,0.898893557250779,0.877908728005549,0.900082743050108,0,0,0,0.89719506539188,0.898882510850136,0.897918985659537,0.897220782509237,0.897739842673273,0.920493383776861,0.901743367799822,0,0.901743367799822,0,0.941525706762197,0,0,0,0,0.897859207804094,0,0.897225417202658,0,0.898032106835641,0,0.873047610401767,0,0,0,0,0.897908942518648,0.918757836044948,0,0.875370907103502,0.898204056512461,0,0.897977820834813,0,0.898130700975902,0,0.873867941177493,0,0.898950750482521,0.898542822703981,0.873438741078164,0.918891391066243,0.876067216683655,0.851691027999223,0,0,0,0,0,0,0,0,0.897143843543284,0.900349074205952,0,0.898764090655712,0.878561399225183,0.897225417202658,0.895424085869817,0,0,0,0.852966062282869,0,0,0,0.898137769769066,0.877486755852657,0,0.89815689286836,0.897072953821472,0,0,0.878326374118205,0,0,0.874061055068674,0,0.898111147250403,0.878061289053288,0.898893557250779,0,0.874493591346227,0.876896100605633,0,0.918891391066243,0.897161648242971,0,0.897379180397165,0,0.898433443457593,0,0.873992647137646,0,0.918897057393121,0.87325837739005,0,0,0,0,0,0.899367255565119,0,0,0.897211566357505,0.899347804079206,0.877553087138639,0.898815357777767,0.901743367799822,0,0,0,0,0.897225417202658,0.898586155520058,0.897416013911385,0.899183199716711,0,0.902111209738765,0,0.897216165607395,0.873520295631447,0,0,0.898462265451246,0,0,0,0.876626516831622,0.897225417202658,0,0,0,0.900822093940324,0.877907265057206,0,0.876057145801853,0.854309728251058,0.852913244200023,0,0.899498925226708,0,0.899735097504062,0.898979962140262,0.897284561359633,0.897284561359633,0.897284561359633,0.897284561359633,0.897284561359633,0,0,0,0.897312053842259,0,0.854036911256051,0.898775296215376
"Cell surface interactions at the vascular wall",0.753650637184337,0.754144312101088,0.765809798598919,0,0.76466698101948,0,0.754429603036778,0.754444729361833,0.75491792798409,0,0,0.755051750588157,0.741719666106774,0,0.755051750588157,0.755397888527273,0.75491792798409,0.754309739462436,0.754378870655393,0.754964286893723,0.755051750588157,0.75491792798409,0,0.755423594313892,0.741956586529247,0.755397888527273,0.75381416418544,0.740406728258558,0,0.754046055888268,0.753975418663255,0,0.753922969666626,0,0.754386187462675,0,0.764567230995794,0.753872796566465,0,0.742717072507229,0.754540002932351,0,0.754284642764316,0.765773885648666,0,0.765773885648666,0,0,0,0,0.7641562053485,0.744307209942289,0,0.754153324735493,0.753907690613202,0.754333959448688,0.753589769399592,0.754669270651034,0.740240301265393,0.742167242791185,0.753838532510606,0.741741956611955,0.760435248012526,0.777451670686019,0.753676264495886,0.755706211829441,0.754232689505804,0.753544788783972,0.741183212489091,0.753395333830786,0.754002355700307,0.753994623208531,0,0.742474258721261,0.753347253238038,0.753431508100056,0.743634082209209,0.753936870490785,0.753172318262053,0.753858229199068,0.753861578834198,0.755212514831403,0,0.766436839593764,0,0.786804318656131,0.755434467311662,0.778610926722594,0.741385505809292,0.753909628529611,0.742410959950819,0,0.753174653912662,0,0.754190889221516,0,0.7538797044381,0,0,0,0,0.741895069803665,0.764106140873977,0,0.760497332089927,0.753853212225554,0,0.7535002436859,0,0.764935434895834,0,0.754345335976368,0,0,0.766417150706313,0.754159349014854,0.764173445836458,0.753693439856729,0.75351077207225,0.754639397310714,0,0,0.754414881841654,0,0,0.754492785775525,0,0.753743249537245,0.754175701222104,0.742447162252318,0.75413544105255,0,0.753174653912662,0.753337066302593,0.754830464289655,0,0,0.754153324735493,0,0,0,0,0.753944159060205,0.740905457513432,0.753883027666406,0.744875535248747,0,0,0.765146644623124,0.742132488577686,0,0.754711920951879,0,0.75330182067009,0.765773885648666,0.753395333830786,0.754552621044716,0.741899266393602,0.755115271011724,0,0.764173445836458,0.753752222203588,0,0.753756712766148,0,0.764768805464398,0.754015311959533,0.754827848282128,0,0.764176301378048,0.776852729800102,0,0.741197598310726,0.754051962900571,0,0,0.748634260677673,0,0.754853374113332,0.753167673788633,0.753470204107693,0.765517777638151,0.754400234307178,0.754987196717399,0,0,0.755016867621732,0.754226284645293,0.753174653912662,0.754144368191385,0.754413667590552,0.765146644623124,0.743039487711035,0.74240680431077,0,0.753169991577498,0.748634260677673,0,0.742626733693524,0.742779253734766,0,0,0.741295669384883,0.754025282277805,0.753174653912662,0,0,0.753656173375767,0.75485337411333,0.765069257499901,0.754748818742792,0.755144732003567,0.754830464289655,0.754126707098434,0.753614449541986,0.766851931586688,0.753689423413913,0.765424773139078,0.753918495851703,0.75381416418544,0.75381416418544,0.75381416418544,0.75381416418544,0.75381416418544,0,0,0.74450645432056,0.753176368555961,0,0.754268647430814,0.754576099048552
"Muscle contraction",0.930931029407118,0.931320642442397,0,0,0.931871049738263,0,0.931180433196274,0.931392072959671,0,0,0.93217135628954,0,0.931983889219067,0,0,0.932098987695016,0,0.923554198092667,0.931581378259152,0.931548485251076,0,0,0.931641225295335,0.932438794020247,0.931569728065591,0.932247356168113,0.931115653693854,0.931283784952051,0,0.937965348345816,0,0,0.931677517262837,0.924531074118629,0,0,0.930888327818814,0.931761463274922,0,0.930154737710221,0.932076090680376,0.923443863709325,0.924698824021471,0.924316434437525,0.924654412635013,0.924316434437525,0,0,0,0.932045108335715,0.930484753636202,0.925261256608538,0.924353096915115,0.93132623838458,0.932443151347721,0.931323295951561,0.930645049669792,0.931835728248909,0.931065352002563,0.93150386591334,0.923877716644991,0.938433456532138,0.932012218450036,0.93132623838458,0.93065743029296,0.93229042554715,0.931692862256631,0.931713397649012,0.931508108904803,0.923836350955128,0.938844356609597,0.932518786595964,0.931692862256631,0.93159580231827,0.923825395930412,0.931141529586444,0.932175239606544,0,0.930832230215381,0.931637319924626,0.93140856038506,0.932132257692163,0.93209540355621,0.924558698261288,0,0.930887525227628,0.931121665977254,0.931983889219066,0.931776409183764,0,0.923220541381369,0,0.930833680420192,0,0.938055275321946,0,0.930896774689757,0,0,0,0,0.930849367960692,0.930602037091062,0,0.938151987629971,0,0.924624699952314,0.930986018599073,0,0.930788408015685,0,0.924307907560752,0.931624600681293,0.923796627698085,0.938742655608482,0.93141306927541,0.930643826723453,0.938479144172289,0.938539132472343,0.931628040710667,0,0.924927601633468,0.924188293918835,0.938514130400749,0,0.924321409623593,0,0.937777335967106,0.931403936716563,0.92481943937085,0.931903929800761,0,0.930833680420192,0.931584422818386,0,0,0,0.93132623838458,0,0.924783569195464,0.931593445806998,0,0.931394556368669,0.931478347331047,0.931767815762015,0.92946207538823,0,0,0.938151987629971,0.930886262300442,0.924965310157317,0.932289701212734,0,0.93770796902113,0.931518381940561,0.923836350955128,0,0,0,0,0.930643826723453,0.931077193934636,0.924813461241808,0.930633606283472,0.924413496690662,0.930684947848282,0.931240546290564,0.931766764117164,0,0.930645599728428,0.910499316839822,0.932215124240482,0,0.931263302849609,0,0,0,0.931997418460938,0.932164265750654,0.930829346463133,0.932028251714689,0.93135936454842,0.931331175995526,0.932049167274703,0.931749455334578,0,0,0.931206442642849,0.930833680420192,0.931011271205406,0.937362935541766,0.930975327487128,0.938472477275658,0,0,0.930830785577592,0.938324677547784,0,0.925130605026147,0.92367040171855,0,0.931446274471477,0.93172062977296,0.931246736858392,0.930833680420192,0.92395515544353,0,0.93018003164002,0.932486664014286,0.938020847569333,0.931811078923211,0.931473450441082,0.931548485251076,0.93130971150117,0.931264409018496,0.93139146493692,0.931203298713011,0.938324677547784,0.931134494081881,0.931115653693854,0.931115653693854,0.931115653693854,0.931115653693854,0.931115653693854,0,0,0,0.930802736983245,0.931727743373644,0.932567450861187,0.932097122176584
"Constitutive Signaling by Aberrant PI3K in Cancer",0.933629052824601,0.934614426082445,0.917497424583539,0,0.934381071772203,0,0,0.934283575026873,0.935945437201096,0,0,0.936155581800824,0.934736789327198,0,0.936155581800824,0.93658294491486,0.935945437201096,0.935175562246987,0,0.932654925864591,0.936155581800824,0.935945437201096,0,0.936713289800641,0.934743149384542,0.936446678222017,0.933804891075569,0.934521209526401,0,0.934460132174793,0,0,0.950851076916529,0,0.935130515013834,0,0.933229959495265,0.95106338540706,0,0.950795870789681,0.934734547139563,0,0.95370750971984,0.935917133469711,0,0.935917133469711,0,0,0,0,0.932875613237096,0,0.916406868538161,0.934628578821908,0.935161642013123,0,0.933323326194089,0.935273854997621,0.932413709944526,0.934867673341121,0.933639137357715,0.934977691867113,0.889120194220056,0.934628578821908,0.933213104316977,0.937067111826516,0.952515279597634,0.933381884915192,0.93527689899166,0.934702950723626,0.934601653401279,0.935644028109509,0.935054568993206,0.914855651172232,0.932988456678326,0.934161430411329,0.951443533997027,0,0.933088082624507,0.950749413526132,0.934836780012475,0.936155581800824,0,0.936456943715141,0,0.950979736681482,0.935848047948198,0.936291848493667,0.934212050009435,0.934912233513624,0.935273854997621,0,0.9330917503484,0.934720853049626,0,0,0.934994848862317,0,0,0,0,0.950883232850689,0.933172235704882,0,0.934641066570888,0.934157305499182,0,0.934269367424475,0,0.934600495678406,0.937442351647718,0.935352931688315,0.934545674598052,0,0.934425392455922,0.935304375123638,0.933277926178467,0.933677991879283,0.9336195641404,0.935391869354702,0,0,0.934236704804727,0,0,0,0,0.933483387632814,0.934834634406423,0.917517742662491,0.951559965261911,0,0.9330917503484,0.933055693701024,0,0,0,0.934628578821908,0,0,0.935304375123638,0.933813752216135,0.934801362349294,0.935304375123638,0.951079451529946,0.920049921991238,0,0,0.934641066570888,0.915975705735171,0.936468786257819,0.934994248320991,0,0.933582539545898,0.935415892448789,0.934702950723626,0.935391869354702,0.936139144369392,0.91766304058186,0,0.933277926178467,0.933707622209271,0.936155581800824,0.933294384639681,0,0.934338833790894,0.934702950723626,0.935451619344232,0,0.933282410298685,0.935161642013123,0.93458493694119,0.917381493255671,0.935135744329465,0,0,0.916892810574511,0,0.936456943715142,0.933080789305007,0.934143636863824,0.935013720366337,0.934932162992082,0.953917654319569,0,0,0.935984619346165,0.93495329398427,0.9330917503484,0.934750780855123,0.93403491893272,0.951891632575587,0.935742715765425,0.954208750740762,0,0.933084428980208,0.935077817940849,0,0,0.934718607335279,0,0,0.934070977882047,0.934718607335279,0.9330917503484,0,0,0.933538519677204,0.95318859247249,0.934600495678406,0.915814982990837,0.937376483177689,0.935691906064427,0.934586780556775,0.913694589558791,0.935984619346165,0.915616916721998,0.935368914362043,0.934771328337593,0.933804891075569,0.933804891075569,0.933804891075569,0.933804891075569,0.933804891075569,0,0,0.916860757688879,0.933160311360787,0,0.935476008847499,0.935110604362229
"Initial triggering of complement",0.781798993816501,0,0,0,0.783700681953183,0,0.785423671640627,0,0,0,0,0,0,0,0,0,0,0.786977297817143,0,0,0,0,0,0,0,0,0.782979767425314,0,0,0,0,0,0.782462935590167,0,0,0,0.824412608506087,0.782999816394896,0,0.782323331612323,0,0,0.789686216855368,0,0,0,0,0,0,0,0.823516545876831,0,0,0,0,0,0.782293406088931,0,0,0,0,0,0.825730803334497,0.784326572060967,0,0,0,0,0,0,0,0,0,0,0,0.783145257955384,0,0,0,0.782205851557816,0.827739781195712,0,0,0.790217625663038,0,0.821975602881698,0,0,0,0,0,0,0,0,0.784475740423571,0,0,0,0,0,0,0.73685024774256,0.824266637918874,0,0,0,0,0,0,0.784255556056637,0,0,0,0,0.738118756043155,0,0.824533905546131,0,0,0,0,0,0,0,0,0,0,0.782698165756403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783002175272807,0,0,0.783040444035186,0.780871286976596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824533905546131,0.782733796163954,0,0.782220219354938,0,0.783593871522104,0,0,0,0.824545244885717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790217625663038,0,0,0,0,0,0,0.782825338651764,0,0,0.790953743566157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788373990911655,0,0,0,0,0,0,0.787755696002676,0,0.786198715466833,0.785423671640627,0.782979767425314,0.782979767425314,0.782979767425314,0.782979767425314,0.782979767425314,0,0,0,0,0,0,0
"Insulin processing",0.758048258469192,0,0.799783856736282,0,0.79571156935509,0,0,0.797865383598225,0,0,0,0,0.801101430106789,0,0,0,0,0.800804596735419,0,0.796440752914235,0,0,0,0,0,0,0.759057782572327,0.796643908117037,0,0.793936723106792,0,0,0.831949478069731,0,0,0,0.757814766530525,0.793341566294576,0,0.831830121082519,0.796475791685298,0,0.761762084563715,0,0,0,0,0,0,0,0.757048661313233,0,0.79972312294446,0,0,0,0.758470965330336,0.801912707714867,0.796078876053463,0.798476666562588,0.797123747481296,0.79907146916717,0.795608566619501,0.797330380871001,0.794270090609227,0,0.798251381968724,0.794180660633218,0.835573869818069,0.719869417264836,0.797447187261921,0.79907146916717,0,0,0,0.796320394660216,0.796563599480731,0,0.794174810477651,0.83172967935027,0,0,0,0.801912707714867,0,0.794931500885407,0,0,0.79996693095578,0,0,0,0.794182740185797,0,0,0,0.797667927866068,0,0,0,0,0.795806552521598,0.757689966293596,0,0.797532399491968,0.833153281492218,0,0.796553757104445,0,0.796815326703546,0,0.79907146916717,0,0.797134691506057,0.796436749283249,0.798337131161488,0.757918471664726,0.794820851082069,0.794694528891383,0,0,0,0.797764049039458,0,0.801013711579274,0,0,0,0,0,0.833482111891463,0,0.794182740185797,0.793475427304946,0,0,0,0.794300908849453,0,0,0,0,0,0.798337131161488,0.832443229531196,0.794376221369263,0,0,0.797532399491968,0,0,0.798772518989081,0,0.751292822468886,0.799661929589702,0.719869417264836,0,0,0,0,0.757918471664726,0.758847484920713,0,0.75840839298671,0,0.796249607346933,0.797036836999961,0.799284834276401,0,0.757928166441558,0.798028538709543,0,0,0,0,0,0.797392971300127,0,0.800374674723346,0.794159042143736,0.797814028595665,0.798792423778613,0.797986737221027,0,0,0,0.799807835693838,0.834874227931675,0.794182740185797,0.833807032093979,0.795592536041418,0.796903041958567,0,0,0,0.794166911209929,0.798476666562588,0,0,0,0,0,0.799661929589702,0.797070686974658,0.794182740185797,0,0,0.795959943934853,0.800336458292448,0.796815326703546,0.799527147276608,0,0.799174982468666,0.794210539984949,0,0.799807835693838,0,0,0.834935151512642,0.759057782572327,0.759057782572327,0.759057782572327,0.759057782572327,0.759057782572327,0,0,0,0.794330970759935,0,0,0.797918194068596
