"","PACRG","COL10A1","DSE"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0.809379027295566,0.810036953222881
"Translocation of ZAP-70 to Immunological synapse",0,0.922968533522505,0
"Signaling by GPCR",0.930762830766456,0.932933515851919,0.931101842449451
"GPCR downstream signalling",0.937997539033234,0.940294594529992,0.938362158698556
"Immune System",0.89482357823455,0.895970835263592,0.896116214383642
"G alpha (i) signalling events",0.9407841385265,0.940379417314973,0
"Generation of second messenger molecules",0,0.929176576750525,0
"Phosphorylation of CD3 and TCR zeta chains",0,0.925326388578588,0
"Cardiac conduction",0,0,0
"Neuronal System",0,0.941011532716168,0.93794836381079
"PD-1 signaling",0,0.921708307089966,0
"GPCR ligand binding",0,0.93397626151732,0
"Anti-inflammatory response favouring Leishmania parasite infection",0,0.904596479197452,0
"Leishmania parasite growth and survival",0,0.904596479197452,0
"Signaling Pathways",0.922854288040403,0.923561794954561,0.922814356714536
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0
"Regulation of insulin secretion",0,0,0
"Chemokine receptors bind chemokines",0,0,0
"MyD88 deficiency (TLR2/4)",0,0,0.911872393873677
"IRAK4 deficiency (TLR2/4)",0,0,0.911872393873677
"Constitutive Signaling by Aberrant PI3K in Cancer",0,0.886350476101614,0.88687774698625
"G beta:gamma signalling through PI3Kgamma",0,0,0
"G-protein beta:gamma signalling",0.900316162123906,0,0
"Leishmania infection",0.893160186240056,0.893313067049151,0.892638152466701
"Classical antibody-mediated complement activation",0,0,0
"Nitric oxide stimulates guanylate cyclase",0,0,0
"Interaction between L1 and Ankyrins",0,0,0
"Muscle contraction",0,0.925988398465199,0
"Initial triggering of complement",0,0,0
"Potassium Channels",0,0,0
"Complement cascade",0,0.877454348735752,0
"Integration of energy metabolism",0.917700060936423,0.916533727232371,0
"Extracellular matrix organization",0.887606515758342,0.890919583281768,0.902847944438817
"Diseases of Immune System",0,0,0.897052992128638
"Diseases associated with the TLR signaling cascade",0,0,0.897052992128638
"Class A/1 (Rhodopsin-like receptors)",0,0.939420145562931,0
"G beta:gamma signalling through BTK",0,0,0
"Peptide ligand-binding receptors",0,0.936799589737777,0
"Transmission across Chemical Synapses",0,0.932793699282808,0.927648601512724
"Regulation of TLR by endogenous ligand",0,0.856636384476698,0.896810207936032
"Interleukin-4 and Interleukin-13 signaling",0.741859746282778,0.752092479251234,0.741880963591208
"Cytokine Signaling in Immune system",0.868013936762004,0.870607539592418,0.870886575953205
"Platelet homeostasis",0.860599122083826,0.873959177986356,0
"Phase 0 - rapid depolarisation",0,0,0
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,0,0
"ADP signalling through P2Y purinoceptor 12",0,0,0
"Glucagon-type ligand receptors",0,0,0
"Interleukin-10 signaling",0,0,0
"Costimulation by the CD28 family",0.901168485313538,0.917319167429743,0
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0,0
"G alpha (q) signalling events",0,0.898725127929981,0.892262138523073
"Platelet activation, signaling and aggregation",0.913783930664668,0.914709856745838,0.915643040959471
"Signaling by Interleukins",0.877972129981708,0.881293850453425,0.878317034026546
"Regulation of Complement cascade",0,0.835613413285861,0
"G beta:gamma signalling through CDC42",0.864241599772294,0,0
"ADP signalling through P2Y purinoceptor 1",0,0,0
"FCGR3A-mediated IL10 synthesis",0,0,0
"Creation of C4 and C2 activators",0,0,0
"Class B/2 (Secretin family receptors)",0,0.899966378786076,0
"Signal amplification",0,0,0
"Activation of kainate receptors upon glutamate binding",0,0,0
"Cell surface interactions at the vascular wall",0,0.803133024370579,0.804248394818181
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.927112711720747,0.920459284813275
"Presynaptic function of Kainate receptors",0,0,0
"Negative regulation of the PI3K/AKT network",0.873163941048254,0.885641029782268,0.886104827459176
"Binding and entry of HIV virion",0,0,0
