"","PCMT1","RAET1E","RAET1G","TFB1M","ULBP2","ULBP1","CLDN20","NOX3","RAET1L","ULBP3","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","MTRF1L","SNX9","MTHFD1L","UST","OPRM1","SYNJ2","SUMO4","IPCEF1","PPIL4","CD109","ZBTB2","SCAF8","KATNA1","TMEM181","DYNLT1","LATS1","ESR1","EZR","NUP43","TAGAP","COL12A1","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","SYNE1","LPA","COX7A2","PLG","MAP3K4","AGPAT4","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","MYO6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","HTR1B","PSMB1","TBP","PHIP","ELOVL4","TTK","BCKDHB","IBTK","TPBG","UBE3D","DOPEY1","PGM3","ME1","SNAP91","CYB5R4","NT5E","KHDRBS2","PTP4A1","SYNCRIP","HTR1E","CGA","RARS2","COL9A1","ORC3","CNR1","RNGTT","SRSF12","GABRR1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","KCNQ5","EEF1A1"
"G beta:gamma signalling through BTK",0,0.877152421222241,0.877688578443952,0,0.877688578443952,0.877152421222241,0,0.873178976727294,0.877688578443952,0.877152421222241,0,0,0,0.913655976052762,0,0,0.869864596182684,0,0,0.91218911124078,0.869723744770702,0,0.877152421222241,0,0,0,0,0,0.874335674935142,0,0,0.917021971456391,0.9150148150882,0.868133482023785,0.873367902184266,0,0.870240075926952,0,0.871118182166097,0.913822945326777,0,0.869605214970816,0.868180485066674,0,0,0.866097256202861,0.875598901107339,0,0,0,0.867799787465785,0,0.871936681143935,0,0.86994663795936,0.912041836330463,0,0.871285186763665,0,0,0,0,0,0.912311492132953,0.869319583518354,0,0,0,0,0,0.874873413919874,0,0.868566558305158,0,0,0,0.870447264965976,0,0.870210897025808,0,0.873982888259807,0,0.912311492132953,0.913407806910272,0,0,0,0.912322932795435,0,0,0,0,0.877152421222241,0.868538592596879,0.868756188941209,0,0,0,0.870075897171773,0
"Recycling of bile acids and salts",0,0,0,0.875154946143582,0,0,0,0,0,0,0,0.873312749655924,0,0,0,0,0,0,0,0.86927938782474,0,0,0,0,0.873821835905828,0,0,0,0,0,0.873847266764063,0.907837425758039,0.871241848124897,0,0,0,0.874278616856526,0.873670633504056,0.911310514787476,0.870539641286915,0,0,0.872230967269059,0,0,0.906742592720473,0,0,0,0.909778823616206,0,0,0.871975206411554,0,0.870668545247721,0.868908751703923,0.872853296395523,0,0,0.871185619103326,0.87359061716209,0,0,0.869120368751656,0,0.870225166494801,0,0,0,0.872881416975318,0,0,0,0,0,0.909357178945347,0,0,0.871458770232511,0,0,0,0.869120368751656,0,0,0,0,0.869129347009109,0.872730320295144,0,0,0,0,0,0,0,0,0.911578385736835,0,0
"G-protein beta:gamma signalling",0,0.89734406586436,0.897756792865263,0,0.897756792865263,0.89734406586436,0,0.892653446313975,0.897756792865263,0.89734406586436,0.897474908571525,0.851288510570944,0.857383326709448,0.925444037472413,0.854937674748256,0,0.891733990964893,0,0,0.924314863621785,0.924934206283183,0.856898960591562,0.89734406586436,0,0.855392715129139,0,0,0.857502961478737,0.894635443109223,0.85514165100304,0.854230586753506,0.928035137865621,0.926490054456046,0.885032534536838,0.894430791307649,0,0.887539227694892,0,0.892698985489555,0.925572568293068,0,0.891534322611413,0.89043758367622,0.897185075328633,0,0.89141496304767,0.895163741327631,0.854489290114508,0.857393756436449,0,0.890144527511529,0,0.8925920792002,0,0.891797145679713,0.924201493271481,0.892201333519427,0.892827543501832,0.860295646468252,0.89255454028234,0.852073404740253,0,0.855259461847877,0.924409070873967,0.891314447157042,0.889395181668824,0,0,0.857956357024557,0,0.895589715067886,0,0.889426084023352,0,0,0.853773042219286,0.892182521973542,0,0.892000568943525,0.858334237452064,0.894491472755381,0,0.924409070873967,0.925253000027146,0,0.892040632591048,0.854078255720246,0.92441787775024,0,0,0,0,0.89734406586436,0.889404556377283,0.892228980569769,0.893937837019054,0,0,0.891896647775215,0.890544703098334
"G beta:gamma signalling through CDC42",0,0,0,0,0,0,0,0.870037271340862,0,0,0.877428695770902,0,0,0.912050216456587,0.818754848967338,0,0.867444438261747,0,0,0.910556072023614,0.867300967403784,0.821350059901968,0.874867796653324,0,0,0,0,0.822149285426525,0.871663245344144,0.81902475424842,0,0.915478810047942,0.913434326132899,0.858576942960442,0.871012896047702,0,0.867709242762387,0,0,0.912220290896446,0,0.867180233278052,0.865729007345452,0,0,0.866476166160321,0.871982749530757,0.818161537845253,0.822004783226181,0,0.865341229824056,0,0.869555058261768,0,0.86752800578814,0.910406058208047,0.868846020627019,0.868891447891242,0.825844619610729,0.86798407655001,0,0,0.819180643811271,0.910680728861278,0.866889289872027,0.814802121153169,0,0,0.823505734661035,0,0.822977100826998,0,0.814186935009471,0,0,0,0.8680379430699,0,0.867797179340991,0,0.871639319160193,0,0.910680728861278,0.911797432055695,0,0.867304064065148,0.817617649274324,0.910692382288382,0,0,0,0,0.874867796653324,0.814158449216507,0.866197759590387,0.870360609505995,0,0,0.867659668863742,0.816323189891638
"G beta:gamma signalling through PI3Kgamma",0,0.885035465507748,0,0,0,0.885035465507748,0,0.881149376674221,0,0.885035465507748,0.886129179173915,0.831587880813778,0.838749835869081,0.918727269222162,0,0,0.879114944172045,0,0,0.917400388774247,0.918128171894191,0,0.885707284838902,0,0.836410688904386,0,0,0,0.88277157300098,0,0.835045083936881,0.921772044345517,0.919956432900544,0.877064040748313,0.882283926206783,0,0.874185721481046,0,0,0.918878304452731,0,0.878880315966519,0.877591549450393,0.885520456713948,0,0.878740057784562,0.884302018689583,0,0,0,0.877247182199192,0,0.880989288010034,0,0.879189156620591,0.917267168454711,0.880844615742193,0.880399966384725,0,0.880079163140865,0.832510201788852,0,0,0.917511090736484,0.878621942606899,0.876366633692989,0,0,0.836000961173542,0,0.882973946132913,0,0.876783968799409,0,0,0.834507428113405,0.879642008295368,0,0.879428197182196,0.839867241192795,0.881391578925545,0,0.917511090736484,0.918502783107111,0,0.879475275557718,0.832873178224824,0.917521439605197,0,0,0,0,0.885707284838902,0.876758671886412,0.879964743739253,0,0,0,0.879306080498144,0.877717424369224
"ADP signalling through P2Y purinoceptor 1",0,0,0,0.831302930108668,0,0,0,0.877930398715422,0,0,0,0.82810408351978,0.832895325039974,0.915843711571902,0,0,0.874825940662523,0,0,0.91446975338672,0.874694010338196,0,0.880956522179883,0,0.829711789325675,0,0,0.833600566423126,0.879013835278544,0.876466395410778,0.832508100251731,0.902591391592096,0.917116485995171,0.873204469857116,0.87810735822517,0,0.875069444773035,0,0,0.916000105534612,0,0.874582987844909,0.873248495874359,0.832199669549343,0,0.871297212207546,0.879501397167489,0.829933585970087,0,0,0.87289191046816,0,0.875870046806012,0,0.874902786169804,0.914331806408341,0.827357929673041,0.876156555481685,0,0.826565318802472,0.826434308653348,0,0,0.91458438305616,0.874315447394795,0.824221111314278,0,0,0,0.827609504599504,0.832186092039919,0,0.823655409619789,0,0,0.827045345323979,0.875371705028478,0,0.875150307893951,0,0.878181194306086,0.828536212963936,0.91458438305616,0.915611260686279,0,0.825940005279238,0.826810163498459,0.914595099102883,0,0,0,0,0.881652177670516,0.823629215171956,0.873679542545309,0,0,0,0.874885391447275,0
"Thromboxane signalling through TP receptor",0,0,0,0,0,0,0,0.876621129036821,0,0,0,0,0,0.915215117836981,0,0,0.873890970371603,0.787705068566756,0,0.913830897061523,0.873758054612,0,0.879561393613355,0,0.878767681715505,0,0,0,0.878001143824865,0.875543678269285,0.831265839328357,0.905169343402815,0.916497399072437,0.872257388214703,0.877897749620954,0,0.874245295363607,0,0,0.915372679962724,0,0.873646202851584,0.872301743078179,0,0,0.874200735090944,0.879302201143981,0,0,0,0.871942494206701,0,0.874942875321251,0,0.873968389865752,0.913691919707305,0.876396240234369,0.874530672440852,0,0.875597709066734,0,0,0.827709970744829,0.913946382941395,0.87337666404515,0,0,0,0,0,0.829035170882464,0,0,0,0,0,0.874440811248863,0,0.874217760419121,0,0.878478087014985,0,0.913946382941395,0.914980930691679,0,0.874967724850788,0,0.913957179030144,0,0,0,0,0.880768195011019,0,0.872845011453789,0,0,0,0.873950865215754,0.786835342709528
"Signal amplification",0,0,0,0.858772998552739,0,0,0,0.895346972553561,0,0,0,0.856195309509289,0.860056179490998,0.926897505323247,0,0,0.893844635883634,0.824909363540079,0,0.925790344707166,0.893738324017133,0,0.898380089621283,0,0.897745243959813,0,0,0.860624475886533,0.896970770777555,0.894311906110429,0.859737137663029,0.916218543684102,0.927923130214745,0.891553003749278,0.89704943403496,0,0.893879493460048,0,0,0.927023530436655,0,0.893648860062995,0.892178250686726,0.859495607582846,0,0.894092399321075,0.897612204183985,0.857669556019735,0,0,0.892116275138446,0,0.894004631468516,0,0.89390655939783,0.925679184510869,0.895848460832579,0.89435629771508,0,0.895209760507317,0.854849774405108,0,0.856907042614868,0.925882715389773,0.893433271078723,0.853066339540889,0,0,0,0.855796768776405,0.859484666577609,0,0.852610486776705,0,0,0.855342158921611,0.894284422784111,0,0.893701336035299,0,0.897513613389946,0.856543527312988,0.925882715389773,0.926710192151339,0,0.894705871442065,0.855152645108424,0.925891350576068,0,0,0,0,0.898380089621283,0.852589378811912,0.892759484843091,0,0,0.858116389273423,0.89389254241251,0.824213718572901
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0,0,0,0,0,0.888494528021523,0,0,0,0,0,0.921360015001644,0,0,0.885803401395261,0,0,0.920168987327083,0.885689036439266,0,0.891720784673231,0,0,0,0.892156120011401,0,0.889339925638267,0.847362335177892,0,0.921248865535941,0.922463330646862,0.884397815240197,0.888647926920894,0,0.885840899421811,0.888647926920894,0,0.921495586476621,0,0.885592795619546,0.884105690660931,0,0,0.882744492258715,0.890459396824316,0,0,0,0.922585530841215,0,0.887172980020004,0,0.885266980546787,0.92004940678188,0.887355980386973,0.886956856493745,0,0,0,0,0,0.920268355059014,0.885360875839463,0.884636801946429,0,0,0,0,0.849154452399684,0,0,0,0,0.887085013908966,0.886276502011169,0,0.886084581967945,0,0.888711932373679,0,0.920268355059014,0.921158512917564,0,0.88534949378942,0,0.920277644357878,0.887675037641589,0,0,0,0.891117749624394,0,0.884636050514466,0,0,0.886492466599856,0.885974968211515,0
"Presynaptic function of Kainate receptors",0,0,0,0,0,0,0,0.874635098153165,0,0,0,0,0,0.91357189072825,0,0,0.871446834449559,0,0,0.912160842185333,0.871311342631893,0,0.878457347496908,0,0,0,0,0,0.875747782367447,0,0,0.916809805272904,0.914879024027345,0.870496026510125,0.875531269621915,0,0.871808026661488,0,0,0.913732506586566,0,0.87119732305759,0.869826806130011,0,0,0.867822847054277,0.876962941007217,0.824855381094079,0,0,0.869460594608242,0,0.873440073663893,0,0.87152575442125,0.912019171292478,0.874000659281656,0.872813369561042,0,0,0,0,0,0.912278566312445,0.870922560283601,0,0,0,0,0,0.827168694149763,0,0,0,0,0,0.872007331866192,0,0.871779958058569,0,0.87540841972126,0,0.912278566312445,0.913333164770652,0,0,0,0.91228957164163,0,0,0,0,0.878457347496908,0,0.870380603662462,0,0,0,0.875072573584703,0
