"","TP53","MAPK10","SDC3","ERBB2","CCT6B","HRH4","APC","ABLIM3","DOK2","CHRNG","RIPK1","TNRC6A","DOCK3","KCNMA1","SYNE1","AMFR","DYSF","DLGAP2","GRIK5","PYGB","NEFH","TTN","SLC25A4","MYO5C","MYBPC2","PLEC","SCAI"
"Potassium Channels",0.953830056603805,0.96434910013676,0.955387955268932,0.955364181739363,0.964509602482036,0.964109395914755,0.955314058964148,0.956313716360004,0.95595500470664,0.956125260982424,0.955391322095393,0.954748429218828,0.956756762033777,0.919776777934159,0.954834692254938,0.955677332240772,0.955765760492529,0.955288021302328,0.956534122905253,0.946478102851282,0.9558127990434,0,0.94666485944604,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0.821973183024934,0.829443823338871,0.796550895803598,0.82279075620052,0.824178311423385,0.823047901576064,0.795903756382592,0.799182732788815,0.798169528062901,0.798633464424797,0.824403855666147,0.824250692520429,0,0.724100992933501,0,0,0,0,0.798594998494607,0.824787230330903,0.827573569829296,0.82531931938702,0,0.824933279569297,0.825432974268332,0,0
"Complement cascade",0.909314166216163,0.907657877478261,0.908025884019272,0.909952277389955,0.907794286697808,0.921879748265577,0.90792626505095,0.909774157504699,0.909217128903628,0.893682205330418,0.878710411950242,0.893261152828004,0,0.893547335860226,0.922922002963282,0,0.909660894690986,0.893470206698874,0,0,0,0.908534405847315,0.907593103017361,0.908390380530735,0.908596889783605,0,0.895591990550327
"Regulation of Complement cascade",0.876795547682837,0.875765195429462,0.876216275703607,0.877790983343334,0.875932397642718,0.893094627300652,0.876094168766551,0.878359204144289,0.877676432002827,0.858634657459931,0.842310031508188,0.858156150067107,0,0.858469342578785,0.894475041970422,0,0.878220373402532,0.858374802293843,0,0,0,0.87700714757921,0.875685798792923,0.87683061001249,0.877083736628507,0,0.860975557266195
"Interaction between L1 and Ankyrins",0.940249525970287,0.9293144018585,0.928733668036034,0.929091179414877,0.92968293666501,0.906455285688307,0.929332484724518,0.93050294516837,0.9296792953361,0.930426620360152,0.904619923432761,0.929999059694054,0.907755155772388,0.930369442800575,0,0,0,0.907375948404286,0.908271827640314,0.929345929298328,0,0.905459649191604,0,0.905246686288772,0.905552041006935,0,0.908012439085316
"Activation of Matrix Metalloproteinases",0.868990351282434,0.852226377461557,0.853006986293007,0.852650740954264,0.852236901411655,0.851440359389019,0.851933123758968,0.854231697315839,0.853208815513836,0.853633591934009,0.852086902671831,0.852510922184914,0,0,0.831622164645087,0,0.833475295097747,0,0,0,0,0.831577911832901,0,0.831393311996927,0.831657998616697,0.852036378592198,0.834294249340467
"Classical antibody-mediated complement activation",0,0,0,0,0.7329590147793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.914871709405181,0.895328108642256,0.86909590533433,0.900818770613197,0.895711294727648,0.900108030849633,0.894896498902937,0.870935520931926,0.87007912650354,0.870856161794165,0.869645849751324,0.895039296907453,0.871993255864656,0.901519227343873,0.892789744885009,0,0,0.87140218762824,0.902951332585884,0.900673579601506,0,0.86936095351392,0,0.870161228766125,0.869457018410406,0,0
"Defective B3GALTL causes PpS",0.897501642008038,0.89917479842166,0.899395401605491,0.899331265493637,0,0.898528125543347,0,0.901474177629217,0,0.901384501354969,0,0,0,0,0,0,0,0,0,0,0,0.900697598641493,0,0.900447382229231,0.90080615251753,0.899820188398352,0.902971713854781
"O-glycosylation of TSR domain-containing proteins",0.897501642008038,0.89917479842166,0.899395401605491,0.899331265493637,0,0.898528125543347,0,0.901474177629217,0,0.901384501354969,0,0,0,0,0,0,0,0,0,0,0,0.900697598641493,0,0.900447382229231,0.90080615251753,0.899820188398352,0.902971713854781
"Adrenaline,noradrenaline inhibits insulin secretion",0.896273065009011,0.92711184892799,0.89833697691131,0.898545842354958,0.927615977378315,0.92635895202939,0.898245794090088,0.901385659323603,0.900258967064914,0.900652810901898,0.898975993625726,0.896880881707052,0.90277723979278,0.898404082544526,0.89710837691044,0.899386814139825,0.899896370801857,0.898651531895052,0.899877028653997,0.899630525354891,0.900224004882683,0,0.899301091512562,0,0,0,0
"Voltage gated Potassium channels",0,0,0,0.864829557061433,0,0.844045735696781,0.847368562439719,0,0,0,0,0,0,0.866549015931011,0,0,0,0,0.868142044171881,0.845887676828737,0,0,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0.871529265131821,0.87419041906781,0.874541288255031,0.913240996493567,0.873354592672111,0.873161886372714,0.874224210963352,0.877847579856068,0.876308405199446,0.878370951825373,0.873889732760247,0.832793632067457,0,0.877998282145444,0,0,0,0,0,0,0.832666779161849,0,0.828295734659847,0,0,0,0
