"","ADCY8","PIK3CA","IRF5","GRM6","APC","CACNA1C","MAP2K7","SHC4","OR5K1","RGS14","GRIA1","SOX9","TRIM29","LIMS1","CEP72","SYT9","NLGN4Y","NEFH","SYNE1","TAOK2"
"Interaction between L1 and Ankyrins",0.904590715696434,0.904914579838019,0.907614694144275,0.875284575624271,0.907562486560766,0.906301835857759,0.907090730665816,0.907547721494115,0.909527917758348,0.879615399371666,0.907753315800048,0.910844469131137,0.908964035099101,0.87573623420433,0.907767874128259,0,0.876074722393779,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0.781156639329835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potassium Channels",0.940929074782153,0.94071377561695,0.922697925590621,0.941573986720035,0.922663153269106,0.942068748683938,0.923404277323912,0.923374294059213,0.944373964962552,0.923033467307168,0.92094643776598,0.923343327459522,0.923596640190321,0.924816573797706,0.920372312570707,0.922724780919937,0.922233880104558,0.923737518476176,0.921630521372798,0.90030778490919
"Inwardly rectifying K+ channels",0.910061226241309,0.90962975211155,0.873524766731595,0.911353673506054,0.873455080640842,0.912345210039005,0.874940343513502,0.874880255017427,0.916965019812919,0.874197215089711,0.870014666336142,0.875515753758959,0.875325851744821,0.877770681436163,0.869561638412331,0.873578586633011,0.872594788103582,0.875608181384758,0.871385616282258,0.828653406192021
"Phase 4 - resting membrane potential",0.79799390060291,0.797136766728687,0,0.800561378592558,0,0.802531090080003,0,0,0.81170845478527,0,0,0,0,0,0,0,0,0,0,0
"Lewis blood group biosynthesis",0,0,0,0,0.768948771977794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon signaling in metabolic regulation",0.884409387866547,0.883914260621131,0.841939133834205,0.88591846636567,0.841858117806533,0.88707121220524,0.843584862651759,0.843515004646984,0.892442135332638,0.845911504432978,0.887540408382049,0.894485167307699,0.844033048870829,0.845533973625913,0.887563000079307,0.842001704062715,0.840857954312621,0.84477025952213,0.839043581715089,0.790076436025266
"Glucagon-type ligand receptors",0.900858988624932,0.900428724831601,0.864425018244623,0.90214781042085,0.864355527631672,0.903136565575491,0.865836624164713,0.865294329423463,0.907743416231634,0.865298079851447,0.860924764099695,0.866881555223774,0.866221050999434,0.868659022651712,0.860944141881292,0.864478687174792,0.863201383105567,0.866502588671036,0.862494367914201,0.819702531468868
"G beta:gamma signalling through BTK",0.883596410401624,0.882819602253029,0.817817682291632,0.88592327891502,0.816485847656381,0.887708400212686,0.820366228086856,0.821464421932142,0.896025714345365,0.819393927797108,0.818150803745644,0.822252770654417,0.821060281136121,0.825461851230762,0.811533228044733,0.81791457741255,0.816143387295867,0.821568575723832,0.814332041779919,0.742764482643824
"ADP signalling through P2Y purinoceptor 1",0.827965654151279,0.832788451251549,0.775794637174601,0.8299656767336,0.774735298878056,0.831385558229804,0.7768621970808,0.781374877883571,0.838001131328701,0.777048379331857,0.775100053504092,0.779322296560314,0.778373793058811,0.781874792088847,0.776087428300241,0.775871707337533,0.773786343080528,0.778628852879711,0.773022166490691,0.718922506165614
"Phase 0 - rapid depolarisation",0.919113285246341,0.876204871139864,0.880880189865047,0.878008845908913,0.880807267775981,0.918082183394445,0.882361501487696,0.881394747917978,0.881856827695173,0.84139881937787,0.921925650863732,0.883695749744676,0.833796767450036,0.84077133976057,0.87948908182498,0.832121992225371,0.882168681498553,0,0.830154012163325,0.838112555871526
"Nitric oxide stimulates guanylate cyclase",0.818603185980776,0.69506133307127,0.694056738020366,0.626447205662837,0.563684842858347,0.692624310833238,0.698091199481072,0.568067682788,0.699092020546923,0.571011836593119,0.695106832809398,0.701851371971419,0,0.570148236135879,0.692502183003545,0.564971639567811,0,0.70388980494543,0,0
"Activation of Matrix Metalloproteinases",0.854188340945527,0.853783085105918,0.85545511306828,0.85477289540507,0.855389661414822,0,0.857868369082592,0.858441289783321,0,0.820352930294163,0.817725489620788,0.861239468673,0.857146756133064,0.819140628511848,0,0.815203264062867,0,0,0.817434234493476,0
