"","MAP1S","PCSK1","DAGLB","RIMKLB","GPC6","PAH","NR5A1","C8A","DSE","MUC17","PHF2","DIAPH2","DIAPH3","CDH12","F12","DCLK1","VNN1","KRT10","DMBT1","OR4D10","MMP9","ZC3H4","NCAM2","FRMPD4","TBXAS1","NTNG1","DCAF12","ZNF616","OR4C46","FLT3","TP53","SPAG9","DSCAM","MAP2K4","SMAD4","HAUS8","ATM","CACNA1C","NDUFS2","SPSB4","COBL","HTT","MYO3A","RYR3","PLCZ1","SRC","ATP6V1B1","RALGDS","DGKZ","PIK3CA","PEX14","SMARCA2","ARHGAP5","CCDC93","HSPA12A","MCM3AP","RGMA","SPI1","ACER2"
"Extracellular matrix organization",0.800818556999002,0.801389788798387,0,0.800462179926133,0.823086820911469,0.790795204126274,0.790075597399258,0.812944925438558,0.823945142209791,0.800108832372396,0.790714440984664,0.824161518891863,0.812345747911972,0.812619791270545,0.813051922760433,0,0,0.812126573502827,0,0.812639857153366,0.823747921259109,0.801475450982144,0.801749728436404,0,0,0,0.800149216117099,0,0.812639857153366,0.812940733252546,0.83309645066476,0.81237132814208,0.812944925438558,0.812010149081963,0.811856691780236,0.811960028732693,0.822299765318751,0.812021904882278,0.81199751702731,0.798975976996271,0.800451698200522,0.825132210498857,0.80163564974868,0.800325848045788,0.811520204785718,0.856121261156739,0.800488036534734,0.82363053201106,0.801397245969175,0.824336289561554,0,0.82276954942254,0.824178884540183,0,0.799468216939106,0.812340545376671,0.800566359558619,0.823580558918655,0.799644286332132
"Activation of Matrix Metalloproteinases",0,0,0,0,0.891949820304043,0,0.812699265576761,0.850214982002039,0.89466550871337,0,0.814997343292924,0,0,0.895131552133514,0.895185001311772,0,0,0.894949074161356,0,0,0.936983005356996,0,0,0,0,0,0,0,0,0.895577798416148,0.88897201738462,0.895034812563484,0.850790674509039,0.84979997282869,0.890885461105054,0,0.847742801630922,0,0,0.84767440090121,0,0.853752659641898,0,0,0,0.889824720689136,0,0,0.853357902986951,0.888822391877601,0,0.892593389687478,0.851644733647851,0,0,0,0.851773082957247,0.933059098648775,0
"Collagen formation",0,0,0,0.82834407773009,0.856637433719818,0,0,0.85853325483497,0.858569666820156,0,0,0,0.829014887127288,0.858318364139207,0.858385944008206,0,0,0.858056578759389,0,0,0.882339109255365,0.830759374419578,0.830537674922106,0,0,0,0,0,0,0.828169105070377,0.856939368512118,0.858254261069288,0.830749697542734,0.856184226464089,0.855070234710233,0.856185593033068,0.827472033507931,0.827367173911802,0.856274952492559,0.798494749026789,0,0.830830505459729,0,0,0.826492280839071,0.857069881034169,0,0.828073937687401,0,0.856405702416594,0,0.82750273781349,0.827205245048435,0,0,0.857092616464802,0.828969240836677,0.858135142059684,0
"Biological oxidations",0,0.802029458313258,0,0.804480183878345,0.801613546829394,0.828642374946793,0.827177657072121,0.777868050068845,0,0,0.805496305167385,0,0,0,0.777728313002009,0,0,0,0,0.778186516869472,0.803330990212583,0,0,0,0.852793331693883,0,0.803261034330116,0,0.778186516869472,0.803925146405778,0.823064262672084,0.803455939520328,0.803311476595058,0.801226512400073,0.82370745558616,0.800607535398384,0.800665789936553,0.799617300240811,0.802513205861167,0.800445063582479,0,0.803139120897579,0,0.803794931583715,0.827218466159939,0.825709794262003,0.802434581831777,0.802751837258492,0.825663227763624,0.800848934192941,0,0.801889239025153,0.80273078952993,0,0.801293215183122,0,0.778515673749195,0.803076147142117,0
"Assembly of collagen fibrils and other multimeric structures",0,0,0,0,0.813061702237231,0,0,0.815759202340147,0.815809609425397,0,0,0,0.77489532552001,0.815461717499237,0.815555271975882,0,0,0.815099313804695,0,0,0.8486462559985,0,0.777003403225623,0,0,0,0,0,0,0.773724463562717,0.813395276430356,0.815372976144061,0.777623923717553,0.812507315008665,0.81096515582632,0.812509206824193,0.773086475688503,0.770046856712362,0.812632911968785,0.732644643631939,0,0.777735790498226,0,0,0.771403144866655,0.813575951990652,0,0.773592718194758,0,0.812656493520457,0,0.773132593622178,0.77239013987658,0,0,0.813764848536984,0.774832134885105,0.815208073240771,0
"Degradation of the extracellular matrix",0.774778804362676,0.803316683155319,0,0,0.827494696919502,0.775557391424302,0.773780399190163,0.798796300428067,0.829353488320701,0,0.775357955440655,0.83055138186087,0.80232671828366,0.829706187456031,0.830517989603311,0,0,0.830356033222038,0,0.774105165231489,0.856947238321791,0,0.803655112108829,0,0,0,0,0,0.774105165231489,0.8307876321497,0.853604828861495,0.829639778860578,0.802269712159872,0.828471166443092,0.827566493890333,0.79920989397025,0.826277958091893,0.799032617966161,0.799235021921366,0.797992728318875,0,0.829757220558857,0.80232671828366,0,0.828795586708935,0.855220593775416,0.800572480603223,0.802267208976463,0.80177110143471,0.827531566820693,0,0.828738931789907,0.801434718415351,0,0,0.771958775289291,0.799686219949706,0.856517336172613,0
"Phase II - Conjugation of compounds",0,0,0,0,0.612950570712376,0.651184690261658,0.650367982518127,0.606426217396923,0,0,0,0,0,0,0,0,0,0,0,0,0.646931113309269,0,0,0,0.73998283073572,0,0,0,0,0,0.686388119882161,0,0,0.646892435032832,0.644679378971786,0,0.650351039995316,0,0.655774740346262,0.559333681823652,0,0.64932037052798,0,0.609613837694827,0.693715233700213,0.690997460300617,0,0,0.695814661016422,0.642459852304324,0,0.646109632530559,0.60732880449207,0,0,0,0.608093645476031,0.655026202426548,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0.498213404060501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475268648235152,0,0,0,0.481061013929509,0,0.479922734537148,0,0.376305908421904,0,0,0.495265630128499,0,0,0.601941039966849,0.594293760577375,0,0,0.607848415190747,0,0,0.486231245394169,0,0,0,0,0,0.493077721376051,0
"Ethanol oxidation",0,0,0,0.4705451476272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676570567274169,0,0,0,0,0.467006153946517,0.451031248246308,0,0,0,0,0,0,0,0.462235829701213,0,0,0,0,0,0,0.452491916132623,0,0,0.669378777543604,0,0,0,0,0,0,0,0,0,0
"Drug ADME",0,0,0,0.671641461290965,0.70703122808188,0.708933204289912,0.704346555080307,0,0,0,0,0.666920413548879,0.634040784692113,0.665138214426492,0,0,0,0,0,0.66594924024399,0.701793845456315,0,0,0,0.743763900601961,0,0,0,0.66594924024399,0.665554581974267,0.737544078123583,0.633700693793759,0.745485391479653,0.742789607436524,0.705120257023873,0.630649397079938,0.741482013361059,0.663526001163275,0.632922310498205,0.660480733515077,0.666090954087589,0.746211013331,0.666463147293821,0.669564856032465,0.662847001583611,0.740092854301172,0.742979784322746,0.745182808010627,0.744270681157749,0.739907919805886,0,0.743426427795454,0.699561097338176,0.664583721407924,0.663206361786396,0.672229508179097,0,0.703655800383326,0.633660261391426
"Class B/2 (Secretin family receptors)",0.795750888564638,0.845445225925162,0,0,0.845787555917022,0,0,0.845107558240799,0,0,0,0.846955735840017,0.794175047553148,0,0.844616857324185,0,0,0,0,0.848207674966961,0.846434690330645,0,0,0,0,0,0,0,0.848207674966961,0.845130824048408,0.841765336324793,0.844616857324186,0.845824566945204,0.845190449845576,0.843995376767304,0.840859573348161,0.840236909844128,0.889213283888308,0.744261638439544,0.839806161999911,0.85081164488614,0.848699861803022,0.847684442154703,0,0.845317842009757,0.841994884874181,0.846538101911086,0.84602947774533,0.842594422640981,0.886116214436339,0,0.845985897717072,0.845666750853976,0,0.845910896775705,0.793863016891614,0.844441073094934,0,0
