"","CTNNB1","CREBBP","PLCG1","GRB2","PIK3CA","EGF","EGFR","JAK1","NR3C1","IQGAP1","APOB","F8","MAGED2","PLA2G4D","KRAS","IRF9","PTPN11","MMP9","NCOA6","F2","PRKCB","PPP1CA","CDH1","ITGB1","ASPH","FLT4","ACTA1","FGFR4","GPC2","HDAC4","COL4A5","AXIN2","SPTAN1","JMJD7-PLA2G4B","DYNC1I1","GTF2E1","ASH2L","LAMA5","AP2A2","SPTBN1","HTT","FGFR3","TGFBR2","XPO1","DOCK4","HDAC7","RELN","PAXIP1","ITSN1","AKAP9","PSMA6","CHEK1","ITGB6","ANK1","KALRN","CLOCK","TCF7L1","TLE2","ROBO1","NCL","ARPC1A","PSME4","CASR","TCF4","COL1A1","WWP1","GRPR","AVPR1B","PRKAB2","FPR2","CDCA8","NUP43","TNC","HIF3A","ITGA10","TPX2","FLNA","KNTC1","HIST2H2BF","GRIA1","CEP290","CALD1","COL18A1","STAG1","SMC3","DVL1","NCBP1","PRKG1","EXOSC1","IL3RA","FDFT1","EPHB2","MPL","TAF4B","MYH11","HLA-C","TUBG2","TCTN3","TMEM67","ZFYVE9","ACTR1B","RASGRF1","B4GALT1","DLG1","PRKD2","NT5C1A","PIP4K2A","POLE","ATP1A2","SNX1","RANBP10","LRP12","MYO6","MMP3","MKNK1","PLXNB2","RPL3","CASP7","TRIM46","CACNA1S","PPP2R3B","RPS2","CACNA1H","LIFR","ORC1","EPHA7","EZH2","ENPP3","TPD52","MYO18A","CD74","RPTOR","POLR3B","TAS2R4","CRTC1","CSTF1","EPHA10","LRRK2","LAMA4","LAMA1","LAMB4","SOX2","RASA2","COL21A1","PLXNA4","PTPRF","FAU","PTBP1","FBN1","LMAN1","PDE3B","GDI2","MED10","MED8","SALL4","DHCR7"
"Phase II - Conjugation of compounds",0.814893770063818,0.838964828464951,0.814600919890929,0.790182652415973,0.789183849910248,0.814739480287034,0.814747058616075,0.815235708528713,0.816583580637423,0.791341126146364,0.772032549827129,0,0,0.817030780523864,0,0.818197097600747,0,0.791546322352574,0.838008012946362,0.815201251562366,0.790376801260846,0.815966420978315,0,0,0.791727148226378,0,0.791224899912747,0,0.795752110138581,0.816168650523237,0.816009147281564,0.816795463857297,0,0.817097449212837,0.815597139838889,0.815890808529965,0.816204041076488,0.816281642866749,0,0,0.81818419607432,0,0.791367660973456,0.79292175693344,0,0.816634697438589,0,0.816168650523237,0.771812986815425,0.769181775882327,0.789236165122164,0,0,0,0.771600121900218,0.817243761059782,0.816670097605148,0.817129824463094,0,0.819735298938946,0,0.789433410172193,0,0.817725685069128,0,0.745146024164557,0,0,0.816371286812088,0,0.771101404164879,0.770495133514656,0,0.817636221783213,0,0,0,0.77141533283496,0.816385214591486,0,0,0,0,0.770935866322967,0.770875624058968,0,0.770960923363066,0.79144005125229,0.81579411212304,0,0.817157229950951,0,0,0.815031423834047,0,0,0,0,0,0.793153527322324,0,0,0.816887462905118,0,0.792828190964055,0.816009147281564,0.816303261037365,0.793886383934219,0.792113862418853,0.753012521341595,0,0,0,0,0.792758683632655,0,0.751095862879767,0.816931916986715,0,0,0.815263653115319,0.750831539556377,0,0,0.794118669147479,0,0.816157089318668,0.840100195859395,0.816910075563918,0,0,0.816583580637423,0.794613830740599,0,0.793098075530604,-0.0175805561228696,0,0,0,0,0,0,0,0,0,0,0,-0.0175805561228696,0,0,0.795227147567504,0.773381981650838,0.816706637031314,0.81661740225491,0,0.817653523437629
"Collagen biosynthesis and modifying enzymes",0.90919527783833,0.908930420839005,0.909168962902651,0.909279947483974,0.908586559274071,0.909117809833844,0.908713362259131,0.909667410150167,0.91106683682626,0.910878558920281,0.915712127454062,0.909646401779174,0.910449909250466,0.884487153576316,0.907760531677742,0.909981395152394,0.908363803529815,0.935255517382316,0.90991751381781,0.909535830661954,0.90990781909884,0.881655056590599,0.91035130171585,0.939379334204406,0.910990562307279,0.940695228014137,0.910434294427178,0.910143965534201,0.910534072253691,0.910194437703161,0.939995983828362,0.910449909250466,0.908249863470569,0,0.881685083533624,0.910299553271196,0.910233634704919,0.91031958299422,0.88327007378294,0.910416247750208,0.884521011787765,0.910181633027501,0.910943835282589,0.882853632040711,0.911265180557377,0.884349116045119,0.90927245983364,0.910194437703161,0.883354268599053,0.883065918198211,0.881393548442871,0.881950867576616,0.940463061659945,0.908266456090002,0.909892844367527,0.883010860397382,0.911162659169358,0,0,0.912097879493104,0.883301907452157,0.881612008282082,0.909105315666303,0,0.867106521903965,0,0.910042459480333,0.910009521276785,0.882513114170701,0.909105315666303,0.883151610173449,0.8829524875543,0.909597913327432,0.885458359837347,0.935013081194586,0.882625239820037,0.909301387025512,0.883499303597338,0.882681784082722,0.913562038223808,0.883412233080652,0.909739436372391,0.934525358459813,0.882968267826849,0.882901546176269,0.881472422389977,0.908683809207388,0.882920076131297,0,0,0.911702185276213,0.90968826032423,0,0.911310411903219,0.908954313671355,0.908151410826534,0.883835860182073,0.883578931186855,0.88356531233765,0.91292178137233,0.884680559827194,0.908521927637306,0.909062580694119,0.882743194267181,0.884457517898225,0.909425602487364,0,0,0,0.88335822849858,0,0.910217838286619,0.882826119557504,0.94194991323115,0.885450685793954,0,0.8812354228853,0.90911181605651,0.909470480899164,0.908390105752569,0.884054684068841,0.90932530198631,0.909206513625409,0,0,0.911613282441493,0.883230173743136,0.910960958300027,0.882501044379605,0,0.907457503346479,0,0.910728652888714,0,0.912508940377638,0.88308303929069,0.91186635292736,0.885610244198277,0.910902408564002,0.910846511716908,0.909891872704704,0.911976608027854,0,0.940636697574093,0,0,0.910927199111379,0.883170763907751,0.91066937220398,0.914158098653671,0,0.883079190043371,0,0,0.912186059860975,0.912558660894471
"Collagen chain trimerization",0.860306057422517,0.859801162444419,0.860255893451366,0.861254458350176,0.859145661635533,0.860158380727063,0.860174381042733,0.861206079826503,0.863873796755932,0.863514883948423,0.861593600238056,0.86116603172115,0.862697752189757,0.809846073585183,0.857571011215796,0.861804627160448,0.858721023974816,0.864133608798519,0.862469846431214,0.860955250801825,0.857202076492051,0.806462936288397,0.86250977736124,0.906710224923573,0.864515390989107,0.909218703755313,0.863454981561166,0.862114533900957,0.862858191512782,0.862997744426682,0.909000432302489,0.86348474798562,0.858503820865727,0,0.808010806465537,0.862411129676274,0.863072465387029,0.861320450376829,0.807525963196605,0.8626335835158,0,0.862186339170417,0.863639319804762,0.806732103321812,0.864251897972941,0,0.860453188900754,0.862997744426682,0,0.807136782885181,0.806256553363536,0.807318966788681,0.908776126717086,0.858535451255887,0.861635823441082,0,0.864056462194048,0,0,0.86583926591862,0,0.806673001771602,0.860134563186039,0,0.780803620988813,0,0.861921033646196,0.861858243787513,0,0.860134563186039,0.807300136876471,0.806020102487242,0.861073598537044,0,0.909522348830117,0.808604517708387,0.860508332596951,0.807962942330307,0,0.857725260508862,0.807796960435446,0.861459485651166,0.90933564236468,0.806950632690034,0.806823441691139,0,0.859331048478536,0,0,0,0.865084956900999,0.85858501126951,0,0.864338122159679,0.859962811936841,0.858316141304,0.808604517708387,0.808114735827054,0.808088774313525,0.867409864099252,0.810214762519401,0.859022454814825,0.860304938501879,0,0,0.860745123631553,0,0,0,0.81135696436504,0,0.862255356993453,0,0.911610501090401,0.811682848067873,0,0.806077191861532,0.860146954832775,0.860830675022681,0.858771163711412,0.809021660097673,0.805519119417007,0.860327476121987,0,0,0,0,0.862543099473527,0,0,0.856993350504292,0,0.863229119166984,0,0.867409864099252,0,0,0,0.860453188900754,0.860346633146284,0.861633971167286,0.865608087003403,0,0.910064219612007,0,0,0,0,0.863116112827348,0.858861526185995,0,0,0,0,0.86600736351475,0.866717650164248
"Glucuronidation",0.779694278374867,0.822713772632973,0.72820334899159,0.729150681887505,0.727150078320366,0,0,0,0.783078972588157,0,0,0,0,0.778895947526914,0,0.781862581525232,0,0.731882115703431,0.825245538102105,0.780310164477776,0.729539562441352,0.780078200913173,0,0,0.732244310317571,0,0.731238305865157,0,0.740606873896275,0.782247866677032,0.782467370590131,0.782709884210755,0,0.779029485054315,0,0.781691348566939,0.78231875403131,0.783013179833325,0,0,0.786285008750784,0,0,0,0,0.783181359650832,0,0.782247866677032,0,0,0,0,0,0,0,0.784401315394026,0.783252266260586,0.78417310014581,0,0.78494360211393,0,0,0,0.785366610221243,0,0,0,0,0.781907129119987,0,0,0,0,0.785187415067142,0,0,0,0,0.78268164497151,0,0,0,0,0,0,0,0,0.731669254460998,0.781497665455899,0,0.78422799339693,0,0,0,0,0,0,0,0,0,0,0,0.78294103094449,0,0.734449701289205,0.782467370590131,0,0,0.733018899676824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782224709559414,0.78417310014581,0,0,0,0,0,0,0.734990280656456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783325454809784,0.783146717360726,0,0
"Other semaphorin interactions",0.658813326330507,0.592039330001005,0.719632889813562,0.659520329167349,0.718231118403641,0.707925717987173,0.659927951273635,0.661230567392281,0.663317930616125,0.706252458363849,0.540036518168697,0.645395774386115,0.647329714604963,0.663085953847393,0.661598813575295,0.661554651536741,0.659061311411753,0.648148962012188,0,0.658207700108867,0.660383907609214,0.537493982268852,0.66159572867344,0.708938199734963,0.531408369732694,0.662534659420434,0.661760440373231,0.661945937754981,0.520213359601759,0.533241421666905,0.577855401767042,0.6619649781243,0.660466997320815,0.663263675579495,0.517379915023003,0.517937919310458,0.517554420119201,0.661339929705423,0.65943927046829,0.659980724880622,0.603159227108694,0.662036598617311,0.538486945977233,0.536122847851784,0.6655366909498,0.597317675738054,0.662861835032728,0,0.660915308945159,0.660306987126913,0.65919561510531,0.532428342371152,0.708247809019535,0.518678575247383,0.660347865336817,0,0.520015305357531,0,0.663893342335105,0.664937777025895,0.65771720942104,0.659721420134322,0.656825478200503,0,0.648520152247971,0.644254084349272,0.659427091194697,0.659347813130891,0,0.657171505307133,0.536840043292809,0.53522388026726,0.580767917649624,0.599987484369516,0.709189984165823,0.662160139489487,0.66281234074331,0.537676897112233,0,0.542564653288992,0.661140522972522,0.664013260352029,0.591747347725754,0.517400439734164,0.51723984921306,0.661230564022517,0,0.519829418487734,0,0.661541744098039,0,0.663555285515166,0.663085953847393,0.53493377380257,0.662123569935306,0.661114316413167,0.662160139489487,0.661541744098039,0.66150896526131,0.524249288611886,0,0.660193657492638,0.535157592264102,0.663008271519674,0.538092691565917,0,0.666012214819762,0,0.521625627314931,0,0.66705160121063,0.523375303836995,0.708020844369174,0.522165684456075,0,0.710296249984642,0.657750657126402,0.579597943385418,0.664289150196402,0.518299982126231,0,0,0.531078595857851,0.662241832029943,0,0.665914034341118,0,0.521240819984358,0,0.665867343165862,0,0.534347519592784,0,0,0,0,0.664751822159979,0.661878605339566,0.579984592511406,0.579850055914591,0.58147544045772,0,0.663989471479148,0.592667244580318,0.723899164199369,0,0,0.51675092180455,0.59691597348671,0.534437679404458,0.519611998082956,0.665097849266609,0,0,0,0
"APAP ADME",0.524152456118789,0.609545463971227,0.517693007746972,0.519518229954578,0.512171538323042,0.610198403748323,0.610227649850929,0.610349427887254,0.616989609662406,0.525766565948287,0,0.613478740539384,0.616278488676417,0.612896636742966,0,0.528330116453329,0,0,0.611915871911816,0.525339081218827,0.52026748444162,0,0,0,0.618162344698515,0,0,0,0,0.529072443694744,0,0.61451448088756,0,0.613153922921469,0.611744254784542,0.528000202650591,0.52920902205471,0,0,0,0.536850787928381,0,0,0,0,0.61718687837478,0,0.529072443694744,0,0,0.516093534803839,0,0,0,0,0.533221484056529,0.53100761604347,0.532781782721387,0,0.534266305542542,0,0.516854738090306,0,0.535081313439761,0,0,0,0,0,0,0,0,0,0.621051936699396,0,0,0,0,0.529908202465153,0,0,0,0,0,0,0,0,0,0.527627034235313,0,0.532887545311734,0,0,0.609561057375891,0,0,0,0,0,0,0,0,0,0,0,0,0.614469300492128,0,0,0,0,0,0,0,0.529504099711615,0,0,0.532018023015307,0,0,0,0,0,0,0.528686003543973,0,0.529027826976036,0,0,0,0,0,0,0,0,0,0,0.621581163833865,0,0,0,0.620159624027915,0,0,0,0,0,0,0,0,0,0,0.531148628105771,0.53080425543302,0.620889439742803,0.529504099711615
"Glycosaminoglycan metabolism",0.671642032764833,0.644852309795823,0.751569170515363,0.643831222990615,0.644473485805992,0.671556688133341,0.671565934961626,0.617636540119658,0.586295827175183,0.646998526517747,0.672386123542216,0.645054803823956,0.645940008619063,0.586255748256985,0.584922666532159,0.612052775637587,0.645482089825599,0.644419834539745,0.45166236547348,0.64045164303688,0.640251028626556,0.753615439184495,0.646417659976622,0.645463841400597,0.583909415088125,0.615131973534965,0.64650909104435,0.585733939101941,0.704024194187476,-0.0214512173798208,0.75228027479498,0.483666020153299,0.613741061514355,0.586337095202417,0.451305045418764,0.451628432158563,0.48342775570447,0.748727075071424,0.584914920812788,0.451999031387171,0.485843875820772,0.585775436470516,0.48375534958272,0.482673252537342,0.454893579877903,0.45201330748516,0.456210959896571,0.451967445836701,0.585262198788803,0.615385298809171,0.48239842490919,0.483012409952544,0.645616655928844,0.612287479475746,0.585002468008005,-0.0214512173798208,0.483996422579266,0.484557366197672,0.484625091415989,0.452818851490577,0.58520451377657,0.482639096843326,0.584134866638365,0.648599506074456,0.642813167068812,0.583551721527095,0.585167295368059,0.585131008143902,0.483631823460072,0.584134866638365,0.453569945917709,0.452830194375263,0.511301658556348,0.453235334608624,0.482732818825879,0.646029338048484,0.456242828285937,0.453952991374098,0,0.61413399852162,0.614725723696993,0.45364968956507,0.483666020153299,0.453367962077912,0.453294456445243,0.48300152785694,0.450979020125298,0.58631630803935,0.481915025238958,0.585877266866974,0,0.643805794718875,0.452365674487781,0.48415919820137,0.586614436742995,0.611851225062733,0.585119217479434,0.584836165004261,0.58482116144667,0.456502823129169,-0.0214512173798208,0.586070989912726,0.508463514862655,0.647716596902952,0.588010070540521,-0.0214512173798208,0.586614436742995,-0.0214512173798208,0.611920309314962,0.485534363998855,0.454835095472507,0.673078074761582,0.484492863366107,0.483891908628758,0.587939333758283,0.454117236522228,0.481282220525906,0.562952006627383,0.613304412736892,0.585616253100827,0.558364099220885,0.480959701884917,0.583758470703977,0.452307637953447,-0.0214512173798208,0.586897833125535,0,0.588420864645116,0.452114350364966,0.455703431610572,0.582955858733639,0.503714253805339,0,0.453526127433899,0.456966810108818,0.449499149203738,0.587176634774049,0.646158423256034,0.639992584840371,0.639931004632535,0.613607305695243,0.48489313039874,0.455982996605616,0.483045974277079,0.455465873982658,0.4859344050684,0.454316575094947,0.453081799287466,0.454923470678613,0.612516834873945,0.586216790183013,0.455351218195294,0,0,0.4851238784299,-0.0214512173798208
"Cytosolic sulfonation of small molecules",0.677831103061266,0.768660141659667,0.769419201984409,0,0,0.770005178146086,0.770037227131857,0.772103742588366,0.684977363765731,0,0,0,0,0.684838452493734,0,0.682409141318896,0,0,0.774005574642633,0.679131451742207,0,0.773044637635119,0,0,0,0,0,0,0,0.683222611596214,0.776512631592105,0.776667965252142,0,0.685120396422638,0.773632246676112,0.682047609291467,0.683372279330549,0.777665023773195,0,0,0.691746415503439,0,0,0,0,0.685193538284471,0,0.683222611596214,0,0,0,0,0,0,0,0.687769287004856,0.685343246673779,0.687287445645573,0,0.688914241920365,0,0,0,0.689807358410207,0,0,0,0,0,0,0,0,0,0.689429015432236,0,0,0,0,0.684138467678015,0,0,0,0,0,0,0,0,0,0.681638677223066,0,0.687403344293635,0,0,0.771239816353779,0,0,0,0,0,0,0,0,0,0,0,0.776512631592105,0.776618454865411,0,0,0,0,0,0,0,0,0,0,0.779277060142033,0,0,0.77222192110156,0,0,0,0.68279913585792,0,0.683173718907767,0.873530741284538,0,0,0,0.777803935045192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685497773026883,0.685120396422638,0,0.782328755938467
"Assembly of collagen fibrils and other multimeric structures",0.914835251929403,0.878512993996784,0.878869300234977,0.879651729621252,0.877999373804235,0.878792893762927,0.878805430872117,0.878997168844157,0.881704122353768,0.881422894836117,0.879917465558406,0.879582442594278,0.880782628088106,0.840555112367554,0.878780532368209,0.880082816519141,0.879366867428353,0.917773896084801,0.879987398052191,0.879417284390197,0.876137583299364,0.836719620720784,0.91656198520556,0.915268771222743,0.881590192397295,0.917234299507526,0.917302603609967,0.880942298741439,0.881970161204333,0.880401034567056,0.917083832617379,0.880782628088106,0.879511438975058,0.841811308054114,0.839117081721988,0.880558043909767,0.88045958246436,0.917576427753072,0.87983185076911,0.880732348475592,0.845257885306971,0.880998562037877,0.881520397032341,0.879436605904314,0.884015367010803,0.840310390976373,0.878763869677114,0.880401034567056,0.879240879726654,0.837247615826354,0.87861882022969,0.842167700524761,0.916887516558504,0.877182354249541,0.879950549712345,0.839953854543702,0.881847250563871,0.881991140059969,0.882699617408727,0.881832618201974,0.879162668768834,0.878945129989553,0.878774231436594,0.882976894233461,0.816614165035302,0.84070000908497,0.880174027271002,0.880124828034526,0.8422587226617,0.878774231436594,0.879436524125076,0.878433548231602,0.881944643013414,0.845100147303072,0.917472221779587,0.84242620284406,0.881501726701098,0.879955867900411,0.843030559973711,0.873953966232758,0.837764900497688,0.881608606513243,0.922942460716742,0.841588249295083,0.841488588296259,0.879881690791721,0.878144634381657,0.838525504525232,0.842052677362693,0.837930240187316,0.882653131567005,0.881056521105168,0.83844339587342,0.880656391207194,0.881074281879235,0.877349399942067,0.838397665120401,0.838013894634099,0.837993552389823,0.8844748215888,0.840844000007076,0.881399281685977,0.880795290883701,0.882396474808384,0.844079574949438,0.881198982737037,0.838929715785028,0.84165014254462,0,0.883932434684372,0.884149539767594,0.883932434684372,0.882520338909308,0.91898967770176,0.840809702772432,0.882870614419856,0.878128545984548,0.878445054106253,0.879319672556918,0.87770593450822,0.840752580699283,0.87769126616349,0.878925389113234,0.838364708312073,0.842506632340232,0.881458518644793,0,0.918534439178769,0.839192350997166,0.840169500475921,0.881074281879235,0.839114389592914,0.881198982737037,0.838485322591139,0.88385816799093,0,0.881836525741063,0.880729025933144,0.918446984430238,0.918363492256947,0.882383725153883,0.88306303218083,0.840548542538828,0.917896806725263,0.881836525741063,0.88385816799093,0.880083992753853,0.841476006071083,0.880771549329766,0.874844291596152,0.838390575423839,0.881836525741063,0,0,0.883375886834644,0.883932434684372
"Scavenging by Class A Receptors",0.623330178425245,0.621497490164922,0.623259015349486,0.624675588796798,0.621684030175718,0.622004243341096,0.622026941537631,0.623490519022134,0.62839140660648,0.627882249561581,0.689934664384539,0.624550145958921,0.626723058853336,0,0.622465114568508,0.625456063384981,0.622237445950176,0.627643538833806,0.625283310074541,0.624251130187514,0.622701499248455,0.546357182056228,0.626456396014335,0.688043122226991,0.628185138598115,0.692718113165802,0.62668083192692,0.625895699967713,0.693917569819348,0.627148630629123,0.692521365945779,0.627839498404629,0.623788407008552,0,0,0.626316453491493,0.626138190926725,0.62637061956335,0.623885255140595,0.626632028575997,0.562324243572836,0.625997563590412,0.628058775424039,0.554541312149537,0.557020176909292,0.557683270031514,0.62794674578622,0.62603219107783,0.624737718656609,0.55220364037422,0.553866692558394,0.547571554880905,0.692090269265531,0.624593037082418,0.625216596859623,0.559507504068098,0.628650537494903,0.55916624740712,0.628271326082417,0.695107704838197,0.624596119212517,0.554457470141047,0.623086895107303,0.56095093649503,0.510304326949184,0.618522846935883,0.625621198707684,0.625532124430512,0.556894316934105,0.623086895107303,0.553978065513428,0.551241965749323,0.628826864663093,0.560682980955557,0.69314886689136,0.55428578263731,0.627391784891178,0.554918327491148,0.556936032656973,0.623802574214706,0.553140174383509,0.628741099455047,0.692884003364019,0.553482255625836,0.553301821292537,0.547544842592417,0.620577957357678,0.549778154940588,0.555165594882451,0.55359097350783,0.628187164354581,0.625296531633453,0.554520032068287,0.69297816834833,0.626617904212023,0.623522163037768,0.55428578263731,0.55359097350783,0.553554144263421,0.633407704608168,0,0.625283904857924,0.626745984602703,0.550981371431904,0,0.5499987617266,0.553168603546112,0.55443681328899,0.555386098930547,0.557226795013461,0,0.697470228445094,0.552495192548536,0.629144228846538,0.553762197426719,0,0.549594711981598,0.62687913103584,0.627089303944184,0.549245156341362,0.554877544708173,0.5488030252244,0.55145295559324,0,0.54818518445396,0.551205625018902,0.556252764320465,0.552549386968571,0.619952071313303,0.55764511145574,0.622405398622074,0.557530167785239,0.62747686098639,0.553814349975558,0.632291265056875,0.548740654808516,0,0.553291432258666,0.62794674578622,0.627795584802473,0.628988626230092,0.630851686872117,0,0.693917569819348,0.556780532913154,0.554744178549183,0.622958779774207,0.548977887140984,0.631091206165861,0.625414491266105,0.55442440165401,0,0.626837573093432,0.626570301973146,0.63141810424247,0.630503318194038
