"","AR","RHOA","NOTCH1","PIK3CA","NFATC1","TP53"
"Phase 0 - rapid depolarisation",0.872592652550732,0.869293290846052,0.871549431845164,0.86895746125342,0.872696183135729,0.90875362265123
"Interaction between L1 and Ankyrins",0.848581197446596,0.846851693711821,0.84636200424043,0.844070502622132,0.848701046266914,0.890796594824818
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.790083712739382,0.783024708594907,0.787851735786457,0.696242777636106,0.871922934740203,0.782625853547416
"Phase II - Conjugation of compounds",0.745298220228739,0.718410438277738,0.74470765287038,0.718220325107705,0.74756524594205,0.743324916608268
"Classical antibody-mediated complement activation",0,0,0,0.432718628311872,0,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.656064426373781,0.649990523915701,0.654143927387906,0,0.726482780224327,0.651485071444993
"Phase 4 - resting membrane potential",0.782149681480799,0.774426432436472,0,0.773640312025161,0,0
"Defensins",0.431685700645059,0.424662576999396,0.430654132631957,0.423770725963444,0.431960643239482,0.424167497499832
"Blood group systems biosynthesis",0,0,0.681689356920845,0,0,0
"Collagen chain trimerization",0.775587478219441,0.830565277982557,0.774082891545061,0.830723581122473,0.775736795365608,0.834359283877011
