"","TFB1M","CLDN20","NOX3","ARID1B","SNX9","OPRM1","SYNJ2","IPCEF1","SCAF8","TMEM181","DYNLT1","EZR","TAGAP","SOD2","WTAP","ACAT2","TCP1","MYB","MRPL18","IGF2R","LPA","PLG","MAP3K4","AGPAT4","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP","EPHA7"
"Regulation of IGF Activity by IGFBP",0.885327743049083,0,0.88425816771375,0.884305306374922,0.894849647553259,0.883498491691774,0.895144115620665,0.88495541755498,0,0.872345469036706,0.871303193627617,0.895426151237555,0.871227455219067,0.884460149129343,0,0.884355717580096,0.883391389992,0.883803346262786,0.859236385582384,0.894782530333297,0.885034750077738,0.895005654575154,0.860514835824025,0.860054318872511,0,0.884042856720932,0.869784423207867,0,0.884140561380922,0,0.895153017733162,0.883460382984981,0.883918537718443,0,0.88388021309543,0.883844020730665,0,0.884344907725106,0.883518914533187,0.883232611264068,0.884237912255647
"Regulation of TLR by endogenous ligand",0.835095247584467,0,0.831992069312706,0.830817313003088,0.826714531105774,0.825741810697159,0.827121254189031,0.833779458873673,0,0.835528632761567,0,0.829200769472532,0.831634808755226,0.831314744133074,0.780620432155368,0.830466116357155,0.828738622101352,0.829585556330762,0,0.826447658412194,0.833973392952886,0.872887717249763,0,0,0,0.831079409010195,0,0,0.829610608419747,0,0.82811473113445,0.825590282173833,0,0,0.874410853194234,0.828983140752467,0,0.830423134017895,0.826705419899117,0.827316189594254,0.830761842840411
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810724555836409,0,0,0
"SLC-mediated transmembrane transport",0.908086387313102,0,0.896636477495254,0.907468436737187,0.895931316924112,0.895913804969451,0.90646605683337,0.896586622930317,0,0,0,0.906014447291912,0.895883263722977,0,0,0.89680661033433,0.906657808643563,0.907019880475227,0.896896861366165,0.895871340347147,0.897247518392148,0.896208315881722,0,0,0,0.895586710922899,0.896146703032143,0,0.896604073899932,0,0.906517596304516,0.895879750671801,0,0,0.896364277611636,0,0,0.896271849184987,0.906372602846155,0.906338133252288,0.896225084998207
"MyD88 deficiency (TLR2/4)",0.830939547544848,0,0.828600515399944,0.826661612963467,0.822558831066156,0.821586110657541,0.822413911565474,0.830057144011154,0,0.831372932721949,0.779315846344524,0.824493426848975,0.826927466131669,0.826725658916355,0.776529284640983,0.824967680051774,0.824582922061734,0.825429856291144,0,0.822291958372576,0.830608786595092,0.868732017210143,0,0,0,0.826923708970577,0,0,0.825454908380129,0,0.823959031094832,0.821434582134215,0,0,0.870255153154613,0.824827440712849,0,0.826267433978277,0.82199807727556,0.823160489554636,0.825841996673934
"IRAK4 deficiency (TLR2/4)",0.830939547544848,0,0.828600515399944,0.826661612963467,0.822558831066156,0.821586110657541,0.822413911565474,0.830057144011154,0,0.831372932721949,0.779315846344524,0.824493426848975,0.826927466131669,0.826725658916355,0.776529284640983,0.824967680051774,0.824582922061734,0.825429856291144,0,0.822291958372576,0.830608786595092,0.868732017210143,0,0,0,0.826923708970577,0,0,0.825454908380129,0,0.823959031094832,0.821434582134215,0,0,0.870255153154613,0.824827440712849,0,0.826267433978277,0.82199807727556,0.823160489554636,0.825841996673934
"Common Pathway of Fibrin Clot Formation",0,0,0,0,0.856103246970494,0.854783901876175,0.855993164342733,0.859585412179429,0,0,0,0.891390466822791,0,0.856572248131724,0,0,0.856641282061642,0.857988084509996,0,0.855900527203666,0.860617678118458,0.890177475495706,0.818810407045702,0,0,0,0.815915919748371,0,0.858303142770735,0,0.856167366841467,0.855249253711451,0.856633056866463,0,0.857516791015417,0,0,0.858339892409703,0.855677291522775,0.822446568540841,0.858178145316411
"Visual phototransduction",0.852950935277513,0.832944113237834,0.852326386963373,0.851915904498488,0.866498100659766,0.866158213427237,0.86644746299699,0.853562130299949,0.853754884836133,0.853285706941496,0.834931102578641,0.867174085661069,0.852201553248466,0.852089716509267,0.852201553248466,0.851600435094803,0.866745595110624,0.851485505009799,0,0.866404850204183,0.850456392375345,0.85106008824174,0.853003622390187,0.833148501720193,0,0.851509944176358,0.867228192552283,0,0.851954020592142,0,0.850971570377524,0.866105266444747,0.85145279368943,0,0.851592301256237,0.851275009412168,0,0.851970925310561,0.850479129907161,0.850692544594007,0.851896522156026
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794582966011584,0,0,0
"Post-translational protein phosphorylation",0.864183808369549,0,0.847011603689725,0.862905905681704,0.876333523347061,0.861139366247366,0.876701567201835,0.863802098978285,0,0.847957783546672,0.832829816599867,0.86264643883295,0.846560422811562,0.863099437444669,0,0.862968912629927,0.861876078063667,0.862564365673223,0.831746664626866,0.87624963621942,0.863975498928764,0.876303458780258,0.833327922133635,0.832595566767409,0,0.862714108002349,0.844756834841412,0,0.862722089578986,0,0.876397228992442,0.861091735699605,0.862422499013909,0,0.862374598601104,0.862329363212562,0,0.862955401824713,0.862035465885005,0.861565186984848,0.862648272518212
