"","TP53","NCOA3","COL4A4","BRAF","JAM2","FGFR2","LAMA2","SPTBN4","CDK4","ASPH","COL6A2","NTSR2","GRP","LPAR5","ADCY1","OPRM1","PARP1","WAS","DSPP","PSMD1","TJP1","TUBA1C","HSPA2","ABCA1","POMC","TTN","CDON","PPP2R3A","NPHP1","NPHP4","LRIG1","ADAMTSL4","ADAMTS7","GLI3","TRIM34","NEDD4","ARAP2","ARAP1","MST1R","SNX1","NUPL2","POLR3B","ZFPM1","CASP9","DOCK8","SH2B3","CYP7A1","TTF2","DOT1L","CDC25B","RIF1","ARHGEF17","MUC16","ASPN"
"Collagen formation",0.897906861134037,0.897495130640857,0.888919052917335,0.897871518295725,0.897312203080382,0.898699080539381,0.897542337402595,0.897766640021164,0.897394898923798,0.897841108127987,0.912208908871997,0.897448457711047,0.897438447992587,0.896872455078381,0.896674121507155,0.896939100488299,0.89788899251432,0.896660410297714,0.898800693937947,0.897048120912661,0.898113139238111,0.898050862512867,0,0.882628658786529,0.880295327126145,0.881172556369201,0.898640319141549,0.881556994274397,0.881464154003904,0.881439733420729,0.88266108793395,0.91301698277229,0.91301698277229,0.881119243443418,0.897086998688088,0.880330212161192,0.881283687555222,0.881260076157574,0.882218735631225,0.89975520018381,0.88147372284736,0.897862927154416,0.899048071201892,0.881814838811879,0.882776168531773,0.881827105214429,0,0.881084224932215,0.898123570237952,0.881328981753796,0.881886345602443,0.881574856019516,0,0
"Collagen biosynthesis and modifying enzymes",0.926630681823567,0.927675423346176,0.913125748495793,0.926428331619624,0.927620263748363,0.92758294358583,0.927902162160556,0.928001782432079,0.927554943046302,0.928307676365389,0.941120568017604,0.927619321657563,0.927607289798616,0.926926956287123,0.92668855582031,0.927007065250709,0.92814885229677,0.926873510098828,0.929401949868364,0.927138109732485,0,0.928343422903138,0,0.909805660763781,0,0,0.90961288741689,0.908811061175634,0.908405905381638,0.908376551407962,0,0.946332964634089,0.946332964634089,0,0.927184841507408,0,0,0,0,0.928852418111427,0.908417407301017,0.928117521272324,0.929542085416517,0,0,0,0,0,0.92843081887697,0,0.908913387163738,0,0,0
"Collagen chain trimerization",0.886990375805625,0.888892829378121,0.870900787803285,0.886621900101297,0.888792384845531,0.888724425570437,0.887150772198462,0.889487122794679,0.888673437143822,0.890589963827832,0.92153520028335,0.888790669316886,0.888768759540599,0.887529885722129,0.887641577457974,0.887675762554501,0.889754934098656,0.887432561274259,0.892117321983154,0.888460206207515,0,0.890655057563434,0,0,0,0,0,0.852211548898946,0.851473768241219,0.85142031523789,0,0.889155516705529,0.889155516705529,0,0.88799948958874,0,0,0,0,0.891036113479981,0,0.889697880925122,0.892291983951294,0,0,0,0,0,0.890181461279764,0,0,0,0,0
"Diseases associated with O-glycosylation of proteins",0.842741975352154,0.843763976471308,0.843183606844567,0.843608952931377,0.844832870767514,0.843272630575169,0.843596189846767,0.844622857161153,-0.0193930953840033,0.816493986212282,0.843271068858988,0.842911354303997,0.842894848947292,0.841961564461911,0.842045705528301,0.842482638157398,-0.0193930953840033,0.843511637142161,0.847337655515684,-0.0193930953840033,0.844007369715779,0.816543023469044,0.844089917159654,-0.0193930953840033,0.842076431565146,0.844693406242708,0.84487665414061,0.81548405929782,0,0,0.847337655515683,0.868551008845934,0.868551008845934,0.815203164886254,0,-0.0193930953840033,0.7929357779412,0.792896844324629,0.818727104596455,0.816792488139035,-0.0193930953840033,0,0.81692406675715,0,0.795396779316272,0.818246024691703,-0.0193930953840033,0,0,0,0,0.793415895277542,0.794685358141603,0.847337655515683
"Assembly of collagen fibrils and other multimeric structures",0.847794760964951,0.846727730134269,0.832501108925153,0.847379167662188,0.846466322011161,0.849165904370724,0.846809433813363,0.847197648308328,0.846554252866522,0.847638099102582,0.872538622372627,0.846646950391301,0.846629625948896,0.845650026804021,0.845738343408418,0.845765374160725,0.847409411379314,0.84533588980131,0.849040211836338,0.845954062590913,0.847797356057492,0.847689569855117,0,0.819179555474699,0.816958960257223,0.818477235477262,0.848709779110223,0.8191426060742,0.81713982558318,0.817097559360768,0.821053529652243,0.846935441587576,0.846935441587576,0.818384963480216,0.846021350775279,0.815652767633519,0.818669577133956,0.818628711419271,0.820287923004866,0.850993796336512,0.818081989699542,0.847364298439503,0.849415500965758,0.819588873654745,0.821252706801619,0.819610103880685,0,0.818324354764509,0.847650986813875,0.818747970621009,0,0.819173520507587,0,0
"APAP ADME",0.84762890212614,0.811404413122757,0,0,0,0,0,0,0.811131548810576,0.814513147330021,0,0,0,0,0,0,0.812476637088883,0,0,0.806213372319572,0,0.853496956401174,0.811263686008441,0.814958593790533,0,0.815393041077478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813625890524165,0,0,0,0.894289677243481,0,0,0,0,0,0,0
"O-linked glycosylation",0.887255319452298,0.888180050800458,0.888728801224983,0.889113664659004,0.890221095139693,0.888809352051078,0.889102116311144,0.888316559019008,0,0,0.88880793897248,0.888482460536933,0.888467526090706,0.887623067699997,0.887699200573338,0.888094547791249,0,0.889025610977582,0.892487485003282,0.84118445174354,0.889474161808435,0.866473421556794,0.888474969824034,0,0.887727002235138,0.890094904262181,0.890260711395361,0,0.865783356164418,0.865746920785368,0.892487485003281,0.911653794230466,0.911653794230466,0.865633130579707,0,0.864456986003619,0.84318795745954,0.843152729380954,0.866545917008376,0,0,0,0,0,0.845414731067459,0.867868387306142,0,0,0,0,0,0.843622379245769,0.844270706200721,0.892487485003281
"Defective B3GALTL causes PpS",0.856169436631247,0.857896070083704,0.85892068208796,0.859639288720184,0.861707053069292,0.859071084419664,0.859617725956274,0.858652444220148,0,0,0.859068445957382,0.858460721393935,0.858432836198413,0.856856086248808,0.856998239498186,0.857736421169155,0,0.859976366928774,0.865938795145059,0,0.860312399282471,0,0,0,0.857050150011866,0.861471432863555,0,0,0,0,0.86593879514506,0.90177797850056,0.90177797850056,0,0,0,0,0,0.817602317440046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86041373937523,0.86593879514506
"Phase II - Conjugation of compounds",0.788968552826627,0.766279333077638,0.792689834777693,0,0,0,0,0,0.769138143938083,0.767693901382259,0,0,0,0,0,0,0.766885395546692,0,0,0.765204369387026,0,0.793552910936129,0.766199788668019,0.768288293499178,0,0,0,0.793446698679786,0,0,0,0,0,0,0,0.719774412767713,0.77124954121047,0.77121320872205,0,0.750142374687688,0.768735970443206,0.767908898978524,0.77195899675689,0.770925133773338,0,0,0.791971785245149,0,0,0,0,0.771697582237718,0,0
"O-glycosylation of TSR domain-containing proteins",0.856169436631247,0.857896070083704,0.85892068208796,0.859639288720184,0.861707053069292,0.859071084419664,0.859617725956274,0.858652444220148,0,0,0.859068445957382,0.858460721393935,0.858432836198413,0.856856086248808,0.856998239498186,0.857736421169155,0,0.859976366928774,0.865938795145059,0,0.860312399282471,0,0,0,0.857050150011866,0.861471432863555,0,0,0,0,0.86593879514506,0.901725611216235,0.901725611216235,0,0,0,0,0,0.817501398490996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86041373937523,0.86593879514506
"Triglyceride biosynthesis",0.752006587818437,0.756013648432651,0,0.679055929143717,0.683627532917975,0,0,0,0.755551551489087,0,0,0,0,0,0,0,0,0.684728992675136,0,0.676409457580739,0.680169870940324,0,0,0,0,0,0,0.680454028371647,0.678900070967247,0.678787485079502,0,0,0,0,0,0,0,0,0,0,0.677628830630241,0,0,0,0,0,0.756036002792616,0.68156027655009,0,0.683339695170111,0.76025325080634,0,0,0
