"","TP53","KIF2B","TAAR6"
"Peptide hormone biosynthesis",0,0,0.920745233949621
"Interaction between L1 and Ankyrins",0.891066288125365,0.926746355271612,0.895358715679452
"Potassium Channels",0.930728226443918,0.932650468627356,0.949201563403432
"Glucagon-type ligand receptors",0.872029905589094,0.835283385601434,0.912971911729892
"Cytosolic sulfonation of small molecules",0.737105947166217,0,0
"Phase II - Conjugation of compounds",0.855955323484674,0.834977254687429,0
"APAP ADME",0.743317889721398,0,0
"O-linked glycosylation",0.861664690568296,0.884792694934115,0
"Voltage gated Potassium channels",0,0.909754497255331,0.910983033173533
"Presynaptic depolarization and calcium channel opening",0.805025569911851,0.807986567691218,0.811457956286144
"Glucuronidation",0.72527412433816,0,0
"Receptor-type tyrosine-protein phosphatases",0.619031532063798,0.625818111757801,0
"Phase 4 - resting membrane potential",0,0,0.765511149569023
"Ethanol oxidation",0.44026941064398,0,0
"Norepinephrine Neurotransmitter Release Cycle",0.582015985155367,0.588404221057766,0.50205595556665
"Defective B3GALTL causes PpS",0.779899814228651,0,0
"Presynaptic nicotinic acetylcholine receptors",0.776613808623221,0,0
