"","CAMK2G","PPP3CA","PRKG2","OR52M1","APC","RYR2","DYNC2H1","KAT6A","DSCAM","AGFG1","ARHGAP39","USP9X","DOCK3"
"GABA receptor activation",0.713986748428044,0.851537016154924,0.688329297614692,0.716661179391826,0.851896473944792,0.688980619958563,0.689580032720948,0.689132253120016,0.85335468446043,0.852005973632449,0.851226425684417,0.877198984050699,0.85477239180084
"GABA B receptor activation",0.916369603571616,0.885129981654756,0.883439429332031,0.919802114395461,0.885591329422243,0.884275372014951,0.88504469110477,0.884469986299258,0.887462876471374,0.8857318673042,0.887085133655026,0.887617195298169,0.88958124972268
"Activation of GABAB receptors",0.916369603571616,0.885129981654756,0.883439429332031,0.919802114395461,0.885591329422243,0.884275372014951,0.88504469110477,0.884469986299258,0.887462876471374,0.8857318673042,0.887085133655026,0.887617195298169,0.88958124972268
"Potassium Channels",0.926623558800752,0.926837890606797,0.945238874079872,0.946775445902203,0.926574617700889,0.926672900551356,0.926251838005885,0.926241650111735,0.928391863155576,0.926657602689728,0.927992371268256,0.927770853582367,0.929466281086247
"Interaction between L1 and Ankyrins",0.93324258694862,0.895843565355643,0.897203056326797,0.899191027189922,0.896744978709975,0.896136993703291,0.932496085142619,0.899521582531862,0.856761739962527,0,0.855959467344244,0,0.858919421041235
"Phase 0 - rapid depolarisation",0.919070298866896,0.879164804136218,0.876606279353535,0.883057235293822,0.880128749738919,0.919932317159497,0.878285146011595,0.883097970276519,0.837519987191294,0.879156544474198,0.83666205984992,0,0.839827349488354
"Chemokine receptors bind chemokines",0.884354148589911,0.884711893481425,0.885172452584785,0.887737170953128,0.884272460161189,0.884955772747734,0.849072688856621,0.853825761181373,0.887824922696644,0.884410971828577,0.886638856943406,0.849327759496778,0.889098985086163
"Presynaptic function of Kainate receptors",0.892901772798519,0.893536288908747,0.894353161987092,0.898902088223388,0.839098780584661,0.838724863923945,0.838143211178918,0.838113050545803,0.844478623821716,0.839344452532737,0.843295952695635,0.842640163230738,0.847659371927692
"Signal amplification",0.817184049616086,0.81482586269315,0.811338035898751,0.86342492837022,0.812339657475605,0.811023117488448,0.815527612781355,0.81349536589444,0.816184015757476,0.814621785983364,0.8157789341658,0.817322380736584,0.819354438257025
"Complement cascade",0.831072496771376,0.831433848119374,0.763961833557297,0.83304348201299,0.798936337709933,0.763742969352499,0.829542653086262,0.833320988557733,0.834053758274632,0.831129892849914,0,0.764426369986665,0
"ADP signalling through P2Y purinoceptor 12",0.845223749061341,0.84425544827208,0.841247603024753,0.905944405352572,0.843462167546065,0.84085644484322,0.84410369859124,0.844073000939162,0.848937800477877,0.845326328401478,0.847734071543757,0.848680720199997,0.852175182741531
"Regulation of Complement cascade",0.801815348913165,0.802254531844082,0.720249698391847,0.804210865299098,0.763002282377997,0.719983692955673,0.799955991705292,0.804548144067654,0.80543874528926,0.801885107551496,0,0.720814291471957,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.693280083787862,0.682989693314985,0.684255632557904,0,0,0,0,0.699398831672745,0.690119169979451,0,0,0,0
"CD22 mediated BCR regulation",0.690372369960627,0.691813997766522,0.69518055073428,0.559503487076736,0.545541517149239,0.548295106224155,0.547366654098807,0.554841163605212,0.55776458205945,0.690601354253138,0.555077539834511,0.553587578725298,0.564991277866234
"Activation of G protein gated Potassium channels",0.855533293877715,0.856088511012626,0.852359164728831,0.907735872794821,0.855406514106917,0.851665559211563,0.854570367476259,0.85454397618369,0.860114008684595,0.855621483077665,0.859079142487221,0.858505310646017,0.862897241169645
"G protein gated Potassium channels",0.855533293877715,0.856088511012626,0.852359164728831,0.907735872794821,0.855406514106917,0.851665559211563,0.854570367476259,0.85454397618369,0.860114008684595,0.855621483077665,0.859079142487221,0.858505310646017,0.862897241169645
"Adrenaline,noradrenaline inhibits insulin secretion",0.909981062126335,0.862722395534724,0.86202024829626,0.915237695053491,0.862039591990307,0.862518870072019,0.86200930769818,0.861738365232348,0.866752654404598,0.863061666517148,0.865716564208808,0.865948904961594,0.869539178785894
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.855533293877715,0.856088511012626,0.852359164728831,0.907735872794821,0.855406514106917,0.851665559211563,0.854570367476259,0.85454397618369,0.860114008684595,0.855621483077665,0.859079142487221,0.858505310646017,0.862897241169645
"Inwardly rectifying K+ channels",0.870324882857238,0.870810476512535,0.867548785221059,0.91598132881035,0.870214001098646,0.870436672336724,0.869482706127335,0.869459624267247,0.874331182207679,0.8704020132505,0.873426086835204,0.872924212732668,0.876765401094266
"Glutamate Neurotransmitter Release Cycle",0.702272855631247,0.704394543121792,0.703963216079943,0.710643821405328,0.759158974175615,0.699468367474847,0.703446550631008,0.63724102305485,0,0.767338489623428,0.709447691145757,0.707611282515688,0
"G beta:gamma signalling through BTK",0.844795768690566,0.845504066058153,0.840746492868245,0.911391244412205,0.843605939973176,0.840317489514648,0.843567351567885,0.843533683869469,0.850639443237637,0.84490827274393,0.848291157431944,0.848587207248651,0.853161953154736
"LGI-ADAM interactions",0.80866303856619,0.737452741569682,0.741795793935966,0.744264479855697,0.736312422481825,0.81015952889113,0.738493636953737,0,0,0.744020144124084,0,0,0
"ADP signalling through P2Y purinoceptor 1",0.784458597605217,0.782126977968402,0.778131164311344,0.843065199235246,0.780759462013815,0.777736840343376,0.783329482156412,0.780546075074222,0.785597219027011,0.781956517984295,0.785065940095267,0.785338058104281,0.789542994832648
"Activation of the phototransduction cascade",0.769158865085638,0.770212342602397,0.771568584639773,0.868208839857882,0.768918311201909,0.770930511694268,0.767331793746437,0.77571407944051,0.777850383693958,0.769326196627708,0.775886812681396,0,0.783131331745723
"Nitric oxide stimulates guanylate cyclase",0.604422219033374,0.605194593811525,0.468300039579592,0.610888324888764,0.525678730876683,0.605721131572591,0.525680030706955,0.530327662766378,0.603428015875283,0.527142260757865,0,0.52521240563159,0
"ADORA2B mediated anti-inflammatory cytokines production",0.900519685585281,0.860219518281068,0.859346137326196,0.90500231706221,0.860325300894906,0.860542667453126,0.859611427507713,0.858786076864284,0.862769417211951,0.859820785808055,0.862276110147344,0.862970947364649,0.865535872178451
"Activation of kainate receptors upon glutamate binding",0.899073096182872,0.899626183622114,0.900338225809545,0.90430337960592,0.852174745286148,0.851393502471636,0.851341805937374,0.85131551587623,0.856864182908834,0.852388889681325,0.855833286239633,0.855261655496181,0.859636739501881
"Adenylate cyclase inhibitory pathway",0.858937984414964,0.769811426727556,0.770062552718044,0.868851628442891,0.770045372164147,0.764784605241407,0.766944927250334,0.771004911973283,0.777412214594999,0.768929602776564,0.775458220560373,0,0.782667405736195
