"","CPEB2","SHANK1","SLC7A6","RIN3","NOTCH4","ZNF775","RFPL4B","NCOA5","MTX1","WWP2","CTSA","PEX11G","GLB1L3","RELN","GRIN3B","HECW1","KCNN3","MUC17","SNAPC4","HSD17B1","CDH13","AHCTF1","KRAS","ZMYND8","ATP7A","PDE2A","TAP2","APC","KRT3","KRT1","SPTBN1","CABP1","CCDC9","NDOR1","VPS54","ADM2","TFDP1","NCAM1","LRIG1","UTP18","AXIN2","PRKX","TP53","XYLB","ADCYAP1","ABCA7","BDNF","SPHK1","WRAP53","PRDM16","TBC1D1","CHL1","RPS6KA2","ZNF550","GUCY2D","GPR20","SSTR5","CTNNB1","TNC","AP3D1","PLCH2","ARHGAP33","CACNA1H","CACNA1D","OPRD1","ATXN1","CCNB2","CWF19L2","MDH2","OR5K4","RALYL","SCO2","CELF4","BNIP2","RNF213","PLEC","TGOLN2","ABCC9","KBTBD13","RGS9BP","LCMT2","SYNJ1","LRFN4","OAS3","IRF5","ACVR2A","HCN4","FARP1","PRKCG","AR","VPS53","MRPL38","ZNF679","MSH3","PNPLA7","GDF5","THBS2","SF3B2","SPCS1"
"Neuronal System",0.918049020358978,0.925356633723835,0.910709184186348,0.912060221676115,0.917219177613615,0,0,0.918019228131881,0.905128596584513,0.917679436994271,0.917440375836775,0,0,0.923439497568183,0.925040824951524,0.916837020319821,0.925465190341678,0,0.917121600047995,0.917566531407306,0.911037369662337,0.917183592191329,0.923933864386087,0,0,0.92432511591403,0.917347839430178,0.9180919078941,0,0.911325472418529,0.918005054838715,0.917567693772153,0,0.910625605574273,0.918782952505963,0.923143437149347,0.917133141437475,0.917815739981489,0.917618665422073,0.916902757430378,0.917011445159611,0.924962174964991,0.930283957575265,0,0.92312975524935,0.91694135665204,0.917253349148911,0.9248222167242,0.917193051150229,0,0.9245540834922,0.917361769562957,0.917066485548719,0.911383529846966,0.916909903009852,0.923143437149347,0.924415189084404,0.917803302949189,0.918488215768321,0.910896872737489,0.917075127995972,0.918156110055573,0.917751998681407,0.92456732937979,0.923929078509454,0,0.917003377935504,0.910763908506116,0.917498428442907,0.918211239371575,0.910632225505008,0.917273960059728,0.91117469907581,0.917509318750869,0.916783118569511,0.917140452665217,0.922993955057478,0.925504921024263,0.916783118569511,0.918430398226179,0,0.923027169673886,0.925732683371929,0.916781753380201,0.916805094885667,0.917244938972621,0.925029616555614,0.917606170668769,0.924514102613226,0.923256071563333,0.917304370966367,0.909720970473137,0,0.916972753128665,0.917403758122639,0,0.917033138827605,0.916558463325648,0.916598649626541
"Interaction between L1 and Ankyrins",0,0.902194979108796,0,0,0.898736523837892,0,0,0,0,0,0.903564148279343,0,0,0.899785357887484,0.900892457602423,0,0.900955688300022,0,0,0,0,0.900157677057587,0.926878190662568,0,0,0,0,0.899836834741973,0,0,0.929761806596533,0,0,0,0.899265909540397,0.86754168399217,0.899904385086129,0.930024363782303,0,0,0,0,0.9181280836411,0,0.867472992938842,0,0.901692383834031,0.899405739048047,0,0,0,0.894995412047809,0.900103320604536,0,0,0.86754168399217,0.866604945506019,0.898387870952864,0.900193282270979,0,0,0.86638891456245,0.899350561709105,0.898574817901113,0.866604945506019,0,0.899252897234592,0,0,0.901862747294578,0,0.902859452516136,0,0,0,0,0.897144934163573,0,0,0.870778972720777,0,0,0.904353052916829,0.900257482516685,0.899890648886626,0.865650571324942,0.900865722167078,0.870259907461677,0.899192133117763,0.899070984864151,0.899164243755334,0,0,0,0,0,0.899195782492562,0.896384623856459,0
"Biological oxidations",0,0,0,0,0.875748756025771,0,0,0,0.87786553438509,0.876989924896681,0,0.877285540599981,0.865982752777721,0.875701032336537,0,0,0,0,0.876027227612178,0.900384302015501,0,0.875754839458042,0.87519357559281,0,0,0.876642901015229,0.876408670019794,0.877285866640564,0,0.877007810660649,0.875279998281829,0.877307699438231,0,0,0,0.875210296460331,0.89957013518417,0.87545760341958,0,0,0.888266757983774,0,0.887206977156741,0,0.875184593629296,0.876159133800931,0.877980176342924,0.864347733878801,0.876454493450178,0.877823363311643,0,0.863546765361618,0.876664812598459,0,0.876364408072543,0.875210296460331,0.874859787480379,0.887722149850792,0.888565616383688,0,0,0.877072526413779,0.875066839328569,0.874608653974998,0.874859787480379,0,0.875416288776579,0.877436335215661,0.888539678708337,0.876507435554227,0,0.878416870318187,0.867345103067619,0.876551210606644,0.875003908539802,0,0.875099699084305,0,0.875003908539802,0.876462547543949,0,0.875215611718793,0,0.875599962078256,0.87730600282716,0.875708693281901,0,0,0.887250631645801,0.887013667367315,0,0,0,0,0.887194125759226,0,0.875523709591102,0.876795662998594,0.862025542726416
"Drug ADME",0,0.731179618209788,0.754755361523759,0,0.752251397365358,0,0,0,0,0,0.73317942020185,0,0,0.754085554778361,0.730104562805485,0.730586368695529,0,0,0.751790756495146,0.771223878787962,0.753107723588352,0.751527057807433,0.753156380479091,0,0,0.752327850116114,0.753487360139233,0.771656920169466,0,0.732184735278676,0.751679507252914,0,0,0.753872593908169,0,0.751536914657224,0.789754072601143,0.751677036160205,0.733881148920736,0,0.75255429128879,0.75463242538498,0.770624047161167,0,0.751496522669863,0.734109772309868,0.773140257404561,0.771747076392607,0,0,0.73471534550682,0.735478723163344,0.752649044848413,0,0.770445768219452,0.751536914657224,0.750986089953559,0.771527198853104,0.754717653954059,0,0.753040047207718,0.753062834713673,0.751083701820363,0.750363663744195,0.750986089953559,0,0.751833968587771,0,0.771327100435988,0.732713622002731,0.754751627471427,0.753954709620172,0,0.753155047129553,0.730298323534934,0.734433665560585,0.752150998244436,0,0.730298323534934,0.734360573166567,0.736307207061984,0.75193749743496,0,0.7524246888352,0.771861134546042,0.731929549420397,0,0.755339071409539,0.771450390515475,0.772437754942176,0,0,0,0.751351327549909,0.752043011816019,0,0.753738870301319,0.758912815320837,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0.912662532447795,0,0,0.867082329942338,0,0,0.872147572149121,0,0,0,0,0,0.911538717203274,0.924147102920095,0.814443285568322,0.867884196393485,0,0,0,0.81930755362457,0.866074690176452,0.908285863086193,0,0,0.865205334459164,0,0.879741261702796,0,0.820441380923645,0.86572809826471,0.870488117291877,0,0,0.867848625262994,0.863683126867169,0.86570804549457,0.864919418104261,0.819993056089229,0.865748323397633,0.819725753337378,0,0.862579362359737,0,0.863583695332682,0,0.866231009292905,0.866060646094153,0,0,0,0.817677298553747,0.866771449678542,0.820742083151907,0.865227641175258,0.863683126867169,0.862327181069579,0.863512864025689,0.867741357089073,0,0.821718156553235,0.868214872040436,0.864205746391466,0.90913684951459,0.862327181069579,0,0.864765005118271,0,0,0.867751487390038,0,0,0,0.869731623186474,0.810793269694988,0.814355689950572,0.864778475278218,0,0.810793269694988,0.869144601940591,0,0.863730103354275,0.865555965498399,0,0.863973596607638,0.868235085896015,0.82580754561262,0.821987904444373,0.909064885959051,0.86581785315977,0.867701462211563,0,0,0,0,0,0.813926430802918,0.810557857952829,0
"Phase 0 - rapid depolarisation",0,0.885412254243491,0,0,0.883820486165252,0,0,0,0,0,0,0,0,0.883554525676838,0.883901205317454,0,0.886000414455594,0,0,0,0,0.881335864398416,0.921906041704868,0,0,0.883687308047385,0,0.884019315132859,0,0,0.919895863713849,0.88801871917617,0,0,0,0.88243923347891,0.884099486295529,0.882661226652812,0,0,0,0,0.91152110196596,0,0.882357708481826,0,0.886221547112003,0.884040280689697,0,0,0,0.885093815693282,0.884623076283099,0,0.883705597566639,0.88243923347891,0.881327478764832,0.882299633122475,0.886380756036383,0,0.848472805304493,0.887212344887304,0.883442188918219,0.91970723527914,0.881327478764832,0,0.881920486326186,0,0,0.88493856842384,0,0.88760666593456,0,0.88739846142741,0,0,0.84058330212508,0,0,0.848414287094162,0,0.881841957133191,0.887227063712162,0.841629981618141,0.884083183683032,0.886171434218493,0.885658944831156,0,0.883868295643008,0.884803654234269,0,0,0,0,0,0,0,0,0
"GPCR ligand binding",0,0.927355821544994,0,0,0.927661959222428,0,0,0,0,0.929206238579914,0.918892420247995,0,0,0.928604327037179,0.928056644524001,0.92777313698914,0,0,0,0,0.919086576395709,0.927945679601548,0.928429961403319,0,0,0.927696977805942,0.91878189755783,0.928609186521263,0,0.920064246121671,0.928451453926228,0.929434976843837,0,0,0.928106352470561,0.936312664571889,0.927877457997059,0.928227870866251,0.929042835629868,0.92820398184399,0.928781847089886,0.928942222324591,0.927865568391368,0,0.912433253353174,0.918412768225769,0.928538695001373,0.928183051247177,0.928277499732959,0.91988961509846,0,0.928655022477893,0.928145907154856,0.929143455182847,0.927525843332391,0.936323858789432,0.936724633352919,0.928218922929528,0.928678965580779,0,0.928325002722223,0.928583888236635,0.927718653983233,0.936277288274884,0.936065177760463,0,0.918815970155252,0,0.918603946209972,0.928502727031968,0,0.919922353760367,0,0.928756491654424,0.927723171873572,0.927756838065729,0.936143399074383,0,0.927723171873572,0.928245552606574,0,0.936188313258031,0,0.928291590516562,0.928192787626447,0.928347664601199,0,0.929176964810497,0.936228666289399,0.928181687531136,0.928078969830129,0.918569480870685,0,0,0.919634705061361,0,0.928126501594199,0.927501215727022,0.936339244329888
"Long-term potentiation",0,0.916195281584217,0,0,0.87061507907876,0,0,0.875680321285542,0,0.830405804483521,0,0,0,0.915071466339695,0.917081604647254,0.824283644356756,0.871315742185341,0,0,0,0.826156118735556,0.869607439312873,0.911818612222614,0,0,0.868738083595585,0,0.872675763429955,0,0.826819262760348,0.869260847401132,0.874020866428298,0,0,0.871381374399416,0.867215876003591,0.869240794630992,0.867486628812133,0.828706946332493,0.869281072534055,0.8232585024738,0,0.866112111496159,0,0.867116444469103,0,0.869203961673997,0.869593395230575,0,0,0,0.820426892878853,0.870844926837749,0.824240704539692,0.868760390311679,0.867215876003591,0.865859930206,0.86704561316211,0.86514315318096,0,0.82509700745385,0.871322810771094,0.867738495527887,0.912669598651011,0.865859930206,0,0.868297754254693,0,0,0.871515762376068,0,0,0,0.873264372322896,0.820633628483422,0.824196048739006,0.868311224414639,0,0.820633628483422,0.872252540671249,0,0.867803580513482,0.869049808745,0.82074916020802,0.867506345744059,0.871767835032436,0.829186396513236,0.830538508147344,0.912597635095472,0.868385063867642,0.871234211347985,0,0,0,0,0,0.817425052190703,0.814056479340615,0.822551314503785
"Activation of Matrix Metalloproteinases",0,0,0.891681869241159,0,0.858387134308065,0,0,0,0,0,0.858032996050505,0,0,0.887801882788543,0,0,0,0,0.855102105381248,0,0.888918082169607,0.854824141187777,0.885685052841731,0,0,0,0,0.885472552053312,0,0.917944064072148,0.886388555271595,0,0,0,0,0,0.886375505714861,0.886349735373981,0.859140920204803,0,0.8860764144854,0,0.884339481375766,0,0,0,0.916458206502507,0.856932800485399,0,0.830162212265582,0,0.856486218001633,0.887906849523058,0.888514222607649,0,0,0.8850318831732,0.913345395168609,0.887346820593736,0,0,0,0,0,0.8850318831732,0,0.85397184949185,0,0.854791560977611,0,0,0.858069033528528,0,0.888993892351637,0.853641497303414,0.885987355632502,0.853717066271424,0,0.853641497303414,0,0,0.854928737177696,0,0.885868797190731,0.885523244329427,0.855966492961604,0,0,0.885352688338579,0.886934401689258,0,0,0,0.823774026170067,0,0,0.886407187816539,0,0
"Transmission across Chemical Synapses",0.892332949653817,0.902171309790392,0.881152897823656,0.883356760371814,0.890979279336584,0,0,0.892284351466112,0.872049635992976,0.882076114293028,0.891386853406862,0,0,0.901126096348896,0.902152317809954,0.892016616910682,0.891109495309868,0,0.890820107186263,0.891545895750027,0.881724555325159,0.890921231073655,0.900346602608908,0,0,0.901777788267624,0.891189157271911,0.891609947764261,0,0.881816041395661,0.891468269833479,0.89154779184275,0,0.881016561286456,0.891151282148911,0.900643151594212,0.890838933929579,0.891159452404795,0.891476898412292,0.890463122977788,0.890640418439767,0.90281698266009,0.910705110542958,0,0.901413794800854,0.890526087462231,0.891035021214529,0.901795715947631,0.890936660878839,0,0.902151288687925,0.891211880622044,0.891523163997624,0.882252915519098,0.890474779112501,0.900643151594212,0.901131757339372,0.891139164655635,0.891463458262408,0.881459062361434,0.890408769013576,0.890921715085108,0.890262513597694,0.901379934241646,0.901131757339372,0,0.890627258884085,0.881242166167221,0.89143480366428,0.890960692489051,0.88102735996342,0.891068642498008,0.881912263006536,0.891357215304278,0.890267963623019,0.890850860275905,0.892356883488373,0.880661990346898,0.890267963623019,0.89136914413958,0,0.89204853248821,0.891329340965324,0.890312483986017,0.890303812206413,0.891021302222502,0.892501076429249,0.891610556786034,0.902086070392742,0.900826885034993,0.891118249898767,0.879540886899737,0,0.890577302561368,0.89128037392059,0,0.890675805956982,0.889901497642655,0.889743227159979
