"","ITGAX","DLGAP5","NPTX1","RFC4","IGSF3","TRAPPC5","CRB2","COL6A3","GRIN3A","FOXRED2","HCLS1","PHF2","UBE3A","SYNE2","KRT1","CDON","PTPN1","POT1","INPP5F","COL12A1","LOXL1","NEFH","SEL1L3","ADAMTS15","ECHS1","UGGT2","DSCAM","SPHK1","TMCO3","CUBN","ZSCAN29","ADAMTSL3","CCDC85A","MFAP4","CACNA1B","HADHA","OPRD1","RBMX","GCDH","YTHDC1","LILRA6","SOX2","RYR1","CDK5RAP1","TAOK2","FFAR1","GSPT1","PPP2R5D","IRF5","OR7C1","LAMA5","CDK1","MGAM"
"Biological oxidations",0.880000559327547,0,0,0.881596201241327,0,0,0,0,0,0,0.860279260276597,0.882186332480309,0.895776298230637,0.879710262279898,0.881419016399008,0.880266337988409,0.879358303124872,0.879636975195152,0,0,0,0,0,0,0.881181940336341,0,0.880506804075132,0.8617349806689,0,0.880900643994901,0,0,0,0,0.878178255480321,0.881254505711325,0.878079244787974,0.87975323277832,0.881613297533512,0,0.86010887633159,0.880237832726385,0.880808654735278,0,0,0.8786445688865,0.880597248299817,0.878266036910828,0.897720298207668,0.861192664708516,0.898897644859018,0.897138655044832,0.880878447139652
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0,0,0,0,0,0.830870357328301,0,0,0,0.800303925121966,0,0,0,0,0,0,0,-0.0224549514130393,0,0,0,0,0,0,0,0,0,0,-0.0224549514130393,0,-0.0224549514130393,-0.0224549514130393,0,0,0,0.775129076808931,0,0,0,0.777817270465046,0.773278232550173,0.831626980309939,0,0.832016986952992,0.801813218307715,0
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834378488717081,0,0.835765402716809,0.770111962582753,0
"Drug ADME",0.747311408710961,0,0.748462402891053,0.806189165063123,0.712419367401936,0,0,0.746480217250249,0.743232158818262,0,0.743945203839365,0,0.739598679226906,0,0.744760554082935,0.742850158044974,0.746554353889726,0,0,0.747068539904351,0,0.745193255916349,0,0,-0.0235322077173508,0,0.809027536274964,0.746596436397121,0,0,0,0,0,0,0.745299173558435,-0.0235322077173508,0.74002739663877,0.745257371178623,-0.0235322077173508,0.749820257119759,0.743086077323339,0.808576285784675,0.777049359846944,0,0.745193255916349,0.740465399806731,0.744404941772326,0.744245143319161,0.806663910489948,0.744167726600456,0.770727954676913,0.774003156390023,0
"ADP signalling through P2Y purinoceptor 1",0.80228432010563,0,0,0.71592085120873,0,0,0,0.718281302064678,0.803552405934585,0,0.812010608958543,0.730373043622497,0.713925922985158,0.720354089072494,0.726528276980801,0.802430325491595,0.799217899822664,0.720057546603281,0,0,0,0.808150833958981,0,0,0,0,0.807696844450826,0.807256119357932,0,0,0,0,0,0,0.87719296302588,0,0.873414280785013,0.714150933843685,0,0,0.810792484714789,0.721748838365024,0.80536467444599,0,0.732354970924405,0.874483634678279,0,0.801515602870722,0.797466349016371,0.883522604851604,0.798853850961586,0.800003522707703,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6523831681601,0,0.756644821692533,0.645939285939481,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608085030842105,0,0,0,0,0,0,0,0,0,0,0.608546066980406,0,0,0.611910375487721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPCR ligand binding",0.905190865894289,0,0,0.905989934060081,0,0.88870276029945,0,0.890938157368575,0.907995950845603,0.873763282162825,0.908457050489235,0.891113836425627,0.90568772642126,0.889105653151872,0.891905873695917,0.907511714236519,0.906874354619702,0.889039535507205,0,0.888916664264024,0,0.90859052419159,0.873870000380015,0.889330509142656,0,0,0.907851254481454,0.906851083004917,0,0.90855162982099,0,0.889330509142656,0,0,0.923942041358267,0,0.923087106573382,0.906474258947539,0,0,0.889461003412752,0.890840241427638,0.907969317033114,0.890780785458469,0.890074070882062,0.92333796461523,0.906220114401296,0.907068880419798,0.904922365627005,0.925353309734825,0.907212807236618,0.905695978201499,0
"APAP ADME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579380897729539,0,0,0,0,0,0,0,0,0,0,0
"Extracellular matrix organization",0.675319373894984,0,0,0.675410387124603,0.661609970019828,0.691821792447689,0,0.691320126856047,0.675904020721735,0.66077059009733,0.677080546629874,0.64555135087706,0.656904928406894,0.657874067784811,0.676707419406262,0.677054229746062,0.690702077936787,0.658232590701094,0.660141102164493,0.6915236877149,0.711744151696313,0.658901031107686,0.660874228382819,0.675827004438766,0,0,0.675942854320876,0.675678687868972,0.661436257831107,0.660842049567929,0,0.675827004438766,0,0.695342055032503,0.658035096948143,0,0.690645062503864,0.657722133446636,0,0.661059183763693,0.676615569672975,0.675672541724133,0.658854860197593,0,0,0.672555839449853,0.67544351641179,0.657838072193398,0.674263354164031,0.676930325783867,0.691613352023721,0.655232927777776,0
"Signal amplification",0.801425437857683,0,0,0.71592085120873,0,0,0,0.727828439685745,0.803183247838171,0,0.812010608958543,0.730373043622497,0.713925922985158,0.720354089072494,0.734857290358115,0.802079684381125,0.798677806259199,0.720057546603281,0,0,0,0.807800192848512,0,0,0,0,0.806557427466965,0.807256119357932,0,0,0,0,0,0,0.87719296302588,0,0.873414280785013,0.714150933843685,0,0,0.809913112063717,0.730077851742338,0.804851032248653,0,0.732336206641672,0.874483634678279,0.651807188625909,0.801515602870722,0.796827424557017,0.883522604851604,0.798423888113887,0.800003522707703,0
"Neuronal System",0.826220165308802,0.811218628315275,0,0.84224193559227,0,0.825442209390128,0,0.826508078014313,0.844951893816661,0.828522307395213,0.827698798917477,0,0.81047831218576,0.825621358934298,0.811699630637394,0.825865331848586,0.826430961763063,0.825557065124927,0.811168322482745,0.810340607841742,0,0.827744716664656,0,0.810442081312346,0.79475085000432,0,0.82768120848031,0.826302860134859,0.811454803010532,0.80981942983089,0,0.810442081312346,0.813793267126526,0,0.843975519798046,0.794623852587828,0.842103107893982,0.825781362370989,0.795279060170864,0.80966711200175,0.810713303294102,0.827580892091468,0.827273149533775,0,0.811399079400162,0.842334956086069,0.825937077154757,0.839847174679061,0.826180839494857,0.844294708518083,0.825340462431812,0.825039422492979,0
"NCAM signaling for neurite out-growth",0.628963218877111,0,0,0.624862661301145,0.637981085722026,0.63217411160498,0,0.684086727497151,0.627472024493917,0,0.623825697364387,0,0.624244243086298,0.622004400149134,0.570421569164973,0.567095511277963,0.628842133810872,0.621768320946143,0.56863516134883,0.685353688299177,0,0.563089641829428,0,0.560620967354494,0,0,0.568125748451816,0.629480211434163,0.511639033901652,0.508717166124003,0,0.560620967354494,0,0,0.680655678801553,0,0.621678968242489,0.555493831330262,0,0.503885318477374,0.632692306736624,0.566616629986592,0.629956565764035,0,0.569752839896102,0.62506200570538,0.623555505461386,0.686207762793186,0.632316418616799,0.629590181724416,0.630149642228619,0.622997312057413,0
"Signaling by GPCR",0.928409965264866,0.919171050097469,0,0.928169327393805,0.918461697259276,0.928692542505704,0,0.928243962090786,0.92909372502853,0.929833955604161,0.929794524969406,0.918298090822674,0.927774074626655,0.917835648218035,0.917378543486313,0.929031452629128,0.928859422784349,0.917792632464834,0.918769426161356,0.91672092015618,0,0.929470780112161,0.907033496343984,0.917985876190613,0,0,0.929107107018417,0.928980499107366,0.918350829239315,0.929514756606802,0,0.917985876190613,0.920173585555414,0,0.939683085985674,0,0.93989695444727,0.92809142691287,0,0.918115729291974,0.929128896009042,0.929519089588316,0.929291324891126,0.918081409809933,0.918283303487908,0.940043716382096,0.92781468364823,0.928075620012972,0.928299616110458,0.940601248943409,0.93971294555672,0.927718505805726,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G alpha (s) signalling events",0.836024136062346,0.808648853251357,0,0.83601727322905,0,0.804499797182825,0,0.804279230377924,0.832189709563186,0.778176681915488,0.841885780087326,0,0.835208404627779,0.799678458874342,0.806605373979673,0.838427070054332,0.836263760067511,0.799558222020978,0.808685635950607,0.775592555939382,0,0.839234984412477,0,0.776163253366651,0,0,0.837809366421463,0.836221439961456,0.808915848154716,0.840318186688474,0,0.776163253366651,0,0,0.867301843138506,0,0.865769729159315,0.835905300932703,0,0,0.807681382901957,0.807505759127541,0.838105301188006,0,0.80648538554976,0.866203312071066,0.836435862851734,0.835255733333704,0.834549080313662,0.869868275589372,0.836879245962017,0.834642641518159,0
"Transcriptional regulation of granulopoiesis",0.618798377246709,0.50480481078646,0,0.60886552386292,0.407553866261289,0.500379134527731,0,0.614072891140175,0.609068261539949,0,0.621404277438954,0.509400721334365,0.607735156743983,0.611863291114306,0.622016006737883,0.619286519069874,0.614336272583555,0.614885040467547,0,0.614390440152247,0,0.623553244387738,0,0,0.491058730980175,0.502770922864074,0.619442194678999,0.614485776953011,0.630558929423665,0.494489333340803,0,0,0,0,0.608068658971818,0.490206375610626,0.493902528359089,0.608463670176947,0.49460386429187,0,0.396114290509941,0.615061201666578,0.499458634383764,0,0.627610722914252,0.607762135785635,0.612140341131222,0.607905013177659,0.610552127634515,0.612392005300018,0.615056329900973,0.708974918116139,0
"NCAM1 interactions",0.596350175533315,0,0,0.597108493867516,0.615048906726148,0.594418339118287,0,0.683028116816256,0.599700179021047,0,0.521065128955317,0,0.594936548679374,0.591873398277924,0.523232383862653,0.519111827228298,0.606751609346484,0.591550542557365,0,0.678508221733031,0,0,0,0,0,0,0.521511917731574,0.605229118954257,0.529703990502862,0.436944750994011,0,0,0,0,0.672452098030544,0,0.593792492796014,0,0,0,0.606489898752543,0.518028848927964,0.604490303433092,0,0,0.596926130167737,0.593584714041541,0.674299055393229,0.591753240879333,0.603178145291718,0.596757600972795,0.588522982831544,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.755204103360759,0,0,0.650961854238359,0,0,0,0.757347461420055,0.762352106302901,0,0.664491090440408,0,0,0.754146505378391,0,0.756668079578179,0.755698892442533,0.753770337231509,0,0,0,0.763924622208048,0,0,0,0,0.759464491533975,0.75426861011365,0,0,0,0,0,0,0.851505499972182,0,0.846712190265202,0.650611542249639,0,0,0,0.658354735043812,0.767606511404049,0,0.663221340683605,0.848068680192128,0.75493944487877,0.845532528871537,0.755823477682169,0.859534736534287,0.75298045387722,0.749329245284142,0
"Unblocking of NMDA receptors, glutamate binding and activation",0.606521010323733,0,0,0.719446315687401,0,0.717187021555331,0,0.605019372094382,0.836265180430434,0.734180439032317,0.732930997028006,0,0.59727107405503,0.600257799881274,0.618559192485655,0.728056842120417,0.723128297086057,0.599828177519235,0,0.607100313032375,0,0.630089357309737,0,0.605869622764258,0,0,0.732251526153138,0.726042826649128,0,0,0,0.605869622764258,0,0,0.723546973514631,0,0.717246402871506,0.593434957959969,0,0,0,0.731929429926722,0.730777545555732,0,0.617059507464211,0.718795652618775,0,0.720764922656505,0.721125525534102,0.730026620921046,0.724846094309077,0.714534572689769,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0.606634040541842,0,0,0.718620193254109,0,0.720288050847315,0,0.601831060327695,0.836265180430434,0.734180439032317,0.735969791345458,0,0.597384104273139,0.600339356636736,0.626972833373828,0.727230719687126,0.723128297086057,0.599909734274696,0,0,0,0.630268115940225,0,0.605951179519719,0,0,0.732251526153138,0.72908162096658,0,0,0,0.605951179519719,0,0,0.723546973514631,0,0.716542026771691,0.59351651471543,0,0,0,0.731929429926722,0.730777545555732,0,0.617172537682321,0.718795652618775,0,0.720764922656505,0.720299403100811,0.731891057558869,0.724846094309077,0.714534572689769,0
"GPCR downstream signalling",0.925247013069864,0.91512875766399,0,0.924983471799531,0.914351890135755,0.92555648540973,0,0.925065210067769,0.925995851629331,0.926806535772195,0.926763352213729,0.914174652323066,0.924302102837958,0.913668801392952,0.913165644097111,0.925972515750169,0.92573924899733,0.913621691492117,0.914688908018329,0.912445429581166,0,0.926408794011541,0,0.913833503758337,0,0,0.926010507288471,0.925871849106511,0.914230469934142,0.926713472575054,0,0.913833503758337,0.916226712308359,0,0.937593085374633,0,0.93782730938021,0.924984463502242,0,0.913972993675295,0.926034370108746,0.926461701480589,0.926212258625357,0.913937348073725,0.914156517225748,0.937988039802941,0.924783032216866,0.924880845550071,0.925167604229194,0.938598637124189,0.937625786915959,0.924489741974325,0
"Signaling Pathways",0.80038478189104,0.797085436781574,0.789040951959866,0.796557316644412,0.792992451938889,0.796271691783759,0,0.800208225992724,0.800450243951046,0.796460556157989,0.796614009464665,0.796489867086662,0.800000000411324,0.79634957902101,0.796662348395672,0.800368943332556,0.800191532067409,0.796310827124345,0.796364196395345,0.800291289433648,0.796889978649673,0.796337849588853,0.792610267640076,0.795969634053858,0.792458577947142,0.796753870316876,0.800515900397296,0.796203261931701,0.796552958137166,0.796404117263749,0,0.795969634053858,0.792946231350028,0.796979272997543,0.800241403193581,0.792615121016531,0.800317514141661,0.796995745818894,0.79277112571375,0.792414512069697,0.796412778037366,0.800390376331562,0.796746036105443,0.792706496818654,0.796537668029406,0.800369743394717,0.796171227521535,0.803965815484767,0.79614475419529,0.800568156622689,0.800399715718873,0.808092212993846,0.792573917145765
"Platelet homeostasis",0.657700710064493,0.565797246078355,0,0.609172777954096,0,0.612696230024289,0,0.607015077415011,0.659790079266303,0,0.663023149356528,0.616327113949679,0.607817340717317,0.610059572145816,0.610434708533381,0.657572696412819,0.655663938824655,0.609874064534904,0,0.55848058179183,0,0.709980157329227,0,0,0,0,0.707780640457426,0.660810910784407,0.564385145110764,0.565199619281864,0,0,0,0,0.7045611932247,0,0.702197368856603,0.610700623963078,0,0,0.660879099597732,0.612818582808499,0.663298760672875,0,0.613820786600059,0.70286632290722,0.601416380904806,0.655371139312088,0.657606464007816,0.708520817409859,0.655973490976295,0.654725906570654,0
