"","APOB","IRS2","NCOA6","PDGFRA","IRF5","TNRC6B","KRAS","TLN1","RBP1","UTRN","HTR1A","QRFPR","FFAR3","NTSR2","APC","PLCZ1","IKBKB","PIN1","DAPK1","OR10C1","STUB1","IL18","MARK4","GLI3","NOSTRIN","CTSF","C6","GPR32","SYNE1","COL18A1","OBSCN","PKD2L1","MUC16"
"RA biosynthesis pathway",0.887080244109567,0,0.887784100438557,0,0,0,0,0,0.928709428601658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Initial triggering of complement",0.783572129658318,0.787602253522958,0.786455232739268,0.786455232739268,0.786565461209254,0,0.785575309596977,0.786402084088045,0,0,0.826835959252008,0.785972897599567,0.785972897599567,0.785958463813129,0,0,0,0,0,0.79124449816178,0,0.790095161038344,0,0,0,0,0.790411010418662,0.786622677843691,0.829938388648614,0.787373891285648,0.789657287448563,0,0.787961220695672
"Metabolism of Angiotensinogen to Angiotensins",0.886851670614531,0.888814504786548,0.929641705580686,0.887654086614847,0.887765602571166,0.889107018318738,0.886763885828137,0.887600317178794,0,0.88979608179964,0.928506466535217,0.929153736688651,0.929153736688651,0.929139134313256,0.842107162608422,0.888845154911092,0.887024104798879,0.890461795004189,0.892499291431017,0.892499291431017,0.846070097839825,0.891336529864347,0.888160082756744,0.887985508619492,0.846963562346502,0.849359569205219,0.891656068416441,0.887823487505135,0.889657513842415,0.888583475241424,0,0,0
"Signaling by Retinoic Acid",0.793082092070214,0.794328424334268,0.823632120821009,0.763918226884299,0.792614910808004,0.793069803631042,0.79302635174679,0.793557456918002,0.852651776047006,0,0.792870760871019,0.793281755180821,0.793281755180821,0.793272483174124,0.79282685412262,0.793890275510376,0.792403618870381,0.794813239603491,0.796668137258889,0.765338041147086,0.763435719681068,0.764599727500115,0.762582792716878,0.7938020402492,0,0.796372961289578,0,0,0.765171755966141,0,0,0.792725854814101,0
"Aspirin ADME",0.764940477448032,0.800843722047677,0.838023872791422,0.765608159120854,0.8031792205192,0.804295398050475,0.764867432676984,0.765563418154826,0.80471787799955,0.76739049014067,0,0,0,0,0,0,0,0.767944422896072,0.769639801629919,0,0,0,0,0,0.769958131707441,0,0,0,0,0.766381493342318,0,0,0
"Glucuronidation",0,0.846580909838914,0.897286786867133,0,0.849891765901789,0.851409968955806,0,0,0,0.796989248406098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNFs bind their physiological receptors",0.34641696831966,0.34593483031179,0.344940788920639,0.345155774819612,0.345251302000295,0.346185404256218,0.34417822207189,0.344894728762052,0.347237697249215,0.346775672176741,0,0,0,0,0.34326995537561,0,0.380583695693105,0,0.274184418747739,0,0.265562598083057,0.270220006021181,0.265024016603984,0.343522535546891,0.271543770896042,0.347630056995375,0.345909773287254,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0,0.798664130837566,0,0,0,0,0,0,0,0,0.796909098576359,0,0,0,0,0,0,0,0,0,0.697695116663445,0,0,0,0,0,0,0,0.852316623741754
"Classical antibody-mediated complement activation",0.692068598929241,0,0,0.579608254344781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.735228430118261,0.741339109602267,0.614729305946105,0.738483430424926,0.618390755589395,0.742058957690944,0.735012400076069,0.737070778382783,0.624714876859789,0.623387572593971,0.611935590212837,0.736002254659614,0.736002254659614,0.735966319597261,0.614819292527865,0.741414536654839,0.736933104863129,0.623252290722165,0.62826637638705,0.626652895942292,0.732885456025196,0.627178469332267,0.615974514510971,0.615544904099131,0,0.628895916331519,0,0,0,0.620403462741978,0.622701298335486,0,0
"Arachidonic acid metabolism",0.881341311139974,0.882599764652147,0.880397369067846,0.881855772956575,0.881927270411069,0.881991680733535,0.881285028712081,0.881821299165251,0.855188585006407,0.854602784156992,0.881127924631794,0.881542916081161,0.881542916081161,0.881533553899239,0.853428894654738,0.882619415704401,0.881451865769604,0.883193848882212,0.884500171428933,0,0.852344582525729,0.855830426133149,0.882180187841435,0,0,0,0,0,0.85451394255492,0.854001319576487,0.855306410811932,0,0
