"","x"
"TCOF1",0.798345147107298
"NSRP1",0.798872822299746
"OPA1",0.803631111823524
"ITGA8",0.804549953813067
"ITGA1",0.804377992855189
"ITGA2",0.803431225352987
"ITGA6",0.805063704764925
"ITGA7",0.804603634166145
"BCL2A1",0.803661774684076
"ITGAV",0.809588439772892
"ITGAL",0.804421957725029
"ITGAD",0.804487629804939
"ITGAE",0.80403348225634
"IGF2R",0.80322344829617
"CPEB4",0.798444058227765
"CPEB3",0.798171086316971
"CPEB2",0.798508277355604
"SRBD1",0
"STAT5B",0.804209315178295
"CFI",0.803915917897541
"CFP",0.804114173982192
"ZNF479",0.798727371562164
"NLGN3",0.798583036552331
"NUP107",0.803274992854276
"ZNF471",0.798727371562164
"NR1D2",0.804384157249407
"DLGAP3",0.798456432291028
"PTPN13",0.803962518795335
"PTPN12",0.798404031336073
"CDK7",0.803078336713761
"OR52N2",0.804065094100603
"HOXA10",0.793421302112718
"GALNTL5",0.804406604612198
"GALNTL6",0.804406604612198
"GCNT4",0.803769920256625
"PDK2",0.803901937814658
"PDK4",0.803991389514508
"LNPEP",0.803572812047356
"SEC61A1",0.809150050695081
"PRKCB",0.809087599984729
"RAB3GAP2",0.803647417571351
"LTN1",0.803415582427769
"COL14A1",0.802887543064202
"SNAP91",0.803324306242489
"FAM91A1",0
"TMEFF1",0.79915704709226
"ZNF300",0.798727371562164
"PPP3CC",0.803873168154802
"ADRA2A",0.808984177373752
"SYT1",0.803250679187618
"NBN",0.803813114000133
"FUBP1",0.803732812571578
"BRIP1",0.803518406124476
"PDE11A",0.809333490791982
"TTC28",0.803927508864625
"OBSCN",0.798521448588107
"SORBS3",0.804100553449377
"BCLAF1",0.804126312831337
"CCP110",0.803300743369676
"EPB41L1",0.803361877507471
"EPB41L3",0.798553145258298
"EPB41L2",0.798553145258298
"EPB41L5",0.798640041699399
"ACSS3",0.804152369367218
"ACSS2",0.809485929785481
"KIDINS220",0.804335931847733
"UTY",0.798674778776448
"PACRG",0.79772834531717
"SAFB",0.798270440024986
"NGLY1",0.803357154067291
"LMX1B",0.798484939946916
"ADAM15",0.804245615138551
"ADAM17",0.803522129427712
"G3BP1",0.803967888613496
"SHANK1",0.798535532612413
"PCSK1",0.804141750849082
"PCSK5",0.803987546796777
"DPYSL4",0.804174506699033
"OR2T33",0.804065094100603
"LAMB1",0.804331106738522
"LAMB2",0.804343491305364
"CYSLTR2",0.803257619320271
"LAMB4",0.804578316172346
"ATP7B",0
"RSRC1",0.803627663727357
"ARHGAP40",0.798588611806003
"NLGN1",0.798583036552331
"GPRC6A",0.803246972487983
"ABI1",0.803934557723702
"AOC3",0.809850153690124
"CLINT1",0.803344662871235
"ADCY4",0.81452931820469
"ADCY1",0.796865519507962
"ADCY8",0.814524311088062
"DDI1",0.803028539486758
"XRCC5",0.803519641157592
"MEIS1",0.803443806535979
"CTLA4",0.809546327099939
