"","TP53","SOS1","TACR1","ITGA1","LCP2","KRAS","INSRR","DNAH3","SMAD3","MUC4","MUC16","COL5A1","APC","ITGAV","IRF5"
"Phase II - Conjugation of compounds",0.779441574280258,0.75537797895929,0,0,0,0,0,0,0.78066078270185,0,0,0,0.73449317980439,0,0.78095706986695
"Collagen chain trimerization",0.881198752964503,0.882232772269151,0.882287566683084,0.92088523245472,0.881076806446173,0.879755377404733,0.88405031937173,0,0.921087002405256,0,0,0.925664439004031,0.883818992821884,0.921087002405256,0.88388633535485
"Glucuronidation",0.847138878182526,0.793462866560964,0,0,0,0,0,0,0.849851177106988,0,0,0,0,0,0.850510309167593
"Termination of O-glycan biosynthesis",0.822359197174314,0.870163533374552,0.873654398345705,0.824777003959932,0.826737087509426,0.824563831554722,0.829860947159054,0.878921897105226,0,0.795295977554744,0.764116969656089,0.823713328028778,0.825919055792238,0,0
"O-linked glycosylation of mucins",0.880032907039661,0.908641078840592,0.910864331041853,0.881479826658306,0.882652824996641,0.882647957739758,0.884522277030537,0.913193664172571,0,0.863286907250431,0.844659607283779,0.909064101778224,0.882297448007944,0,0
"O-linked glycosylation",0.652967347012602,0.674194055575779,0.675843665584661,0.874674385703142,0.654911275318096,0.654907663907899,0.656298372465458,0.677571985585546,-0.0167255094535111,0.640542139991392,0.626721044730137,0.915712173403961,0.654647592485736,0.872276229854239,0
"Defective GALNT3 causes HFTC",0.769987593504643,0.828183493740865,0.837018717772247,0.772930975918676,0.775317136584588,0.774728230268373,0.779120051528542,0.843431249702812,0,0.741963597045166,0.70398644599085,0,0,0,0
"Defective GALNT12 causes CRCS1",0.769987593504643,0.828183493740865,0.837018717772247,0.772930975918676,0.775317136584588,0.772671464731767,0.779120051528542,0.843431249702812,0,0.741963597045166,0.70398644599085,0,0,0,0
"Defective C1GALT1C1 causes TNPS",0.769940324392541,0.828136224628763,0.837018717772247,0.772883706806574,0.775269867472485,0.772624195619665,0.77907278241644,0.843431249702812,0,0.74191309701445,0.703939176878748,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.798026411533445,0.7999858318204,0.800089664781537,0.801741236830972,0,0,0,0,0.802123581853546,0,0,0,0,0.802123581853546,0
"Metal ion SLC transporters",0.549321901430112,0,0,0,0,0,0,0,0.556721335199791,0,0,0,0,0,0
"Azathioprine ADME",0.596542378819045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.743464479424109,0.813564705233718,0.778359395281891,0.703698015314919,0.815945178296491,0.778269174282433,0.707508284758597,0,0.7018467365106,0,0,0.705384457698717,0,0.737546249674231,0.702343947014347
