"","KRAS","HSPG2","SMAD4","CTTN","AR","PIP5K1A","APC","PACSIN3","TCF7L2","PDGFRA","IRF5","TIAM1","CHEK2","PDGFA","MATK","LAMC3","SPHK1","USP6NL","EPS8","ELMO1","MAP2K7","COL2A1","GPR68","HLA-B","GATA4","OR13C9","NPW","GRB10","CBX4","SCNN1G","FGA","WASF3","TRPV6","RYR2","FLNC","SPTBN5","SPTBN2","MYH8","USP9X","STAB1","SOX9","TRIM2","TTN","PHKA2","NINL","PCNT","KRT1","ZCCHC12","CACNA1G","PCBP1","ICAM5","TOPBP1","ADAM8","PLXNB2","RIMS1","UBL7","STARD8","ARHGAP36","RNF139","MYO9B","HSPA12B","PFKFB1","ANK2"
"Transcriptional regulation of testis differentiation",0.537007387177148,0.409451350448381,0.547951653548132,0.546377317821332,0.553524119677021,0.55350620582657,0.54824926296563,0.405519185183323,0.552925136077053,0.539868680539337,0.409009579415292,0.40826047589429,0.408116344376105,0.412783517297463,0.417072812730751,0.41321032005747,0.410410668894143,0.422430783187198,0.419948088805998,0.411208698064135,0.413903202190105,0.406052284629813,0.407082708485795,0.403147499867421,0.836177645165786,0.566021678133628,0,0.415585567469729,0,0.413007461886064,0.404243519586196,0.410043342834674,0,0.553613937356951,0,0.406251982745009,0.403931001993252,0.413321172970096,0.417675711401426,0,0.467202854136895,0,0.417075196884422,0.555007342901285,0.551581232427376,0.551379689363176,0.566457576822789,0.573768945104588,0.560994945488453,0.40868633502563,0,0,0,0.417414548462407,0,0,0,0,0.41866850209542,0,0.41066669365654,0.560131214809091,0
"Activation of Matrix Metalloproteinases",0.791587784958768,0.847652729860815,0.847960576472602,0.848290726270596,0.850439687738849,0.851462267588357,0.847349017616323,0.781573403967646,0.850173208417731,0.84729672915569,0.847456192184336,0.848786594703266,0.785786397395695,0.84932061810128,0.852707078565872,0.849325042207239,0.787009735581859,0.789097134425923,0.787992618854411,0.795662221695075,0.795197300355498,0.848152770681222,0.848373465134606,0.846860473076552,0.853086142118927,0,0.790222716138836,0.850567210541679,0.789984219680686,0,0.846999507727934,0,0.799789168672269,0,0.783658204941316,0.793457049244134,0.792424477776254,0.783380729779115,0,0.792708733483781,0.856927852263474,0.850292220852194,0.785050841855978,0,0,0,0.916000901888254,0.858702362802889,0.853019391272705,0,0.794194402726396,0.78517837598024,0.785566134104664,0,0,0,0,0,0,0,0,0,0.848020281909336
"Common Pathway of Fibrin Clot Formation",0.858868405433446,0.861501789855508,0.755714866591286,0.759733421314751,0.762262592489222,0.764860582702158,0.762282440021604,0.760487316526276,0.662229478381706,0.762197909709839,0.660705809503571,0.763403750102607,0.762355217147016,0.769525463227958,0.76879679101965,0.76714291285743,0.764950188553627,0.773595164576576,0.771809588094147,0.765524138423986,0.664733788730013,0.763581799313026,0.755497971672862,0.761492651571959,0.667447011822831,0.771250950716831,0.754911724115112,0.765187193295051,0.452721314809636,0.767538955315548,0.586152779143769,0.764686004295533,0.772195822967665,0.663233311571091,0.76617240935638,0.763161922134574,0.761492651571959,0.760869109266906,0.667447011822831,0.775948900328848,0.676526278636322,0.654589476846959,0.763569037565232,0.64825489952236,0.763012821134458,0.762867869521261,0.674136576189571,0.679394979059136,0.670207801823854,0.643180383274322,0.777708976731687,0.652718960860716,0.770864715843313,0,0,0.651392894868612,0,0,0,0,0,0.667920597060648,0.76336761597205
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.588665799601412,0.581483933144612,0.684715545573919,0.68211003718805,0.689467304151777,0.686785823854419,0.687526897008076,0.68205412564075,0.777591816365152,0.590542501457531,0.687684903909416,0.586924547547821,0.691056605551705,0.585175500504592,0.587988818707984,0.587718377867961,0.583619166204291,0.591503073217333,0.594590369282443,0.588858265387282,0.593767463774414,0,0.578983643697747,0.579369199017903,0,0.590226924030239,0.577642487082884,0,0.688967966347761,0.597150238806872,0.579574177072407,0.58809391722534,0.590226924030239,0.592618907977451,0,0,0,0,0.596240039556513,0.596827634692989,0.697459858109549,0,0,0,0,0,0.699469599865493,0.704265074040403,0.695886699034731,0.578374924117246,0,0.690160202780178,0,0.592928638287571,0.586363411256386,0.58738377278969,0.592704496264815,0.592704496264815,0.599857834387195,0.588418039153891,0.5837870910152,0,0
"Regulation of TLR by endogenous ligand",0.668097564701913,0.669402480808003,0.533653037201486,0.534372986553843,0.539059172723608,0.537419456399367,0.392454317784418,0.531520295979883,0.538478067977154,0.53220540207107,0.534175476260958,0.539323944817306,0.534039933469632,0.541464686249355,0.542729063309973,0.54212046091091,0.537540326996098,0.549201657070906,0.546793067772319,0.542184166527202,0.541170324267236,0.537941780730118,0.530683782654748,0.379983937266304,0.389690466547616,0.546039513935763,0.528700036532164,0.542560761820784,0.536073293494897,0.542306902494232,0.296705560295801,0.537183965124645,0.551183695896897,0.383827496579978,0.543058628330275,0.537375402482704,0.535123699879581,0.536736037378601,0.391312803725711,0.555802828703339,0,0.38746746324009,0.540378008736475,0.393830460598206,0.389470607475446,0.389275080200196,0,0,0,0.384566329215341,0.55475083630277,0,0.546793067772319,0.404470041778522,0.396382346980867,0.393460877753026,0.404138506398072,0.404138506398072,0.395041658487566,0.397798275451753,0.405419027092967,0.397765384401535,0
"Signaling by BMP",0.503792478514551,0.489766785939827,0.674668860080479,0.504487225330823,0.586358491006282,0.492637880205046,0.489338297078093,0.505969758967325,0.575526650892379,0.494368034133967,0.493442047034927,0.505186815499274,0.495968569329604,0.411451765882306,0.50159020392633,0.492126148220334,0.49740862958282,0.416457379061471,0.414899086208327,0.411917250377984,0.500249536473766,0.49047226267263,0,0.488649039738131,0.594018510396333,0.515363304636219,0.391689608641087,0.413210506221292,0.490717340050721,0.494947678711478,0.587934800982813,0.497178072983676,0,0.496008929652041,0.493782726208538,0,0,0.410896003944783,0.579636329275674,0,0.501398545068304,0.493490680879735,0,0.58504919928901,0.394668668831249,0.394542167913971,0.500766963274895,0.505356031114459,0.49733827731495,0.487697560321526,0,0.491858260357995,0,0.414358488039356,0.495342207770322,0.494864712358796,0.415597932158311,0.415597932158311,0.497538734224864,0.411495972319526,0.496115387947812,0,0
"Glutamate Neurotransmitter Release Cycle",0.318141279580101,0,0,0.312615236071985,0,0,0.547933281430051,0.314895236117625,0,0,0.0933353053137884,0,0.0982974835412225,0,0,0,0,0,0,0,0,0.319702266083727,0,0,0,0,0,0,0,0,0,0,0,0.323959121843555,0,0,0,0,0,0,0,0,0,0,0.321996979735514,0.321802432987928,0,0,0,0,0,0.09697823563978,0,0,0.472778056986191,0,0,0,0,0,0,0.330250160120966,0
"RA biosynthesis pathway",0,0.353946065597194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215381956988259,0,0,0,0,0,0,0,0
"MyD88 deficiency (TLR2/4)",0.665850271423269,0.671649774086647,0.533653037201486,0.532125693275199,0.539059172723608,0.537419456399367,0.38469126540205,0.532794847484278,0.538478067977154,0.53220540207107,0.534175476260958,0.537076651538661,0.534039933469632,0.543711979527999,0.544003614814369,0.544367754189554,0.537540326996098,0.549201657070906,0.546793067772319,0.539936873248558,0.541170324267236,0.537941780730118,0.530683782654748,0.393353412734237,0.391005894000525,0.547314065440159,0.528700036532164,0.542560761820784,0.538320586773541,0.542306902494232,0.296554518615013,0.537183965124645,0.548936402618253,0.383038750488816,0.543058628330275,0.53512810920406,0.532876406600937,0.536736037378601,0.389270057043482,0.557077380207735,0,0.400836938708023,0.540378008736475,0.390295034749791,0.271940100226314,0.271744572951064,0,0,0,0.386024876402823,0.55475083630277,0,0.545518516267923,0.396706989396154,0.397840894168349,0.391418131070797,0.396375454015704,0.396375454015704,0.394621248983432,0.390035223069386,0.394030179422326,0,0.395882578655571
"IRAK4 deficiency (TLR2/4)",0.665850271423269,0.671649774086647,0.533653037201486,0.532125693275199,0.539059172723608,0.537419456399367,0.38469126540205,0.532794847484278,0.538478067977154,0.53220540207107,0.534175476260958,0.537076651538661,0.534039933469632,0.543711979527999,0.544003614814369,0.544367754189554,0.537540326996098,0.549201657070906,0.546793067772319,0.539936873248558,0.541170324267236,0.537941780730118,0.530683782654748,0.393353412734237,0.391005894000525,0.547314065440159,0.528700036532164,0.542560761820784,0.538320586773541,0.542306902494232,0.296554518615013,0.537183965124645,0.548936402618253,0.383038750488816,0.543058628330275,0.53512810920406,0.532876406600937,0.536736037378601,0.389270057043482,0.557077380207735,0,0.400836938708023,0.540378008736475,0.390295034749791,0.271940100226314,0.271744572951064,0,0,0,0.386024876402823,0.55475083630277,0,0.545518516267923,0.396706989396154,0.397840894168349,0.391418131070797,0.396375454015704,0.396375454015704,0.394621248983432,0.390035223069386,0.394030179422326,0,0.395882578655571
