"","CDKN1B","SMAD3","MEF2A","APC","ADCY9","CEP63","IRF5","SLC2A4","CIITA","CASP9","CENPF","NCL","LRRK2","CFL1","NKX2-5","KBTBD7","TRIM39","FBXO21","RIF1","GUCY2D","SUPT16H","SYNE1","MYH2","STAG3","RRP9","LAMC3","CNOT6","TEX15","C6","RNF165","EIF2AK4","MYL1","POLA2","PHF21B","MDH2","RTEL1","SPHK1","CACNA1B","KIF26A","PLA2G3","PRMT6","ELMO1","ARHGAP22","OBSCN","CXCR1","BCL3","OR10R2","HTR1A","NRAP","GREB1","ABLIM2","PLXNB3","INPPL1","NFKBIZ","BCAS4","TRAPPC5","GPR20","ZNF471","COL5A1","RYR3","GSTM3","MST1R","SVIP","SH3D19","RHEB","HK3","ATP6V0E2"
"Unwinding of DNA",0.891266196264131,0.830484677062427,0,0.827910460415136,0,0.831143804433606,0,0,0,0,0,0,0,0,0,0.824778276250302,0.824830951345957,0.824830951345957,0,0,0.828767627439808,0,0,0.830223290932841,0.827910460415136,0,0,0.835559722210504,0,0.839491176712181,0,0.830528482732565,0.894537139459551,0.840468806573476,0,0.834912011919652,0,0,0.831143804433606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurexins and neuroligins",0.9331805521518,0.933298661533445,0.933710983092705,0.93395237034173,0.932706298937785,0.933454380641708,0.93336439577983,0.933577400579501,0.917737972715904,0.91824459234277,0.933486646401316,0,0.934814309624719,0.935037219795041,0.918522288792161,0.932865913208337,0.932879397254132,0.932879397254132,0.933847844199143,0.917809506943042,0,0,0.934395041773912,0,0.933489024735452,0.934468333640771,0,0,0,0.93645351691057,0.935199876951338,0.934006586248782,0,0,0,0,0.934577515680905,0.93408048089549,0.917501843683213,0.916381066140173,0,0.934670218686258,0.935351423175739,0.935148260572115,0.933380927096345,0.903742472297886,0.935284467552797,0.933245754599519,0,0,0.93568542942942,0.935477229931981,0.93441628103043,0,0,0.934521103427615,0.93353862227523,0,0,0.935284467552797,0,0,0.934625586557747,0.934311580244874,0,0,0.93474265184641
"Activation of the pre-replicative complex",0.905435781061931,0.905762549167865,0.864856776005145,0.862915568490687,0.860212592538601,0.863241949326941,0.862536525288816,0.863570678162861,0.812894780633996,0.813743892974156,0.863331217605268,0.865608703749884,0.866582176740244,0.86591697444291,0.866065170571664,0.861191632841667,0.86122893856661,0.86122893856661,0.865243461537479,0.861630373629282,0.863781887641242,0.863243208924812,0.864140288351469,0.863108674951708,0.860001203397784,0,0.864604136462951,0.86519194989359,0.864394803095059,0.866224186147015,0,0.860334209582601,0.910381138584246,0.868715415268382,0,0.865524440143985,0.864645130999362,0.861205455592057,0.862855708170052,0.864239416781031,0,0.864901608385426,0.866786267314983,0.866224186147015,0,0.869064652609889,0.867882942297632,0,0.869835382273315,0,0,0,0,0,0,0,0,0,0,0,0,0.867710347937248,0.813509036798582,0,0.862715413548416,0,0
"DNA strand elongation",0.902097221276301,0.85937598821841,0.859409933296857,0.858183294030084,0.855999607557525,0.861061298770728,0.858257909911431,0.859772131284864,0.859127435502757,0.859700646903632,0.861519564034476,0.860574505887273,0.859967260696135,0,0.817623170470148,0.858222140591701,0.85825809343851,0.85825809343851,0.859649165792176,0.859880400527878,0.859689315352289,0.859363798676393,0,0.859234143527405,0.856748329106894,0,0.861452973803125,0.865481076715722,0,0.864652628354738,0,0.859788827196257,0.903701948384052,0.866708505787093,0,0.863437332719389,0,0,0.861061298770728,0,0,0,0,0,0,0,0,0,0.817405585827192,0.819154576470703,0,0,0,0,0,0,0,0,0,0,0,0.863761677486248,0.862804192596886,0,0,0.811835589569742,0
"CD22 mediated BCR regulation",0.795679374066343,0.796250652982705,0.800565168838354,0.797171413740604,0.792445881643615,0.797742015604956,0.797306771142011,0,0.798884139423056,0.801334589229956,0.79789808066878,0,0.803581635391667,0.802418682090282,0,0.794157508553507,0.794222729037798,0.794222729037798,0,0,0,0,0.799312554880789,0,0,0.799667057611181,0,0,0,0,0,0,0,0,0,0,0.876024013083665,0.799092611723406,0.708106819367814,0.79818431338689,0,0.87647240483464,0.803938440845626,0.802955771133638,0.870236277847054,0.807921673782668,0.80585572495112,0.79505515485773,0,0,0.80555398338767,0.804546950909571,0.800888567438603,0.811510256716367,0,0.799922297848873,0,0,0.709792052048671,0,0,0.80555398338767,0,0.80115000217725,0.801732426103688,0,0
"Transcriptional regulation of testis differentiation",0.722278314867451,0.722640095642578,0.725372401782098,0.827040352335649,0.772139179279791,0.775493126703428,0.723308916485351,0.727313785985373,0,0.777768239671065,0,0.778618851496406,0.779191254032082,0.778454776394345,0.826639917625837,0.825131699795676,0.825173002768157,0.825173002768157,0,0,0,0,0,0,0.774307529546751,0.776712221560978,0.729333968619712,0,0.778656250828671,0.783388063726499,0,0.777184587362819,0,0,0,0,0.777046657001748,0.773238425988855,0,0.724688893524785,0,0.777330615521101,0,0,0,0,0.780631394495809,0,0,0,0,0.779802571177363,0.77748578200498,0,0,0,0.775283696887242,0,0.776560354581242,0,0.776832463805005,0,0.780440306931423,0,0,0,0.778376730636481
"Interaction between L1 and Ankyrins",0.921989466265545,0.917412484014692,0.922606195542084,0.922472126558572,0.919979685266126,0.922656710700536,0.922515913358718,0,0.923026176624417,0.894414333024099,0.922707196227654,0,0,0.922840647121746,0,0,0,0,0,0,0.922962071920891,0,0.893760224619131,0,0,0.922858405981223,0.924390871096311,0,0.923066039087497,0,0,0.893808016090624,0,0,0,0,0.922121358166442,0.921370863401135,0.947186606865874,0,0,0.922266408527803,0.89525665364432,0.894938769569708,0.895222895317732,0,0.924120544992548,0.895432430920206,0,0,0.92385488653443,0.895453500719394,0,0,0,0.921639258776504,0.896194624227316,0,0.89379732681784,0.923558664616193,0,0,0,0,0,0,0.92240694777992
"Synaptic adhesion-like molecules",0.79985912931877,0.80010541571949,0.836624997633216,0.83572301624109,0.83312465837277,0.835969010755137,0,0.801557241708625,0,0.802858286673525,0.836036292605991,0,0.801709845633984,0.837985187657612,0,0,0,0,0.835018431079616,0.801728395647194,0,0,0.836646092394869,0,0.83572301624109,0.836798923523435,0,0,0.838810425344481,0,0.837837743784141,0.835836069416238,0,0,0,0,0.836465479963779,0.835585085029179,0.835969010755137,0.803988382867236,0,0.837219902284986,0.838640377098525,0.838216734321712,0.833970305647134,0,0.837695899723194,0.770927666881837,0,0,0.839336860281249,0.838902714372244,0.802666000386584,0,0,0.869599851224075,0.771943438714656,0,0.836695538339924,0.838500758558888,0,0,0,0,0,0,0.805199634102182
"Resolution of D-loop Structures through Holliday Junction Intermediates",0.880912940075654,0.826702936583418,0.826525162724123,0.824781234432354,0.823024723420914,0.827777204120884,0.826314006222006,0.827041500556503,0.767116217558012,0.768090129730356,0.827889621871803,0.829245339781134,0.761914516790827,0.764614287756402,0.830395019699591,0.824257653090813,0.82430463311298,0.82430463311298,0.88491926860492,0.828095802791613,0.900766055806696,0.884546375924228,0.762376863015689,0.884376953964243,0.820909015643107,0.766888963052969,0.826468662583305,0.887000473627693,0.769100197078138,0.831237659598551,0.771583822019946,0,0.827062653134374,0.835607611931607,0.829661682632489,0.885273111914009,0,0,0,0,0.832244369938791,0,0,0,0,0.772834979169349,0,0,0.836080477316703,0.839254189184244,0,0,0,0.775419929397859,0.833960198469341,0,0,0.776156149637249,0,0,0,0,0,0,0,0,0
"Resolution of D-Loop Structures",0.880912940075654,0.826702936583418,0.826525162724123,0.824781234432354,0.823024723420914,0.827777204120884,0.826314006222006,0.827041500556503,0.767098870843398,0.768076767181335,0.827889621871803,0.829245339781134,0.761900410405045,0.76460018137062,0.830395019699591,0.824257653090813,0.82430463311298,0.82430463311298,0.88491926860492,0.828095802791613,0.900766055806696,0.884546375924228,0.762362756629907,0.884376953964243,0.820909015643107,0.766875600503948,0.826468662583305,0.887000473627693,0.769086834529116,0.831237659598551,0.771570459470925,0,0.827062653134374,0.835607611931607,0.829661682632489,0.883785372921961,0,0,0,0,0.832244369938791,0,0,0,0,0.772821616620328,0,0,0.835142940550459,0.839254189184244,0,0,0,0.775406566848838,0.833960198469341,0,0,0.776138802922636,0,0,0,0,0,0,0,0,0
