"","APC","IRF5","OR2L3","TUBGCP2","ARFGEF1","POLR3A","USP9X","ATR","SMARCA2","RPLP1","IPO8","SYCP2"
"Potassium Channels",0.941782146277633,0.941804983731677,0.957252143364412,0.94327356665945,0.943595926441244,0.94182860247472,0.927613650047551,0.927670176841295,0,0,0,0
"Phase 0 - rapid depolarisation",0.891772668043214,0.890868067733818,0.894223418512348,0.891206890445129,0.895110907364506,0.890349369825281,0,0.889954459235983,0.891754120130203,0.888874287213765,0,0.88945927976834
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.82270469603861,0.817731510483398,0,0,0,0,0,0.821953395000907,0.823856444179643,0,0.824314648456224,0.824883117751886
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.863636362714624,0.864391789441195,0.867319934422957,0.864016291445068,0.867574361034689,0,0.865385405337703,0.863661766701058,0.821125280775324,0.820133518429065,0,0
"Interaction between L1 and Ankyrins",0.84831504771901,0.888003597086471,0.890448256236254,0.888756112415534,0.890610408526657,0,0,0.847697411497637,0,0,0,0
"Arachidonic acid metabolism",0.877221522361518,0.906072820087241,0,0.907465971903897,0.910826063601663,0,0,0.876758170006458,0.907080490785197,0.874359172130932,0.878031149988075,0.878381743922738
"Biological oxidations",0.909646445338836,0.920411662127892,0.903882886102513,0.909107939396596,0.904166584428133,0.909859727924143,0.921373277485495,0.909116704154502,0.920785196139533,0.909043899877551,0.90958895989658,0.909719174240205
"GABA receptor activation",0.885207271002499,0.66947943997669,0.69583658092955,0.668905402846963,0.863445233760308,0.693277830279313,-0.0186792650186743,0.66822849086007,0.669119713459797,0,0.669427003428647,0
"Carnitine metabolism",0.668623533300206,0.668786782215527,0.67228416542985,0.667035093727215,0,0.55708921955985,0.492825450581594,0.663518851122717,0.6673473886614,0,0.559996024904979,0.561139666415849
"Metabolism of Angiotensinogen to Angiotensins",0.674059494477697,0.724610608302511,0.729851550493283,0.72554667669988,0.731118081888469,0.724696428103259,0,0.676511526449078,0.725705419136446,0,0,0
"Activation of Matrix Metalloproteinases",0.830223078923452,0.832379666663645,0,0,0,0,0,0.797581655358209,0.834416104440728,0,0.76361572969061,0.764020973267129
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0,0,0,0
"Voltage gated Potassium channels",0.834059013672997,0,0.865287441656554,0.863928379373286,0,0.863379400313113,0,0.827514709882449,0,0,0,0
"Activation of G protein gated Potassium channels",0.886006075683062,0.886071857907876,0.930566683195436,0.886533460779932,0.891230585133907,0.886139890599334,0.848177708511161,0,0,0,0,0
"G protein gated Potassium channels",0.886006075683062,0.886071857907876,0.930566683195436,0.886533460779932,0.891230585133907,0.886139890599334,0.848177708511161,0,0,0,0,0
"Platelet calcium homeostasis",0.873618764665918,0,0.878815215156017,0.87461341454048,0.880051421523796,0.824615833699928,0,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.886006075683062,0.886071857907876,0.930566683195436,0.886533460779932,0.891230585133907,0.886139890599334,0.848177708511161,0,0,0,0,0
"Inwardly rectifying K+ channels",0.896907791445385,0.896965765408078,0.936179114432457,0.89722668802221,0.901512158610626,0.897025722710034,0.863569600872721,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 1",0.846655039297609,0.846619871951151,0.903695600346146,0.852267702980509,0.85345368107562,0.846951605973082,0.794684569937779,0.796253092598541,0.798223545716477,0.79592399768175,0.798697979091888,0.799286582953839
"Neurexins and neuroligins",0.83984992593173,0.867516453063503,0.870576392773191,0.868062979385647,0.841818026651879,0,0.837322962601606,0,0,0.836792458000483,0,0
"Protein-protein interactions at synapses",0.866577709463511,0.866592812973904,0.866953608013966,0.864992220028694,0.844651127041163,0,0.841115476041162,0.842233346826607,0,0.864347364070345,0,0
"G-protein beta:gamma signalling",0.858742177830439,0.861331548464945,0.912819547123256,0.857883584680458,0.863305631218491,0.857037278946565,0.864302817011022,0.805267889678046,0.805541466926538,0.805636867138089,0.808363833694587,0
"GABA B receptor activation",0.896430619919902,0.896485773479932,0.93178006406288,0.895717092487627,0.898799637329861,0.928353695127786,0.862702964983736,0.894810653947603,0.896004071301373,0,0.896415556806314,0
"Activation of GABAB receptors",0.896430619919902,0.896485773479932,0.93178006406288,0.895717092487627,0.898799637329861,0.928353695127786,0.862702964983736,0.894810653947603,0.896004071301373,0,0.896415556806314,0
"Phase 2 - plateau phase",0.679874806673748,0.678992357209514,0.688041613714267,0.677283419461985,0.690639562823608,0.681605050061898,0,0.580314269066571,0,0.673899755282857,0,0.675393969004254
"Keratan sulfate biosynthesis",0.882539304277438,0,0,0,0,0,0,0,0,0,0,0
"Initial triggering of complement",0,0.732602318414368,0.738461437475747,0,0.73987735811926,0.732698260787343,0,0,0,0,0,0.734999988755907
"Nucleotide catabolism",0,0,0,0.757654245905677,0,0.821015442815159,0,0.757941583404748,0.760290144987588,0,0.761099919577969,0
"Activation of kainate receptors upon glutamate binding",0.824864194789587,0.82235174626763,0.87026539753561,0.82304488505864,0.82790685196132,0.822425006351973,0.828656129512152,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0.712232520651823,0,0,0,0,0.799611103688708,0,0.714192337327435,0,0,0
"Phase 4 - resting membrane potential",0,0,0.817212666240698,0,0.819334543819008,0,0,0,0,0,0,0
"Signal amplification",0.85757150892612,0.858418354905467,0.907887506434099,0.860570329839351,0.861331932762518,0.855453888639913,0.807580527513882,0.809033064131482,0.810846015524189,0.808730274340495,0.811282526619464,0.811824082356855
"Glucagon-type ligand receptors",0.892210650381845,0.88919778683897,0.928368835759832,0.889851057914044,0.893739275770194,0.889171073061134,0.853239354667809,0,0,0.890890785340926,0,0
"Ca2+ pathway",0.84187367533536,0.805863564143609,0.843208029382937,0.80313192594734,0.807301489540646,0.805030481826114,0.809812288947998,-0.0271001664759514,-0.0271001664759514,0.767631364944353,-0.0271001664759514,-0.0271001664759514
"Heme degradation",0,0.638468074990693,0,0,0,0,0,0,0,0,0,0
"Scavenging of heme from plasma",0.518968888366676,0.519115167681162,0,0,0,0,0,0,0.521045106741092,0.512361781282001,0,0
"Synthesis, secretion, and deacylation of Ghrelin",0.66400045857323,0.594356706879324,0.603635805952371,0.512413217295764,0.60433660915499,0.594733241005629,0.600262286592078,0,0.597435405378454,0.594039042524077,0,0
"Phase I - Functionalization of compounds",0.883437431898415,0.904457760364521,0.86109935598192,0.881755779701077,0.861663884310451,0.88225315604371,0.883236412640071,0.881773220601092,0.904992230661837,0.881628348132467,0.882808073179342,0.883067185338697
"Adrenaline,noradrenaline inhibits insulin secretion",0.861826923038256,0.861913346803015,0.91661838977805,0.861869193895295,0.864809929056925,0.911249385444339,0.804467874486566,0.861026757646763,0.862896802310862,0.859228006993864,0.863541586191742,0.859940236286948
