"","ITGA4","PAXIP1","AOC3","POU4F2","MOS","MRPS9","LRP2","LRP1","CBX4","OR4A15","APAF1","SYNE1","APC","SRRM1","GABRD","TAF5","SPECC1","ATP6V0C","TAS1R2","NCAM2","DISP1","LRIG1","KIF17","NR1H4","TP53","CAP1","KDM3B","STK4","TRAM1","PAPPA2","CCT4","RPE65","CEP152","HADHB","EP400","SEC23B","GAK","MUC4","CD14","ADAMTS8","CDH6","RAD23A","P2RY6","ZC3H13","NCL","OR5H1","PCDHA2","MBD6","FYN","ARAP2","CENPB","SEMA3G","POLD2","GLI1","WIPF2","PRDM9","ATG3","ADD2","TMOD1","NFASC","PARVB"
"Induction of Cell-Cell Fusion",0,0,0,0,0,0,0.465390661504424,0.482167127551242,0,0,0,0,0.46738814011154,0,0,0,0,0,0,0,0,0,0,0,0.45109237777703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464457050513638,0,0,0,0,0,0.45659528840052,0,0,0,0,0,0,0,0,0,0,0,0
"Eukaryotic Translation Elongation",0.921746020769624,0.921176595157477,0,0.91251884122042,0.922327424861196,0.930040873534911,0.920753349448824,0.920780222208526,0.921801833559282,0.911486521053473,0.922329795331998,0.922113172275506,0.921719428805328,0.921473890345232,0,0.921557513954492,0.911875152544093,0.922036630145253,0,0.923308855829894,0.912353275354399,0.911969039425885,0.922170554997431,0.911563106728639,0.921135634178743,0,0.912353275354399,0.922152876431523,0.930159364506526,0,0.921423834143029,0,0.921782678680162,0.920572885650742,0.921363776602793,0.922718535090609,0.920961183693834,0,0.921088053637922,0,0,0.921602139588003,0.910418879483503,0.910928614034442,0.92208137031185,0.911486521053473,0,0.921817003997728,0.9213327755942,0.922052651142238,0,0,0.921460067213683,0.921761947414703,0.921943089321485,0.921880972032539,0.911198321171318,0,0,0,0
"Peptide chain elongation",0.921309629846481,0.920721691527864,0,0.911782463674038,0.921909936079198,0.929874158178184,0.920284685595919,0.920312432021123,0.921367257176567,0.910716581546002,0.921912383616833,0.921688717886153,0.921282173345679,0.921028652137103,0,0.921041163580744,0.911117847910359,0.921609687279865,0,0.92292327454039,0.911611515064048,0.911214787166768,0.921747966188876,0.910795657112903,0.920679398858806,0,0.911611515064048,0.921729712871685,0.92999650143275,0,0.920976968548007,0,0.921347479549456,0.920098354704311,0.920914958465438,0.922313761769102,0.92049927678036,0,0.920630271417799,0,0,0.921245555602935,0.909614229673962,0.910140536303711,0.921655882002692,0.910716581546002,0,0.921382920824079,0.920882949577041,0.921626229138589,0,0,0.921014379599046,0.921326074285807,0.921513105332241,0.921448968536073,0.910419011941604,0,0,0,0
"Viral mRNA Translation",0.920139158533377,0.91953709956189,0,0.910384820483396,0.920753882462061,0.928909383156204,0.919089597955703,0.919118010773327,0.9201981699126,0.909292129922863,0.90950219212003,0.92052735121965,0.920111042603338,0.919851432516273,0,0.918591074230183,0.909703033595861,0.920446422516702,0,0.921791558511392,0.91020855726968,0.90980230106519,0.920588022502793,0.909373104666251,0.919493791139854,0,0.91020855726968,0.920569330791389,0.929034664757487,0,0.919798507630262,0,0.920177917281569,0.918898791911251,0.919735008236956,0.921167406928532,0.91930934302709,0,0.919443483793541,0,0,0.919390423395252,0.908163302606664,0.908702249666515,0.920493726709054,0.909292129922863,0,0.920214209757618,0.91970223058356,0.92046336166514,0,0,0.919836817191312,0.920155997922669,0.92034752093773,0.920281843753043,0.908987413519295,0,0,0,0
"Eukaryotic Translation Termination",0.91014982492871,0.909556742574994,0,0.900540922738758,0.910755383406821,0.918789286689499,0.909115913157185,0.909143902343544,0.910207956456256,0.899464524046582,0.899671454244822,0.910532229714574,0.910122128203382,0.909866388867576,0,0.908609460444475,0.899869301201433,0.910452507647634,0,0.911777587846713,0.9003672875857,0.899967088606231,0.910591996397098,0.899544291467506,0.909514079875671,0,0.9003672875857,0.910573583376581,0.918912700359065,0,0.909814253084449,0,0.910188005789212,0.908927952005029,0.909751700458503,0.911162742279471,0.909332381859303,0,0.909464522605081,0,0,0.909412253330148,0.898352527392876,0.898883438825013,0.910499106540878,0.899464524046582,0,0.910223757149355,0.909719411515484,0.910469194235659,0,0,0.909851991455131,0.910166413244987,0.910355080677816,0.910290382731063,0.899164350923346,0,0,0,0
"Selenoamino acid metabolism",0.913339011682484,0.912779760159873,0.914049601473798,0.90427822417682,0.913910027661624,0.921485657951784,0.912364076702798,0.912390469319253,0.913393827249139,0.903262821368746,0.913770660371929,0.913699603187879,0.913312894844385,0.913071743489863,0,0.911900998888564,0.903644509069877,0.91362442865766,0,0.914873923123777,0.904114089123804,0.903736718448021,0.913755960636374,0.905730390786851,0.912739531042605,0,0.904114089123804,0.913738597938437,0.921602031811474,0,0.913022581656078,0,0.913375014615697,0.912186837302777,0.912963597181013,0.914294149813211,0.912568197514178,0,0.912692800636855,0,0,0.912643512925952,0.902214255654676,0.905107234754267,0.913668369438963,0.903262821368746,0,0.913408726633045,0.912933150076264,0.913640163402931,0,0,0.913058167340143,0.913354653761661,0.913532559154423,0.913471551732766,0.90297977083594,0,0,0,0
"Selenocysteine synthesis",0.920139158533377,0.91953709956189,0,0.910384820483396,0.920753882462061,0.928909383156204,0.919089597955703,0.919118010773327,0.9201981699126,0.909291694500619,0.90950219212003,0.92052735121965,0.920111042603338,0.919851432516273,0,0.918591074230183,0.909702598173617,0.920446422516702,0,0.921791558511392,0.910208121847436,0.909801865642946,0.920588022502793,0.909372669244007,0.919493791139854,0,0.910208121847436,0.920569330791389,0.929034664757487,0,0.919798507630262,0,0.920177917281569,0.918898791911251,0.919735008236956,0.921167406928532,0.91930934302709,0,0.919443483793541,0,0,0.919390423395252,0.90816286718442,0.909570828634816,0.920493726709054,0.909291694500619,0,0.920214209757618,0.91970223058356,0.92046336166514,0,0,0.919836817191312,0.920155997922669,0.92034752093773,0.920281843753043,0.908986978097051,0,0,0,0
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",0.919901908551075,0.919308748361848,0,0.910286901076539,0.920507546502052,0.928542504145847,0.918755542030256,0.918895853949675,0.919960047707743,0.909213919419577,0.909816416026101,0.920284363523347,0.919874208190858,0.91935965551679,0,0.917593817210028,0.909618749696963,0.920204630993765,0,0.921529885094992,0.910116801436443,0.909716549935276,0.920344138049587,0.909293697309094,0.919266080063517,0,0.910116801436443,0.920325722612565,0.928665934012094,0,0.919566292666716,0,0.919940094422394,0.918679875270062,0.919978081924657,0.920914958836057,0.919084358201289,0,0.919104197229294,0,0,0.919761465116572,0.908101776828585,0.909277989222485,0.920325722612565,0.909213919419577,0,0.919975850474508,0.919471438650841,0.920221319771721,0,0,0.919604035990141,0.919918499044386,0.920107191237732,0.920042484800088,0.908913706901932,0,0,0,0
"Response of EIF2AK4 (GCN2) to amino acid deficiency",0.914117750297923,0.914180833692038,0,0.90596203995884,0.914701194200908,0.922441704914363,0.913063810661745,0.913148563307065,0.914173758902449,0.905772995188432,0.914454276388153,0.914486189926546,0.914091065037772,0.913844665124927,0,0.912648439757269,0.90421060115761,0.914409379254131,0,0.915686068444462,0.90469040142492,0.904304817434286,0.914543773971325,0.914989152867955,0.913106848934618,0.905023936131527,0.906243106697154,0.914526033381531,0.922560611602413,0,0.913794433304397,0,0.914154536819912,0.912940499324959,0.913683747616264,0.915093676610394,0.913330159681786,0,0.914105836308113,0,0,0.913349328697368,0.902749218875308,0.914352434105076,0.914454276388153,0.905772995188432,0,0.914138565124558,0.913304682005525,0.914425456459549,0,0,0.913830793495986,0.914133732820408,0.914315510249599,0.914202757586286,0.903531395174168,0,0,0,0.905194086053571
"Formation of a pool of free 40S subunits",0.921915480401385,0.921337231561956,0,0.912537506180042,0.922505893326304,0.930338861581372,0.920907427677828,0.920934716829879,0.921972158008007,0.911495340703516,0.912925385818125,0.922288320905294,0.921888476395658,0.921639133326858,0,0.921724052680627,0.911889994023674,0.922210592757767,0,0.923502531528947,0.912375525327967,0.911985335678976,0.922346592770219,0.911573113070683,0.921295635894481,0,0.912375525327967,0.922328640275634,0.930459188565895,0,0.921588301505787,0,0.921952706324793,0.920724167600352,0.921527313376346,0.922903063793213,0.921118482306226,0,0.921247318095065,0,0,0.921631341819302,0.910411156069752,0.910928788937346,0.922256026171471,0.911495340703516,0,0.921987563511794,0.921495832008353,0.922226861999465,0,0,0.921625096006434,0.921931653829199,0.922115602522644,0.922052522728769,0.911202675175615,0,0,0,0
