"","FUBP1","DYNC1I1","SLU7","VAV1","EXT1","NEDD4","DRD3","WDR6","RFC2","MAP3K15","PRSS1","MZT2B","SMAD3","H2AFY","EDNRA","EDNRB","APOB","APBA2","KPNA3","WDFY3","SP100","CEP78","OCM2","CACNA2D3","KCNH4","KLHL29","DCT","NLRP2","MAP4K4","NRG3","ADAMTS14","TP53","XYLB","GRPR","ZAP70","MPI","ERC2","RNF7","ADAMTSL5","SCN5A","PLXNB2","C11orf49","GRIA4","CCNB3","AKT3","KCNB2","UBE2V2","NBEA","KALRN","XAF1","AKAP11","TBP","ADAMTS3","OR5P2","PIGN","SHC3","PRKAG1","RICTOR","CD40","OR2A14","AARS2","UNC80","TTN","ST6GALNAC3","PLG"
"Extracellular matrix organization",0.828934552174692,0.837237706234107,0.8373674088779,0.845557718511742,0.837786370386516,0.827452495684817,0.837329005312354,0,0.837438655858099,0.828526411249516,0.855150784161603,0,0.837455687335794,0.837952630587104,0.847024912872823,0.837422513483327,0.837638105781682,0.837785002813855,0.838428297750442,0.829059487993984,0.83744128560109,0.837476144636805,0.828983008939953,0.829254410903023,0,0,0,0,0.837912442998015,0.837617955280084,0.846023720517589,0.853858998465569,0,0.837449984842877,0.837469773141371,0,0.829438286999318,0.827477935992223,0.837517333293963,0.846137393234527,0.83735301303733,0,0.837905224203875,0.828286472783342,0.837391174115849,0,0.83711906218695,0,0.837378456006923,0.837596952970212,0.82895953424686,0.837295212672993,0.846685305547594,0.82837579853795,0,0.837617021089513,0.845955057896474,0.837791185989105,0.838092902390338,0.82837579853795,0,0,0.837917650484386,0.828911735740947,0.854523971138219
"Collagen formation",0,0.929052553740491,0.908709024636348,0.929161116216486,0.93049609135164,0.907603356745697,0.907924328975048,0,0.908248701973073,0,0.948991800224892,0,0.928508616189621,0.910864582094329,0.947085392212483,0.928660147602234,0.928903575752869,0,0.910655926748599,0,0.927893278962207,0.92940384625455,0,0.90952889304047,0,0,0,0,0.930412602780494,0.930074236061518,0.948114118428058,0.928003800314008,0,0.928721284514782,0.928781764218476,0,0.91120359724552,0.907659973595921,0.929350836001748,0,0.930398564071758,0,0.930118953508415,0.9088537028631,0.929027171133765,0,0.927759464250162,0,0.928920324120798,0,0,0.928813611032045,0.948114118428058,0,0,0.929942722831757,0.909581120754497,0.909204110655055,0.930689614461466,0,0,0,0.929848876962529,0,0.947430662563224
"Cytosolic sulfonation of small molecules",0,0.643668936483366,0,0,0,0,0,0,0,0,0,0,0.582893689823222,0,0,0,0,0,0,0,0.584236428017056,0,0,0,0,0,0,0,0,0,0,0.57943548101323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641162209184557,0,0,0,0,0.582122201507431,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0.7775861791128,-0.0188379943714788,0.727921414161828,0.734178273801567,0.702128572510204,0,0,0,0,0,0,0.777668359584305,0,0,0,0.728973100687495,0,0,0,0.778186178627874,0,0,0,0,0,0,0,0.75268575011399,0,0,0.776334721808396,0,0,0,0,0,0.702201011326984,0,0,0,0,0,0,0.777644080612649,0,0.776619474554667,0,0.727613331065851,0,0,0.72869733163372,0,0,0,0,0.778302382819517,0,0.751778304753182,0,0,0,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0,0.899257226300852,0,0.899411381038309,0.901306996807804,0.868800152610403,0.869255921413514,0,0.869716519183509,0,0.927570225601236,0,0.898804856574029,0.873399554882697,0.898274568929713,0.89838002230302,0.89904568301798,0,0,0,0.897611098599277,0.899756048797107,0,0.869642361826982,0,0,0,0,0.901188446096355,0.900707977755433,0.926596827808454,0.897768034868592,0,0.898466834478371,0.898872715103134,0,0.87391236218324,0.868880546462902,0.900316603576707,0,0.901168511644424,0,0.900771474891278,0.870575598276067,0.89922118392949,0,0.868529649170118,0,0.899069465086666,0,0,0.898917936411318,0.926596827808454,0,0,0.900521233788695,0.871849479347873,0.871073164499353,0.901581792531772,0,0,0,0.900387976093535,0,0.925353467332201
"Glucuronidation",0,0,0,0,0.749986970178126,0,0,0,0,0,0,0,0.843201044649393,0,0,0,0,0,0,0,0.844300807168533,0,0,0,0,0,0,0,0,0,0,0.840368617263284,0,0,0,0,0,0,0,0,0,0,0,0,0.843149480105058,0,0,0,0,0,0,0,0,0,0,0,0.843699323732999,0,0,0,0,0,0,0,0
"Biological oxidations",0.831207578827196,0.847368855121795,0.829667298332947,0.829836194066066,0.814925288655439,0.828191941384988,0.828159530845206,0,0.829926188659396,0.830571514753276,0,0,0.847221534691083,0.830205349423063,0.828567317558657,0.82863521827566,0.829253082252942,0.815324630519105,0.81257990295892,0,0.846915186984199,0.829029765325931,0.831763630048301,0,0,0,0,0,0.829574911684612,0.829621758931175,0,0.846268511947927,0,0.82869111605082,0.829055497561346,0.830310355635023,0,0.810247323105787,0,0,0.812611553109131,0,0,0.810844719481086,0.847042308872501,0,0.846678044283609,0,0.82961603668709,0.811780731084049,0,0.846847049837463,0,0.815100430462893,0,0.829522462789652,0.847880657076989,0.829782385702652,0.830315804580637,0.815100430462893,0,0,0,0,0.829460660273318
"Collagen biosynthesis and modifying enzymes",0,0.917408679372294,0.887524671246766,0.914968042776701,0.917978773833859,0,0,0,0.888234047089022,0,0.919982178710426,0,0.914731505446425,0.89069111774971,0.94389835521293,0.916832247025472,0.917189835366919,0,0.890384609571347,0,0.915705740972737,0.917924717090767,0,0.888729032295689,0,0,0,0,0.890113977542512,0.89042045658701,0.945409521856034,0.915868093382605,0,0.916922055238294,0.888974825994104,0,0,0,0.915437972693528,0,0,0,0.918975187285772,0,0.888249040484802,0,0.91550917134504,0,0.916755867518299,0,0,0.917057680005164,0.945409521856034,0,0,0.918257739254978,0.888834631053029,0,0,0,0,0,0,0,0.917688916301159
"GPCR ligand binding",0.851334002182409,0.862898918815567,0.862316254542251,0.873909480310391,0.863211759425611,0.861946794182568,0.873674632729285,0,0.8621125289632,0,0.874881862967955,0,0.863079842822379,0.861486385802099,0.850550458189252,0.873787333458997,0.87352168321673,0.861782936744773,0.851568780109966,0,0.861398883737802,0.862587060723006,0.851377255359494,0.874421670493205,0,0,0,0,0.863703671916145,0.863688172175875,0.863714631886504,0.861660587449482,0,0.873826528116047,0.863321705907481,0,0,0.861764173151773,0.863843145591297,0.862796323045073,0.863209911446038,0,0.863714631886504,0.850746485219535,0.873830223814885,0,0.862225336504989,0,0.87376700148801,0.850650511266133,0.864112147111157,0.8509213351318,0.863714631886504,0.875204601095172,0,0.863425639775742,0.863373058792663,0.863078019046225,0.863033685819051,0.875204601095172,0,-0.00871198481548209,0.850170910291783,0,0.873958123943328
"Collagen chain trimerization",0,0.793533906494002,0,0.846041398429024,0.851492618868995,0,0,0,0,0,0.797015859556716,0,0.845735613973652,0,0.844686163852633,0.845307682307577,0.84816359595736,0,0,0,0.847377072525588,0.793332601057085,0,0.794989286043518,0,0,0,0,0,0,0.901669771019627,0.842307706551956,0,0.797097239779531,0.7954343193618,0,0,0,0.850964615931136,0,0,0,0,0,0.792330754362699,0,0,0,0.796796340802203,0,0,0.84982488920109,0.901669771019627,0,0,0.851997712806905,0,0,0,0,0,0,0,0,0.850137517041805
