"","USP9X","XBP1","NASP","ERCC2","DAPK2","APC","BRD4","CSF2RB","OR9Q2","TYRO3","PYGL","NXF3","FLT1","SET","TP53","PCDH7","ZAP70","GNRH1","PARP14","TYRP1","CACNA1B","PRKAB2","OPRD1","HYAL4","IFNAR2","LNX1","COLEC12","CDH9","NTRK1","FFAR1","PRKAG2","IRF5","KIT","DGKI","BBS2","PABPC5","GPSM1","MAGI1","TTN","MYL1","ZNF721"
"Phosphorylation of CD3 and TCR zeta chains",0.925366984444202,0,0,0.923485951485462,0.900477109178091,0.924149420269768,0,0.924698756497171,0.926750554888294,0.900251386741288,0,0,0.924665149636652,0,0.922290522042302,0.899534353422164,0.947876108712872,0.923865683596744,0,0,0.924724859640947,0.92432163453862,0.923234127634892,0,0.925197630332002,0.922979886657202,0.928811180849161,0.900951670198606,0.925114699786597,0.92385778474029,0.924350945766966,0.947292146943844,0.92441603409665,0.925262786307887,0,0,0.923240132827508,0.926286815423471,0.925547350401683,0.925120331403953,0
"Translocation of ZAP-70 to Immunological synapse",0.924509420454118,0,0,0.922922923211517,0.897712245639666,0.923214039877929,0,0.923798485029747,0.92639617244617,0.899932528041578,0,0,0.923762730303009,0,0.921236336601552,0.896709236911287,0.949918583548197,0.922912169157104,0,0,0.923826256465648,0.923397260625956,0.922240249480965,0,0.924329242659759,0.921969759570794,0.928173740756285,0,0.924241011895463,0.922903765472567,0.923428445180053,0.947835853859626,0.923497693405142,0.924099147927139,0,0,0.92224663847469,0.925488039248053,0.924701313877754,0.924247003438159,0
"Generation of second messenger molecules",0.910627589525472,0.889594606437692,0,0.909365457684756,0.889303888534392,0.909358856034919,0,0.910062007555521,0.911560432380521,0.911893125632164,0.889072268283222,0,0.909703605915808,0.910894186780694,0.907836565086965,0.88952620493996,0.929418757117272,0.909356902337715,0,0,0.910084101015613,0.909981013414128,0.908822359197718,0,0.910484249767201,0.908420036937615,0.91354272558985,0.890266867206096,0.909845902610246,0.90935021681848,0.910005822167404,0.929184844805115,0.929046232471944,0.909359368042902,0,0,0.90882744193735,0.911218990938902,0.910780249608006,0.910418824667587,0
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.791176206735517,0.779735565361197,0,0.790175372511386,0.780504605000765,0.791490032612493,0,0.791177613992863,0.791686302079585,0,0,0,0.79103180880976,0,0.801271712825128,0.791716792638522,0.800380115822412,0.790351120804252,0,0.79247016097309,0.790516186171707,0.791519561812124,0.790189074143814,0,0.790967574767334,0.790071405881168,0.776466577373833,0.791316885265804,0.791059443900421,0.790347465041423,0.791533127687094,0.792540195756987,0.790683932689958,0.790394297990125,0.779536701780996,0,0.790191853477769,0.791601924549546,0.790999181637598,0.790801547943627,0
"PD-1 signaling",0.924509420454118,0,0,0.922508167781703,0.897505854436313,0.923214039877929,0,0.923798485029747,0.925981417016356,0.897800349038051,0,0,0.923762730303009,0,0.921001108221684,0.897037489015083,0.948457137524767,0.922912169157104,0,0,0.923526841538367,0.923397260625956,0.922240249480965,0,0.924329242659759,0.921734531190926,0.927744359007826,0.89671982592749,0.923826256465648,0.922903765472567,0.923428445180053,0.947835853859626,0.923082937975328,0.924398562854421,0,0,0.92224663847469,0.925252810868185,0.924701313877754,0.924247003438159,0
"Chemokine receptors bind chemokines",0.89778518678829,0.919399565232591,0,0.91686099141841,0.919757948882146,0.917355929226764,0,0.917765725851519,0.919296336820579,0,0,0,0.91744984070644,0,0.916179160288415,0,0.917821800014143,0.934378150486652,0.901884063371032,0.903296486741529,0.917274186523558,0.917694339888763,0.934116960555805,0,0.918137878284757,0.916693415999801,0,0,0.917785198407092,0.934372258057657,0.91771620562753,0.917676988181088,0.917264004232574,0.917976542281698,0.916764155585711,0,0.934121440339846,0.898539947679155,0.897492074091695,0.897173524294235,0
"Cytosolic sulfonation of small molecules",0.880669122488013,0,0,0,0,0,0,0,0,0,0.882254310177675,0,0,0,0.830195695428328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833402528951576,0.83307794610157,0.88179978555044,0,0,0,0,0,0,0
"GPCR downstream signalling",0.936271951800851,0.936562303243864,0,0.939310657540816,0.936461175444749,0.936140833483022,0.933152559355036,0.939425474323815,0.939766122015594,0.936597837167019,0.936351703509504,0.933089723489137,0.939420785628379,0.936488306161753,0.939183139753305,0.932669477959485,0.939490350401643,0.939337986843192,0.933199053488984,0.936497799531876,0.939483505076246,0.93624338767447,0.939549335275048,0,0.936326339350399,0.936110581295437,0.936624212071059,0.936400791118624,0.939483505076246,0.939337986843192,0.936301866006093,0.939408878379593,0.939386030019631,0.939751597991253,0.936377857121768,0,0.938936510437077,0.93634848543212,0.93623891175913,0.933010599902446,0
"Interaction between L1 and Ankyrins",0,0,0,0.898924258607761,0.870447875660623,0.90114727933908,0,0.899976689992407,0.903099128303009,0,0.901323032895913,0,0.901308270133317,0.868677520352754,0.916418500132749,0,0.901945913418008,0.869578039357489,0,0.906141037958406,0.899843302564399,0.9017274107718,0.869130286063017,0,0,0,0,0,0.900309629131584,0.869567938070328,0.901764894822343,0.901199126138859,0.899416155145268,0,0,0,0.898304489593253,0.8691760583242,0.867752943439201,0.867206859136473,0
"Complement cascade",0.80337109098398,0.825072015105836,0,0.802015333800132,0.805141026411776,0.824016259839987,0,0.843320340881827,0.844420444479607,0,0,0,0.823485797128187,0,0.824853247879489,0.824361825369085,0.843694619304558,0.842996485937988,0,0,0.822635823369522,0.821730006630543,0.862345544212855,0,0,0.842477141443431,0,0,0.843655127743441,0.844470041087441,0.821753598823031,0.843177859565091,0.825911848089295,0.844088097297659,0.843872206271683,0,0.860870464880203,0.844494584261652,0.843598885962964,0.84325518442063,0
"Signaling by GPCR",0.937310877637702,0.938276689859696,0,0.940229554096478,0.938231797197207,0.937924108785604,0.9343147016087,0.94107900587599,0.941406197938602,0.937623890488528,0.938126649417973,0.934254347767865,0.941074502384648,0.937518685972549,0.940846243553271,0.93385070199257,0.941141319340109,0.940255803887773,0.934405648006869,0.937527804353291,0.941134744405976,0.93802261207284,0.941197974303164,0,0.937363116871804,0.937155881288732,0.93763339183629,0.937434627785272,0.940395574131252,0.940994974162497,0.938078780502582,0.94032389519905,0.941041119627072,0.941392247615156,0.938151769959071,0,0.940609356127861,0.937384388180347,0.938018312956754,0.934178349573383,0
