"","ITGA5","OBSCN","PCSK9","MGA","SERPINA3","HSD17B1","KRAS","CAMK2B","SYNE1","COL18A1","APC","ZNF135","SPTBN5","HS3ST4","KRT19","KIF26A","ADM2","CACNA2D3","EFEMP1","PDE8A","KDM5C","NCOR2","PPP1R18","MTDH","PLEC","IRF5","RICTOR","TLR8","PPP1R16B","GPR84","EDARADD","MYH2"
"Extracellular matrix organization",0.889380237742329,0.878086245709806,0.877316444533218,0.878653705429586,0.887998550971781,0,0.887929338301799,0.888580727550397,0.867854285891361,0.890081596386554,0.878004632516634,0,0.878293843310454,0.878514153328017,0.858843478395956,0.878114218285893,0.867618975350428,0.867837240672973,0.888912293677658,0.867058019679984,0.868591912738424,0.877974783519133,0.86932437329852,0.869037977402949,0.878504696912087,0.87822395461688,0.87847734259198,0.878778766053421,0.868990005208356,0.867618975350428,0,0.877413038957591
"Activation of Matrix Metalloproteinases",0.916059321801949,0.917967241557229,0.919005890321678,0.889017174133192,0.944098078021149,0,0.915762213500016,0.916225150170992,0.887090386324,0.944045818421459,0.915558987911801,0,0.91660776215284,0.918561292829332,0,0.886163643042019,0,0,0,0,0.889175992829346,0.916171796901064,0,0.891851394460889,0.916051321427243,0.915607467579609,0,0.889327910238139,0,0,0,0.916662385584408
"Collagen formation",0.894593667442581,0.849936713976609,0.8505838680478,0.85096762208777,0.87404832248331,0,0.871295597187667,0.873699595602705,0,0.923576172385214,0.873594493304788,0,0.874000269083902,0.874667317009263,0,0.873967483841766,0,0.850644415658865,0.875822597215668,0,0,0.849934375092197,0,0.852914495139053,0.872798914828214,0.873844980639446,0.850263286624851,0.852329812894566,0,0,0,0.872131097816772
"Assembly of collagen fibrils and other multimeric structures",0.865637148966038,0.799595565240612,0.800511031840999,0.800942086461061,0.836573626165352,0,0.832679610535411,0.833210627597519,0,0.904638726171471,0.83593163769041,0,0.833635961442906,0.834652289100612,0,0.833589583315197,0,0.798384840255038,0.836213833720686,0,0,0.799877082351141,0,0.804092771457472,0.831895026536786,0.833416289821179,0.800057536145801,0.770114455640878,0,0,0,0.831058099638079
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0.682121153973648,0,0.383448596799895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383264568257725,0,0,0,0.384086724056071,0,0,0,0,0,0
"GPCR ligand binding",0.887144239942332,0.885317586307114,0.88587254332436,0.868116668162524,0.899600537675869,0,0.886736419564197,0.88470784494751,0.882207569796937,0.887224019060357,0.885184897577445,0,0.901178388520766,0.884835807906406,0.886151263415428,0.887594792048173,0.899317875808663,0.899898147854989,0.869122424133103,0.884241366166021,0.86860379363678,0.884679337936715,0,0.869631011136889,0.867171433234365,0.884806694291017,0.884602128342561,0,0,0.899337881200839,0,0.884620392988836
"Collagen biosynthesis and modifying enzymes",0.921631179983971,0,0,0.852275918958974,0.888314702314789,0,0.883951156566352,0.887425235222166,0,0.924337091983747,0.88759530456537,0,0.887901854699098,0.888042698936857,0,0.887849884419259,0,0.850878787023135,0,0,0,0.849753249905134,0,0.855806505229619,0.888041645716886,0.887655695653493,0,0.853550433174645,0,0,0,0.885258021815014
"Degradation of the extracellular matrix",0.924428696950454,0.903770652165979,0.904384569864138,0.903766322943002,0.924756718669576,0,0.901652656081065,0.902656174000977,0.879555115035408,0.926294569531743,0.902311167025866,0,0.902323094646819,0.903849611647545,0.859825534612825,0.877845106117493,0.879068020133452,0.857030373795193,0,0,0.881208799929234,0.902613870001497,0,0.883227941710484,0.901914320912854,0.902433243610575,0.904537571671235,0.904696184671702,0,0.879068020133452,0,0.902526396535324
"Signaling by GPCR",0.883917025874874,0.885407412766417,0.885204611756922,0.87406326917065,0.894614359515224,0.874862007071472,0.892908927402707,0.893859731374709,0.885389510783721,0.89577077358256,0.883048146050421,0,0.892597588601056,0.886181071890382,0.88574492397709,0.885926033446313,0.8951226695585,0.894882076461063,0.875461187143489,0.893337061488558,0.87538985956001,0.88467706285681,0.875437967362546,0.875334015174688,0.884853379196839,0.884619764211537,0.88499566498714,0.875037447776401,0.875129661564729,0.892157838764164,0,0.882590011111007
"LGI-ADAM interactions",0,0,0,0,0,0,0.568683771790278,0.66616931470111,0.461160977742684,0,0.570720756660765,0,0.467997654104071,0,0,0,0,0.670488312779931,0,0,0,0,0.588863844240382,0,0,0,0,0,0.585651317715385,0,0,0
