"","AXIN1","PLB1","HRAS","GLI1","GNAS","ITGA6","OBSL1","KLF5","MED12","MUC17","B3GNTL1"
"Lewis blood group biosynthesis",0.829389904366131,0,0,0,0,0,0,0,0,0.831446965426477,0.790709634891549
"Blood group systems biosynthesis",0.829389904366131,0,0,0,0,0,0,0,0,0.831446965426477,0.790709634891549
"Glucuronidation",0,0.884884188775994,0,0.887485161966169,0,0,0,0.89235986982987,0.888110165303474,0,0
"Phase II - Conjugation of compounds",0.871429628254641,0.894839141275884,0,0.893894758383409,0.868658957245813,0,0.894504079555919,0.89684156810266,0.894272579159635,0,0
"Cytosolic sulfonation of small molecules",0.741189277296248,0.821446489945706,0,0.743526859582104,0,0,0,0.753675878367487,0.744828100761802,0,0
"Phase 4 - resting membrane potential",0,0,0.766326260782978,0,0.770352393235241,0,0,0,0,0,0
"Sialic acid metabolism",0.424139347041383,0,0.490717707830007,0,0,0,0,0,0,0.543035681450689,0.615780137239911
"RA biosynthesis pathway",0,0.773370846068504,0,0,0,0,0.779916902538605,0,0,0,0
"Presynaptic depolarization and calcium channel opening",0.764911195017961,0,0.766561288517504,0.770001571017477,0.770502704900483,0.771653655132547,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0.721750567528616,0.59379455242125,0.604481274511246,0.586470240021593,0.600216335167679,0.734514609328229,0.620184963623453,0.606494699392812,0,0
"Defective GALNT12 causes CRCS1",0,0,0.65831024613708,0,0,0.663234568647918,0,0,0,0.862960176813747,0.862566030124038
"Termination of O-glycan biosynthesis",0.748821784834806,0,0.744667114946861,0,0,0.748592652609504,0,0,0,0.896022587239993,0.901810003763717
"Potassium Channels",0.908788935860616,0.881364325728473,0.907396936526671,0.908725261423317,0.937790847561265,0.90889018821749,0.911953569274683,0,0,0,0
"Aspirin ADME",0.864218201799956,0.898015524996101,0.862443875968749,0.900836304236928,0.862061426804228,0.898393423823473,0.867218493279266,0.905490808611472,0.901433074515052,0,0
