"","UBC","UBA52","LAMA5","TNRC6B","POLR2F","SIN3A","SDC1","NGFR","SHC1","COL4A6","PIK3CA","NGF","TFAP2C","PTEN","IRF2","ARID1A","STAM2","UTRN","EGR2","FGF23","CD8B","CDH2","CTSW","HSD17B4","FYN","PRKCD","AXIN2","CCNA1","MSH2","AXIN1","RAF1","HLA-DRB5","SMURF2","PRKAA1","PPARGC1A","PPP2R3A","ACTN4","DNM2","A1BG","LAMC2","ERBB2","PSMD11","LAMC1","EPHB4","EPHB1","CREB3L4","ADCY9","ANGPT1","KRT5","TAF11","ROCK1","FGFR3","ADCY5","SLC9A1","ALPL","PAFAH1B1","INSRR","COL18A1","HGS","NBN","NMUR2","CASR","LAMA1","COL3A1","BRAF","S1PR1","FLNB","TGM2","FLNC","ITGA7","TRIM35","TACR2","P2RY1","ADRA1A","AVPR1A","GBP6","MAP4K4","HUWE1","EXOSC10","SPTBN1","PTPN3","MYH11","BCAN","TNC","SNX18","SYT9","CHD8","USP9X","B4GALT6","HLA-DQB1","FZD7","LRRK2","RPS11","PEG10","CACNA1C","RPL32","GPAM","ANAPC1","SH3BP2","NRTN","RCC2","CENPF","CACNB1","WNT3","DVL1","COL21A1","RGS1","COL7A1","RPA1","CDKN2C","ADAMTS16","ACVRL1","HCFC1","LRPPRC","EXO1","COL27A1","PPP1R13B","TP63","HERC2","RAC3","COL12A1","MMP13","KANSL1","FBN1","EPS8","PLEC","LYVE1","MAP2K3","MAP2K7","THRB","ITPR3","E4F1","TP53AIP1","HIPK1","RPS6KA1","RABGGTA","NUMB","NMNAT2","AAAS","NUP205","DGKB","LTF","TICAM1","DST","CACNA1F","SETD1B","POLE","DTNB","CUL3","TAS2R43","CNR1","NPY2R","NID2","ADRA2A","S1PR4","GREB1","KLHL21","RNF123","DET1","IL10RA","MNAT1","MVK","INTS8","CARD11","POLR3K","KIF20A","CRY2","RANBP3","TECR","XRCC2","USP4","LTBP1","WNT2B","PPFIA2","IMP4","POLR1A","TLR7","TUBG2","CEP89","COG6","NOD2","ZNF429","LMNB1","RAD23A","DNMT3B","RAD18","QARS","KLK1","PLXNB1","PIKFYVE","INPP4A","SOX6","PIGR","MAPKAPK3","EIF2AK3"
"Collagen biosynthesis and modifying enzymes",0.927663339482852,0.927484427752801,0.929276886690398,0.929786761412252,0.928168990063403,0.929296069505482,0.940390299671117,0.929228787534064,0.92870844347271,0.899056926776996,0.928228790428952,0.929033723717073,0.930493821601771,0.929283208050245,0.929369651734301,0.929862690256543,0.929932358395388,0.930025483644134,0.929479132534198,0.929457130703575,0.929712457363785,0.92971772998478,0.929541584317387,0.930433896744711,0.927381162000412,0.928027454763935,0.929355705266482,0.929041640229238,0.929849495560692,0.929328663193418,0.928955999439678,0.92895395700744,0.928468235714392,0.913675726015977,0.92928970988456,0.913442194184557,0.929134910686924,0.929050960351146,0.929605382808731,0.940668024318579,0.929376696684864,0.927972413255409,0.926184954605688,0.92900586635104,0.928887174748215,0.930059288880487,0.928139885117635,0.929668223009707,0.930922032295282,0.92952428355064,0.927997226315875,0.929193457454721,0.928139885117635,0.929759459868436,0.941724534309705,0.928705584346311,0.930631033866259,0.940383254720555,0,0.929150690119248,0.928545034436783,0.92854252337385,0.929595562088707,0.90864424592906,0.928117205359459,0.927560572632102,0.928679018295182,0.929842976416006,0.928643608647452,0.944221326719343,0.928763367619039,0.929114347135538,0.929104261250032,0.929094301483332,0.929089367891271,0.928540991620605,0.914263442017382,0.928711722423846,0,0.929335347499784,0,0.928451200546276,0.929432768701117,0.928840436068884,0.913177097305878,0.913149534832416,0.930279020546203,0.930256116301919,0.928936682742283,0.914701680497052,0.928577460135346,0.914333198780231,0.928730418312401,0.932046714099295,0.927994831540645,0.92889781456299,0.930233903490167,0.911878616992227,0.914797810456791,0.928867285651653,0.929450878995239,0.929435467256114,0.928350169500692,0.913276971025698,0.929240601332291,0.940546488578747,0.914797810456791,0.89388642667512,0.91285744385856,0.930559163356233,0.941145480132288,0.913400485220396,0.929664616176505,0,0.913695461561023,0.9416115492693,0.915013097104808,0.914645301239514,0.912055652103654,0,0.902545436272588,0.926415843587133,0.930327090775395,0.929488431840521,0,0.940931503538209,0.929942629909071,0,0,0,0,0.916513092383081,0.915848137991856,0.915667893978679,0,0.915526289458204,0,0.929645839294458,0.913126010516709,0.913126010516709,0,0.916402404183093,0,0.942185312823784,0.912968336991868,0.925695116127775,0,0.928840128359477,0,0,0,0,0.93053207411457,0,0,0.93221231340602,0,0,0,0.913639161871058,0,0.931258656649041,0.929706808245825,0,0.929577392426941,0.929369651734301,0.930302661902283,0,0,0.913500395206526,0,0.931186870988442,0,0.913733390228663,0.929322035345616,0,0.91468213530107,0.929654421332326,0.929499036085019,0.929420354490018,0,0.915744205527165,0,0,0,0,0.930252989490045,0,0,0,0,0,0.931797036557045,0,0
"Collagen chain trimerization",0.892483879214847,0.892116203802273,0.895063832313642,0.896847651415478,0.893523024528406,0.895839247163742,0.925898708870719,0.895187874445339,0.89463163688588,0.841730382666648,0.893645918226148,0.89530010925499,0.89830070676754,0.896325919851284,0.895990463500042,0.897003690201439,0.897146862824529,0.897338241356524,0.896728557595888,0.896170238555093,0.897208055519015,0,0.895830692478162,0.898177557231526,0.891903985866065,0.893232160147342,0.896474906415122,0.895316378209943,0.896976574230678,0.895906229343478,0.895653484562362,0.89257604426578,0.894137994089973,0,0,0.861068450702936,0.894994951329043,0.892775392538852,0.895961802588272,0.894777492313387,0.896004941338381,0.859246198221074,0.89670578727628,0.893508068026281,0.893264148949396,0,0.893976315770913,0.896604047175279,0.899693811829415,0.89630824208758,0.893170038691645,0.895628372627521,0.893976315770913,0.897304648768015,0.928640649106139,0.858744289253074,0.896022547889722,0.926368673947461,0,0.895540482930686,0.894295820532835,0.89429066013279,0.894428925049495,0.926533159185851,0.893416603544254,0.892272686554435,0.894571166204137,0.896963176958113,0.894498397041186,0.926511635733977,0.89474450963132,0.895465795700698,0.895445068540363,0.895424600562497,0.895414461705219,0.894287512278784,0,0.894638375346861,0,0.895919966034194,0,0.894178682122623,0.894094373894409,0.894902890381899,0,0,0.897859276422502,0.897812206688929,0.895264878194938,0.8636567781952,0.89436245748332,0,0.894676796631682,0.901492003333445,0.893165117270506,0.895020806973995,0.897766557894838,0,0.863854331606582,0.894958068046435,0.860275918942512,0.860244246801508,0.893895360229013,0.860728906207543,0,0.926843690174644,0.863854331606582,0.925643670970631,0,0.898434988385201,0.895758695520364,0,0.896596634895016,0,0,0.926692689303674,0,0,0,0,0.926897457733778,0.894749350437971,0.897958063915898,0.896234564457241,0,0.894207834695099,0.897167971463015,0,0,0,0,0,0,0,0,0,0,0.896558047163224,0,0,0,0,0,0.896784495522385,0.860094642899647,0.895617418094831,0,0.89497081236624,0,0,0,0,0,0,0,0.902345424664378,0,0,0,0,0,0.899872493265143,0.896683342381943,0,0.896417384333311,0.860810799927207,0,0,0,0,0,0,0,0.861666877791126,0,0,0,0.860694211878048,0.860374884940146,0.896094661009179,0,0.865799235933759,0,0,0,0,0,0,0,0,0,0,0.900978899506595,0,0
"Activation of Matrix Metalloproteinases",0.89793925991894,0.89754597961013,0.934406741396511,0.902606924984237,0.899050771257035,0.90152829551388,0.933681096540246,0.900831561233906,0.900785423670445,0.901122936172608,0.899182223265372,0.933476016338086,0.904161171033969,0.901500023711431,0.901690042547822,0.902773830302978,0.902378137109804,0.903131679582764,0.902479537477366,0.901882337128174,0.901736110031032,0.902455181433907,0.934043549348787,0.904029445370797,0.902097133099297,0.901851572036283,0.901659385691676,0.900969013993864,0.902744825977451,0.901599942329061,0.90132959641479,0.899831225171571,0.898763522008274,0.901701682584131,0.901514315918024,0.866922008798396,0.933149607230358,0.900989501305796,0.934183789960012,0.93429158549526,0.901705528622055,0.900218327975658,0.934430749352099,0.934122262043474,0.933861356455008,0.903205989600273,0.899535629677636,0.934870760426004,0.904706246600498,0.902029951219345,0.901236288095561,0.901302735686138,0.899535629677636,0.903095747608172,0.867255096424808,0.864435992868403,0.903913952032977,0.934122262043474,0.90231517340159,0.900659889005331,0.899877384734236,0.899871864964205,0.903131679582764,0.902384162023491,0.901500023711431,0.90045178690328,0.901096272571045,0.868459095654651,0.901018435767445,0.90236113967957,0.902150702350185,0.901128836910751,0.90110666631207,0.90108477294531,0.90107392801855,0.90166187972625,0.902993588545021,0.865889002320801,0.900158535755867,0.901065799292045,0.904641465876488,0.865480688746464,0.93474939822117,0.902693606577799,0.901141206197677,0.901080618900959,0.902743954245123,0,0.902117926750387,0.86893990501601,0.868156954142115,0.903286317217381,0.830103204109462,0.873219916596961,0,0,0.869235031335549,0.899620055321564,0.869151216036485,0,0.866074285168199,0.866040407380975,0,0.900010260613148,0.90046132118911,0.901771273115891,0.869151216036485,0.900883893545983,0.90045178690328,0.904304804016364,0.902109234143951,0.904185378241347,0.867983634960054,0.904638417430079,0.901745064878003,0.901609756552273,0.904641465876488,0.903832984110419,0.8644669908533,0.900731201487081,0.901828785044991,0.805133017546343,0.869439873825762,0.903442465553888,0.904514227272979,0.901162899844227,0.905116427785299,0.902058088634092,0.872808981240031,0.903365551723352,0,0.907938726520529,0.906477036623217,0.906080827715376,0.903283826403873,0.905769555393961,0.902407503550426,0,0.86559902387576,0.86559902387576,0.869499581620742,0.906080827715376,0.867748115319684,0.9039189991949,0,0.903614420404899,0.90095885918407,0.866761325910568,0.899849952131036,0.900652859192716,0.90064436432683,0.90064436432683,0.905190302226633,0.900602489067478,0.90058601142104,0.871104241865404,0.864742672358136,0.864735757191724,0.864722006288025,0.902455181433907,0.900602489067478,0.905842416659922,0.902431173478319,0.870027027734018,0,0.86589573297234,0,0.905684618807534,0,0.866962032498578,0.867894689927628,0.906080827715376,0.869648279809322,0,0,0.901674694646803,0.901192883075978,0,0,0,0.868173138001098,0.87123156339788,0.832134329698125,0.902338427686599,0.832713504628868,0.867865781839903,0.868218986884603,0.904805155463884,0,0.902511746868661,0,0.907542517612687,0,0.872928165014314,0
"Collagen degradation",0.798654908094508,0.79806066167663,0.805442188012391,0.754943952670341,0.749634747106127,0.752997150684638,0.85349010307534,0.803854465980102,0.802955460591397,0.854037769150403,0.800533025304107,0.853180226957005,0.758185851041703,0.803076310462608,0.802865131440336,0.754879153343264,0.755491687365931,0.805043444528242,0.754434476980095,0.755571825301397,0.755209453803276,0.805478464025426,0.804893404947164,0.756776387299737,0.801855432050542,0.754696047712202,0.804506636934762,0.752533211253576,0.754835327816887,0.804186198017949,0.753907342718984,0.802342958517354,0.751457968206169,0.75247401596555,0.70202592560484,0.752134843641589,0.803542658698832,0.803263821831612,0.80510530846482,0.904625919795598,0.804345738872101,0.753057508016625,0.805478464025426,0.803555131824403,0.803160903565632,0.756742572208049,0.751196659566363,0.805074316708241,0.759226996811754,0.752140738220488,0.754595645424589,0.804566410423196,0.751196659566363,0.804989151326395,0.806003786103532,0.748378474385118,0.757812303212127,0.915816396461505,0.805497531949783,0.752895415042506,0.751648909791471,0.751640569420761,0.805901980976853,0.854515517922773,0.804864512564835,0.752516831280877,0.805661542397978,0.808808373240963,0.805543931013217,0.805336366965405,0.804989151326395,0.753539853620547,0.753506353853196,0.753473272983189,0.753456886302404,0.804250540501636,0.757250925828506,0.751437405662775,0.75315481172369,0.750914524989295,0.758911576391535,0.805027199574015,0.855104306565528,0.806668015885221,0.753622685162593,0.753531137777083,0.806744091194067,0.756567033158867,0.80651736205084,0.754713551790118,0.75341414145397,0.80709326909185,0.803028448929093,0.76213327997181,0.750599830303683,0.752055501452529,0.75611211964619,0.750494935141287,0.755032842672887,0.756921155173757,0.750853933513847,0.750802744188441,0.751780067674565,0.802613481010973,0.803295033393607,0.855017406059483,0.755032842672887,0.852689700216918,0.751751681289008,0,0.805785029328959,0.70689119144648,0.754602394895049,0.758906970190008,0.754535115430904,0.854773354584725,0.755402700057525,0.754181084373634,0.751082948463694,0.802873530890082,0.728783761400076,0.659536653381513,0.75642163658185,0.807630771057467,0.758719318903281,0.854899480744464,0.809470361488081,0.75583738576931,0.756045754124918,0,0.755203579583553,0.761898187311874,0.75968957435549,0.759090902825433,0,0.758620570449664,0.805406422759093,0,0.750135813856538,0.750135813856538,0.704415468371003,0.811187434385301,0.757250925828506,0.859063945961176,0,0.808059365276561,0.752517867339302,0.80525769901814,0.750842309145146,0.752820651444398,0.752807815704825,0.752807815704825,0.809012559117889,0.752744542201651,0.752719644483277,0.761898187311874,0.751499503127263,0.751489054313077,0.75146827670209,0.752184589405444,0.751979392209782,0,0,0.758519252253063,0,0.75058414120435,0.756721632056749,0.811187434385301,0,0.754852955573007,0.757472400013131,0.760705316896335,0.704640151285275,0,0.753464529694525,0,0.804516794987179,0,0,0,0.757893134960999,0.758176246854993,0.755397824772302,0.754602394895049,0,0.756218520531924,0.808085593410486,0.760234984520565,0.757250925828506,0,0,0.813994718871742,0,0,0
"Cytosolic sulfonation of small molecules",0.608922203336537,0.60850343351448,0.620980621972262,0.537014563428603,0.61182574988676,0.616539553538158,0,0.618235731642949,0,0.620031873200122,0,0.618549334553075,0.541074644150432,0,0.534619436411928,0.537450562006247,0.621951362778413,0,0.536681795292606,0,0,0.536618171194912,0,0.540730543661512,0,0,0.620073803702722,0.532735928885998,0,0.618484824444463,0,0,0,0,0.618585559938254,0.621725491996918,0,0,0,0,0,0,0,0,0,0.53857947054168,0,0,0,0,0,0,0,0,0.626746497084804,0,0,0,0.621786885771739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533810566060778,0,0.627863745502091,0,0,0,0,0,0,0.622052333847454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54144984954532,0,0,0,0.626746497084804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538996286849471,0.620019577146877,0,0,0,0,0,0,0.625155709243683,0,0,0.447832820100368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627308713405217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621868342955963,0,0,0,0,0,0.622386455335255,0,0,0,0
"Scavenging by Class A Receptors",0.654249522052795,0.653357913179106,0.661584967084751,0.663587350948307,0.656769438128055,0.661141981613379,0.73528012027925,0.660806681056291,0.659457811028726,0.736101839885214,0.657067454007497,0.661078849248123,0.668355265557371,0.662322157583693,0.662752950778518,0.665210014501384,0.66431293535862,0.664777026215732,0.663298549732026,0.663188903330334,0.664461326976723,0.585512795926961,0.662365507789417,0.666812358077446,0.656203389094328,0.658758560723484,0.66392771957488,0.661118301286813,0.663899987371962,0.661304412670201,0.660691509326885,0.657833123398912,0.658260732621489,0.585048803968313,0.655871813234429,0.582859673522964,0.660338844599061,0.656804153406788,0.662683448379422,0.66202958415959,0.660299516987993,0.57720833692738,0.664487603150266,0.660940021711521,0.660348520604903,0.583969811002174,0.656624393262029,0.664240884512684,0.67048925897432,0.661381040875585,0.660120304254159,0.661874884353674,0.656624393262029,0.664695564554221,0.666006564762964,0.577223607303364,0.582689770490594,0.736419780475219,0.583612553092564,0.732909542500325,0.658643460027638,0.658630946113693,0.663173089970149,0.57845233557171,0.660718221338109,0.577725736458976,0.663518023221995,0.669318623265597,0.663341558793863,0.736766461251517,0.663091628308638,0.661480637075624,0.661430373937407,0.661380739313857,0.66135615269531,0.661983414702724,0.585150593386927,0.730721941428144,0.583076145028444,0.662581995191134,0.588886509013967,0.662566253596146,0.660849419675737,0.664322450742563,0.653443103734239,0.653305745798493,0.666040530579752,0.667170658183604,0.664802097258981,0.587852509157979,0.661499519461006,0.586712489180251,0.576114973527469,0.747341914700306,0.57740241846134,0.576949194863348,0.738307750059659,0.575840111264492,0.588331574030396,0.581068743793451,0.58265711929766,0.582580314700447,0.577531363565815,0.58798185695347,0.580307918520285,0.737571689656034,0.588331574030396,0.734661656147385,0.580970884468401,0.666538377499682,0.664408991257035,0,0.662978638618264,0.587217279373628,0.582320055585801,0.737205514187433,0,0,0.653308521341304,0.575871746683296,0.737702075401723,0.664350090990473,0.666280089176029,0.667551745881246,0.588598045377665,0.662636948267101,0.669815247710989,0.583029714199143,0.587344057129233,0.58757670355272,0.57917324968771,0,0,0,0.584146275430306,0,0.582577604301935,0.581707335147442,0.58055405371676,0.58055405371676,0.589037882635023,0.596151404038247,0.584732546098819,0.668885322728737,0.58091624748708,0.666455145610257,0.582120472014554,0.663226634820988,0.652947465480771,0.581426737033349,0.58140747825625,0.58140747825625,0.592888215520402,0.581312542527229,0.581275185925711,0.678163662434248,0.653933521043853,0.653917843615825,0.653886668834164,0.582267647917536,0.581312542527229,0.670024311187649,0.662290655006803,0.589880694380265,0.663788229152562,0,0.58560071082817,0,0.585587909477255,0.582796943763142,0.585482893830588,0,0.588476749141475,0.583349221269337,0.580713745957534,0.587060473512507,0.659311170283667,0.58195214844585,0.581177784097011,0.578298220600516,0.586114165642591,0,0,0.5824210018691,0,0.584845840985469,0,0,0,0.581152706283087,0.581844102772458,0,0.674849853799967,0.583612553092564,0.588359589912662
"Antimicrobial peptides",0.293653123197939,0.292573653633546,0.291589290295185,0.23406270761957,0.184105218716911,0.0226399136681102,0.293751058764884,0.288103874766147,0.1930199721759,0.232583423887202,0.286825130176048,0.196488998110004,0.238328777566836,0.196487832376939,0.192855886089029,0.195830649558613,0.198898064128685,0.00343756196640737,0.0529016255681857,0.00151482390278788,0.0908213778762377,0.194956027188294,0.319748193913253,0.199277041915267,0.192528168880606,0.197452756652552,0.000902870330113951,0.143279068937869,0,0.0033867807873383,0.196020046231675,0.279943101691813,0.129579755583931,0.194394272799947,0.206766720533304,0.1941663544027,0.380058267841295,0.290279281001275,0.320133124122365,0.295426719182083,0.197051899001639,0.186340851675993,0.291655186951539,0.19410929610819,0.193393166580164,0,0.222437457140391,0.200317269598047,0,0,0.293969532121315,0.197452756652552,0.222437457140391,0.00598600610919541,0,0.188849214565365,0.00973823798246083,0,0.198725242339351,0.129221192309385,0.228130270482146,0.228115119904765,0.235503045732607,0.233451271372157,0.196487832376939,0.285555038873252,0.235920655918085,0.202746819479383,0.235707010692036,0.0054761032221646,0.198543533406361,0.231565236600667,0.231504383092456,0.231444290526036,0.231414523542782,0.197201820808234,0.19794027582527,0.131048840322622,0.000936868172129783,0.00342711076055945,0.0588356524059755,0.196078172681652,0.195830649558613,0.293397120447898,0.19399651842316,0.19383021937047,0.23703276862533,0.00482909137906817,0.237475282483899,0.0956022072022749,0.196617724421511,0.00645595415757376,-0.00437625554636038,0.247698203413765,0.186393226649073,-0.00336626499038718,0.236760553445183,0.19758545115984,0.00841617782680353,0.00396592917783306,0,0,0.188537169434921,0.00314791563400504,0.192077256419506,0.234362968863313,0.20028504713239,0.234993302515276,0.127466226094166,0.0579115882630349,0.236144974280946,0.239901658449917,0.00541376370348282,0.199442101457515,0.00113804120409676,0,0,0,0.126251449345129,0.291076741072369,0,0.241786732516349,0.23732280186883,0,0.204761170585572,0.0027884559876304,0,0.196932092203577,0.195751038945163,0,0.192714761881788,0,0,0,0.210117207572748,0,0.233515338825698,0,0.192041483658847,0.192041483658847,0.0033389364514967,0.337289907342889,0.19794027582527,0,0.1871297296429,0,0.128858030061462,0,0.125814319540802,0.225504011023096,0.225480694449721,0.225480694449721,0.147126281253235,0.225365755900906,0.225320528317873,0,0.127008135574444,0.126989154935171,0.126951411672432,0.193449589864728,0.18836434919301,0,0,0.200244235482129,0.192602858784624,-0.000519420540123304,0.00510992572645543,0,0.00509442714955321,0.00171540902562671,0.198342591488283,0.245104258153554,0.00374708088501574,0.00590173528611502,-0.000806715522617129,0.191307322089767,0.200466474953915,0,0,-0.000213503864838043,0.199106871351377,0.0141262823239988,0.194574052437574,0.00126025672221842,0.0119985847782379,0.00419600590766545,0,0.244249882814441,0.19794027582527,0.0073959247736227,0.00407949051474628,0,0,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.654779292961463,0.653651267376786,0.574375148605341,0.574879247566769,0.564679315616265,0.570649044867558,0.572293818966097,0.572935461351619,0.569654729485249,0,0.565056352618219,0.571705598020971,0.576626586713685,0.574852777729162,0,0,0.575797226069259,0.576384374061933,0,0.574375148605341,0.575984964826365,0.572869810444835,0.573333423624946,0,0.567566605265015,0.574286906682237,0.575309867461126,0.570181312121797,0.575274781858757,0.570854545724771,0.571215552044515,0.569628475717459,0.658279906847621,0.575431185451814,0.571745373449171,0.575193014972726,0.57076937564639,0.661953943753394,0.573735668522362,0.574044852885144,0.57115739343217,0.571176556089433,0.5744440093836,0.573559191179175,0.572810849163612,0.576597513644746,0.566070009966153,0.575706070406713,0,0.573224343535454,0.572522119553491,0.572712707743474,0.566070009966153,0.576281312236208,0,0.566488305021506,0.580202324641096,0.573735668522362,0.575616630519009,0.572443062770572,0.567050248332791,0.567034416261677,0,0,0.573278578790399,0.568697776388638,0,0.584159441127009,0,0,0,0.570639723934513,0.570576133152111,0.570513337539704,0.570482231596752,0,0.577562493613807,0.566964778563544,0.567757831627483,0,0.58228901499987,0.574042431580244,0.571754542681324,0,0.663963269993294,0.663789490581322,0.575272281513971,0.577838496374492,0,0.580980842407015,0.667894320969099,0.579538537670186,0.564615649544211,0.67970553004718,0.571435747560638,0.565671070859457,0.668275889594333,0.566312163677441,0.581586934886299,0.57693650795459,0.472354766420804,0.472257596514545,0.473269361156448,0.667795567974159,0.663149616494222,0,0.581586934886299,0,0.570271975327401,0,0,0.480574075732465,0.571398506171444,0,0.573981417704529,0,0.58228901499987,0.579970088533319,0.56742835731673,0.66121307573254,0,0,0.575575360850218,0,0.581924063089229,0.572102639621339,0,0.574879247566769,0.575274781858757,0.577055177436059,0.573676127830998,0.59174637729977,0.58755388770876,0.586417462174833,0.576820768925836,0.585524655862152,0.574307257374449,0,0.571398365692182,0.571398365692182,0,0,0.573959062828433,0,0.572205379468412,0,0.566548754820303,0,0.566971564814773,0.56927450164483,0.569250136260032,0.569250136260032,0,0.569130027617783,0.569082765636086,0,0.568219080329584,0.568199245915145,0.568159804908726,0,0.56552659683241,0,0,0.579970088533319,0,0,0.5745285322503,0.58207712475769,0.578115767311541,0.570981325536508,0.574379475201291,0,0.668421684499241,0.578959389274402,0.568345752369829,0.569494754995719,0,0,0,0.572569078286271,0,0,0.574044852885144,0.574109130644137,0.575706070406713,0.573573503065648,0,0,0.575988294675041,0.576180452035515,0.577055177436059,0.587406039882628,0,0.575616630519009,0
"Phase II - Conjugation of compounds",0.742350511086139,0.742155604451452,0.747481105225947,0.748176501105659,0.743701899025181,0.746865091309845,0.669796399294866,0.746685275349603,0.700920926975968,0.747039532264855,0.698971737960051,0.746831234500959,0.750066170867831,0.70245702709677,0.747061745166044,0.748379426462313,0.748414629095286,0.703773531203332,0.748021621947462,0.744950374445159,0.703604227095092,0.747992009596922,0.664156608643904,0.749906017330596,0.698310152145813,0.702196513859405,0.747540763067709,0.701301411332365,0.703303190255402,0.746801209777326,0.662440599951013,0.700889150117483,0.659226659248296,0.704142635346136,0.746848094760566,0.748309502814507,0,0,0,0,0,0.699173079506792,0,0,0,0.748904850578193,0.705659644803244,0,0.70683690403973,0.66434449245548,0,0,0.705659644803244,0,0.750164697154071,0.700225356123078,0,0,0.748338077113348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704655435470901,0.620295769944356,0.746685275349603,0,0.751166409569811,0,0,0,0,0,0,0.748461623721524,0,0,0,0,0.62386587439071,0,0,0.624313253040683,0,0.619537420196914,0,0,0.661852844857869,0.661811655864571,0,0,0,0,0,0,0,0.668923626174069,0,0.705821178766015,0,0.750646412383639,0,0,0,0,0.620010559403258,0.661955542693649,0,0,0,0,0,0,0,0.70351804419717,0.701577542702033,0.749098847995283,0.746366527969936,0,0,0,0.703958513013201,0,0,0.749424302101027,0,0,0.709398672804831,0,0,0,0,0,0.707390023184071,0,0.619816931313801,0,0,0,0,0,0,0,0.620345736065776,0.620337328528969,0.620320610026177,0,0,0.668979730655782,0.664832302973528,0,0.708834206214968,0,0,0.667641406285863,0.747124574493709,0,0.702725479453739,0,0,0,0,0.708260343960406,0,0,0,0,0,0,0,0,0.747226992843943,0,0.66676752544614,0,0,0,0.748617132765715,0,0,0,0.705846006205204
"IL-6-type cytokine receptor ligand interactions",0.649606152378185,0.648485956946132,0.54223382482513,0.653338257454137,0.643209127996956,0.650265955641645,0.539038405594028,0.649844692278865,0.749334618318511,0.541199330944543,0.652127649126976,0.646608220003959,0.546575874801849,0.651748699667614,0.66028965082289,0.663376645176399,0.648771319884444,0.654832936163067,0.662538399600527,0.648527448571905,0.663999284296095,0.543592625979123,0.650239892110112,0.657390076991836,0.652947551739962,0.660749741478493,0,0.648672932574077,0.653731046157801,0.539280628557849,0.648136721665842,0.560841369545525,0.533893352210193,0.662430465398504,0.645291981190523,0.542460445390385,0.647693642386561,0.643797131542261,0.650639344837757,0.541905821841849,0.658770488715408,0.648097996399906,0.542302207608554,0.647717155087469,0.646350060940215,0.543855194780907,0.533986336033598,0.650580923241754,0.662009644730937,0.651694840884914,0.540555539810946,0.649623484907587,0.533986336033598,0.543541188274083,0,0.535379430586415,0.657061112874993,0.652202616526185,0.649760312779561,0.649355711666429,0.641253393854518,0.641237671681206,0.54422910330907,0.540650044797096,0.630772231439165,0.643621277066903,0.544662468952328,0,0.544440763390454,0.540584469369296,0.54412675688363,0.644817953228998,0.644754803859928,0.644692444141207,0.644661554119138,0.54273442460014,0.656002877836684,0.535417862087881,0,0.64620167244317,0.549507188765918,0.542881120423238,0,0.545673131879256,0.563444101820417,0.563271528692537,0,0.545087563269709,0.545690179341113,0.572114934153789,0,0.655273396486255,0,0.556298787221887,0.56263609627044,0,0.544948485243627,0.639352097742337,0.55068596909856,0.651802819747722,0,0,0.540089780787743,0,0.53872925892689,0,0.549395550727991,0,0.647199694755586,0.546984990150794,0,0,0,0.665109202727658,0.652446659848458,0,0.660696590229462,0.658393760514974,0.534749685851015,0.643685352955757,0,0,0,0,0.656023962513326,0,0,0.544024842970708,0.543127213303804,0.651188874070336,0.647833280027356,0.670088304558931,0.665924916997005,0.664796379923674,0.543533931878997,0.66390977099675,0.541580836249445,0,0,0,0.541977916585655,0,0.544674317353001,0,0.538629241576711,0,0.53745460677517,0,0.534296064159238,0.537168583838318,0.537144387585039,0.537144387585039,0,0.537025112672994,0.536978178758794,0,0.535534920085992,0.535515223351491,0.535476056123524,0.743983280580935,0.536439544063447,0,0,0.547789927660977,0,0,0.544514685958389,0,0,0,0,0,0,0,0,0,0,0.540455946349012,0.539483054050706,0,0.547900071806245,0,0.541905821841849,0.543260071789453,0,0.543566286077521,0,0.662346499308322,0.54481347637314,0.650320220547489,0.651188874070336,0,0.555755818758103,0.544757107403354,0.549084388609607
