"","PACRG","MLYCD","SMARCC2","MC3R","PCDH15","PFKP","DCAF6","KLF5","WDR45","OR2M3","GLI2","APP","APC","DMD","PAX3","FUT8","COL5A1","BCAS3","STRADB","DNAH5","NEFH","TP53","PLXNA4","WRN","G6PD","CIC","MINPP1","EIF6","ACIN1","CD300LB","CACNA1F","GAK","GAA","TRIM17","AKAP11","MYO3A","TGFBR3","ERBB4","DDX47","RAB11FIP3","SNIP1","MTMR8","SCN7A","LAMA4","CYP2C8","KCNQ2","TUBGCP2"
"Activation of Matrix Metalloproteinases",0,0.682673494063516,0.685004541123215,0,0,0,0,0.689358638297579,0,0,0.682022772492589,0.720051139636772,0.727997538095565,0.727746983180937,0,0,0.729259444143818,0,0,0,0,0.677552463153431,0.731923143271192,0.680336429382548,0.68160394517625,0,0,0,0,0,0,0.677409398058193,0,0.730076901027459,0,0,0,0.729689009176123,0,0,0.733257323094544,0,0,0.73022314671672,0,0,0
"Phase 4 - resting membrane potential",0,0,0,0.729132246437919,0,0,0,0,0,0.741402365195754,0,0.720911581370266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729288134281903,0,0,0,0,0,0,0,0,0,0.633444854823459,0,0,0,0,0.851295397384495,0
"Ethanol oxidation",0,0.735808770084622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611699712200612,0,0,0.622870310297939,0,0.615026214534039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840162477236636,0,0
"Neuronal System",0,0.783994252894338,0.764807312358623,0.782435115484902,0,0.764225872571736,0.748970024253556,0.745741279302361,0,0.765639485727476,0.763778172228315,0.782962219330277,0.782368771066774,0.764811327333609,0.747307076543573,0,0.746487373162557,0,0.782522618898071,0.764160432286398,0.765965014423235,0.799486012749863,0.748678915632843,0.782703401930907,0.780780857177307,0,0.764753946621818,0.764495967964683,0.749421658567505,0.728286202011731,0.799240220964221,0.782167689997177,0.747792446420748,0.764313875594573,0.763850108847405,0.765091099285608,0.765639485727476,0.784526501580475,0.763761988535945,0.76520760256783,0.748994809116721,0.76526955014001,0.764482123616688,0.765387888803504,0.745909648334912,0.783145546665584,0.761618908913177
"GPCR ligand binding",0,0,0.846241192006441,0.882720108585948,0,0.865262617010964,0,0.848350646662624,0,0.866350752994858,0.864852814384739,0.881457343065997,0.865003359022978,0.865487058435678,0.847326969297055,0,0.845312288585773,0,0.865533997329347,0.826743707876438,0.866609145823526,0.863685826704322,0.865181043804524,0.847062997228448,0.847571062534635,0,0.865389830766132,0.845072583317827,0,0.848423050709939,0.882752044570646,0.864002847427963,0,0.863470690884243,0.867095927960726,0.8667508010563,0.865380453794519,0.866057559189313,0.844341965887355,0.865579386651277,0.846490869740137,0.865841547794251,0.865380922784701,0.845700189108146,0.846922394531984,0.865560997552481,0.864931146358752
"Inwardly rectifying K+ channels",0,0,0.7417768641878,0.881020303198259,0,0.808450901731728,0,0,0,0.811034863674282,0.803312857980065,0.875710004613333,0.802883569282077,0.804215499248885,0,0,0,0,0.808373881510239,0,0.813545888497271,0.797940180027852,0.729756786326687,0,0,0,0.806703563966479,0,0,0,0.881121001984854,0.801994410706736,0,0.806372575302126,0.816014797672673,0,0,0.805721723551485,0,0.809235256682025,0,0.808594477730951,0.807733102559166,0,0.729052108015588,0.88665567262335,0.803582429113044
"Extracellular matrix organization",0.72832338668056,0.763676602304909,0.744267299197626,0.74380868629383,0,0.744255886049548,0.744847988962783,0.746253287543435,0,0.763571928722583,0.76173847098424,0.794767831465899,0.760107944804158,0.777137146417133,0.744643561897202,0.745817283703764,0.780805499829074,0,0.763588697643153,0.743464602011446,0.744684977755575,0.74026637020427,0.762053500892284,0.742651897908394,0.744233239447163,0,0.742712299296189,0.742211058501388,0.761351378579351,0.745575645698998,0.761452960280034,0.780020158064391,0,0.761937285044543,0.744662256122282,0.745845151729281,0.763571928722583,0.761521388264341,0.743312187934507,0.745146363069334,0.7637422367482,0.744775364634811,0.745065549085249,0.779681659172596,0.743860436979987,0.745101076959947,0.761746038788533
"Signaling by GPCR",0.866990132935116,0.867441535821961,0.865915902039726,0.890491436139192,0,0.877239873740664,0.866240990132771,0.86780896784206,0,0.87735743793294,0.877609229435543,0.890924023842798,0.877713799716627,0.878596988425121,0.867117884199423,0,0.879205006028878,0,0.876690911640586,0.878860411349003,0.879243881801726,0.878558504005412,0.877997426515404,0.866649560460924,0.878740454905225,0,0.877942491206141,0.8664329710545,0.867408664712737,0.868020029020113,0.889800842508106,0.877499361637689,0.867090975202189,0.876977867669172,0.877957142176794,0.878631669180617,0.877159762472579,0.880348627201266,0.865411335985353,0.878145234732858,0.867161215972048,0.878231261572202,0.877712930299615,0.879265382798397,0.889902739002469,0.878778511151493,0.878552330630372
"Potassium Channels",0,0,0.828893649093936,0.913600069740052,0,0.869453686324464,0.830186261495852,0,0,0.871025596418003,0.866328043217547,0.910369638282111,0.866066892607588,0.866877149958608,0,0,0,0,0.868633174463573,0,0.872553136432961,0.863059664313302,0.818076280780478,0,0,0,0.868390722576902,0,0,0,0.913661328165128,0.865525987837933,0,0.868189371150716,0.873281398201628,0,0,0.867793436357954,0,0.869930835559128,0.831420672202731,0.869541028385759,0.868243367290205,0,0.821152756190094,0.919695566450894,0.865718374418796
"Class B/2 (Secretin family receptors)",0,0,0,0.898044614120128,0,0.856038563799313,0,0.814963889807922,0,0.857530357707776,0.853072226623865,0.894978829384429,0.85359578787909,0.854364748512085,0,0,0.764754133212346,0,0.85649139397365,0.766515569132018,0.859089736662265,0.850080122221542,0.856184105229976,0.806955979541757,0,0,0.854925726303578,0.80786691840235,0,0,0.898102750361981,0.852311049929043,0,0.854734637237937,0.860798659533522,0.859432078990212,0.815518806944929,0.854462932472341,0.806101213972758,0.856601087670302,0,0.856121454262024,0.856121454262024,0.809467621785171,0.811512191273959,0.856828197762087,0.853725153735701
"Signaling Pathways",0.751043615088569,0.756120427248518,0.751463409507104,0.756005695767173,0,0.751429935867432,0.750791837580067,0.751344509688609,0,0.750740127336026,0.7569064048199,0.760489253533061,0.759799403445881,0.750895000077181,0.75645809515232,0.746903584135899,0.7558274796702,0.746851863444386,0.756448542675125,0.751027109817432,0.751176193890891,0.764437322931581,0.751127404544252,0.751080817795816,0.751096686602579,0,0.75106993147681,0.751124638103591,0.751069312597718,0.746586699765705,0.755728828969606,0.755654438702046,0.751046371295235,0.750969440945342,0.750977234999135,0.751249859159319,0.756708171754118,0.761514327212429,0.750667971185867,0.751182096963409,0.751215290464925,0.751288388279259,0.756035408528896,0.756058230217575,0.760363435542619,0.755796682276445,0.751191068267769
