"","TP53","KIT","KRAS","COL3A1","APC","SPTBN1","ARHGEF18","PCOLCE2"
"Phase II - Conjugation of compounds",0.82467817214779,0.825806255878127,0,0,0.790634436484337,0,0.806670538767974,0
"Glucuronidation",0.848931466248843,0.851926119753995,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.741679245183772,0.74626061049921,0,0,0,0,0,0
"Ethanol oxidation",0.769219906691595,0.769470793769459,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.90311487460909,0.902497544974823,0.902022050457712,0.929238229864467,0.905098739015806,0.905175866170229,0.875175879739531,0.845179341874063
"Glutathione conjugation",0.764022756964489,0.710552310483994,0,0,0,0,0.713349189015895,0
"Heme degradation",0.617071576763989,0,0,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.765904474024146,0.67957348101116,0.674610383588779,0,0,0,0,0
"Aspirin ADME",0.730763341141073,0.733682065621188,0.684023508358774,0.686249797913763,0,0,0,0
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.386601593022502,0.338235080610158,0.33868917398382,0.367000755537941,0.371632908375604,0.367526138940568,0.368435879081776,0.370095478549269
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.726227703929761,0.729413987091103,0.72865724909237,0.730859979751675,0.729660621932997,0.775241639012382,0,0
"Collagen chain trimerization",0.80317012503616,0.808993469983934,0.807907444434597,0.881919798370193,0.736628220135406,0.809523583482863,0,0.887928170552842
"Blood group systems biosynthesis",0,0,0,0.525362088720289,0.52847041782879,0,0,0
