"","TP53","HLA-G","DMD","ITGAL","CDRT1","CUL7","APC","OR2T6","APBA1","MOS","TRPC6","CACNA1E"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.795001068652237,0.79438052014615,0.779521038701692,0.766703080327216,0.77963811526588,0.779606300162569,0.780306898902128,0.781808629434328,0.781009886943374,0,0.781585267087271,0.766133333616243
"Phase II - Conjugation of compounds",0.786045509455104,0,0,0,0.746925712369523,0.746880953211663,0.75143370402079,0,0,0,0,0
"Activation of the phototransduction cascade",0.669276354314238,0.674549089144627,0.676492005232047,0.679453689386919,0.671621168692465,0.669697395900168,0.777877309796777,0.78603180753777,0.679282049685576,0.684007563163615,0.682920701253377,0.784206447775014
"Glucuronidation",0.892540588625961,0,0,0,0,0,0,0,0,0,0,0
"Complement cascade",0.75639076365208,0.755492884573029,0.752569366948187,0.754697638769029,0.751999035086848,0.751929715415491,0.750273397269213,0.755044409052696,0.752658206785203,0.693578054749072,0.693203589150141,0.753388963299531
"Glucagon-type ligand receptors",0.851352390044254,0.857833686835055,0.858800930247244,0.860275347751083,0.852519710792088,0.851561997501253,0.858038495259045,0.903446979995957,0.856121603023181,0.861843093021732,0.858144965789521,0.855732200065001
"Inwardly rectifying K+ channels",0.859859052218046,0.866907861063251,0.867959797757305,0.869563317466099,0.861128585318922,0.860087013217922,0.867130602819598,0.916515122490889,0.865045864628526,0.871268336860743,0.867246396069189,0.864622364964095
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.808220642151025,0.819282463500714,0.820933286503061,0.823449718561145,0.816794719195766,0.81662377065229,0.818438477509279,0.89713202299519,0.816722106614897,0.826125435885236,0.819813732519146,0.815695793738565
"Classical antibody-mediated complement activation",0,0.578291717569915,0,0,0,0,0,0,0,0,0,0
"Initial triggering of complement",0.593115158770769,0.595489596747062,0.599118487251208,0.518197594655954,0,0,0,0.522257304815309,0.600271058691538,0,0,0
"Regulation of Complement cascade",0.540043239418636,0.712502873225547,0.544474044409732,0.585770205007556,0.582201662093762,0.582109996087508,0.582938260788471,0.586228762389164,0.539392035298344,0.504947718960915,0.504452538224169,0.584039656500576
"Class A/1 (Rhodopsin-like receptors)",0.92370713090085,0.924775009459333,0.925279685082151,0.925514406321418,0.924333608511689,0.924303277078937,0.924837030645417,0.925877908495198,0.925406067184998,0.925828813184169,0.926248848200581,0.925518201535458
"Cytosolic sulfonation of small molecules",0.6447723450729,0,0,0,0,0,0,0,0,0,0,0
"Ligand-dependent caspase activation",0.725208481440823,0.62084664718717,0.634851090143644,0.638370930654622,0.616585436853018,0.616346323857026,0.211679379832529,0,0.516279213499578,0.520273243023121,0.517108065404619,0.218254471791883
"ADP signalling through P2Y purinoceptor 12",0.800372675799039,0.809228043489072,0.810851136496264,0.813325298335992,0.802331510689082,0.800204106265006,0.809571724424607,0.887790551793512,0.807903924174741,0.815914686786238,0.811415397692837,0.807722262188488
"Activation of G protein gated Potassium channels",0.827273510737395,0.836430052710748,0.837796539262439,0.839879543049477,0.82892265932122,0.827569636580709,0.836719398653587,0.90087086553749,0.834011282549261,0.842094396934056,0.836869816372864,0.833461148116876
"G protein gated Potassium channels",0.827273510737395,0.836430052710748,0.837796539262439,0.839879543049477,0.82892265932122,0.827569636580709,0.836719398653587,0.90087086553749,0.834011282549261,0.842094396934056,0.836869816372864,0.833461148116876
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.827273510737395,0.836430052710748,0.837796539262439,0.839879543049477,0.82892265932122,0.827569636580709,0.836719398653587,0.90087086553749,0.834011282549261,0.842094396934056,0.836869816372864,0.833461148116876
"Peptide ligand-binding receptors",0.909939836567252,0.910012922242826,0.910546886397985,0.910795229536738,0.909545904868816,0.909513813170443,0.910078542789434,0.911179827330538,0.911842255330798,0.911127882804013,0.91157229428841,0.910799245003637
"Chemokine receptors bind chemokines",0.873184820222433,0.875422091120456,0.87624648865978,0.877503159056069,0.874179746980259,0.874094377707846,0.875596652723711,0.879573591566996,0.873281937841995,0.879435410459107,0.878543961919689,0
"Metabolism of Angiotensinogen to Angiotensins",0.642710718845006,0.712738124431012,0.714168159087266,0.716348032428049,0.653442939984174,0.653294854852541,0.64764597079152,0.719939491769965,0.716221701330737,0.719699797006584,0.718899839556921,0
"Potassium Channels",0.912131671311324,0.915962884722105,0.916534640043899,0.917406195273682,0.912821696015968,0.912255574123706,0.916083950738051,0.942925738933003,0.914950840578448,0.918332918258213,0.916146887421462,0.914720657347571
"Activation of kainate receptors upon glutamate binding",0.751811293605733,0.760650029887759,0.761969088359667,0.763979795152872,0.753403203462612,0.751546686004323,0.760929333197946,0.822854227939003,0.758181384483362,0.765429311567219,0.761074530211917,0.763021372071976
"Prostacyclin signalling through prostacyclin receptor",0.741453765850392,0.755159766911086,0.757205196963328,0.760323148281375,0.743922299528819,0.74189702282823,0.755592875371791,0.851618217221875,0.751987391125631,0.763638459867304,0.755818028647553,0.750715751950949
"GABA receptor activation",0.538388565665791,0.543240503894199,0.54412981163223,0.545485427890485,0.539461829500655,0.538296204851994,0.543064151939159,0.586285632081347,0.541845669222516,0.546647551631388,0.544438975584115,0.542415472330105
"Creation of C4 and C2 activators",0,0.562365040882012,0,0,0,0,0,0,0,0,0,0
"FGFR2 ligand binding and activation",0.818793956779772,0.823048134215134,0.824615728650239,0.827005291241119,0.820685813043901,0.820523483112067,0.817725123845935,0,0,0.825013287196242,0,0.825892238069489
