"","TP53","APC","OR1N2","OR5M3","QRFPR","RPS6KA4","CHUK","LAMB1","LRP2","SOX9","SCN10A","DLG2","DLGAP4","EXOSC8","MYT1","MYO10","CALN1","GREB1","LCOR"
"Phase II - Conjugation of compounds",0.798459673832014,0.765253958569497,0,0,0,0.780674125457527,0.799327703130105,0,0,0,0,0,0,0,0,0,0,0,0
"GABA receptor activation",0.594409260816298,0.595602179049881,0.631430358289039,0.631430358289039,0.627666795415568,0.597548187652395,0.595855420420973,0.599311118420305,0.595349923198854,0.599486584001954,0.598517581721178,0.597557743873212,0.598321431230111,0.594530022104278,0.599815433951076,0.598333601944066,0.565690628040744,0.603691393662267,0.602845496565572
"Cytosolic sulfonation of small molecules",0.728156316096292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.857068806659601,0.863497789927035,0.907160038604685,0.907160038604685,0.902184034753298,0.862566423926084,0.859167815226921,0.86469350711213,0.859456203168844,0.866039790666225,0.862500633184811,0.862077140046351,0.863086851151744,0.859546282783856,0.865658427746755,0.816320719262863,0.820588551117891,0.82760603970432,0.826487634790533
"Adrenaline,noradrenaline inhibits insulin secretion",0.849111620641353,0.850984197619019,0.906353114723936,0.906353114723936,0.900299978039052,0.851979305688625,0.851664992009261,0.854694047059492,0.849967154383265,0.855466289016,0.855719249852997,0.855566760418007,0.853102280948781,0.847755694477382,0.855619948286478,0.855423345473144,0.860615015403098,0.807667476141912,0.806306975223025
"Interaction between L1 and Ankyrins",0.886846510249053,0.85317484035015,0.856465236821343,0.856465236821343,0.799955909094041,0,0.850080335961718,0.852016668482311,0,0.85866932109379,0.908449017268886,0.85191009124116,0.801398105678051,0,0,0.852820288820626,0,0,0
"Blood group systems biosynthesis",0,0.503435644884821,0,0,0,0,0,0,0.503609173011566,0,0,0,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.833038141736247,0.799032587007328,0.801597045127714,0.801597045127714,0.795473928329223,0.740840228012825,0.792856784213906,0.740455870965363,0.796152070672541,0.801373091599149,0.854601974833783,0.793656867366573,0.74548190025921,0,0,0.795062330543328,0.749538436522327,0,0
"ADP signalling through P2Y purinoceptor 1",0.759439407399692,0.763286170559877,0.833087834889556,0.833087834889556,0.825771687040767,0.767368713264972,0.762525549909431,0.770649896273785,0.762949562607959,0.772629317878415,0.767425744857275,0.76654435466717,0.768028918576733,0.762782390490452,0.771768990492646,0.706188421070834,0.712463353682963,0.713124597559043,0.71148022268546
"Potassium Channels",0.911261762385912,0.912914363684431,0.941685633785343,0.941685633785343,0.938663362314287,0.916853010894761,0.912536635537134,0.915892770588729,0.914963958606212,0.91599734116327,0.914560886509035,0.914484750037484,0.915098017462304,0.912642735355874,0.916478833661218,0.892536700668672,0.891010416354897,0.89209810843955,0.891418823743441
"Glucuronidation",0.880171371639282,0,0,0,0,0.84028439656327,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signal amplification",0.779866510555609,0.78325119731972,0.844668227568651,0.844668227568651,0.838230901495559,0.786592940123883,0.782459873820529,0.78973038616513,0.782955022995461,0.791208413091227,0.786629897597206,0.78590922358932,0.78721546044507,0.782249425583003,0.790365329752826,0.733328674686968,0.73853325955361,0.740005715989869,0.738558864796258
"Inwardly rectifying K+ channels",0.853528389199927,0.856829419475618,0.914299320871855,0.914299320871855,0.908262408256422,0.860198125804252,0.856074916831015,0.862778713702379,0.856424790516151,0.863836834027616,0.860118308149798,0.859966227428392,0.861191213962192,0.856286848598359,0.863949360214324,0.807899070869023,0.813076825697123,0.815249463770981,0.813892609368362
"Ethanol oxidation",0.74844675246106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.838163312244609,0.841546381100942,0.850066438967311,0.850066438967311,0.841848626287838,0.847242563432648,0.841629800562145,0.844631588529227,0.842106069905281,0.772521682726288,0,0,0,0.841144340987608,0.85234897190044,0,0,0,0
"GABA B receptor activation",0.858905410937544,0.860629145733033,0.91239990208076,0.91239990208076,0.906961654850244,0.863441075877149,0.860995072710021,0.865988463469304,0.860264642806059,0.866242006520273,0.864841824260282,0.863454884359466,0.864558392070979,0.859079907753989,0.866717185861018,0.864575978425634,0.817407758206195,0.872317843502096,0.871095544925438
"Activation of GABAB receptors",0.858905410937544,0.860629145733033,0.91239990208076,0.91239990208076,0.906961654850244,0.863441075877149,0.860995072710021,0.865988463469304,0.860264642806059,0.866242006520273,0.864841824260282,0.863454884359466,0.864558392070979,0.859079907753989,0.866717185861018,0.864575978425634,0.817407758206195,0.872317843502096,0.871095544925438
"Lewis blood group biosynthesis",0,0.439434841230365,0,0,0,0,0,0,0.439635537616712,0,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.83727418578538,0.841040472044515,0.906610334137702,0.906610334137702,0.899722563008021,0.844883972799424,0.8401796277912,0.847828275616874,0.840578813603721,0.849279115007545,0.844792905432542,0.844619390049927,0.84601702944265,0.840421429785291,0.84916391616059,0.785213750015088,0.791121271374662,0.793600126835002,0.792052033765435
"G protein gated Potassium channels",0.83727418578538,0.841040472044515,0.906610334137702,0.906610334137702,0.899722563008021,0.844883972799424,0.8401796277912,0.847828275616874,0.840578813603721,0.849279115007545,0.844792905432542,0.844619390049927,0.84601702944265,0.840421429785291,0.84916391616059,0.785213750015088,0.791121271374662,0.793600126835002,0.792052033765435
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.83727418578538,0.841040472044515,0.906610334137702,0.906610334137702,0.899722563008021,0.844883972799424,0.8401796277912,0.847828275616874,0.840578813603721,0.849279115007545,0.844792905432542,0.844619390049927,0.84601702944265,0.840421429785291,0.84916391616059,0.785213750015088,0.791121271374662,0.793600126835002,0.792052033765435
"ADP signalling through P2Y purinoceptor 12",0.805868333545278,0.810486081878612,0.890879631536004,0.890879631536004,0.882434709544925,0.814852659877889,0.809430622510285,0.818808436175827,0.809920054139649,0.820747412382697,0.81474100448244,0.814874102734579,0.81658771304784,0.809268297967878,0.81994005147214,0.742106172137154,0.748702012486511,0.752388496665444,0.750490418903962
"G beta:gamma signalling through BTK",0.763164883120328,0.768646427955054,0.864078403684131,0.864078403684131,0.854053773674371,0.774240352649235,0.767393534243425,0.778525562744911,0.767974519006178,0.781237778193512,0.774107810983468,0.773855272465713,0.775889430909036,0.768155992903483,0.780469486552005,0.695574459830507,0.689671960809752,0.693279747475383,0.691026615083075
"Prostacyclin signalling through prostacyclin receptor",0.763164883120328,0.768646427955054,0.864078403684131,0.864078403684131,0.854053773674371,0.774240352649235,0.767393534243425,0.778525562744911,0.767974519006178,0.781027091495207,0.774107810983468,0.773644585767407,0.77567874421073,0.768155992903483,0.780469486552005,0.681082621406483,0.68968057200465,0.703868998692017,0.701615866299709
"Insulin processing",0.597340366704038,0.684159186002699,0.522228983164715,0.522228983164715,0.686224474741463,0.69264992874338,0.60146977359821,0.686511535995208,0.602037122952621,0.605527137773662,0.690242653468225,0.609532783044992,0.611519200854163,0.51292351697054,0,0.689013845689733,0,0,0
"G beta:gamma signalling through PLC beta",0.763164883120328,0.768646427955054,0.864078403684131,0.864078403684131,0.854053773674371,0.774240352649235,0.767393534243425,0.778525562744911,0.767974519006178,0.781237778193512,0.774107810983468,0.77325464403434,0.775288802477663,0.768155992903483,0.780469486552005,0.687963079772733,0.689663365735136,0.693271152400767,0.691018020008459
"Nucleotide catabolism",0.541146923319737,0,0,0,0,0,0,0,0,0,0,0,0,0.542297523765647,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.763164883120328,0.768646427955054,0.864078403684131,0.864078403684131,0.854053773674371,0.774240352649235,0.767393534243425,0.778525562744911,0.767974519006178,0.781237778193512,0.774107810983468,0.77325464403434,0.775288802477663,0.768155992903483,0.780469486552005,0.687947001425283,0.689654786718982,0.693262573384613,0.691009440992305
"Signaling by Retinoic Acid",0.604639189645994,0.606508977280949,0.558190405703175,0.558190405703175,0.554085033844823,0.611215584055067,0.607150078916311,0.60932437073786,0.607495056159537,0.563133345848601,0,0,0,0,0.614914320371809,0,0,0,0
