"","OBSCN","ZFP36L1","GRIA2","DST","INO80","KRAS","SYNE2","DNAH17","APC","BRD3","KIF26B","GEMIN5","GRIK4","CDC27","GNB5","GNB3","CHRDL1","NEFH","RASGRF1","TPO","ANK2","UBE2Q1","CHD1L","GATA5","SMO","IVL","KATNA1","OR2W3","DPYS","ARHGAP35","CACNA1H","OR6Y1","MYBPC2","AKT1","XRCC1","ZEB2","SOX9","COL4A1","TAS2R3","STX18","A2M","PDCD4","RGS22","GPR132","PTK2B","CSF2","WDSUB1","TAF1L","ZNF335","STAT5A","GK2","OR13H1","TIA1"
"Neuronal System",0.910675438611754,0.910861374429345,0.917446702010143,0.911468139353242,0.911222976089569,0.916737426689697,0.911209931043096,0.910420688762722,0.91039191396839,0,0.909830974878895,0.904287320498778,0.918494981150404,0.910578649162946,0.91642858315532,0.916426722020195,0,0.91125789026484,0.91742767183313,0.911754859953169,0.909881846224331,0.9106993672429,0.911151994635967,0,0.910542015021689,0.911447542694112,0.911760546363507,0.917568408797126,0.911792102332756,0.911390593851736,0.916739735549402,0.917568408797126,0.908669877569833,0.916662048634978,0.910766085780824,0,0.908439166617299,0.910843874570064,0.916260901219382,0.909799906731741,0.910563527097958,0.911861249061862,0.909214705284336,0.916823194824925,0.917041023502818,0.910934714181499,0,0.910753910360616,0,0.91671463093122,0,0.917568408797126,0.911088195618256
"Signaling by GPCR",0.935957567014689,0.930740724058249,0.937245634266995,0.93157811326353,0.931413164150161,0.936951463359094,0.931457157122008,0.931529786644189,0.932735113564988,0,0.926322420627467,0.926822229152872,0.931673443332126,0.931065864607419,0.936901435415203,0.9362001394837,0.931585201729504,0.931468274014205,0.935742895480173,0.931859032300697,0.935699265025504,0.931154891999903,0.931360816616707,0,0.93721660209997,0.931844377713079,0.931767492301811,0.936146419035578,0,0.93089984300843,0.931283931205439,0.936146419035578,0.931349376131841,0.93687817226893,0.931150478924438,0,0.933966535093947,0.9312640825297,0.938657686235959,0.931051988627154,0.930799628618057,0.93173271502085,0.931531426496445,0.936964215543108,0.935757481955031,0.931377179455211,0.926898899750778,0.931141499773064,0,0.935639763131136,0.927246229871826,0.936146419035578,0.931388029082052
"GPCR downstream signalling",0.944377638219695,0.938774103008863,0.945761181918919,0.939673562689008,0.939496386919587,0.945445205943757,0.939543640817937,0.939666896190238,0.940905649801495,0,0.934058266297181,0.934565154347942,0.939775958985099,0.939123344212971,0.945391469738265,0.945390666072337,0.934397447087181,0.939555581736493,0.944147054414035,0.939975304514343,0.944100189904016,0.939218970654609,0.939440159187727,0,0.941024551871664,0.939959563672917,0.939922221495873,0.944580488671112,0,0.938945016461213,0.939357574737162,0.944580488671112,0.939427870690582,0.945366482239056,0.939214230465195,0,0.940357835962856,0.939253670351472,0.945396713081276,0.939144017062246,0.940342323776897,0.93983962411697,0.939623415321063,0.943953953390112,0.945667672071993,0.939457734902095,0.934647508062359,0.939204585744948,0,0.944036277502783,0.935020583613862,0.944580488671112,0.939469388744569
"Interaction between L1 and Ankyrins",0.86381237436245,0,0.900926118731463,0,0,0.930598516654512,0,0.900030896967455,0.899503013990286,0,0.900286345539376,0,0.867250977568402,0,0.894005498807126,0.893994512910768,0,0,0.898929835560583,0,0.840734617705352,0,0,0,0.900862292331898,0,0.901777774875794,0.901639807854787,0,0.899737482728698,0.898990126485952,0.901639807854787,0.863085929098701,0.898232419605372,0,0,0.903071147145185,0.899456096315626,0.864469147117255,0.900117965843055,0.897752684696056,0,0.870412639166551,0.864942471885755,0.899037030277548,0.898388433100824,0,0.900242643750688,0,0.899421240287302,0,0.901639807854787,0
"Signaling Pathways",0.871907446287249,0.870220779481659,0.871739523100396,0.872267093420819,0.870029159674443,0.87731002233888,0.870120105800597,0.870134118456882,0.873099140982321,0.868562815346458,0.871706964641211,0.869966531237635,0.870225488463375,0.875054570181322,0.871739396273192,0.870953128178442,0.867073789221579,0.870063800703852,0.871944605827306,0.870462328658502,0.871816191227419,0.871734824733439,0.869955277232612,0.868576981783153,0.87195938075028,0.870197476672112,0.872027510006305,0.871983422682924,0.868646404631226,0.871832556149606,0.873575189764848,0.871983422682924,0.870199045345192,0.874035116758052,0.869812211666549,0.868730960072663,0.869316077270606,0.871820678254303,0.871743620736604,0.871829394871103,0.87345813484123,0.870320423393486,0.87025559339833,0.871765274284167,0.871821847037751,0.871810276222417,0.870148334938305,0.870084497862755,0.870421460080463,0.871912926283387,0.870134615100231,0.871983422682924,0.869992527573432
"Cardiac conduction",0.907393008002932,0.891732630364918,0.921836021050553,0,0.890844711985941,0.920839405971791,0.888733655099242,0.890456990090423,0.906255405403768,0,0,0,0.907370412033715,0.904557487630397,0.905507458478736,0.920856238104052,0.892489398606217,0.87553163078647,0.921485688061003,0.89232113753296,0.921335307443509,0.888759767908082,0.890031317604921,0.893511002394349,0.906892916117785,0.907592403315515,0.891276287616582,0.90679192532709,0,0.90717330139359,0.905846596630243,0.90679192532709,0.906342592312993,0.905659488063843,0.906377271855416,0,0.906615043121298,0.889583908631813,0.905406346172144,0,0.906242417723754,0,0.891722148166291,0.905483163558873,0.921535963106561,0.906182448486898,0,0.906568314793026,0,0.906217052985297,0,0.90679192532709,0.907196033421373
"Transmission across Chemical Synapses",0.907419318799061,0.907707192970485,0.917902892462054,0.908646613637137,0.908267040877528,0.916069407310891,0.908246843951549,0.908558418244427,0.907778514526076,0,0.907645396762692,0.897528947849794,0.91952588523899,0.907269465033718,0.916331432824206,0.916328524940063,0,0.908321096569471,0.917138075797253,0.909090527328448,0.907724158061118,0.907456366178924,0.908157144207769,0,0.90801090770835,0.908614724965777,0.909099331283953,0.918091324367824,0.909148187650729,0.908526554214035,0.916808335282339,0.918091324367824,0.90725563241616,0.916688056917419,0.907559662811451,0,0.906163082081489,0.907680098903531,0.916066982498407,0.907597295663962,0.907212662389739,0.90925524371774,0.907363805826235,0.916937550675587,0.917274802803624,0.907820740863828,0,0.907540812279856,0,0.916769467186605,0,0.918091324367824,0.908058367707364
"Phase 0 - rapid depolarisation",0.88250307974879,0,0.91755748760069,0,0,0.915138618952779,0.837784703443578,0,0.879742022526659,0,0,0,0.882448237430353,0.875868999409606,0.875613429556411,0.875600924103646,0,0,0.916707199959242,0,0.916342213548077,0,0.83807920101546,0,0.88128931466753,0.883742168812935,0,0.880671952899667,0,0.88196983332256,0.879158193019255,0.880671952899667,0.88041794701238,0.878295681004229,0.879236952154719,0,0.882301273375947,0.839853344458928,0.877038106752726,0,0.879710500334526,0,0.843367463002863,0.877867726595332,0.916829221724782,0.880186218543347,0,0.880583957015269,0,0.879648937980188,0,0.880671952899667,0
"G alpha (i) signalling events",0.927484372084038,0.927278662207157,0.936108353127173,0.918591737969405,0.927729386686544,0.935561617582783,0.918588806952783,0.928029541723152,0.92756094444442,0,0.918296846598987,0.919263072689429,0.928277577459092,0.926932278057097,0.935613523681442,0.934286956493834,0.918753496600279,0.927931109024839,0.93525385552161,0.91831817968992,0.927410613620538,0.927100613526371,0.927630406514673,0,0.927770253035606,0.928211960903169,0.928479002190415,0.936679156640499,0,0.927363842688864,0.926998819110104,0.936016849080864,0.927490825948857,0.935415281641123,0.927232694157313,0,0.925934295871755,0.927302121939535,0.935465362931557,0.917541019366308,0.927413394503999,0.919040759979065,0.937458013254049,0.934977684576525,0.935281436033874,0.926999038265079,0,0.927215716128213,0,0.935721157567908,0,0.936016849080864,0.927681860600836
"Peptide hormone metabolism",0.747701889235641,0.746916970372474,0.765812497483962,0.708041873773161,0.727329479868937,0.745917118111952,0.726752811839916,0.74695552032139,0.745379830819936,0.725792454336198,0.764509565124952,0.725722352073561,0.748052978626847,0.744833210435193,0.762383202038859,0.762691083495911,0.709526484755781,0.748323098074503,0.764838907353794,0.748159706972545,0.74598421173467,0.724887326899721,0.725615299160243,0.710509573898499,0.747006759178779,0.747775793845589,0.747952443234024,0.766140743326803,0,0.747123081016887,0.746295072568284,0.766140743326803,0.747113794244812,0.76281535667471,0.745517134246325,0,0.748274895921546,0.746200844520351,0.763565710206758,0.764729805183196,0.764077569570732,0.749036067769565,0.747952443234023,0.763835831149144,0.746442237576718,0.744914803193545,0,0.726841645430419,0,0.746495836296209,0,0.766140743326803,0.727875574194355
