"","TP53","KIT","NCOA1","NCOA2","HLA-E","TGFBR1","NTSR2","APLNR","OPRD1","CACNA1B","POLR3GL","POU4F2","OBSCN","SYNE1","C4A","DOK6","CADM1","CNGA3","ARID1A","ADAM2","E2F7","MAGI2","ZFPM1","CPS1"
"Interaction between L1 and Ankyrins",0.873498589599435,0.878522908342569,0.829826255897921,0,0.878209094080031,0.87209546740196,0.834776610569887,0.834177990289309,0.834167298502448,0.876926868364123,0,0.842822018312323,0.833353496549678,0,0.879146969669735,0.835075424520852,0.837221304797226,0,0,0.835268412233054,0.841927308983666,0.875523609957083,0,0
"Cytosolic sulfonation of small molecules",0.736425189719584,0.741099736659108,0.813367854190485,0.813746592453748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74433965657079,0,0.752432638942438,0,0,0
"APAP ADME",0.746975941535484,0.696389262958787,0.749799290190868,0.748503991256075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698713486685407,0,0.704519155393293,0,0.69911091759126,0.752682600732888
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788628598240906,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.868794072620243,0.871684789792049,0.870452967376723,0.870687177283136,0.870559510428631,0.872497903935546,0.916497188538341,0.915828849937408,0.915816912931423,0.918220743291924,0.918036902460546,0.878916996584924,0.874598723989238,0.869130021810721,0.870637668790745,0.875522284663914,0.878357578633878,0.877798160682831,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0.850967358388843,0.851226751967284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.798078294559091,0.799691088864775,0.825057101339283,0.82518777216626,0,0.800479256660124,0,0,0,0,0.80036335867716,0,0.751589943856146,0,0,0,0,0,0.801054116791349,0,0.778142051597767,0,0.773196818985017,0.800932111095879
"GABA receptor activation",0.619952619305666,0.621876077166707,0.621199824321867,0.621355665540101,0.621642948934256,0.622932738978413,0.652209477178502,0.651764770533265,0.651756827754144,0.653356315399844,0.653233989322515,0.626539279882884,0.623665939159237,0.620218163953056,0.621221339034896,0.624703764473498,0.626297908958319,0.625237570661714,0,0,0,0.590829581248097,0,0
"O-linked glycosylation",0.610013631249945,0.610668166817704,-0.0178968195146836,-0.0178968195146836,0.611257572496427,-0.0178968195146836,-0.0178968195146836,-0.0178968195146836,-0.0178968195146836,0,0,0,-0.0178968195146836,0,-0.0178968195146836,-0.0178968195146836,-0.0178968195146836,0,0,0.636675584770771,0,-0.0178968195146836,0,0
"Ethanol oxidation",0.726555407603891,0.72685267637504,0.810134368344534,0.8105239203711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731388107740657
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774023889247349,0,0,0,0
"O-linked glycosylation of mucins",0.860580183331428,0.861503573088711,0,0,0.862335080486362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89835915330939,0,0,0,0
"Collagen degradation",0.859747306545151,0.862837341252108,0.808885340818131,0.862599290387049,0.861036482550611,0.864534868262093,0.811773465458925,0.811059044313535,0.811046284240308,0,0,0.817932972412509,0,0,0,0.868835570264997,0,0,0.864979038641048,0.867639552493595,0.816865184894931,0.867199833994565,0,0
"Signaling by Retinoic Acid",0.706231319315256,0.706721738921359,0.792740061687252,0.792939229248725,0.660284046797594,0.706389802179426,0.705413671780715,0.704845329598166,0.704835178599817,0.659276576820555,0.666956824240177,0,0,0.664947710736392,0,0,0,0,0.706743152250638,0,0,0.710303524092973,0.708506197432799,0.668227225807875
"Defective GALNT12 causes CRCS1",0.73113956304109,0.735648596366647,0,0,0.735102089478953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sensory perception of taste",0.825584465842434,0.828246104501369,0.823849341209451,0.824064990857676,0.827408420610797,0.82970828986265,0.870220795896279,0.869605420627175,0.869594429584222,0.871807765388719,0.829355569803655,0,0.831642627792666,0.826523444574655,0.827911616176221,0,0.788562598067319,0.834183855624876,0,0,0,0.831693847081342,0,0
"Glucuronidation",0.78233681448446,0.785996972007635,0.842582711222606,0.8428792622513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788533820475013,0,0,0,0,0
"Glucagon-type ligand receptors",0.853376811042864,0.856200595328539,0.859928606737102,0.860157393648437,0.85585834512765,0.857751856252732,0.904149726588765,0.903496862982034,0.903485202370527,0.905833373427736,0.857259918009959,0.81819322846954,0.859804033031735,0.858505767863922,0.859978506149099,0.815306436632463,0.811552363116434,0.863358122905229,0,0,0,0,0.812349153392962,0
"Aspirin ADME",0.873586965950539,0.876372086528279,0.919429825354112,0.919655479678314,0,0.831240763294811,0,0,0,0,0,0,0,0,0,0,0,0,0.878302448493405,0.835324679857261,0.882377682197793,0,0,0
"Transcription of E2F targets under negative control by DREAM complex",0.818260865106275,0.725065662500725,0.724057971912605,0.72457451420931,0.724292949132713,0.726858959178889,0.724327358981022,0,0,0.719971016041618,0.726014094228414,0.741016058298392,0,0.727327320648427,0,0,0,0,0.729484428267623,0.736207397983134,0.840092629646588,0.734066389535393,0.73358162131075,0.732542763054531
"GABA B receptor activation",0.869943699373474,0.872642776682153,0.871693830128444,0.871912513107891,0.872315641300107,0.874125529164901,0.915207884722813,0.914583853575842,0.914572707932712,0.916817176552203,0.916645523434,0.879186379685851,0.875564744138739,0.870316322838084,0.871724020482451,0.876610706939623,0.879186379685851,0.87735976632846,0,0,0,0.829077022347138,0,0
"Activation of GABAB receptors",0.869943699373474,0.872642776682153,0.871693830128444,0.871912513107891,0.872315641300107,0.874125529164901,0.915207884722813,0.914583853575842,0.914572707932712,0.916817176552203,0.916645523434,0.879186379685851,0.875564744138739,0.870316322838084,0.871724020482451,0.876610706939623,0.879186379685851,0.87735976632846,0,0,0,0.829077022347138,0,0
"Collagen biosynthesis and modifying enzymes",0.902035528680251,0.90423855946517,0.873801807296441,0.873954587343022,0.904010010544566,0.904930466533151,0.873812562607486,0,0,0,0.874885872891913,0.879693977984583,0,0,0.87691518017384,0,0,0,0.875965357794215,0.90769549647374,0.879042366902073,0,0.877049596883557,0
"Presynaptic function of Kainate receptors",0.80947895926554,0.813656809768717,0.812499891094467,0.81283838632496,0.812653873970194,0.815951934175202,0.884598596355841,0.883632670395518,0.883615418266203,0.88708958861366,0.815398285891274,0.748704536239036,0.818988174525522,0.817067362864333,0.819246311311984,0.744122012000581,0.754335223909809,0.823924144023886,0,0,0,0.750655296557148,0,0
"Activation of G protein gated Potassium channels",0.845355825709443,0.848843649086104,0.848009014017877,0.848291602295487,0.848420915573002,0.850759703418636,0.908068463725243,0.907262073180158,0.907247670467596,0.910148035749492,0.850297497452755,0.798993606476608,0.853294468619774,0.851407553361836,0.853226619727777,0.795167946570673,0.798058623051063,0.857829751845305,0,0,0,0,0,0
"G protein gated Potassium channels",0.845355825709443,0.848843649086104,0.848009014017877,0.848291602295487,0.848420915573002,0.850759703418636,0.908068463725243,0.907262073180158,0.907247670467596,0.910148035749492,0.850297497452755,0.798993606476608,0.853294468619774,0.851407553361836,0.853226619727777,0.795167946570673,0.798058623051063,0.857829751845305,0,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.845355825709443,0.848843649086104,0.848009014017877,0.848291602295487,0.848420915573002,0.850759703418636,0.908068463725243,0.907262073180158,0.907247670467596,0.910148035749492,0.850297497452755,0.798993606476608,0.853294468619774,0.851407553361836,0.853226619727777,0.795167946570673,0.798058623051063,0.857829751845305,0,0,0,0,0,0
"Arachidonic acid metabolism",0.802165187600363,0.806192224792606,0.800881202607548,0.801138503809006,0.805807319085483,0.755636888806601,0.805824459395905,0.805090227750311,0.805077113847365,0.807717943389242,0,0.762570919804417,0.703037817107173,0.701577745875213,0,0,0,0,0.756517295974111,0,0.76147352313407,0,0.757837458292879,0.809916734805028
"Activation of the phototransduction cascade",0.599029152091867,0.627725475244586,0.604720130864544,0.605267783638719,0.6049692603691,0.609501803837309,0.736189468927789,0.73619812846089,0.736170216172538,0.740942871304543,0.742388883000278,0,0.614414149126474,0.611306460331606,0.614831789655758,0.618909464145467,0.624511561327713,0.756986303844399,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.80423814814358,0.808777227407577,0.807181369589527,0.807549132074213,0.808227078871857,0.81127079475611,0.880359615454027,0.879310172805534,0.879291429008365,0.883065985941828,0.804807295516617,0.820471808323394,0.8136911444153,0.806131496097338,0.808498842585331,0.815450155928287,0.81978170386715,0.814276255378252,0,0,0,0,0,0
