"","TP53","A1BG"
"Cytosolic sulfonation of small molecules",0.861003836807431,0
"Phase II - Conjugation of compounds",0.903082105944771,0
"Activation of Matrix Metalloproteinases",0.802765574667694,0.83417389218068
"Phase 4 - resting membrane potential",0,0
"Blood group systems biosynthesis",0,0
"Defective GALNT12 causes CRCS1",0.796717226511094,0.80144725713437
"RA biosynthesis pathway",0,0
"O-linked glycosylation",-0.0154469062497007,0.876220297109492
"Termination of O-glycan biosynthesis",0.835218685463825,0.839218978504606
"Potassium Channels",0.919491492155203,0.921260759485724
"Signaling by Retinoic Acid",0.676495430964248,0.67993433560492
"APAP ADME",0.66850837583962,0.620868882127743
"Diseases associated with O-glycosylation of proteins",-0.0215969178335463,0.835659722236363
"The canonical retinoid cycle in rods (twilight vision)",0.723236363478591,0.729786532965431
"Lewis blood group biosynthesis",0,0
"Transcriptional regulation of granulopoiesis",0.582701727308334,0
"Glucagon-type ligand receptors",0.852659531199921,0.856493241531024
"Inwardly rectifying K+ channels",0.857074014758573,0.861147058230308
"Interaction between L1 and Ankyrins",0.838167787083001,0.78878035621186
