"","PIK3CA","KRAS","APC","TP53","GRIN2A","SMAD4","CACNA2D4","SOX9","KCNB1","PKD1L1","MYO5A","CDK14","PLXNA4","APBA2","SMARCC1","ABLIM3","NFASC","ITGAD","CYP2C8","AMPD3","MME"
"Potassium Channels",0.955818411598841,0.945783231096844,0.946016708564906,0.944280820898515,0.946468890355709,0.945811822237963,0.94526154241315,0.946386051255554,0.925390704019026,0.945570491118085,0.946347861871442,0.946034643642681,0.946501440647728,0.946314513899816,0.946307558472558,0.947186041573031,0.945482738690448,0.946731488832609,0.934042850513729,0.946277014830841,0.946387622265008
"Adrenaline,noradrenaline inhibits insulin secretion",0.922434391515173,0.892723792134053,0.892877501318503,0.891239927620269,0.893523338183763,0.892270905794159,0.925460611967686,0.894878375537348,0.896339480357204,0.924347095101358,0.893857928449063,0.89402462589228,0.894462105058336,0.895971054909817,0.893738604423179,0.896339480357204,0.89243409577484,0.894993711403116,0.857558604977737,0.894185710103417,0.894231234429268
"Interaction between L1 and Ankyrins",0.917336683788895,0.945197606114405,0.919697448715433,0.94396208938276,0.919787624966092,0.888054804050365,0.91927947635941,0.922623529636295,0.921345984853004,0.918142809573434,0.918682470498889,0.919741661093118,0.9199272833425,0,0,0.921167346872165,0.948807584031561,0.920046813262621,0,0,0
"Classical antibody-mediated complement activation",0.658876391217506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92539450413144,0,0
"G beta:gamma signalling through BTK",0.916616010557706,0.873368210161369,0.873591954692502,0.866893395248192,0.876323140046426,0.873491427074502,0.871119930914476,0.877332379439248,0.875098939071906,0.872451381995112,0.875801553441302,0.876609063530742,0.877245873694295,0.875894962741337,0.875627861164425,0.879413788260928,0.873068211453388,0.877454839322894,0,0.875496229718427,0.876210031910698
"ADP signalling through P2Y purinoceptor 12",0.908714595146502,0.869246051139436,0.869641666052132,0.867309866513275,0.870662377430046,0.868850164592516,0.867932091530495,0.873288346411931,0.871286299409826,0.868913039847582,0.871427290311933,0.868772155392415,0.871817843065406,0.87594120681047,0.870765255555976,0.874158945445607,0.869465963304061,0.872402951461611,0.823368794602322,0.87134865056024,0.872000298242969
"Activation of G protein gated Potassium channels",0.931071246538684,0.898227932241058,0.898992061382876,0.893310817861515,0.899877757148788,0.89832150582787,0.896520540390887,0.900974945235551,0.899278822351211,0.897531673117002,0.900075865717546,0.89714885377506,0.90057850102321,0.899966723892633,0.899943960048627,0.902819074907622,0.900253717328707,0.90133140674704,0.859803809287983,0.899843996283702,0.900205994229158
"G protein gated Potassium channels",0.931071246538684,0.898227932241058,0.898992061382876,0.893310817861515,0.899877757148788,0.89832150582787,0.896520540390887,0.900974945235551,0.899278822351211,0.897531673117002,0.900075865717546,0.89714885377506,0.90057850102321,0.899966723892633,0.899943960048627,0.902819074907622,0.900253717328707,0.90133140674704,0.859803809287983,0.899843996283702,0.900205994229158
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.931071246538684,0.898227932241058,0.898992061382876,0.893310817861515,0.899877757148788,0.89832150582787,0.896520540390887,0.900974945235551,0.899278822351211,0.897531673117002,0.900075865717546,0.89714885377506,0.90057850102321,0.899966723892633,0.899943960048627,0.902819074907622,0.900253717328707,0.90133140674704,0.859803809287983,0.899843996283702,0.900205994229158
