"","PLCB1","FOXO1","TP53","RELA","CREB3","ABCA1","HTR2C","MAP2K4","DVL3","OR1A2","OR51B5","EPN1","HRH2","NCAM1","IGF1","APC","MAML1","KRAS","KCNU1","ITGAM","ACTG1","SEC24D","ARHGAP30","ARHGAP33","SRGAP3","CEP70","AK3","NSMAF","C2","OS9","MX2","LRCH1","DIRAS1","TBP"
"GABA receptor activation",0.894738227723406,0.866650846320079,0.866433514835084,0.867153449578754,0.868426643476924,0.867618121560407,0.89539229411495,0.868980528556997,0.867497202656236,0.898948642835967,0.898948642835967,0.868599516016019,0.895896752196061,0.868349742684541,0.868357461401627,0.867714707010831,0.870017807754711,0.867716149526425,0.868708221193043,0.868571636437745,0.867659059793117,0.868115159641446,0.870130467715936,0.870130467715936,0.86977966449918,0.866963378808957,0.867875355542123,0.871578793422105,0.867576784540684,0.83514320534907,0.869032681625833,0.869886757893145,0.871966862514693,0.866331516926774
"Adrenaline,noradrenaline inhibits insulin secretion",0.904848613453748,0.85840616765063,0.858702470892338,0.859125635748193,0.863402958726344,0.860357234864856,0.905932757139143,0.862154099161979,0.860492739615647,0.911827560875882,0.911827560875882,0.861522554190861,0.906768918498682,0.906748645315479,0.861121338067993,0.861048722580441,0.863873434854398,0.860828494059499,0.861298778078681,0.862032325533826,0.860519689783844,0.861275695254952,0.865052951734733,0.865052951734733,0.864471480041371,0.860830379850461,0.862489174833646,0.866460836953289,0.860534746854947,0.809723224303284,0.862796528122141,0.863849042436828,0.867217697280273,0.859930194724384
"Potassium Channels",0.865026228489006,0.841826860711927,0.839895340397223,0.842476871747512,0.843709846837554,0.842444385430407,0.864275324717322,0.84391392053675,0.843023952569273,0.867119230643021,0.867119230643021,0.820233736737087,0.864718833177346,0.843417789781005,0.843058409646745,0.843389403690708,0.844364318556446,0.842919451016462,0.866705011616316,0.843856137225219,0.843138370134761,0.820482049796576,0.845289467145928,0.845289467145928,0.845013550590648,0.840896221650868,0.843707467568001,0.845592077503956,0.842971748408306,0.816934466996134,0.842203479668157,0.844452928771329,0.846008056340036,0
"Glucagon-type ligand receptors",0.902540969353124,0.862699612342028,0.859198623813295,0.863877793675045,0.863903836174825,0.864975528794689,0.903473423390858,0.866482524926407,0.865531808826173,0.908543446506815,0.908543446506815,0.86527694296712,0.90419259193503,0.865583260201419,0.864931863621263,0.865531808826173,0.867298896511172,0.86467999333707,0.865632659403042,0.866377789444579,0.865076796475019,0.86572702426639,0.868975780038874,0.868975780038874,0.868475665860645,0.862169395412864,0.866108317381289,0.86952427822658,0.864975528794689,0.817603562177505,0.863382255250533,0.867660250990179,0.870278263117252,0
"ADP signalling through P2Y purinoceptor 12",0.87888048215413,0.81228934958573,0.811435967621227,0.813151429264444,0.814302098018709,0.81575780866371,0.880438992583967,0.817504995936788,0.814488794359218,0.888913065928044,0.888913065928044,0.816597118652939,0.881641016095633,0.816001958364571,0.816020350535824,0.815116709019151,0.819976626445849,0.81449223158765,0.816856141520279,0.816530687149837,0.814356198081043,0.815442993519332,0.820872987439156,0.820872987439156,0.82003709298073,0.811067617012314,0.817187430723798,0.823696145557227,0.815312703204173,0.736915484835573,0.817629266351508,0.819799967319687,0.824620837203388,0
"GABA B receptor activation",0.906754268149386,0.864366895313974,0.864038914910565,0.865125386517116,0.867046795411687,0.865826634677268,0.907741336171121,0.867882677299708,0.865972394206744,0.913108311362074,0.913108311362074,0.867307681703022,0.908502626533396,0.86693074249414,0.866942391003992,0.866370078090877,0.869448061393606,0.865974571143262,0.867471731416359,0.86726560793111,0.865888415592626,0.866576727331043,0.870015763255259,0.870015763255259,0.869486357308617,0.864838545943809,0.866214832940836,0.871803784076487,0.865764251942412,0.816817922847487,0.867961382805985,0.869250290755522,0.87238942889247,0.863884987304932
"Activation of GABAB receptors",0.906754268149386,0.864366895313974,0.864038914910565,0.865125386517116,0.867046795411687,0.865826634677268,0.907741336171121,0.867882677299708,0.865972394206744,0.913108311362074,0.913108311362074,0.867307681703022,0.908502626533396,0.86693074249414,0.866942391003992,0.866370078090877,0.869448061393606,0.865974571143262,0.867471731416359,0.86726560793111,0.865888415592626,0.866576727331043,0.870015763255259,0.870015763255259,0.869486357308617,0.864838545943809,0.866214832940836,0.871803784076487,0.865764251942412,0.816817922847487,0.867961382805985,0.869250290755522,0.87238942889247,0.863884987304932
"Nitric oxide stimulates guanylate cyclase",0.6690863891348,0.597187303652822,0.591245992743457,0.592987760812851,0.665846952615742,0.598234222539057,0.603241254310247,0.597408088978073,0.524446026820161,0.609841388258633,0.609841388258633,0.525137628773673,0.595911593104926,0.593066604441917,0.594776557668167,0.524402530898994,0.597981993050187,0.594349124200465,0.668780831496482,0.525838192237498,0.595022514242454,0.524522952404171,0,0,0,0.593472107285681,0.731940743635528,0,0,0.526874065975526,0.526997113958324,0,0,0.595286209595143
"Activation of Matrix Metalloproteinases",0.786367013615026,0.755472413300796,0.752799179208758,0.753387342786751,0.757448104755701,0.686981702158382,0.78715267924839,0.72014300718245,0.754780980230225,0,0,0.716193075273556,0,0.755785370509591,0.788311339565406,0.754780980230225,0.723066207492043,0.755024297358146,0,0.755493785228087,0.755358635112161,0.754945464543954,0,0,0,0,0,0.722705922818405,0.719575015286534,0.723362537689835,0,0,0,0.719741059999762
"Inwardly rectifying K+ channels",0.851299986580457,0.798466820291555,0.793824199583064,0.800029193035748,0.800063727695827,0.800865538233608,0.852536503178489,0.803483297254707,0.801344161733198,0.859259802645908,0.859259802645908,0.801884588854485,0.853490184331303,0.802290792623406,0.801426983094282,0.80222256354518,0.80456587824409,0.80109298080103,0.802356300337743,0.803344408734263,0.801619176888311,0.802481436500041,0.806789574245245,0.806789574245245,0.806126378573109,0.797144356960854,0.802987064923758,0.807516931397065,0.801218683312431,0.738635224595117,0.7993720652181,0.804778862604375,0.8085167821074,0
