"","x"
"DLGAP4",0.611847817615385
"FAT4",0
"GRIA2",0.553436567112263
"RELN",0.580352212780335
"KCNN3",0.52191976603542
"ZNF423",0
"NPFFR2",0.584174499793549
"OR2AK2",0.549302880919341
"KRAS",0.579719111391679
"SYNE1",0.548082695975543
"BRD4",0.522938199462433
"OR3A1",0.549302880919341
"PIK3C2G",0.579216697463713
"DSEL",0.613055803941105
"ARRB2",0.586073213071647
"CLASP1",0.549727702652727
"MYO18B",0.585475130183487
"KERA",0.580766649331845
"NR1H4",0.551020305791197
"TP53",0.548332886149485
"NEMF",0
"MYBPC1",0.548441775439581
"TBP",0.550283537622109
"EIF2AK1",0.550715205118796
"PTEN",0.579537610861374
"OR6C4",0.549302880919341
"SEMA3D",0.521611684843026
"MCMDC2",0
"KDR",0.580051949558501
"TRPC3",0
"PANK2",0
