"","TP53","FOXO1","AR","TNRC6B","APC","SIN3A","SORT1","FGF17","ADCY3","ARNTL","GGT7","COPB2","ARHGAP35","LRP1","ATP1A2","NCKAP1L","KSR2","NTSR2","TNIK","SMG7","GP6","COL11A1","HERC2","RGMB","COL6A5","RYR2","RCHY1"
"Collagen biosynthesis and modifying enzymes",0.917849207296744,0.919731841292157,0.919745481110117,0.919990604477481,0.91929056049024,0.91929056049024,0.919773279961041,0.920838881343426,0.917638122567687,0.920628518245303,0.897506144711992,0.919137491463567,0,0.918820482237986,0,0.918060428416871,0.918640532553614,0.919024089591322,0.921757292743932,0.895986781926448,0.941320408728281,0.801331960355725,0.894694575977014,0,0.940128245048881,0.896370372005392,0.894036712674539
"Phase II - Conjugation of compounds",0.862714076228653,0.864689916992183,0.864704232099844,0.864961491207304,0.820628972124884,0.864226788949921,0.864733407235834,0,0.84113879300089,0.86563098725866,0.887424308727919,0,0.821515769758286,0,0.840333645462503,0,0,0,0.841796258991723,0.799949358475499,0,0,0.793157996228891,0.82183195908587,0,0.817987270290541,0.793331698524916
"Cytosolic sulfonation of small molecules",0.759175785959392,0.765094460065887,0.765137341283144,0.765907966551175,0,0.828023512473296,0.83116772128816,0,0,0.767913456576842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen chain trimerization",0.861247983381288,0.865350643142396,0.865380367205823,0.865914543141372,0.86438899845002,0.86438899845002,0,0.867763118792654,0.861564223986172,0,0,0.810989073686636,0,0.863364597990456,0,0.861708279111819,0.862972449367359,0.86380830170431,0.869764532506723,0.810291956297434,0.912396721740759,0.608336332627066,0,0,0.910431516713174,0.811127880638268,0
"Blood group systems biosynthesis",0,0,0,0.464975694455757,0.462357128821205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464666438537083,0,0,0,0,0
"Heme degradation",0.633578789196772,0.573767788743302,0.573811468227158,0.574596439272907,0,0,0,0,0,0,0,0,0,0.234647753073972,0.642284888781034,0,0,0,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0.79291054573515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucuronidation",0.846309763040241,0.851107294558459,0.85114205301747,0.851766702887626,0,0.849982775102877,0,0,0,0.853392303729046,0,0,0,0,0.791807912462339,0,0,0,0,0,0,0,0,0,0,0,0
"Defective GALNT12 causes CRCS1",0.634155987309634,0,0,0,0,0,0,0.649284743759884,0,0,0,0.639981110302959,0.646448711488868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.752612550708285,0.687777102740987,0.687822475056196,0.688637868247089,0,0.754501146391576,0.687914946834803,0,0,0.690759863176625,0.835047771968545,0,0,0.692889025718101,0,0,0,0,0.686393141901408,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.772569046557024,0.779836627902002,0.779472565515677,0.780418821673921,0.778133140059053,0.691686153368297,0.77957987814834,0.699038231456963,0.860823576113758,0.783298093440727,0,0.691095256993613,0.782647239856039,0,0.782647239856039,0.780571361815843,0.782810753015946,0.864798806405977,0,0,0.782647239856039,0,0,0.697797204658646,0,0.779525881998363,0
