"","TP53","ESR2","APC","EDNRB","APOA4","LAMC2","AKAP9","LMOD1","EPS15L1","OPRD1","GLI3","ADSL","PDE1B","KIF21A","PDE11A","KCNQ3","GRIK2","CYTH3"
"Collagen biosynthesis and modifying enzymes",0.92916986530153,0.931314644520318,0.930256973410064,0.945655515738432,0.931242895808281,0.946294702531176,0.930141524552134,0.929918365083261,0,0,0,0.912248008581031,0,0.93063173971302,0,0,0,0
"Phase II - Conjugation of compounds",0.870521014272349,0.872592397699113,0.841311617652203,0,0,0,0.839025199443566,0,0.872421449631619,0,0,0.839702285354799,0.857247742781581,0.839498639110881,0.857260159390045,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0.898402675439782,0.901072141541468,0.899755727641696,0.918921283891435,0.90098284062278,0.919626021826844,0.899612036015993,0.899158896818793,0.877498876082564,0.876889595398259,0.877608988278919,0,0,0.900222174692764,0,0,0,0
"Collagen chain trimerization",0.894129198556798,0.898306515653555,0.896246523849781,0.926237766570691,0.895199901255815,0.896096533618151,0.85943034730666,0.895664221307553,0,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.919451638873379,0.922705668078338,0.921100984178075,0.920716234174153,0.92189495785019,0.945433203776331,0.894219179058172,0.89519514111628,0.895725707143257,0.920030635965116,0.894684489184475,0,0,0,0,0,0,0
"Glucuronidation",0.880659529643456,0.885480700061353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0.851927335793944,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.758327061018298,0.767499766120709,0,0,0,0,0,0,0.834402015124474,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.832867032176907,0,0,0,0,0,0,0,0,0,0,0.836963718585103,0,0,0,0,0,0
"Signaling by Retinoic Acid",0.712965239058433,0.715182841418864,0.714071713179324,0.712040236373656,0.715010887035433,0.71357212409295,0.67095922192424,0,0,0.711601101412572,0.712911433234177,0.674036229507647,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.849805402110255,0.857747091954264,0.856874810125552,0.899255005501093,0.855286761081618,0.853530761752013,0.852479623345027,0.805654307987545,0.811362527026025,0.898750713341938,0.853099877837506,0.857813416607288,0.901370721299607,0.802041331051331,0.854135517992371,0.856879783806043,0.858609436979006,0.857559476521225
"Glutathione conjugation",0.835231095942246,0.790317639754447,0,0,0,0,0,0,0,0,0,0,0.790466024417407,0,0.790506534814705,0,0,0
"Inwardly rectifying K+ channels",0.77527984499909,0.785914896034761,0.779119176000774,0.838734325078245,0.782313607856723,0.780480969317957,0.778711446193703,0.723051678238435,0.722052691007227,0.838087209741157,0.778838370808076,0.785555850498253,0.841449243637426,0.713955600306964,0.780983882441143,0.787360646921306,0.786577315896479,0.785229990733411
"APAP ADME",0.635059682752055,0.565273244649657,0,0,0,0,0,0,0.643544094373152,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.770692624514005,0.78580163156711,0.783580426978034,0.860841151667418,0.780496197472758,0.777484098293217,0.775567832585781,0.690186394121745,0.695623275237507,0.85992180768313,0.776698580359739,0.785291542661539,0.864698182867522,0.683616887570673,0.778796237900917,0.78358949418869,0.872709169968413,0.784828600126632
"Activation of G protein gated Potassium channels",0.807259283907582,0.819958922690192,0.81184394614613,0.883032213763851,0.815658514647038,0.813470105077271,0.811357063548826,0.744892037157783,0.743699116038531,0.882259473604528,0.811805141387355,0.819530175465109,0.886274180813202,0.734030133093503,0.814070648975187,0.820359259678999,0.820749938449124,0.819141056382053
"G protein gated Potassium channels",0.807259283907582,0.819958922690192,0.81184394614613,0.883032213763851,0.815658514647038,0.813470105077271,0.811357063548826,0.744892037157783,0.743699116038531,0.882259473604528,0.811805141387355,0.819530175465109,0.886274180813202,0.734030133093503,0.814070648975187,0.820359259678999,0.820749938449124,0.819141056382053
"Interaction between L1 and Ankyrins",0.814019555932381,0.760486436456696,0.757228288942093,0.755373612083401,0,0.825071377048561,0.826424076061565,0.758489921411848,0,0.754659166615422,0.82730280876264,0,0.824596636938999,0.828335499696677,0,0.891660657241485,0.764971454281356,0.829334667954731
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.807259283907582,0.819958922690192,0.81184394614613,0.883032213763851,0.815658514647038,0.813470105077271,0.811357063548826,0.744892037157783,0.743699116038531,0.882259473604528,0.811805141387355,0.819530175465109,0.886274180813202,0.734030133093503,0.814070648975187,0.820359259678999,0.820749938449124,0.819141056382053
"ADP signalling through P2Y purinoceptor 12",0.785348814128404,0.797916851900731,0.790600250885056,0.872141848882575,0.794447843278266,0.792069611260554,0.790042558074851,0.713988259646254,0.713558727204202,0.871256724556101,0.790737916899586,0.798467451704424,0.875855314355271,0.701514194735161,0.792757495805894,0.797765638820282,0.800801494270265,0.798958622978003
"TNFs bind their physiological receptors",0.351590418019094,0.204037872013139,0.360575343174941,0,0.365153180814509,0.199931709790017,0.197605273978983,0,0.20415270338286,0,0.273389662875767,0,0,0,0,0,0,0
"Collagen degradation",0.858763012099221,0.810255388236745,0.861875847835336,0.858749265296432,0.865093000589637,0.915717902157086,0,0.865373721710957,0.757653331451462,0.753088069044944,0.806060219409036,0,0,0,0,0,0,0
