"","MAX","HSPG2","PIK3CA","F2","PTEN","H2AFZ","NCOR1","IRF1","PIK3R5","APOB","PLCB3","HLA-DRA","ABCB1","PRKAA1","CLASP1","CKAP5","PSMD13","NCOR2","TBL1XR1","ITGB1","KRAS","HGF","DNM2","COL4A3","PSME4","AKAP9","DSCAM","NCOA3","SP3","CHD3","MED15","CTCF","HDAC3","RPS6KA2","RPS6KA4","EPHA2","NMBR","UTS2R","F5","TRIM48","ACTG1","GPSM1","MYLK","PAK6","PPP2R2B","ING5","EFNA4","NRG3","DMD","FAS","SH3BP2","NOTCH3","DAB2","MAP2K7","CCNE1","TCF3","CACNG6","VCAN","CSNK2A2","C5","COL4A6","MTMR4","PCNT","SCLT1","OTUB1","SMG6","UBR4","PLD1","FBXW7","GSPT2","PLXNA1","OBSCN","HIST1H2AH","KIF20A","ITPR2","ALOX5","CXCL9","VTN","CALR","TP73","COG2","GRM8","HOXB1","GAPVD1","PAX5","DOCK2","FGD3","BATF2","RBBP6","HERC2","ATRIP","POLD1","MYO9B","XRCC1","ARHGAP39","SRGAP3","LAMA1","IFT140","ENO1","TGIF1","GOLGB1","NUP205","CNTN2","BCL9L","CACNA1B","MAPK8IP1","EXOC6","OR4K5","OR52E4","OR52E8","COPS2","MECOM","GH1","CNOT1","UGCG","RORA","TBC1D4","PDE6A","POLR1B","ATP6V0A2","DDX20","RIN1","DOCK7","PLXNB1","LRR1","KLHL11","TRIM71","FBXL7","FBXO44","CACNA1E","KLKB1","TGIF2","MFGE8","F9","F11","HS3ST5","NDST3","PTCH1","IDE","TRPC6","TAS1R2","COL11A1","AKT1S1","GPR15","ADM2","DOCK3","RASA3","DDX21","GUCY1A2","ALS2","DUSP3","ACSL1","CASP2","SAMHD1","FAF1","HSD17B1","UGT1A4","SETD1B","COL22A1","ADAMTS14","ADAMTS3","CHSY3","FMOD","SYNE1","AOC2","C9","MDC1","ABCA3","PRDM15","RGS12","TUBB2A","STAB1","RCAN2","TTN","MUC16","PDE9A","EVL","GUCY2F","UNC13B","DTX2","KCNQ5","GRK6","TCF12","ADAMTS8","ADAMTS17","YEATS2","CHERP","DHX16","HNRNPL","TLR7","SCAF4","JAG1","GPLD1","ELK4","PKD1","UTP18","PWP2","IL20RA","MPHOSPH10","APOBR","GRIK2","DLGAP4","PLEKHG6","PNPLA6","WNK2","TAOK3","VPS37B","ACE","HOXD1","NDUFV2","SLC16A8","BRWD1","DNMT3L","DNAH2","CNTNAP2","DNAJA4","CCT8L2","SDK2"
"Collagen biosynthesis and modifying enzymes",0.921871703291937,0.941763254172527,0.922363209306445,0.923365994755611,0.922738141940747,0.903506280552927,0.903893031146973,0.923982017110478,0.923276770807001,0.923612521457208,0.922951083500871,0.941184181468982,0.905401449786036,0.903518179453128,0.923481546905893,0.923467501112608,0.923144342638733,0.90416007556794,0.904344682728216,0.941036289756548,0.923159789504108,0.923802393807642,0.923667971615364,0.885853102564423,0.923240915526557,0.923835735678606,0.904893593352101,0.923795861413473,0.924090578585088,0.903345353215322,0.90483822806073,0.904910988400565,0.903799077865135,0,0.905919596367824,0.923769211930568,0.923435041235259,0.923435041235259,0.941483863858646,0.924834362686883,0.922034256924451,0.902581584224919,0.923053835728197,0.924132747771297,0.924224319623227,0.904343555796294,0.924402098528512,0.905870221788988,0.923774365855688,0.903910728657419,0.925858727475315,0.924578440727127,0.904307482222097,0,0.903072690403,0,0.923962518632987,0.924165737508383,0.904183303251617,0.923408850712188,0.867672829554909,0.905634621169039,0.924073144959584,0.924193468124156,0.905307503443809,0.923598446042023,0.92162169944199,0,0.903037543309106,0.923582241127065,0,0,0,0.92405591534683,0,0.905103656832995,0,0.923411699937051,0.924297014969621,0.904790553822909,0.924117635924441,0,0.904463158186038,0.904353258562247,0.907328307264389,0,0,0.907708964646121,0.902426557083417,0.902979544982484,0.903396034092887,0,0,0,0,0,0.924330916525075,0.904759181270744,0.905956199690985,0.906059239220177,0.924520697101488,0.904282494665827,0.924733086349163,0.904838210063884,0,0,0,0,0,0,0,0,0,0.904343555796294,0,0.905977425363433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925020731802938,0.906794244621029,0.926268020397684,0.925798230988456,0.925546560443936,0.925400472871742,0.925400472871742,0.905640190552883,0,0,0,0.822537907166278,0,0,0,0,0,0,0,0,0,0,0,0,0.903428502044884,0,0,0.923883350305817,0.941983257506839,0.942316060988311,0.942316060988311,0.925400472871742,0.923498097321901,0,0,0.926155618352643,0.903963005552544,0.906668178830728,0.906466594425329,0,0.904592863726271,0.907603476715549,0,0,0,0,0,0,0,0,0,0,0,0.942691112866157,0.942714620565909,0,0.904058861651821,0.904053172418241,0.904041892745025,0.904743283720382,0,0.906277243219598,0,0,0,0.924022363486413,0.923982017110478,0,0.923935745647605,0.908108994149963,0,0,0,0,0,0,0,0,0,0,0.906172378402161,0,0,0.90433915724192,0,0.906219683893076,0.905198754824932,0
"Activation of Matrix Metalloproteinases",0.891814242187606,0.91711524386552,0.890456299927282,0.891431926151555,0.891941873278633,0.891077374444345,0.891724404202442,0.892291918256922,0.891731668705767,0.89104547736109,0.891276996063002,0.89085606425308,0.895457506332933,0.865765177981663,0.863920829782892,0.863901221287773,0.864030427913292,0.892097209007332,0.892395083181638,0.891380211474977,0.891724404202442,0.892041156866271,0.891853498052865,0.891927254941924,0.888555686227128,0.864286846788544,0.865847649145428,0.892032037379989,0.894911881777842,0.8925871124183,0.893043937296375,0.893145513671563,0.891593241623656,0.893658425759279,0.867383254011914,0.892419136417418,0.891952620620483,0.891952620620483,0.890665815726692,0.892751217101267,0.891978577709689,0.891162371490256,0.864501081848828,0.891893727096839,0.865538119433424,0.893980643566011,0.89330267168773,0.893791547258801,0.891393411457812,0.865703987545664,0.867239469937077,0.891871673010923,0.864401169568069,0.893210531274189,0.86514325726221,0.893940467371883,0,0.892548399357886,0.893026314506822,0.891067452006393,0.891956655918799,0,0,0,0.866425484362591,0,0.863804718831396,0,0.863753138470533,0,0.893596784999083,0.866253909177403,0.892291918256922,0.864722671340873,0,0,0.891092130238349,0.893170933797993,0.864620446147999,0.866932259036865,0,0.891123613771064,0.893166823839444,0.864505230306309,0.896520188507015,0.866676910200118,0,0.895973238106859,0.863758211230781,0.863294783166429,0.865594658121978,0.891935588490576,0,0.892896346673083,0,0,0.892778995941282,0,0.868631633473059,0.866846693138715,0,0.8644932869383,0,0.892959801389668,0,0.895208376907141,0,0,0,0,0.892519960867006,0.867656649655753,0.86380714008125,0.917079829690715,0,0.894674457891485,0,0,0.892395083181638,0,0,0,0,0,0.89076719325501,0.86383124562064,0.86383124562064,0.863809983782894,0.863809983782894,0,0.921469882068327,0.867872790385254,0.89504400544166,0.893574549516394,0.894444677622724,0.894272139829832,0.894272139829832,0.868230627061259,0,0,0,0.892274827956669,0,0,0,0,0,0.893401950928363,0,0,0,0.865708749293944,0.893060937228958,0,0,0,0,0.893882810622948,0.892502344351558,0.864527155171726,0.864527155171726,0.894031496666854,0.892682930784477,0.86562716757408,0,0.867424528355877,0.864667733871076,0.868749344990247,0.868043622220145,0,0,0.869042666213432,0,0.865889722172552,0.865243688585314,0.865766198017855,0,0,0,0.86850304658051,0,0.893378981898169,0,0.892351184134949,0.866192447768587,0.866504644277313,0,0,0,0.892010731539756,0.893751827008366,0.868386728222077,0.894595743412283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896520188507014,0.866308735250831,0.866610570440972,0.896520188507015,0.868172381429679,0.86673782322679,0,0,0,0,0.871677176665211
"Interaction between L1 and Ankyrins",0.842317260014896,0.880015189265093,0.879071788093084,0.879417947997362,0.881029785958662,0.835444935304248,0.837201429955682,0.882472280316606,0.880990829235962,0,0.880306685541426,0.918607407651137,0.847799261697232,0.880667176131399,0.881420985014868,0.88139148020848,0.87647427749966,0.837762387516283,0,0.879340133177275,0.91279224803648,0.880079832158933,0.881812591586846,0.882384472212656,0.842352495792536,0.882164999322354,0.841580664444547,0,0.841997611822747,0.843480194058624,0.839186924927304,0,0,0.88276815103189,0,0.882663704858457,0.841997749134997,0.841997749134997,0.879428297734603,0.884262730360829,0.837412748543039,0.878798780361978,0.882681101117109,0.881873124031916,0,0.845577033538665,0.883354709714164,0.88271363599358,0.881120301544871,0.88149177094322,0.88641452657063,0.881112814003416,0.838072032169532,0.881839384092523,0.842907434419934,0,0.881843129772254,0.844521288033452,0.845240404612974,0.87865595548037,0.882428711718292,0.840859840368486,0.882663704858457,0.882916457522742,0.847601916585988,0,0,0.880667176131399,0,0,0.882420578177062,0.840688705326694,0,0.919823816554252,0.920451048247553,0,0.841341419809454,0.840306226225208,0,0.846516004372417,0.919953467735619,0.841388792926645,0,0,0,0.842272611547139,0.845619768414151,0,0,0,0.843586655078648,0,0.839369501707895,0,0.840760825666723,0.840688705326694,0.883666082714982,0.884142541030502,0,0.84175179948634,0.920800144156834,0,0.885220396437731,0,0.88076943798102,0.884845532613194,0.881650407553317,0.884938962100176,0.884938962100176,0.884938962100176,0,0,0,0.845577033538665,0.882247601637209,0,0,0.843391700027475,0,0.882170015036585,0,0.885023051326487,0.843785589027776,0.839626680329506,0,0,0,0,0,0.881242190008632,0,0.843295762978249,0,0,0,0,0,0,0.883556391426711,0,0.848409647124494,0.838957860162872,0,0.842593040832819,0.842593040832819,0.843785589027776,0.883837842818662,0,0,0.84488493435465,0,0,0.840140714927525,0,0,0,0,0,0,0,0,0,0,0,0,0.884425857242595,0,0,0,0.848409647124494,0.884142541030502,0,0,0.839673403639204,0.881144358340995,0,0.841699396943187,0,0,0.84564402282009,0.880713367311957,0,0,0,0,0,0,0,0,0,0,0,0.884425857242595,0,0.88324064873477,0,0,0,0,0,0.844711158365606,0.843106274487182,0.845946831943911,0,0.884800721067132,0,0,0,0,0,0,0,0,0.883056869837573,0.847788184678488,0,0,0
"Collagen chain trimerization",0.890048075373756,0.892899478637127,0.890836198476482,0.889564867605935,0.891497748406256,0.857723465151921,0.858541243575115,0.893692504092742,0.892448132171351,0.892307046681181,0.891873473166542,0.924044864976252,0.863259497002704,0,0.892809449382624,0.89205116551745,0.892214469274598,0.859012430134445,0,0.923783917427215,0.892241724497989,0.892839293067316,0.89313838648272,0.827182018497765,0.892384867317642,0.892700897039834,0.862363409659359,0.893364041651724,0.893963170140302,0,0.860208996378451,0.860337378368452,0.858375467696155,0,0,0.893317019968543,0.858829685428301,0.858829685428301,0.89279364890483,0.895196425343194,0.890255778408187,0.856139582383384,0.89205477434588,0.891841180260027,0.894120034789269,0,0.894433716799175,0,0.891208833247756,0,0.897003865912118,0,0.859272521822349,0,0,0,0.893658100001888,0.894016669569986,0,0,0.795147208771534,0.861614192290127,0.893119793872998,0.893332098094584,0.863093733368343,0.893015712076832,0.889527841310745,0,0,0.892987119312768,0,0,0,0.893822893844384,0,0,0,0.892686207890406,0.89449934048664,0,0.857270230162118,0,0,0,0.864602616916125,0,0,0.865138891584176,0,0,0,0,0,0,0,0,0.892190839140454,0,0.862181601550209,0.862363409659359,0.857981411502379,0,0.89501772829744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89608045070486,0.863660290023541,0.895608762291571,0.895204478663775,0.894760418542511,0.89407801795951,0.89407801795951,0,0,0,0,0.715393199865894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893433002383087,0.926125592062171,0.926372140120573,0.926372140120573,0.896195298524068,0.89301026104236,0,0,0,0,0.866030851879547,0.865138891584176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893580659641748,0.893622137805282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0.747998724900982,0.747544105193109,0,0,0,0,0,0,0,0.746383979212971,0,0,0,0,0,0,0,0,0.750772673251122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751016374138941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823725825449863,0.820839213907023,0,0,0,0,0,0,0,0.755699618209301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.811592207914278,0.81433034125084,0.812040089003978,0.812534299048524,0.767838129546833,0.807752847817201,0.759648955930244,0.814137964979058,0.812644504339535,0.813176071979643,0.812245393949191,0.812822864844116,0.773031487151163,0.809420423203138,0.811180098229989,0.811143533387853,0.811384470789547,0.760344141805334,0.760879283516408,0.859749917064517,0.809347962541251,0.766660866755594,0.813320423120109,0.814820362265408,0.811635875058878,0.811955000133432,0.764999499283082,0.758431958592192,0.765304130642377,0.767678934610997,0.762109548595855,0.760508307877387,0.759115713193252,0.814100767922596,0.762143026085437,0.816511841291823,0.813056523305411,0.813056523305411,0.760961741763689,0.816356841536253,0.761782549209209,0.812822864844116,0.813328221145027,0.815444019212966,0.863310139973014,0.770277514773273,0.762303364262691,0.763214992512186,0.76124039820981,0.811848326128132,0.763691717502063,0.760469215476349,0.814158619635101,0.814195930929122,0.766969122606303,0.761990693770929,0.855043165035541,0.768969145986644,0.769860335844378,0.812645864216477,0,0.764182766369557,0.812720181371095,0.813033413769486,0.772786920461113,0.812566619701909,0,0.761418940245346,0,0.812524434106174,0.762851810573057,0.763894108388224,0.760418566912762,0.81145970928908,0.814960516298743,0,0.812691882824747,0,0,0.771441166547655,0.814491015919132,0.812750591583204,0.760548045905203,0.814352666370623,0,0.765857018435717,0.817545234785606,0,0,0,0.767810870077362,0.760022443114366,0.764207522606107,0.760043674976711,0.763983485990411,0.763894108388224,0,0.863519945488702,0,0.765288157264415,0.815540288680818,0.809782295118018,0.82004097933921,0.763294740299055,0.862724265826557,0,0.816356841536253,0.81878052348435,0.81878052348435,0.81878052348435,0.760843808216977,0.766321581272914,0.759916943476129,0.770277514773273,0.761135446700741,0.763359398881445,0.818450658735701,0.81478402470495,0.759108946415328,0.817000782911377,0.761971212245566,0.764575017813647,0.767732027612422,0.763281384845081,0,0,0,0,0,0.863310139973014,0,0.767201566917153,0,0,0,0,0,0,0.818718897349377,0.81446049098911,0.8210026875572,0,0.761084752819714,0.813794258936322,0.813794258936322,0.767732027612422,0.763106207565695,0.760986497955509,0.761784728493337,0.769094428971752,0,0.761187247152216,0.763214992512186,0.813631249155286,0.766679543167117,0,0,0,0,0,0,0,0,0.812136210160225,0,0,0,0,0,0.821451425678718,0,0,0.768412453312014,0.762111596491157,0,0.761183957998582,0,0.762389997510139,0.81761350645452,0,0.765931768488123,0,0.763359398881445,0,0,0.761476656269951,0,0,0,0,0,0,0,0,0.765177311230528,0,0,0.760469215476349,0,0,0.768458899708173,0.766469992379347,0,0,0.818385966309652,0.767283289490905,0,0,0,0,0,0,0,0,0,0,0,0
"Signaling by Retinoic Acid",0.706838537528321,0.444816329264189,0.216378549119518,0.218677449192913,0.219514861285727,0.218095220425694,0.259752072497001,0.21849474127057,0.217969898124704,0.444126011493793,0.218423030013343,0.171227479063733,0.223088856340665,0.174244581188262,0.174127724331404,0.174095524148164,0,0.26036427567513,0.707095597477975,0.21859252569155,0.219157743411061,0.219677900299955,0.174120062957926,0.220690630439722,0,0.174939707190013,0.221924588157258,0.260257253778256,0.223192300101054,0.219374669073612,0.220124846213331,0.261388983307435,0.259536683246297,0.222333706081429,0.222931010818659,0.17504892868044,0.173428403385355,0.173428403385355,0.170313660476779,0.174339613299884,0.219575135641235,0.169626634285716,0.22191253472168,0,0.221598194028898,0.22166306285572,0,0.22255231218311,0,0,0,0.220257224306103,0,0.173894103522002,0.218749585652446,0.220597643617229,0.173293920984273,0.17646097315601,0.220704150244451,0.169470761805197,0.220738911393312,0.177046256901285,0.175483971383236,0.172870353291655,0,0,0.17092543781133,0.220273879592933,0.170840734877153,0,0,0,0.218889914581743,0,0.220943633783191,0.446882457424351,0.169511287280823,0,0.173428008285622,0.222292638953355,0,0.169562988113362,0.219327201221945,0,0,0,0,0,0.170849065134449,0.170619009632299,0,0.217305322255488,0,0.218883035860648,0,0,0.222089320960633,0.174208444214784,0.180089957470759,0.224123806592991,0,0.218758429466158,0,0.221186456760109,0.170749135583312,0.177174875201607,0.172738768521866,0.176998738532243,0.176998738532243,0.176998738532243,0.219264395835232,0.224088300051459,0.220970650435881,0,0.175939597108024,0.224002188065187,0.222687812264528,0,0.219059327352057,0,0.220257224306103,0,0,0,0.170934083676398,0.170968998904073,0.170968998904073,0.170934083676398,0.170934083676398,0.17126507531583,0,0.224609042327039,0,0,0,0,0,0,0,0.176298097558291,0,0,0.261896619377663,0,0,0,0,0.220712759996741,0.177495145885424,0,0.224541294277457,0.22049437292452,0,0,0,0.4901472641565,0.488429623763676,0.179043582619132,0,0,0,0,0,0.176745548012386,0.44966916047231,0,0.175170009407522,0,0,0,0,0,0.17855448273984,0,0,0,0,0.177526991419562,0,0,0,0,0,0,0,0.222196528956635,0.218245747563224,0.218232704913367,0.218206846100194,0,0,0,0,0.224702829039139,0,0,0,0.172152063746129,0,0,0,0,0,0.213614420615989,0,0,0,0.178424998905664,0.177864787604643,0.17384261950016,0,0.180925183014339,0.178569416459028,0,0,0,0,0
"Glucuronidation",0.766264834350947,0.721685585381598,0.708814416354752,0.765546888986913,0.71297615280926,0.764881081826086,0.766096128989727,0.767161854844824,0,0,0,0,0,0.767372485473959,0,0,0,0.766796213360042,0.813777193622349,0,0,0,0,0.767849060514038,0,0,0,0.766673828570221,0,0,0.76857405975419,0.768764808456271,0.765849820814044,0.714827638870556,0.715510686142751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768725440598055,0,0,0,0.770257639700446,0,0,0,0,0.767904272153245,0,0,0,0,0,0,0,0,0,0,0,0.767161854844824,0,0,0.76495140266935,0,0,0,0,0,0,0.768804826490552,0,0,0,0,0.720998490464989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771635989131551,0,0,0,0,0.768725440598055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769448531747741,0,0,0,0.858845734605664,0.813946282068714,0,0,0,0,0,0,0,0.767111024639823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.79073280401313,0.76947153012104,0.763376901520211,0.790384161338487,0.765397889469077,0.790060837585768,0.790650878714481,0.793473701183702,0.763539301224124,0.742493752572946,0.767175520283582,0.76439574242263,0.745850922101265,0.7916576237185,0.741334682467021,0.741316801035065,0.763513011448431,0.790990847881453,0.814192293312225,0,0,0,0,0.791222794261411,0.763635956552871,0.742613828504721,0,0.790931416394607,0.745353354679813,0.763917645244139,0.79185419090588,0.79194682070894,0.790531268580537,0.766296992778062,0.766628688530712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765039168479223,0,0.791927703216062,0,0.764887909581254,0.74393771174617,0.792671757039519,0,0,0,0,0.791249605679841,0,0,0,0,0.791596255350912,0.717760452917852,0.765528086467736,0.71771341561553,0.743672489473252,0,0.74453289412094,0.791168407667476,0,0.790888807207154,0.792727032410863,0,0,0.792621705754582,0.746124690952567,0,0,0.791966253934927,0,0.768997896008755,0,0.744718954953859,0.769293630562052,0.717718041580789,0.71759028697216,0,0.768354811098561,0.743733388798525,0.744566831318999,0.744576602760672,0.74453289412094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793341099661292,0,0.769602080455189,0.768773834741227,0.743758766718241,0.791927703216062,0,0,0,0.717765254146676,0.717784643299315,0.717784643299315,0.717765254146676,0.717765254146676,0,0,0,0,0,0,0,0,0,0.767616343131689,0,0,0,0,0,0,0,0,0,0.769347855054258,0,0,0.792278844744466,0.765417751250929,0,0.791729951490838,0.836026327969275,0.814274404641507,0,0,0,0,0,0,0,0.791307320616691,0,0,0,0,0,0.792093117941021,0,0,0,0,0.770229513528017,0,0.769365539542185,0,0,0,0,0,0,0,0,-0.0182494260306503,-0.0182494260306503,-0.0182494260306503,0,0.793552922836316,0,0,0,0,0,0,0,0,0,0,0,0,0.76647230079121,0,0,0.792243679814912,0,0,0.791821337378227,0,0,0.744685490450102,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.849626896606103,0.848576860471181,0.901462870439969,0.903588970972842,0.851497189612808,0.848021102437571,0.849431120207954,0.850667856063986,0.904242174821183,0.850468396598232,0.903251344804505,0.849130976927669,0.853111811261797,0.851836932746836,0.849145288583391,0.849102557431968,0.850308774156852,0.850243542501056,0.8459531374078,0.84960569736473,0.850355767753439,0.85104604030926,0.850637091171512,0.850273409889602,0.850602575340542,0.850222827870214,0.856021318661821,0.850101519430976,0,0.784806325483515,0,0.852528025072131,0.849145288583391,0.853166055442892,0.850120287028839,0.851869739493555,0.904723676826693,0.904723676826693,0.850967340409147,0.853260924832065,0.849985019248135,0.903926200617123,0.853086857312151,0.852718577288907,0.907464936178498,0.84989340790443,0.853795153922041,0.854860519516264,0.851628281312562,0.85183925177033,0.856377323172755,0,0.851616641474791,0.852669712489045,0.846307305835032,0.85426040110284,0.906668465838254,0,0.849405875757718,0.903719350534375,0,0.854729514213899,0.850277582235861,0.850643638268489,0.857280546563405,0.849140868695935,0,0.851836932746836,0.844180819311507,0.849091568904828,0.852843933175107,0.854729514213899,0.78765187714063,0.850892674745521,0.906596304072704,0.791695729133559,0.903773129738752,0.849236040944984,0,0,0.848764631378407,0.903841739165209,0.852574464536509,0.851843412327726,0,0.857023450179916,0.855174142677953,0,0,0,0,0.849891336442784,0.852818941107612,0.851985036297268,0.854833964489894,0.854729514213899,0,0.852419347599942,0.855707844183369,0,0.84999085390922,0.845712029745385,0.856374433869632,0,0.906780259986722,0.85270531441028,0.852593415119856,0.911584932258845,0.911584932258845,0.911584932258845,0.851164810228146,0.853248221306132,0.851836932746836,0,0.853260924832065,0,0.853392029909028,0.906742504738247,0.905687898434974,0.851697646458332,0.78946636118993,0.856088623357269,0.859214661637899,0.854013460732673,0,0,0,0,0,0.907464936178498,0.851437785835034,0,0.854275124300179,0.851253738947252,0.8511094897665,0,0,0.855758612035379,0.853705504387481,0.851179158398824,0.914009885327353,0,0.849027354748365,0.905585824483087,0.905585824483087,0.859214661637899,0.854372112374336,0.853086857312151,0.852264407668108,0.860139309183385,0.852257208604681,0,0,0.850385037676935,0,0,0,0,0,0,0,0,0,0.848462909941432,0,0.852341009225685,0.851052863194181,0.862344741432162,0.860806818895594,0.914009885327353,0.848912530145411,0,0.798596735441906,0,0,0.908241877814737,0.851875140515336,0.85230666818356,0.852413699939559,0.786487878680931,0.85132911631254,0.850310824316102,0.85154178940915,0,0,0.851567044648154,0.849712443626027,0.849695135418747,0.849660819562434,0,0.856575344374318,0,0,0.852471572799755,0.851389708413733,0,0,0,0,0,0.853714025852781,0.851389708413733,0.858026605662526,0.792587363309373,0,0.789750501288766,0,0.855867281557873,0.854628960085739,0,0,0,0,0,0,0.853905373351812,0.852849123013177,0.858026605662526
